id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
1,Andorra la Vella,488,07,6,AD,capital,,,42.50779000,1.52109000,Andorra la Vella,24042,Europe/Andorra,"{""br"":""Andorra la Vella"",""ko"":""안도라 라 베야"",""pt-BR"":""Andorra-a-Velha"",""pt"":""Andorra-a-Velha"",""nl"":""Andorra la Vella"",""hr"":""Andora la Vella"",""fa"":""آندورا لا ولا"",""de"":""Andorra la Vella"",""es"":""Andorra la Vella"",""fr"":""Andorre-la-Vieille"",""ja"":""アンドラ・ラ・ベリャ"",""it"":""Andorra la Vella"",""zh-CN"":""安道尔城"",""tr"":""Andorra la Vella"",""ru"":""Андорра-ла-Велья"",""uk"":""Андорра-ла-Велья"",""pl"":""Andora la Vella"",""hi"":""अंडोरा ला वेला"",""ar"":""أندورا لا فيلا""}",2019-10-06T09:28:06,2025-12-02T14:38:56,1,Q1863
2,Arinsal,493,04,6,AD,city,,,42.57205000,1.48453000,Arinsal,1419,Europe/Andorra,"{""br"":""Arinsal"",""ko"":""아린살"",""pt-BR"":""Arinsal"",""pt"":""Arinsal"",""nl"":""Arinsal"",""hr"":""Arinsal"",""fa"":""آرینسال"",""de"":""Arinsal"",""es"":""Arinsal"",""fr"":""Arinsal"",""ja"":""アリンサル"",""it"":""Arinsal"",""zh-CN"":""阿林萨尔"",""tr"":""Arinsal"",""ru"":""Аринсал"",""uk"":""Арінсал"",""pl"":""Arinsal"",""hi"":""अरिन्सल"",""ar"":""أرينسال""}",2019-10-06T09:28:06,2025-12-02T14:38:56,1,Q24554
3,Canillo,489,02,6,AD,adm1,,,42.56760000,1.59756000,Canillo,3292,Europe/Andorra,"{""br"":""Canillo"",""ko"":""카닐로"",""pt-BR"":""Canillo"",""pt"":""Canillo"",""nl"":""Canillo"",""hr"":""Canillo"",""fa"":""کانیلو"",""de"":""Canillo"",""es"":""Canillo"",""fr"":""Canillo"",""ja"":""カニーリョ"",""it"":""Canillo"",""zh-CN"":""卡尼略"",""tr"":""Canillo"",""ru"":""Канильо"",""uk"":""Канільйо"",""pl"":""Canillo"",""hi"":""कैनिलो"",""ar"":""كانيلو""}",2019-10-06T09:28:06,2025-12-02T14:38:56,1,Q386802
4,El Tarter,489,02,6,AD,city,,,42.57952000,1.65362000,El Tarter,1052,Europe/Andorra,"{""br"":""El Tarter"",""ko"":""엘 타르테르"",""pt-BR"":""O Tártaro"",""pt"":""O Tártaro"",""nl"":""El Tarter"",""hr"":""El Tarter"",""fa"":""ال تارتر"",""de"":""El Tarter"",""es"":""El Tarter"",""fr"":""Le Tarter"",""ja"":""エル・タルテル"",""it"":""El Tarter"",""zh-CN"":""埃尔塔特"",""tr"":""El Tarter"",""ru"":""Эль Тартер"",""uk"":""Ель Тартер"",""pl"":""Tartar"",""hi"":""एल टार्टर"",""ar"":""التارتر""}",2019-10-06T09:28:06,2025-12-02T14:39:31,1,Q24413
5,Encamp,487,03,6,AD,adm1,,,42.53474000,1.58014000,Encamp,11223,Europe/Andorra,"{""br"":""Kamp"",""ko"":""엔캠프"",""pt-BR"":""Acampar"",""pt"":""Acampar"",""nl"":""Kamperen"",""hr"":""Kamp"",""fa"":""انکمپ"",""de"":""Lager"",""es"":""Acamparse"",""fr"":""Camper"",""ja"":""エンカンプ"",""it"":""Accamparsi"",""zh-CN"":""扎营"",""tr"":""Kamp"",""ru"":""Энкамп"",""uk"":""Енкамп"",""pl"":""Obóz"",""hi"":""पड़ाव डालना"",""ar"":""إنكامب""}",2019-10-06T09:28:06,2025-12-02T14:38:56,1,Q989558
6,Ordino,491,05,6,AD,adm1,,,42.55623000,1.53319000,Ordenar,3066,Europe/Andorra,"{""br"":""Ordino"",""ko"":""오르디노"",""pt-BR"":""Ordino"",""pt"":""Ordino"",""nl"":""Ordino"",""hr"":""Ordino"",""fa"":""اوردینو"",""de"":""Ordino"",""es"":""Ordino"",""fr"":""Ordino"",""ja"":""オルディノ"",""it"":""Ordino"",""zh-CN"":""奥尔迪诺"",""tr"":""Ordino"",""ru"":""Ордино"",""uk"":""Ордіно"",""pl"":""Ordino"",""hi"":""ओर्डिनो"",""ar"":""أوردينو""}",2019-10-06T09:28:06,2025-12-02T14:38:56,1,Q3885480
7,Pas de la Casa,487,03,6,AD,city,,,42.54277000,1.73361000,Casa,1927,Europe/Andorra,"{""br"":""Pas de la Casa"",""ko"":""파스 데 라 카사"",""pt-BR"":""Pas de la Casa"",""pt"":""Pas de la Casa"",""nl"":""Pas de la Casa"",""hr"":""Pas de la Casa"",""fa"":""پاس د لا کاسا"",""de"":""Pas de la Casa"",""es"":""Pas de la Casa"",""fr"":""Pas de la Casa"",""ja"":""パ・デ・ラ・カサ"",""it"":""Pas de la Casa"",""zh-CN"":""帕斯·德拉·卡萨"",""tr"":""Pas de la Casa"",""ru"":""Пас-де-ла-Каса"",""uk"":""Пас-де-ла-Каса"",""pl"":""Pas de la Casa"",""hi"":""पास डे ला कासा"",""ar"":""باس دي لا كاسا""}",2019-10-06T09:28:06,2025-12-02T14:38:56,1,Q24456
8,Sant Julià de Lòria,490,06,6,AD,adm1,,,42.46372000,1.49129000,Sant Julià de Lòria,8022,Europe/Andorra,"{""br"":""Sant Julià de Lòria"",""ko"":""산 줄리아 데 로리아"",""pt-BR"":""Sant Julià de Lòria"",""pt"":""Sant Julià de Lòria"",""nl"":""Sant Julià de Lòria"",""hr"":""Sant Julià de Lòria"",""fa"":""سنت خولیا د لوریا"",""de"":""Sant Julià de Lòria"",""es"":""Sant Julià de Lòria"",""fr"":""Sant Julià de Lòria"",""ja"":""サン・ジュリア・デ・ロリア"",""it"":""Sant Julià de Lòria"",""zh-CN"":""圣胡利亚德洛里亚"",""tr"":""Sant Julia de Lòria"",""ru"":""Сант-Жулия-де-Лория"",""uk"":""Сант-Хулія-де-Лорія"",""pl"":""Sant Julià de Lòria"",""hi"":""संत जूलिया डे लोरिया"",""ar"":""سانت جوليا دي لوريا""}",2019-10-06T09:28:06,2025-12-02T14:38:56,1,Q1120573
9,la Massana,493,04,6,AD,adm1,,,42.54499000,1.51483000,la Massana,7211,Europe/Andorra,"{""br"":""la Massana"",""ko"":""라 마사나"",""pt-BR"":""a Massana"",""pt"":""a Massana"",""nl"":""de Massana"",""hr"":""La Massana"",""fa"":""لا ماسانا"",""de"":""la Massana"",""es"":""La Massana"",""fr"":""la Massana"",""ja"":""ラ・マッサナ"",""it"":""la Massana"",""zh-CN"":""拉马萨纳"",""tr"":""la Massana"",""ru"":""Ла Массана"",""uk"":""Ла-Массана"",""pl"":""la Massana"",""hi"":""ला मसाना"",""ar"":""لا ماسانا""}",2019-10-06T09:28:06,2025-12-02T14:38:56,1,Q3820973
10,les Escaldes,492,08,6,AD,adm1,,,42.50729000,1.53414000,les Escaldes,15853,Europe/Andorra,"{""br"":""les Escaldes"",""ko"":""레 에스칼데스"",""pt-BR"":""os Escaldes"",""pt"":""os Escaldes"",""nl"":""de Escaldes"",""hr"":""Les Escaldes"",""fa"":""لس اسکالد"",""de"":""les Escaldes"",""es"":""las Escaldas"",""fr"":""les Escaldes"",""ja"":""レス・エスカルデス"",""it"":""les Escaldes"",""zh-CN"":""莱斯卡尔德斯"",""tr"":""Escaldes Adaları"",""ru"":""лес Эскальдес"",""uk"":""Лес-Ескальдес"",""pl"":""les Escaldes"",""hi"":""लेस एस्काल्डेस"",""ar"":""ليه إسكالديس""}",2019-10-06T09:28:06,2025-12-02T14:38:56,1,Q1050185
