id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
11,Ghayathi,3396,AZ,231,AE,city,,,23.90453420,52.58710260,غياثي,,Asia/Dubai,"{""br"":""Ghayathi"",""ko"":""가야티"",""pt-BR"":""Ghayathi"",""pt"":""Ghayathi"",""nl"":""Ghayathi"",""hr"":""Ghayathi"",""fa"":""غیاثی"",""de"":""Ghayathi"",""es"":""Ghayathi"",""fr"":""Ghayathi"",""ja"":""ガヤティ"",""it"":""Ghayathi"",""zh-CN"":""加亚蒂"",""tr"":""Ghayathi"",""ru"":""Гаяти"",""uk"":""Гаяті"",""pl"":""Ghayathi"",""hi"":""घायथी"",""ar"":""غياثي""}",2025-04-01T02:45:47,2025-12-02T16:59:27,1,Q15221607
12,Abu Dhabi,3396,AZ,231,AE,capital,,,24.41361000,54.43295000,أبو ظبي,1570000,Asia/Dubai,"{""br"":""Abu Dhabi"",""ko"":""아부다비"",""pt-BR"":""Abu Dhabi"",""pt"":""Abu Dhabi"",""nl"":""Abu Dhabi"",""hr"":""Abu Dhabi"",""fa"":""ابوظبی"",""de"":""Abu Dhabi"",""es"":""Abu Dabi"",""fr"":""Abou Dhabi"",""ja"":""アブダビ"",""it"":""Abu Dhabi"",""zh-CN"":""阿布扎比"",""tr"":""Abu Dabi"",""ru"":""Абу-Даби"",""uk"":""Абу-Дабі"",""pl"":""Abu Dabi"",""hi"":""आबू धाबी"",""ar"":""أبو ظبي""}",2019-10-06T09:28:06,2025-12-02T17:11:50,1,Q1519
13,Al Dhaid,3390,SH,231,AE,city,,,25.28812000,55.88157000,الذيد,20165,Asia/Dubai,"{""br"":""Al Dhaid"",""ko"":""알 다이드"",""pt-BR"":""Al Dhaid"",""pt"":""Al Dhaid"",""nl"":""Al-Dhaid"",""hr"":""Al Dhaid"",""fa"":""ال زید"",""de"":""Al Dhaid"",""es"":""Al Dhaid"",""fr"":""Al Dhaid"",""ja"":""アル・ダイド"",""it"":""Al Dhaid"",""zh-CN"":""阿尔·达伊德"",""tr"":""El Dhaid"",""ru"":""Аль-Дхаид"",""uk"":""Аль-Даїд"",""pl"":""Al-Dhaid"",""hi"":""अल धैद"",""ar"":""الذيد""}",2019-10-06T09:28:06,2025-12-02T14:39:31,1,Q3492826
14,Ajman,3395,AJ,231,AE,section,,,25.40328000,55.52341000,عجمان,490035,Asia/Dubai,"{""br"":""Ajman"",""ko"":""아지만"",""pt-BR"":""Ajman"",""pt"":""Ajman"",""nl"":""Ajman"",""hr"":""Ajman"",""fa"":""عجمان"",""de"":""Adschman"",""es"":""Ajmán"",""fr"":""Ajman"",""ja"":""アジュマーン"",""it"":""Ajman"",""zh-CN"":""阿治曼"",""tr"":""Acman"",""ru"":""Аджман"",""uk"":""Аджман"",""pl"":""Adżman"",""hi"":""अजमान"",""ar"":""عجمان""}",2019-10-06T09:28:06,2025-12-02T17:11:50,1,Q530171
16,Al Ain City,3396,AZ,231,AE,city,,,24.19167000,55.76056000,مدينة العين,846747,Asia/Dubai,"{""br"":""Kêr Al Ain"",""ko"":""알아인 시티"",""pt-BR"":""Cidade de Al Ain"",""pt"":""Cidade de Al Ain"",""nl"":""Al Ain-stad"",""hr"":""Grad Al Ain"",""fa"":""شهر العین"",""de"":""Al Ain Stadt"",""es"":""Ciudad de Al Ain"",""fr"":""Ville d'Al Aïn"",""ja"":""アルアイン市"",""it"":""Città di Al Ain"",""zh-CN"":""艾因市"",""tr"":""Al Ain Şehri"",""ru"":""Город Аль-Айн"",""uk"":""Місто Аль-Айн"",""pl"":""Miasto Al Ain"",""hi"":""अल ऐन शहर"",""ar"":""مدينة العين""}",2019-10-06T09:28:06,2025-12-02T14:39:31,1,Q234600
17,Liwa Oasis,3396,AZ,231,AE,city,,,22.86972550,53.24086080,واحة ليوا,,Asia/Dubai,"{""br"":""Oasis Liwa"",""ko"":""리와 오아시스"",""pt-BR"":""Oásis de Liwa"",""pt"":""Oásis de Liwa"",""nl"":""Liwa-oase"",""hr"":""Oaza Liwa"",""fa"":""واحه لیوا"",""de"":""Liwa-Oase"",""es"":""Oasis de Liwa"",""fr"":""Oasis de Liwa"",""ja"":""リワオアシス"",""it"":""Oasi di Liwa"",""zh-CN"":""利瓦绿洲"",""tr"":""Liwa Vahası"",""ru"":""Оазис Лива"",""uk"":""Оазис Ліва"",""pl"":""Oaza Liwa"",""hi"":""लिवा ओएसिस"",""ar"":""واحة ليوا""}",2025-04-01T02:53:31,2025-12-02T16:59:27,1,Q615949
18,Al Batayih,3390,SH,231,AE,city,,,25.22317000,55.74272000,البطائح,,Asia/Dubai,"{""br"":""Al Batayih"",""ko"":""알 바타이흐"",""pt-BR"":""Al Batayih"",""pt"":""Al Batayih"",""nl"":""Al Batayih"",""hr"":""Al-Batayih"",""fa"":""البطایح"",""de"":""Al Batayih"",""es"":""Al Batayih"",""fr"":""Al Batayih"",""ja"":""アル・バタイフ"",""it"":""Al Batayih"",""zh-CN"":""阿尔巴塔伊赫"",""tr"":""El Batayih"",""ru"":""Аль-Батайих"",""uk"":""Аль-Батаїх"",""pl"":""Al Batayih"",""hi"":""अल बतैह"",""ar"":""البطائح""}",2019-10-06T09:28:07,2025-12-02T17:11:50,1,Q85740409
19,Al Dhafra,3396,AZ,231,AE,city,,,23.65745000,53.72225000,الظفرة,,Asia/Dubai,"{""br"":""Al Dhafra"",""ko"":""알 다프라"",""pt-BR"":""Al Dhafra"",""pt"":""Al Dhafra"",""nl"":""Al Dhafra"",""hr"":""Al Dhafra"",""fa"":""الظفره"",""de"":""Al Dhafra"",""es"":""Al Dhafra"",""fr"":""Al-Dhafra"",""ja"":""アル・ダフラ"",""it"":""Al Dhafra"",""zh-CN"":""阿尔达夫拉"",""tr"":""El Zafra"",""ru"":""Аль-Дафра"",""uk"":""Аль-Дафра"",""pl"":""Al-Dhafra"",""hi"":""अल धाफरा"",""ar"":""الظفرة""}",2019-10-06T09:28:07,2025-12-02T17:11:50,1,Q4703864
20,Fujairah,3393,FU,231,AE,adm1,,,25.11641000,56.34141000,الفجيرة,118933,Asia/Dubai,"{""br"":""Fujairah"",""ko"":""푸자이라"",""pt-BR"":""Fujairah"",""pt"":""Fujairah"",""nl"":""Fujairah"",""hr"":""Fujairah"",""fa"":""فجیره"",""de"":""Fudschaira"",""es"":""Fujairah"",""fr"":""Fujaïrah"",""ja"":""フジャイラ"",""it"":""Fujaira"",""zh-CN"":""富查伊拉"",""tr"":""Füceyre"",""ru"":""Фуджейра"",""uk"":""Фуджейра"",""pl"":""Fudżajra"",""hi"":""फ़ुजैरा"",""ar"":""الفجيرة""}",2019-10-06T09:28:07,2025-12-02T14:39:31,1,Q4045
22,Al Hamriyah,3390,SH,231,AE,city,,,25.46121000,55.54813000,الحمرية,3297,Asia/Dubai,"{""br"":""Al Hamriyah"",""ko"":""알 함리야"",""pt-BR"":""Al Hamriyah"",""pt"":""Al Hamriyah"",""nl"":""Al Hamriyah"",""hr"":""Al Hamrija"",""fa"":""الحمریه"",""de"":""Al Hamriyah"",""es"":""Al Hamriyah"",""fr"":""Al Hamriyah"",""ja"":""アル・ハムリヤ"",""it"":""Al Hamriyah"",""zh-CN"":""哈姆里亚报"",""tr"":""El Hamriyah"",""ru"":""Аль-Хамрия"",""uk"":""Аль-Хамрія"",""pl"":""Al Hamriyah"",""hi"":""अल हमरियाह"",""ar"":""الحمرية""}",2019-10-06T09:28:07,2025-12-02T17:11:50,1,Q4703978
23,Al Madam,3390,SH,231,AE,city,,,24.95536000,55.76820000,السيدة,11120,Asia/Dubai,"{""br"":""Al Madam"",""ko"":""알 마담"",""pt-BR"":""Al Madam"",""pt"":""Al Madam"",""nl"":""Al Mevrouw"",""hr"":""Al Madam"",""fa"":""آل مادام"",""de"":""Al Madam"",""es"":""Al Madam"",""fr"":""Al Madame"",""ja"":""アル・マダム"",""it"":""Al Madam"",""zh-CN"":""阿尔·玛丹"",""tr"":""El Hanım"",""ru"":""Аль Мадам"",""uk"":""Аль Мадам"",""pl"":""Al Madam"",""hi"":""अल मदाम"",""ar"":""السيدة""}",2019-10-06T09:28:07,2025-12-02T17:11:50,1,Q55603483
25,Ruwais,3396,AZ,231,AE,city,,,24.11028000,52.73056000,الرويس,25000,Asia/Dubai,"{""br"":""Ruwais"",""ko"":""루와이스"",""pt-BR"":""Ruwais"",""pt"":""Ruwais"",""nl"":""Ruwais"",""hr"":""Ruwais"",""fa"":""رویس"",""de"":""Ruwais"",""es"":""Ruwais"",""fr"":""Ruwais"",""ja"":""ルワイス"",""it"":""Ruwais"",""zh-CN"":""鲁韦斯"",""tr"":""Ruwais"",""ru"":""Рувайс"",""uk"":""Рувайс"",""pl"":""Ruwais"",""hi"":""रुवैस"",""ar"":""الرويس""}",2019-10-06T09:28:07,2025-12-02T14:38:56,1,Q1023786
26,Bani Yas City,3396,AZ,231,AE,city,,,24.30978000,54.62944000,مدينة بني ياس,80498,Asia/Dubai,"{""br"":""Kêr Bani Yas"",""ko"":""바니 야스 시티"",""pt-BR"":""Cidade de Bani Yas"",""pt"":""Cidade de Bani Yas"",""nl"":""Bani Yas City"",""hr"":""Grad Bani Yas"",""fa"":""شهر بنی یاس"",""de"":""Bani Yas Stadt"",""es"":""Ciudad de Bani Yas"",""fr"":""Ville de Bani Yas"",""ja"":""バニヤス市"",""it"":""Città di Bani Yas"",""zh-CN"":""巴尼亚斯市"",""tr"":""Bani Yas Şehri"",""ru"":""Город Бани Яс"",""uk"":""Місто Бані-Яс"",""pl"":""Miasto Bani Yas"",""hi"":""बानी यस शहर"",""ar"":""مدينة بني ياس""}",2019-10-06T09:28:07,2025-12-02T14:39:31,1,Q11960137
28,Dibba Al Fujairah,3393,FU,231,AE,municipality,,,25.58580000,56.24792000,بلدية دبا الفجيرة,,Asia/Dubai,"{""br"":""Kumuniezh Dibba Al Fujairah"",""ko"":""디바 알 푸자이라 시"",""pt-BR"":""Município de Dibba Al Fujairah"",""pt"":""Município de Dibba Al Fujairah"",""nl"":""Gemeente Dibba Al Fujairah"",""hr"":""Općina Dibba Al Fujairah"",""fa"":""شهرداری دبا الفجیره"",""de"":""Gemeinde Dibba Al Fujairah"",""es"":""Municipio de Dibba Al Fujairah"",""fr"":""Municipalité de Dibba Al Fujairah"",""ja"":""ディバ・アル・フジャイラ市"",""it"":""Comune di Dibba Al Fujairah"",""zh-CN"":""迪巴富查伊拉市"",""tr"":""Dibba Al Fujairah Belediyesi"",""ru"":""Муниципалитет Дибба-эль-Фуджейра"",""uk"":""Муніципалітет Дібба-ель-Фуджайра"",""pl"":""Gmina Dibba Al Fujairah"",""hi"":""डिब्बा अल फ़ुजैरा नगर पालिका"",""ar"":""بلدية دبا الفجيرة""}",2019-10-06T09:28:07,2025-12-02T17:30:09,1,Q3696182
30,Dibba Al-Fujairah,3393,FU,231,AE,city,,,25.59246000,56.26176000,دبا الفجيرة,30000,Asia/Dubai,"{""br"":""Dibba Al-Fujairah"",""ko"":""디바 알-푸자이라"",""pt-BR"":""Dibba Al-Fujairah"",""pt"":""Dibba Al-Fujairah"",""nl"":""Dibba Al-Fujairah"",""hr"":""Dibba Al-Fujairah"",""fa"":""دبا الفجیره"",""de"":""Dibba Al-Fujairah"",""es"":""Dibba Al-Fujairah"",""fr"":""Dibba Al-Fujairah"",""ja"":""ディバ・アル・フジャイラ"",""it"":""Dibba Al-Fujairah"",""zh-CN"":""迪巴·富查伊拉"",""tr"":""Dibba Al-Fujairah"",""ru"":""Дибба Аль-Фуджейра"",""uk"":""Дібба Аль-Фуджайра"",""pl"":""Dibba Al-Fujairah"",""hi"":""डिब्बा अल-फ़ुजैरा"",""ar"":""دبا الفجيرة""}",2019-10-06T09:28:07,2025-12-02T14:39:31,1,Q3696182
31,Dibba Al-Hisn,3393,FU,231,AE,city,,,25.61955000,56.27291000,دبا الحصن,26395,Asia/Dubai,"{""br"":""Dibba Al-Hisn"",""ko"":""디바 알-히스"",""pt-BR"":""Dibba Al-Hisn"",""pt"":""Dibba Al-Hisn"",""nl"":""Dibba Al-Hisn"",""hr"":""Dibba Al-Hisn"",""fa"":""دبا الحصن"",""de"":""Dibba Al-Hisn"",""es"":""Dibba Al-Hisn"",""fr"":""Dibba Al-Hisn"",""ja"":""ディバ・アル・ヒスン"",""it"":""Dibba Al-Hisn"",""zh-CN"":""迪巴·阿尔希森"",""tr"":""Dibba Al-Hisn"",""ru"":""Дибба Аль-Хисн"",""uk"":""Дібба Аль-Хісн"",""pl"":""Dibba Al-Hisn"",""hi"":""डिब्बा अल-हिसन"",""ar"":""دبا الحصن""}",2019-10-06T09:28:07,2025-12-02T14:38:56,1,Q6742405
