id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
50,Andkhoy,3889,FYB,1,AF,adm2,,,36.95293000,65.12376000,اندخوی,29208,Asia/Kabul,"{""br"":""Andkhoy"",""ko"":""안드호이"",""pt-BR"":""Andkhoy"",""pt"":""Andkhoy"",""nl"":""Andkhoy"",""hr"":""Andkhoy"",""fa"":""اندخوی"",""de"":""Andkhoy"",""es"":""Andkhoy"",""fr"":""Andkhoy"",""ja"":""アンドホイ"",""it"":""Andkhoy"",""zh-CN"":""安德霍伊"",""tr"":""Andhoy"",""ru"":""Андхой"",""uk"":""Андхой"",""pl"":""Andkhoj"",""hi"":""अंखोय"",""ar"":""أندخوي""}",2019-10-06T09:28:07,2025-12-02T14:39:31,1,Q1054127
51,Asadabad,3876,KNR,1,AF,adm1,,,34.87311000,71.14697000,اسد اباد,48400,Asia/Kabul,"{""br"":""Asadabad"",""ko"":""아사다바드"",""pt-BR"":""Asadabad"",""pt"":""Asadabad"",""nl"":""Asadabad"",""hr"":""Asadabad"",""fa"":""اسدآباد"",""de"":""Asadabad"",""es"":""Asadabad"",""fr"":""Asadabad"",""ja"":""アサダバード"",""it"":""Asadabad"",""zh-CN"":""阿萨达巴德"",""tr"":""Asadabad"",""ru"":""Асадабад"",""uk"":""Асадабад"",""pl"":""Asadabad"",""hi"":""असदाबाद, अफ़्ग़ानिस्तान"",""ar"":""أسد آباد""}",2019-10-06T09:28:07,2025-12-02T14:39:31,1,Q685808
52,Ashkāsham,3901,BDS,1,AF,city,,,36.68333000,71.53333000,اشکاشم,12120,Asia/Kabul,"{""br"":""Ashkāsham"",""ko"":""아쉬카샴"",""pt-BR"":""Ashkasham"",""pt"":""Ashkasham"",""nl"":""Ashkāsham"",""hr"":""Aškašam"",""fa"":""اشکاشام"",""de"":""Ashkāsham"",""es"":""Ashkasham"",""fr"":""Ashkasham"",""ja"":""アシュカシャム"",""it"":""Ashkāsham"",""zh-CN"":""阿什卡沙姆"",""tr"":""Aşkaşam"",""ru"":""Ашкашам"",""uk"":""Ашкашам"",""pl"":""Aszkaszam"",""hi"":""अश्काशम"",""ar"":""أشكاشام""}",2019-10-06T09:28:07,2025-12-02T14:39:31,1,Q4805192
53,Aībak,3883,SAM,1,AF,adm1,,,36.26468000,68.01551000,ايبک,47823,Asia/Kabul,"{""br"":""Aībak"",""ko"":""아이박"",""pt-BR"":""Aibak"",""pt"":""Aibak"",""nl"":""Aībak"",""hr"":""Aībak"",""fa"":""ایبک"",""de"":""Aībak"",""es"":""Aibak"",""fr"":""Aībak"",""ja"":""アイバク"",""it"":""Aībak"",""zh-CN"":""艾巴克"",""tr"":""Aybak"",""ru"":""Айбак"",""uk"":""Айбак"",""pl"":""Aibak"",""hi"":""ऐबक"",""ar"":""أيبك""}",2019-10-06T09:28:07,2025-12-02T14:39:31,1,Q1020649
54,Baghlān,3875,BGL,1,AF,adm2,,,36.13068000,68.70829000,بغلان,108449,Asia/Kabul,"{""br"":""Baghlān"",""ko"":""바글란"",""pt-BR"":""Baghlān"",""pt"":""Baghlān"",""nl"":""Baghlān"",""hr"":""Baglan"",""fa"":""بغلان"",""de"":""Baghlān"",""es"":""Baghlān"",""fr"":""Baghlān"",""ja"":""バグラン"",""it"":""Baghlān"",""zh-CN"":""巴格兰"",""tr"":""Baghlān"",""ru"":""Баглан"",""uk"":""Баглан"",""pl"":""Baghlān"",""hi"":""बघलान"",""ar"":""بغلان""}",2019-10-06T09:28:07,2025-12-02T14:39:31,1,Q732879
55,Balkh,3884,BAL,1,AF,adm2,,,36.75635000,66.89720000,بلخ,114883,Asia/Kabul,"{""br"":""Balkh"",""ko"":""발흐"",""pt-BR"":""Balkh"",""pt"":""Balkh"",""nl"":""Balkh"",""hr"":""Balkh"",""fa"":""بلخ"",""de"":""Balch"",""es"":""Balj"",""fr"":""Balkh"",""ja"":""バルフ"",""it"":""Balkh"",""zh-CN"":""巴尔赫"",""tr"":""Belh"",""ru"":""Балх"",""uk"":""Балх"",""pl"":""Balkh"",""hi"":""बल्ख"",""ar"":""بلخ""}",2019-10-06T09:28:07,2025-12-02T14:39:31,1,Q182159
56,Baraki Barak,3897,LOG,1,AF,adm2,,,33.96744000,68.94920000,برکي بارک,22305,Asia/Kabul,"{""br"":""Baraki Barak"",""ko"":""바라키 바라크"",""pt-BR"":""Baraki Barak"",""pt"":""Baraki Barak"",""nl"":""Baraki Barak"",""hr"":""Baraki Barak"",""fa"":""برکی برک"",""de"":""Baraki Barak"",""es"":""Baraki Barak"",""fr"":""Baraki Barak"",""ja"":""バラキ・バラク"",""it"":""Baraki Barak"",""zh-CN"":""巴拉基·巴拉克"",""tr"":""Baraki Barak"",""ru"":""Бараки Барак"",""uk"":""Баракі Барак"",""pl"":""Baraki Barak"",""hi"":""बाराकी बराक"",""ar"":""باراكي باراك""}",2019-10-06T09:28:07,2025-12-02T14:38:56,1,Q807234
57,Bāmyān,3872,BAM,1,AF,adm1,,,34.82156000,67.82734000,بامیان,61863,Asia/Kabul,"{""br"":""Bāmyān"",""ko"":""바미안"",""pt-BR"":""Bāmyan"",""pt"":""Bāmyan"",""nl"":""Bāmyān"",""hr"":""Bāmyān"",""fa"":""بامیان"",""de"":""Bāmyān"",""es"":""Bamiyán"",""fr"":""Bāmyān"",""ja"":""バーミヤン"",""it"":""Bamyan"",""zh-CN"":""巴米扬"",""tr"":""Bāmyān"",""ru"":""Бамиан"",""uk"":""Баміан"",""pl"":""Bāmyān"",""hi"":""बाम्यान"",""ar"":""باميان""}",2019-10-06T09:28:07,2025-12-02T14:39:31,1,Q214495
58,Bāsawul,3882,NAN,1,AF,city,,,34.24749000,70.87218000,باسول,,Asia/Kabul,"{""br"":""Bāsawul"",""ko"":""바사울"",""pt-BR"":""Basawul"",""pt"":""Basawul"",""nl"":""Bāsawul"",""hr"":""Basawul"",""fa"":""باساول"",""de"":""Bāsawul"",""es"":""Basawul"",""fr"":""Bāsawul"",""ja"":""バサウル"",""it"":""Bāsawul"",""zh-CN"":""巴萨乌尔"",""tr"":""Basawul"",""ru"":""Басавул"",""uk"":""Басавул"",""pl"":""Bāsawul"",""hi"":""बसावुल"",""ar"":""باساول""}",2019-10-06T09:28:07,2025-12-02T16:59:27,1,Q21763679
59,Bāzārak,3881,PAN,1,AF,adm1,,,35.31292000,69.51519000,بازارک,65000,Asia/Kabul,"{""br"":""Bāzārak"",""ko"":""바자락"",""pt-BR"":""Bazarak"",""pt"":""Bazarak"",""nl"":""Bāzārak"",""hr"":""Bazarak"",""fa"":""بازارک"",""de"":""Bāzārak"",""es"":""Bazarak"",""fr"":""Bazarak"",""ja"":""バザラク"",""it"":""Bāzārak"",""zh-CN"":""巴扎拉克"",""tr"":""Bāzārak"",""ru"":""Базарак"",""uk"":""Базарак"",""pl"":""Bāzārak"",""hi"":""बाज़ारक, पंजशीर"",""ar"":""بازارك""}",2019-10-06T09:28:07,2025-12-02T14:39:31,1,Q4875129
