id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
151,Bajram Curri,601,07,3,AL,adm2,,,42.35734000,20.07679000,Bajram Curri,4113,Europe/Tirane,"{""br"":""Bajram Curri"",""ko"":""바즈람 커리"",""pt-BR"":""Bajram Curri"",""pt"":""Bajram Curri"",""nl"":""Bajram Curri"",""hr"":""Bajram Curri"",""fa"":""بایرام کوری"",""de"":""Bajram Curri"",""es"":""Bajram Curri"",""fr"":""Bajram Curri"",""ja"":""バジュラム・クリ"",""it"":""Bajram Curri"",""zh-CN"":""巴伊拉姆·库里"",""tr"":""Bayram Curri"",""ru"":""Байрам Курри"",""uk"":""Байрам Куррі"",""pl"":""Bajram Curri"",""hi"":""बजरम करी"",""ar"":""باجرام كوري""}",2019-10-06T09:28:07,2025-12-02T14:39:31,1,Q18705
152,Ballsh,631,04,3,AL,adm2,,,40.59889000,19.73472000,Ballsh,4944,Europe/Tirane,"{""br"":""Ballsh"",""ko"":""볼쉬"",""pt-BR"":""Bolas"",""pt"":""Bolas"",""nl"":""Ballen"",""hr"":""Ballsh"",""fa"":""بالش"",""de"":""Ballsh"",""es"":""Pelota"",""fr"":""Ballsh"",""ja"":""ボールシュ"",""it"":""Ballsh"",""zh-CN"":""鲍尔什"",""tr"":""Top"",""ru"":""Баллш"",""uk"":""Балш"",""pl"":""Głupek"",""hi"":""बॉल्श"",""ar"":""بالش""}",2019-10-06T09:28:07,2025-12-02T14:39:31,1,Q743016
153,Banaj,603,01,3,AL,city,,,40.82492000,19.84074000,Banane,844,Europe/Tirane,"{""br"":""Banaj"",""ko"":""바나즈"",""pt-BR"":""Banaj"",""pt"":""Banaj"",""nl"":""Banaj"",""hr"":""Banaj"",""fa"":""بانج"",""de"":""Banaj"",""es"":""Banaj"",""fr"":""Banaj"",""ja"":""バナジ"",""it"":""Banaj"",""zh-CN"":""巴纳伊"",""tr"":""Banaj"",""ru"":""Банадж"",""uk"":""Банай"",""pl"":""Banaj"",""hi"":""बनज"",""ar"":""باناج""}",2019-10-06T09:28:07,2025-12-02T14:38:56,1,Q3301181
154,Bashkia Berat,603,01,3,AL,municipality,,,40.69997000,19.94983000,Bashkia Berat,,Europe/Tirane,"{""br"":""Bashkia Berat"",""ko"":""바쉬키아 베라트"",""pt-BR"":""Bashkia Berat"",""pt"":""Bashkia Berat"",""nl"":""Basjkië Berat"",""hr"":""Baškija Berat"",""fa"":""باشکیا برات"",""de"":""Baschkiien Berat"",""es"":""Bashkia Berat"",""fr"":""Bachkia Berat"",""ja"":""バシュキア・ベラト"",""it"":""Bashkia Berat"",""zh-CN"":""巴什基亚·培拉特"",""tr"":""Başkia Berat"",""ru"":""Башкия Берат"",""uk"":""Башкия Берат"",""pl"":""Bashkia Berat"",""hi"":""बश्किया बेरात"",""ar"":""باشكيا بيرات""}",2019-10-06T09:28:07,2025-12-02T17:30:38,1,Q3301181
155,Bashkia Bulqizë,610,09,3,AL,municipality,,,41.47152000,20.33192000,Bashkia Bulqizë,,Europe/Tirane,"{""br"":""Bashkia Bulqizë"",""ko"":""바쉬키아 불키제"",""pt-BR"":""Bashkia Bulqizë"",""pt"":""Bashkia Bulqizë"",""nl"":""Bashkia Bulqizë"",""hr"":""Baškija Bulkiza"",""fa"":""باشکیا بولچیزه"",""de"":""Bashkia Bulqizë"",""es"":""Bashkia Bulqizë"",""fr"":""Bachkia Bulqizë"",""ja"":""バシキア・ブルキゼ"",""it"":""Bashkia Bulqizë"",""zh-CN"":""巴什基亚·布尔奇泽"",""tr"":""Bashkia Bulqizë"",""ru"":""Bashkia Bulqizë"",""uk"":""Башкія Булкізе"",""pl"":""Bashkia Bulqizë"",""hi"":""बश्किया बुल्किज़े"",""ar"":""باشكيا بلقيس""}",2019-10-06T09:28:07,2025-12-02T17:30:38,1,Q3301181
156,Bashkia Devoll,630,06,3,AL,municipality,,,40.60078000,20.93814000,Bashkia Devoll,,Europe/Tirane,"{""br"":""Bashkia Voll"",""ko"":""바쉬키아 데볼"",""pt-BR"":""Bashkia Devoll"",""pt"":""Bashkia Devoll"",""nl"":""Bashkia Devoll"",""hr"":""Baškija Devoll"",""fa"":""باشکیا دوول"",""de"":""Bashkia Devoll"",""es"":""Bashkia Devoll"",""fr"":""Bachkia Devoll"",""ja"":""バシュキア・デヴォル"",""it"":""Bashkia Devoll"",""zh-CN"":""巴什基亚·德沃尔"",""tr"":""Başkia Devoll"",""ru"":""Башкия Деволл"",""uk"":""Башкія Деволл"",""pl"":""Bashkia Devoll"",""hi"":""बश्किया देवोल"",""ar"":""باشكيا ديفول""}",2019-10-06T09:28:07,2025-12-02T17:30:38,1,Q3301181
157,Bashkia Divjakë,631,04,3,AL,municipality,,,40.95716000,19.52364000,Bashkia Divjakë,,Europe/Tirane,"{""br"":""Bashkia Divjakë"",""ko"":""바쉬키아 디브자케"",""pt-BR"":""Bashkia Divjakë"",""pt"":""Bashkia Divjakë"",""nl"":""Bashkia Divjakë"",""hr"":""Baškija Divjaka"",""fa"":""باشکیا دیویاکِه"",""de"":""Bashkia Divjakë"",""es"":""Bashkia Divjakë"",""fr"":""Bachkia Divjakë"",""ja"":""バシュキア・ディヴジャケ"",""it"":""Bashkia Divjakë"",""zh-CN"":""巴什基亚·迪夫亚克"",""tr"":""Bashkia Divjakë"",""ru"":""Башкия Дивьяка"",""uk"":""Башкія Дів'яке"",""pl"":""Bashkia Divjakë"",""hi"":""बश्किया दिवजाके"",""ar"":""باشكيا ديفجاكي""}",2019-10-06T09:28:07,2025-12-02T17:30:38,1,Q16350064
158,Dropull,604,05,3,AL,municipality,,,39.98584000,20.30529000,Bashkia Dropull,,Europe/Tirane,"{""br"":""Bashkia Dropull"",""ko"":""바쉬키아 드로풀"",""pt-BR"":""Bashkia Dropull"",""pt"":""Bashkia Dropull"",""nl"":""Bashkia Dropull"",""hr"":""Baškija Dropull"",""fa"":""باشکیا دروپول"",""de"":""Baschkirien-Dropull"",""es"":""Bashkia Dropull"",""fr"":""Bashkia Dropull"",""ja"":""バシュキア・ドロプル"",""it"":""Bashkia Dropull"",""zh-CN"":""巴什基亚·德罗普尔"",""tr"":""Başkia Dropull"",""ru"":""Башкия Дропулл"",""uk"":""Башкія Дропулл"",""pl"":""Bashkia Dropull"",""hi"":""बश्किया ड्रोपुल"",""ar"":""باشكيا دروبول""}",2019-10-06T09:28:07,2025-12-02T17:04:16,1,Q16350064
159,Bashkia Durrës,632,02,3,AL,municipality,,,41.42743000,19.48690000,Bashkia Durrës,,Europe/Tirane,"{""br"":""Bashkia Durrës"",""ko"":""바쉬키아 두러스"",""pt-BR"":""Bashkia Durrës"",""pt"":""Bashkia Durrës"",""nl"":""Bashkia Durrës"",""hr"":""Baškija Drač"",""fa"":""باشکیا دورس"",""de"":""Bashkia Durrës"",""es"":""Bashkia Durrës"",""fr"":""Bachkia Durrës"",""ja"":""バシキア・ドゥラス"",""it"":""Bashkia Durazzo"",""zh-CN"":""巴什基亚·都拉斯"",""tr"":""Bashkia Durrës"",""ru"":""Башкия Дуррес"",""uk"":""Башкия Дуррес"",""pl"":""Bashkia Durrës"",""hi"":""बश्किया डुर्रेस"",""ar"":""باشكيا دوريس""}",2019-10-06T09:28:07,2025-12-02T17:30:38,1,Q16350064
160,Bashkia Fier,631,04,3,AL,municipality,,,40.72937000,19.48690000,Bashkia Fier,,Europe/Tirane,"{""br"":""Tan Bashkia"",""ko"":""바쉬키아 피에르"",""pt-BR"":""Bashkia Fier"",""pt"":""Bashkia Fier"",""nl"":""Bashkia Fier"",""hr"":""Baškija Fier"",""fa"":""باشکیا فیر"",""de"":""Bashkia Fier"",""es"":""Bashkia Fier"",""fr"":""Bachkia Fier"",""ja"":""バシュキア・フィエル"",""it"":""Bashkia Fier"",""zh-CN"":""巴什基亚·菲耶尔"",""tr"":""Başkaya Fier"",""ru"":""Башкия Фиер"",""uk"":""Башкія Фієр"",""pl"":""Bashkia Fier"",""hi"":""बश्किया फ़िएर"",""ar"":""باشكيا فيير""}",2019-10-06T09:28:07,2025-12-02T17:30:38,1,Q16350064
