id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
637,28 de Noviembre,3649,Z,11,AR,city,,,-51.58390000,-72.21382000,28 de Noviembre,4686,America/Argentina/Rio_Gallegos,"{""br"":""28 a viz Du"",""ko"":""11월 28일"",""pt-BR"":""28 de novembro"",""pt"":""28 de novembro"",""nl"":""28 november"",""hr"":""28. studenog"",""fa"":""۲۸ نوامبر"",""de"":""28. November"",""es"":""28 de noviembre"",""fr"":""28 novembre"",""ja"":""11月28日"",""it"":""28 novembre"",""zh-CN"":""11月28日"",""tr"":""28 Kasım"",""ru"":""28 ноября"",""uk"":""28 листопада"",""pl"":""28 listopada"",""hi"":""28 नवंबर"",""ar"":""28 نوفمبر""}",2019-10-06T09:28:12,2025-12-02T14:39:55,1,Q1533589
638,Abra Pampa,3645,Y,11,AR,adm2,,,-22.72049000,-65.69697000,Abra Pampa,9425,America/Argentina/Jujuy,"{""br"":""Abra Pampa"",""ko"":""아브라 팜파"",""pt-BR"":""Abra Pampa"",""pt"":""Abra Pampa"",""nl"":""Abra Pampa"",""hr"":""Abra Pampa"",""fa"":""آبرا پامپا"",""de"":""Abra Pampa"",""es"":""Abra Pampa"",""fr"":""Abra Pampa"",""ja"":""アブラパンパ"",""it"":""Abra Pampa"",""zh-CN"":""阿布拉潘帕"",""tr"":""Abra Pampa"",""ru"":""Абра Пампа"",""uk"":""Абра Пампа"",""pl"":""Abra Pampa"",""hi"":""अब्रा पम्पा"",""ar"":""أبرا بامبا""}",2019-10-06T09:28:12,2025-12-02T14:39:55,1,Q55386
639,Achiras,3642,X,11,AR,city,,,-33.17538000,-64.99331000,Atrraíes,2173,America/Argentina/Cordoba,"{""br"":""Achiras"",""ko"":""아키라스"",""pt-BR"":""Achiras"",""pt"":""Achiras"",""nl"":""Achiras"",""hr"":""Ahira"",""fa"":""آچیراس"",""de"":""Achiras"",""es"":""Achiras"",""fr"":""Achiras"",""ja"":""アキラス"",""it"":""Achiras"",""zh-CN"":""阿奇拉斯"",""tr"":""Achiras"",""ru"":""Ачирас"",""uk"":""Ахірас"",""pl"":""Achiras"",""hi"":""अचिरस"",""ar"":""أتشيراس""}",2019-10-06T09:28:12,2025-12-02T14:39:55,1,Q8187413
640,Adelia María,3642,X,11,AR,city,,,-33.63152000,-64.02097000,Adelia María,6434,America/Argentina/Cordoba,"{""br"":""Adelia María"",""ko"":""아델리아 마리아"",""pt-BR"":""Adélia Maria"",""pt"":""Adélia Maria"",""nl"":""Adelia Maria"",""hr"":""Adelia María"",""fa"":""آدلیا ماریا"",""de"":""Adelia María"",""es"":""Adelia María"",""fr"":""Adélia María"",""ja"":""アデリア・マリア"",""it"":""Adelia María"",""zh-CN"":""阿德莉亚·玛丽亚"",""tr"":""Adelia Maria"",""ru"":""Аделия Мария"",""uk"":""Аделія Марія"",""pl"":""Adelia Maria"",""hi"":""एडेलिया मारिया"",""ar"":""أديليا ماريا""}",2019-10-06T09:28:12,2025-12-02T14:39:55,1,Q5682817
641,Agua de Oro,3642,X,11,AR,city,,,-31.06661000,-64.30017000,Agua de Oro,1553,America/Argentina/Cordoba,"{""br"":""Agua de Oro"",""ko"":""아과 데 오로"",""pt-BR"":""Água de Ouro"",""pt"":""Água de Ouro"",""nl"":""Goudwater"",""hr"":""Agua de Oro"",""fa"":""آگوا د اورو"",""de"":""Agua de Oro"",""es"":""Agua de Oro"",""fr"":""Eau d'or"",""ja"":""アグア・デ・オロ"",""it"":""Agua de Oro"",""zh-CN"":""黄金水"",""tr"":""Altın Suyu"",""ru"":""Агуа де Оро"",""uk"":""Агуа-де-Оро"",""pl"":""Złota woda"",""hi"":""अगुआ डे ओरो"",""ar"":""ماء الذهب""}",2019-10-06T09:28:12,2025-12-02T14:39:55,1,Q2215108
642,Aguilares,3637,T,11,AR,adm2,,,-27.43380000,-65.61427000,Aguilares,32494,America/Argentina/Tucuman,"{""br"":""Aguilares"",""ko"":""아길라레스"",""pt-BR"":""Aguilares"",""pt"":""Aguilares"",""nl"":""Aguilares"",""hr"":""Aguilares"",""fa"":""آگیلارس"",""de"":""Aguilares"",""es"":""Aguilares"",""fr"":""Aguilares"",""ja"":""アギラレス"",""it"":""Aguilares"",""zh-CN"":""阿吉拉雷斯"",""tr"":""Aguilares"",""ru"":""Агиларес"",""uk"":""Агіларес"",""pl"":""Aguilares"",""hi"":""एगुइलारेस"",""ar"":""أغيلاريس""}",2019-10-06T09:28:12,2025-12-02T14:39:55,1,Q398365
643,Alba Posse,3644,N,11,AR,adm2,,,-27.56978000,-54.68262000,Posse de Alba,6652,America/Argentina/Cordoba,"{""br"":""Alba Posse"",""ko"":""알바 포세"",""pt-BR"":""Alba Posse"",""pt"":""Alba Posse"",""nl"":""Alba Posse"",""hr"":""Alba Posse"",""fa"":""آلبا پوسه"",""de"":""Alba Posse"",""es"":""Alba Posse"",""fr"":""Alba Posse"",""ja"":""アルバ・ポッセ"",""it"":""Alba Posse"",""zh-CN"":""阿尔巴波塞"",""tr"":""Alba Posse"",""ru"":""Альба Поссе"",""uk"":""Альба Поссе"",""pl"":""Alba Posse"",""hi"":""अल्बा पोसे"",""ar"":""ألبا بوسيه""}",2019-10-06T09:28:12,2025-12-02T14:39:55,1,Q2830746
644,Albardón,3634,J,11,AR,city,,,-31.43722000,-68.52556000,Albardón,20413,America/Argentina/San_Juan,"{""br"":""Albardón"",""ko"":""알바르돈"",""pt-BR"":""Albardón"",""pt"":""Albardón"",""nl"":""Albardón"",""hr"":""Albardón"",""fa"":""آلباردون"",""de"":""Albardón"",""es"":""Albardón"",""fr"":""Albardón"",""ja"":""アルバルドン"",""it"":""Albardón"",""zh-CN"":""阿尔巴东"",""tr"":""Albardón"",""ru"":""Альбардон"",""uk"":""Альбардон"",""pl"":""Albardón"",""hi"":""अल्बार्डोन"",""ar"":""ألباردون""}",2019-10-06T09:28:12,2025-12-02T14:39:55,1,Q1190205
645,Aldea San Antonio,3654,E,11,AR,city,,,-32.62317000,-58.70512000,Aldea San Antonio,1127,America/Argentina/Cordoba,"{""br"":""Aldea San Antonio"",""ko"":""알데아 산 안토니오"",""pt-BR"":""Aldeia San Antonio"",""pt"":""Aldeia San Antonio"",""nl"":""Aldea San Antonio"",""hr"":""Aldea San Antonio"",""fa"":""آلدیا سن آنتونیو"",""de"":""Aldea San Antonio"",""es"":""Aldea San Antonio"",""fr"":""Village de San Antonio"",""ja"":""アルデア・サン・アントニオ"",""it"":""Aldea San Antonio"",""zh-CN"":""阿尔迪亚圣安东尼奥"",""tr"":""Aldea San Antonio"",""ru"":""Альдеа Сан-Антонио"",""uk"":""Альдеа Сан-Антоніо"",""pl"":""Aldea San Antonio"",""hi"":""एल्डिया सैन एंटोनियो"",""ar"":""ألديا سان أنطونيو""}",2019-10-06T09:28:12,2025-12-02T14:39:55,1,Q4713475
646,Alderetes,3637,T,11,AR,section,,,-26.81667000,-65.13333000,Edad,38466,America/Argentina/Buenos_Aires,"{""br"":""Alderetes"",""ko"":""알데레테스"",""pt-BR"":""Alderetes"",""pt"":""Alderetes"",""nl"":""Alderetes"",""hr"":""Aldereti"",""fa"":""آلدرتس"",""de"":""Alderetes"",""es"":""Alderetes"",""fr"":""Alderetes"",""ja"":""アルデレテス"",""it"":""Alderetes"",""zh-CN"":""阿尔德雷特斯"",""tr"":""Alderetes"",""ru"":""Альдеретес"",""uk"":""Альдерети"",""pl"":""Alderetes"",""hi"":""एल्डेरेट्स"",""ar"":""ألديريتس""}",2019-10-06T09:28:12,2025-12-02T17:11:50,1,Q2456137
647,Alejandro Roca,3642,X,11,AR,city,,,-33.35369000,-63.71849000,Alejandro Roca,4724,America/Argentina/Cordoba,"{""br"":""Alejandro Roca"",""ko"":""알레한드로 로카"",""pt-BR"":""Alejandro Roca"",""pt"":""Alejandro Roca"",""nl"":""Alejandro Roca"",""hr"":""Alejandro Roca"",""fa"":""آلخاندرو روکا"",""de"":""Alejandro Roca"",""es"":""Alejandro Roca"",""fr"":""Alexandre Roca"",""ja"":""アレハンドロ・ロカ"",""it"":""Alejandro Roca"",""zh-CN"":""亚历杭德罗·罗卡"",""tr"":""Alejandro Roca"",""ru"":""Алехандро Рока"",""uk"":""Алехандро Рока"",""pl"":""Alejandro Roca"",""hi"":""एलेजांद्रो रोका"",""ar"":""أليخاندرو روكا""}",2019-10-06T09:28:12,2025-12-02T14:39:55,1,Q8194200
648,Alejo Ledesma,3642,X,11,AR,city,,,-33.60643000,-62.62304000,Alejo Ledesma,3310,America/Argentina/Cordoba,"{""br"":""Alejo Ledesma"",""ko"":""알레호 레데스마"",""pt-BR"":""Alejo Ledesma"",""pt"":""Alejo Ledesma"",""nl"":""Alejo Ledesma"",""hr"":""Alejo Ledesma"",""fa"":""آلخو لدسما"",""de"":""Alejo Ledesma"",""es"":""Alejo Ledesma"",""fr"":""Alejo Ledesma"",""ja"":""アレホ・レデスマ"",""it"":""Alejo Ledesma"",""zh-CN"":""阿莱霍·莱德斯马"",""tr"":""Alejo Ledesma"",""ru"":""Алехо Ледесма"",""uk"":""Алехо Ледесма"",""pl"":""Alejo Ledesma"",""hi"":""एलेजो लेडेस्मा"",""ar"":""أليخو ليديسما""}",2019-10-06T09:28:12,2025-12-02T14:39:55,1,Q8194316
649,Allen,3639,R,11,AR,city,,,-38.97736000,-67.82714000,Allen,31864,America/Argentina/Salta,"{""br"":""Allen"",""ko"":""앨런"",""pt-BR"":""Allen"",""pt"":""Allen"",""nl"":""Allen"",""hr"":""Allen"",""fa"":""آلن"",""de"":""Allen"",""es"":""Allen"",""fr"":""Allen"",""ja"":""アレン"",""it"":""Allen"",""zh-CN"":""艾伦"",""tr"":""Allen"",""ru"":""Аллен"",""uk"":""Аллен"",""pl"":""Allen"",""hi"":""एलन"",""ar"":""ألين""}",2019-10-06T09:28:12,2025-12-02T14:39:55,1,Q21848444
650,Almafuerte,3644,N,11,AR,city,,,-27.50825000,-55.40258000,Almafuerte,1022,America/Argentina/Cordoba,"{""br"":""Almafuerte"",""ko"":""알마푸에르테"",""pt-BR"":""Almafuerte"",""pt"":""Almafuerte"",""nl"":""Almafuerte"",""hr"":""Almafuerte"",""fa"":""آلمافورته"",""de"":""Almafuerte"",""es"":""Almafuerte"",""fr"":""Almafuerte"",""ja"":""アルマフエルテ"",""it"":""Almafuerte"",""zh-CN"":""阿尔马富埃特"",""tr"":""Almafuerte"",""ru"":""Альмафуэрте"",""uk"":""Альмафуерте"",""pl"":""Almafuerte"",""hi"":""अल्माफुएर्टे"",""ar"":""ألمافويرتي""}",2019-10-06T09:28:12,2025-12-02T14:39:55,1,Q4733652
651,Almafuerte,3642,X,11,AR,city,,,-32.19296000,-64.25559000,Almafuerte,10534,America/Argentina/Cordoba,"{""br"":""Almafuerte"",""ko"":""알마푸에르테"",""pt-BR"":""Almafuerte"",""pt"":""Almafuerte"",""nl"":""Almafuerte"",""hr"":""Almafuerte"",""fa"":""آلمافورته"",""de"":""Almafuerte"",""es"":""Almafuerte"",""fr"":""Almafuerte"",""ja"":""アルマフエルテ"",""it"":""Almafuerte"",""zh-CN"":""阿尔马富埃特"",""tr"":""Almafuerte"",""ru"":""Альмафуэрте"",""uk"":""Альмафуерте"",""pl"":""Almafuerte"",""hi"":""अल्माफुएर्टे"",""ar"":""ألمافويرتي""}",2019-10-06T09:28:12,2025-12-02T14:39:55,1,Q1935889
