id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
154916,Lealataua,5374,01,5,AS,city,,,-14.32261520,-170.90849930,Leala,,Pacific/Pago_Pago,"{""br"":""Lealataua"",""ko"":""레알라타우아"",""pt-BR"":""Lealataua"",""pt"":""Lealataua"",""nl"":""Lealataua"",""hr"":""Lealataua"",""fa"":""لیلاتائو"",""de"":""Lealataua"",""es"":""Lealataua"",""fr"":""Léalataua"",""ja"":""レアラタウア"",""it"":""Lealataua"",""zh-CN"":""莱阿拉塔瓦"",""tr"":""Lealataua"",""ru"":""Леалатауа"",""uk"":""Леалатауа"",""pl"":""Lealataua"",""hi"":""लीलातौआ"",""ar"":""ليلاتوا""}",2025-03-29T06:44:49,2025-12-02T16:59:27,1,Q3688321
154917,Leasina,5374,01,5,AS,city,,,-14.29581640,-170.80459320,Twice,,Pacific/Pago_Pago,"{""br"":""Leasina"",""ko"":""레아시나"",""pt-BR"":""Leasina"",""pt"":""Leasina"",""nl"":""Leasina"",""hr"":""Leasina"",""fa"":""لیسینا"",""de"":""Leasina"",""es"":""Leasina"",""fr"":""Leasina"",""ja"":""リーシナ"",""it"":""Leasina"",""zh-CN"":""莱西纳"",""tr"":""Leasina"",""ru"":""Леасина"",""uk"":""Леазіна"",""pl"":""Leasina"",""hi"":""लीसीना"",""ar"":""ليسينا""}",2025-03-29T06:44:49,2025-12-02T17:11:50,1,Q3688323
154918,Tualatai,5374,01,5,AS,city,,,-14.37923540,-170.81033120,Tulaai,,Pacific/Pago_Pago,"{""br"":""Tualatai"",""ko"":""투알라타이"",""pt-BR"":""Tualatai"",""pt"":""Tualatai"",""nl"":""Tualatai"",""hr"":""Tualatai"",""fa"":""توالاتای"",""de"":""Tualatai"",""es"":""Tualatai"",""fr"":""Tualatai"",""ja"":""トゥアラタイ"",""it"":""Tualatai"",""zh-CN"":""图阿拉泰"",""tr"":""Tualatai"",""ru"":""Туалатай"",""uk"":""Туалатай"",""pl"":""Tualatai"",""hi"":""तुआलाताई"",""ar"":""توالاتاي""}",2025-03-29T06:44:49,2025-12-02T17:11:50,1,Q3688697
154919,Tualauta,5374,01,5,AS,city,,,-14.35876890,-170.75583320,Living,682,Pacific/Pago_Pago,"{""br"":""Tualauta"",""ko"":""투알라우타"",""pt-BR"":""Tualauta"",""pt"":""Tualauta"",""nl"":""Tualauta"",""hr"":""Tualauta"",""fa"":""توآلوتا"",""de"":""Tualauta"",""es"":""Tualauta"",""fr"":""Tualauta"",""ja"":""トゥアラウタ"",""it"":""Tualauta"",""zh-CN"":""图阿劳塔"",""tr"":""Tualauta"",""ru"":""Туалаута"",""uk"":""Туалаута"",""pl"":""Tualauta"",""hi"":""तुआलौटा"",""ar"":""توالوتا""}",2025-03-29T06:44:49,2025-12-02T14:39:31,1,Q3688698
154920,Ituʻau,5375,02,5,AS,city,,,-14.30616430,-170.80691440,Strong,,Pacific/Pago_Pago,"{""br"":""Ituʻau"",""ko"":""이투아우"",""pt-BR"":""Itu'au"",""pt"":""Itu'au"",""nl"":""Ituʻau"",""hr"":""Ituʻau"",""fa"":""ایتوآئو"",""de"":""Ituʻau"",""es"":""Ituʻau"",""fr"":""Ituʻau"",""ja"":""イトゥアウ"",""it"":""Ituʻau"",""zh-CN"":""伊图奥"",""tr"":""Ituʻau"",""ru"":""Итуау"",""uk"":""Ітуау"",""pl"":""Ituʻau"",""hi"":""इतुउ"",""ar"":""إيتواو""}",2025-03-29T06:53:05,2025-12-02T17:11:50,1,Q3688257
154921,Maʻoputasi,5375,02,5,AS,city,,,-14.25216850,-170.74187670,IPTATES,552,Pacific/Pago_Pago,"{""br"":""Maʻoputasi"",""ko"":""마오푸타시"",""pt-BR"":""Maʻoputasi"",""pt"":""Maʻoputasi"",""nl"":""Maʻoputasi"",""hr"":""Maʻoputasi"",""fa"":""مائوپوتاسی"",""de"":""Maʻoputasi"",""es"":""Maʻoputasi"",""fr"":""Maʻoputasi"",""ja"":""マオプタシ"",""it"":""Maʻoputasi"",""zh-CN"":""马奥普塔西"",""tr"":""Maʻoputasi"",""ru"":""Маопутаси"",""uk"":""Маопутасі"",""pl"":""Maʻoputasi"",""hi"":""Maʻoputasi"",""ar"":""ماوبوتاسي""}",2025-03-29T06:53:05,2025-12-02T14:39:31,1,Q3688363
154922,Vaifanua,5375,02,5,AS,city,,,-14.25578040,-170.76301810,Sublocamations,633,Pacific/Pago_Pago,"{""br"":""Vaifanua"",""ko"":""바이파누아"",""pt-BR"":""Vaifanua"",""pt"":""Vaifanua"",""nl"":""Vaifanua"",""hr"":""Vaifanua"",""fa"":""وایفانوا"",""de"":""Vaifanua"",""es"":""Vaifanua"",""fr"":""Vaifanua"",""ja"":""ヴァイファヌア"",""it"":""Vaifanua"",""zh-CN"":""瓦伊法努阿"",""tr"":""Vaifanua"",""ru"":""Вайфануа"",""uk"":""Вайфануа"",""pl"":""Vaifanua"",""hi"":""वैफानुआ"",""ar"":""فايفانوا""}",2025-03-29T06:53:05,2025-12-02T14:39:31,1,Q3688712
154923,Sua,5375,02,5,AS,city,,,-14.27710880,-170.71442630,Your,,Pacific/Pago_Pago,"{""br"":""Sua"",""ko"":""수아"",""pt-BR"":""Sua"",""pt"":""Sua"",""nl"":""Sua"",""hr"":""Sua"",""fa"":""سوا"",""de"":""Sua"",""es"":""Sua"",""fr"":""Sua"",""ja"":""スア"",""it"":""Sua"",""zh-CN"":""苏阿"",""tr"":""Sua"",""ru"":""Суа"",""uk"":""Суа"",""pl"":""Sua"",""hi"":""आग"",""ar"":""سوا""}",2025-03-29T06:53:05,2025-12-02T17:11:50,1,Q3688661
154924,Saʻole,5375,02,5,AS,city,,,-14.29995700,-170.61763370,Off,,Pacific/Pago_Pago,"{""br"":""Saʻole"",""ko"":""사올레"",""pt-BR"":""Saʻole"",""pt"":""Saʻole"",""nl"":""Sa'ole"",""hr"":""Saʻole"",""fa"":""سائوله"",""de"":""Saʻole"",""es"":""Sa'ole"",""fr"":""Saʻole"",""ja"":""サオレ"",""it"":""Saʻole"",""zh-CN"":""萨奥莱"",""tr"":""Sa'ole"",""ru"":""Саоле"",""uk"":""Саоле"",""pl"":""Saʻole"",""hi"":""साओले"",""ar"":""ساولي""}",2025-03-29T06:53:05,2025-12-02T16:59:27,1,Q3688580
154925,Ofu,5376,03,5,AS,adm2,,,-14.17135950,-169.71939120,Clothing,,Pacific/Pago_Pago,"{""br"":""Ofu"",""ko"":""오푸"",""pt-BR"":""Ofu"",""pt"":""Ofu"",""nl"":""Ofu"",""hr"":""Ofu"",""fa"":""اوفو"",""de"":""Ofu"",""es"":""Ofu"",""fr"":""Ofu"",""ja"":""オフ"",""it"":""Ofu"",""zh-CN"":""奥夫"",""tr"":""Ofu"",""ru"":""Офу"",""uk"":""Офу"",""pl"":""Ofu"",""hi"":""ओफू"",""ar"":""أوفو""}",2025-03-29T06:59:35,2025-12-02T17:11:50,1,Q3688471
