id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
1600,Abfaltersbach,2064,7,15,AT,adm3,,,46.75715000,12.52828000,Abfaltersbach,647,Europe/Vienna,"{""br"":""Abfaltersbach"",""ko"":""압팔터스바흐"",""pt-BR"":""Abfaltersbach"",""pt"":""Abfaltersbach"",""nl"":""Abfaltersbach"",""hr"":""Abfaltersbach"",""fa"":""آبفالترزباخ"",""de"":""Abfaltersbach"",""es"":""Abfaltersbach"",""fr"":""Abfaltersbach"",""ja"":""アプファルタースバッハ"",""it"":""Abfaltersbach"",""zh-CN"":""阿布法尔特斯巴赫"",""tr"":""Abfaltersbach"",""ru"":""Абфальтерсбах"",""uk"":""Абфальтерсбах"",""pl"":""Abfaltersbach"",""hi"":""अबफाल्टर्सबाख"",""ar"":""أبفالترسباخ""}",2019-10-06T09:28:21,2025-12-02T14:38:56,1,Q292866
1601,Absam,2064,7,15,AT,adm3,,,47.29572000,11.50593000,Abwesend,7319,Europe/Vienna,"{""br"":""Absam"",""ko"":""압삼"",""pt-BR"":""Absam"",""pt"":""Absam"",""nl"":""Absam"",""hr"":""Absam"",""fa"":""آبسام"",""de"":""Absam"",""es"":""Absam"",""fr"":""Absam"",""ja"":""アブサム"",""it"":""Assam"",""zh-CN"":""阿布萨姆"",""tr"":""Absam"",""ru"":""Абсам"",""uk"":""Абсам"",""pl"":""Absam"",""hi"":""अबसम"",""ar"":""أبسام""}",2019-10-06T09:28:21,2025-12-02T14:38:56,1,Q292866
1602,Absdorf,2065,3,15,AT,adm3,,,48.40021000,15.97874000,Absdorf,2087,Europe/Vienna,"{""br"":""Absdorf"",""ko"":""압스도르프"",""pt-BR"":""Absdorf"",""pt"":""Absdorf"",""nl"":""Absdorf"",""hr"":""Absdorf"",""fa"":""آبسدورف"",""de"":""Absdorf"",""es"":""Absdorf"",""fr"":""Absdorf"",""ja"":""アプスドルフ"",""it"":""Absdorf"",""zh-CN"":""阿布斯多夫"",""tr"":""Absdorf"",""ru"":""Абсдорф"",""uk"":""Абсдорф"",""pl"":""Absdorf"",""hi"":""एब्सडॉर्फ"",""ar"":""أبسدورف""}",2019-10-06T09:28:21,2025-12-02T14:38:56,1,Q292866
1603,Abtenau,2061,5,15,AT,adm3,,,47.56373000,13.34599000,Abtena,1188,Europe/Vienna,"{""br"":""Abtenau"",""ko"":""압테나우"",""pt-BR"":""Abtenau"",""pt"":""Abtenau"",""nl"":""Abtenau"",""hr"":""Abtenau"",""fa"":""آبتناو"",""de"":""Abtenau"",""es"":""Abtenau"",""fr"":""Abtenau"",""ja"":""アブテナウ"",""it"":""Abtenau"",""zh-CN"":""阿布特瑙"",""tr"":""Abtenau"",""ru"":""Абтенау"",""uk"":""Абтенау"",""pl"":""Abtenau"",""hi"":""अब्टेनाउ"",""ar"":""أبتيناو""}",2019-10-06T09:28:21,2025-12-02T14:39:31,1,Q334510
1604,Abtissendorf,2059,6,15,AT,city,,,46.99583000,15.45639000,Abtissendorf,1433,Europe/Vienna,"{""br"":""Abtissendorf"",""ko"":""압티센도르프"",""pt-BR"":""Abtissendorf"",""pt"":""Abtissendorf"",""nl"":""Abtissendorf"",""hr"":""Abtissendorf"",""fa"":""آبتیسندورف"",""de"":""Abtissendorf"",""es"":""Abtissendorf"",""fr"":""Abtissendorf"",""ja"":""アプティッセンドルフ"",""it"":""Abtissendorf"",""zh-CN"":""阿布蒂森多夫"",""tr"":""Abtissendorf"",""ru"":""Абтиссендорф"",""uk"":""Абтіссендорф"",""pl"":""Abtissendorf"",""hi"":""एबटिसेंडॉर्फ"",""ar"":""أبتيسندورف""}",2019-10-06T09:28:21,2025-12-02T14:39:31,1,Q334510
1605,Abwinden,2058,4,15,AT,city,,,48.25903000,14.42625000,Abwinden,1158,Europe/Vienna,"{""br"":""Abwinden"",""ko"":""아브윈든"",""pt-BR"":""Abwinden"",""pt"":""Abwinden"",""nl"":""Abwinden"",""hr"":""Abwinden"",""fa"":""ابویندن"",""de"":""Abwinden"",""es"":""Abwinden"",""fr"":""Abwinden"",""ja"":""アブウィンデン"",""it"":""Abwinden"",""zh-CN"":""阿布温登"",""tr"":""Abwinden"",""ru"":""Абвинден"",""uk"":""Абвінден"",""pl"":""Abwinden"",""hi"":""अबविंडेन"",""ar"":""أبويندن""}",2019-10-06T09:28:21,2025-12-02T14:39:31,1,Q334510
1606,Achau,2065,3,15,AT,adm3,,,48.08026000,16.38611000,Genealogie,1415,Europe/Vienna,"{""br"":""Achau"",""ko"":""아차우"",""pt-BR"":""Achau"",""pt"":""Achau"",""nl"":""Achau"",""hr"":""Achau"",""fa"":""آخائو"",""de"":""Achau"",""es"":""Achau"",""fr"":""Achau"",""ja"":""アチャウ"",""it"":""Achau"",""zh-CN"":""阿乔"",""tr"":""Achau"",""ru"":""Ачау"",""uk"":""Ахау"",""pl"":""Achau"",""hi"":""अचाउ"",""ar"":""أتشاو""}",2019-10-06T09:28:21,2025-12-02T14:38:56,1,Q334510
1607,Achenkirch,2064,7,15,AT,adm3,,,47.52659000,11.70559000,Achenkirch,2169,Europe/Vienna,"{""br"":""Achenkirch"",""ko"":""아헨키르히"",""pt-BR"":""Achenkirch"",""pt"":""Achenkirch"",""nl"":""Achenkerk"",""hr"":""Achenkirch"",""fa"":""آخنکیرش"",""de"":""Achenkirch"",""es"":""Achenkirch"",""fr"":""Achenkirch"",""ja"":""アッヘンキルヒ"",""it"":""Achenkirch"",""zh-CN"":""阿亨基希"",""tr"":""Achenkirch"",""ru"":""Ахенкирх"",""uk"":""Ахенкірх"",""pl"":""Achenkirch"",""hi"":""अचेनकिर्च"",""ar"":""أخينكيرش""}",2019-10-06T09:28:21,2025-12-02T14:38:56,1,Q481857
1608,Aderklaa,2065,3,15,AT,adm3,,,48.28333000,16.53333000,ADERKLAA,207,Europe/Vienna,"{""br"":""Aderklaa"",""ko"":""아데르클라"",""pt-BR"":""Aderklaa"",""pt"":""Aderklaa"",""nl"":""Aderklaa"",""hr"":""Aderklaa"",""fa"":""آدرکلا"",""de"":""Aderklaa"",""es"":""Aderklaa"",""fr"":""Aderklaa"",""ja"":""アダークラー"",""it"":""Aderklaa"",""zh-CN"":""阿德克拉"",""tr"":""Aderklaa"",""ru"":""Адерклаа"",""uk"":""Адерклаа"",""pl"":""Aderklaa"",""hi"":""एडरक्ला"",""ar"":""أديركلا""}",2019-10-06T09:28:21,2025-12-02T14:38:56,1,Q481857
1609,Adlwang,2058,4,15,AT,adm3,,,47.99245000,14.21742000,Adlwang,1806,Europe/Vienna,"{""br"":""Adlwang"",""ko"":""아들왕"",""pt-BR"":""Adlwang"",""pt"":""Adlwang"",""nl"":""Adlwang"",""hr"":""Adlwang"",""fa"":""آدلونگ"",""de"":""Adlwang"",""es"":""Adlwang"",""fr"":""Adlwang"",""ja"":""アドルワング"",""it"":""Adlwang"",""zh-CN"":""阿德尔旺"",""tr"":""Adlwang"",""ru"":""Адльванг"",""uk"":""Адльванг"",""pl"":""Adlwang"",""hi"":""एडलवांग"",""ar"":""أدلوانغ""}",2019-10-06T09:28:21,2025-12-02T14:38:56,1,Q481857
