id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
3902,Abbey,3906,WA,14,AU,section,,,-33.66364000,115.25635000,Abbey,1321,Australia/Perth,"{""br"":""Abati"",""ko"":""대사원"",""pt-BR"":""Abadia"",""pt"":""Abadia"",""nl"":""Abdij"",""hr"":""Opatija"",""fa"":""ابی"",""de"":""Abtei"",""es"":""Abadía"",""fr"":""Abbaye"",""ja"":""修道院"",""it"":""Abbazia"",""zh-CN"":""修道院"",""tr"":""Manastır"",""ru"":""Аббатство"",""uk"":""Абатство"",""pl"":""Opactwo"",""hi"":""अभय"",""ar"":""دير""}",2019-10-06T09:28:36,2025-12-02T14:39:55,1,Q333230
3903,Abbotsbury,3909,NSW,14,AU,section,,,-33.87010000,150.86119000,Abbotsbury,4200,Australia/Sydney,"{""br"":""Abbotsbury"",""ko"":""애벗츠베리"",""pt-BR"":""Abbotsbury"",""pt"":""Abbotsbury"",""nl"":""Abbotsbury"",""hr"":""Abbotsbury"",""fa"":""ابوتسبری"",""de"":""Abbotsbury"",""es"":""Abbotsbury"",""fr"":""Abbotsbury"",""ja"":""アボッツベリー"",""it"":""Abbotsbury"",""zh-CN"":""阿伯茨伯里"",""tr"":""Abbotsbury"",""ru"":""Эбботсбери"",""uk"":""Абботсбері"",""pl"":""Abbotsbury"",""hi"":""एबॉट्सबरी"",""ar"":""أبوتسبري""}",2019-10-06T09:28:36,2025-12-02T14:38:56,1,Q4664280
3904,Abbotsford,3903,VIC,14,AU,section,,,-37.80000000,145.00000000,Abbotsford,8087,Australia/Melbourne,"{""br"":""Abbotsford"",""ko"":""애벗스포드"",""pt-BR"":""Abbotsford"",""pt"":""Abbotsford"",""nl"":""Abbotsford"",""hr"":""Abbotsford"",""fa"":""ابوتسفورد"",""de"":""Abbotsford"",""es"":""Abbotsford"",""fr"":""Abbotsford"",""ja"":""アボッツフォード"",""it"":""Abbotsford"",""zh-CN"":""阿伯茨福德"",""tr"":""Abbotsford"",""ru"":""Абботсфорд"",""uk"":""Абботсфорд"",""pl"":""Abbotsford"",""hi"":""एबॉट्सफ़ोर्ड"",""ar"":""أبوتسفورد""}",2019-10-06T09:28:36,2025-12-02T14:39:55,1,Q306710
3905,Abbotsford,3909,NSW,14,AU,section,,,-33.84889000,151.12801000,Abbotsford,5431,Australia/Sydney,"{""br"":""Abbotsford"",""ko"":""애벗스포드"",""pt-BR"":""Abbotsford"",""pt"":""Abbotsford"",""nl"":""Abbotsford"",""hr"":""Abbotsford"",""fa"":""ابوتسفورد"",""de"":""Abbotsford"",""es"":""Abbotsford"",""fr"":""Abbotsford"",""ja"":""アボッツフォード"",""it"":""Abbotsford"",""zh-CN"":""阿伯茨福德"",""tr"":""Abbotsford"",""ru"":""Абботсфорд"",""uk"":""Абботсфорд"",""pl"":""Abbotsford"",""hi"":""एबॉट्सफ़ोर्ड"",""ar"":""أبوتسفورد""}",2019-10-06T09:28:36,2025-12-02T14:38:56,1,Q4664298
3906,Abercrombie,3909,NSW,14,AU,section,,,-33.38867000,149.54580000,Abercrombie,1127,Australia/Sydney,"{""br"":""Abercrombie"",""ko"":""아베크롬비"",""pt-BR"":""Abercrombie"",""pt"":""Abercrombie"",""nl"":""Abercrombie"",""hr"":""Abercrombie"",""fa"":""ابرکرومبی"",""de"":""Abercrombie"",""es"":""Abercrombie"",""fr"":""Abercrombie"",""ja"":""アバクロンビー"",""it"":""Abercrombie"",""zh-CN"":""阿伯克龙比"",""tr"":""Abercrombie"",""ru"":""Аберкромби"",""uk"":""Аберкромбі"",""pl"":""Abercrombie"",""hi"":""Abercrombie"",""ar"":""أبركرومبي""}",2019-10-06T09:28:36,2025-12-02T14:38:56,1,Q4664298
3907,Aberdare,3909,NSW,14,AU,section,,,-32.84112000,151.38168000,Aberdare,2542,Australia/Sydney,"{""br"":""Aberdare"",""ko"":""애버데어"",""pt-BR"":""Aberdare"",""pt"":""Aberdare"",""nl"":""Aberdare"",""hr"":""Aberdare"",""fa"":""ابردار"",""de"":""Aberdare"",""es"":""Aberdare"",""fr"":""Aberdare"",""ja"":""アバーデア"",""it"":""Aberdare"",""zh-CN"":""阿伯代尔"",""tr"":""Aberdare"",""ru"":""Абердэр"",""uk"":""Абердер"",""pl"":""Aberdare"",""hi"":""एबरडेयर"",""ar"":""أبردير""}",2019-10-06T09:28:36,2025-12-02T14:38:56,1,Q4666845
3908,Aberdeen,3909,NSW,14,AU,city,,,-32.16588000,150.89003000,Aberdeen,2051,Australia/Sydney,"{""br"":""Aberdeen"",""ko"":""애버딘"",""pt-BR"":""Aberdeen"",""pt"":""Aberdeen"",""nl"":""Aberdeen"",""hr"":""Aberdeen"",""fa"":""آبردین"",""de"":""Aberdeen"",""es"":""Aberdeen"",""fr"":""Aberdeen"",""ja"":""アバディーン"",""it"":""Aberdeen"",""zh-CN"":""阿伯丁"",""tr"":""Aberdeen"",""ru"":""Абердин"",""uk"":""Абердин"",""pl"":""Aberdeen"",""hi"":""एबरडीन"",""ar"":""أبردين""}",2019-10-06T09:28:36,2025-12-02T14:38:56,1,Q2821571
3909,Aberfeldie,3903,VIC,14,AU,section,,,-37.75959000,144.89740000,Aberfeldie,3925,Australia/Melbourne,"{""br"":""Aberfeldie"",""ko"":""애버펠디"",""pt-BR"":""Aberfeldie"",""pt"":""Aberfeldie"",""nl"":""Aberfeldie"",""hr"":""Aberfeldie"",""fa"":""ابرفلدی"",""de"":""Aberfeldie"",""es"":""Aberfeldie"",""fr"":""Aberfeldie"",""ja"":""アバフェルディ"",""it"":""Aberfeldie"",""zh-CN"":""阿伯费尔迪"",""tr"":""Aberfeldie"",""ru"":""Аберфелди"",""uk"":""Аберфелді"",""pl"":""Aberfeldie"",""hi"":""एबरफेल्डी"",""ar"":""أبيرفيلدي""}",2019-10-06T09:28:36,2025-12-02T14:39:55,1,Q319540
3910,Aberfoyle Park,3904,SA,14,AU,section,,,-35.07680000,138.59163000,Aberfoyle Park,11234,Australia/Adelaide,"{""br"":""Park Aberfoyle"",""ko"":""애버포일 공원"",""pt-BR"":""Parque Aberfoyle"",""pt"":""Parque Aberfoyle"",""nl"":""Aberfoyle Park"",""hr"":""Aberfoyle Park"",""fa"":""پارک ابرفویل"",""de"":""Aberfoyle Park"",""es"":""Parque Aberfoyle"",""fr"":""Parc d'Aberfoyle"",""ja"":""アバーフォイル公園"",""it"":""Parco di Aberfoyle"",""zh-CN"":""阿伯福伊尔公园"",""tr"":""Aberfoyle Parkı"",""ru"":""Аберфойл Парк"",""uk"":""Аберфойл-парк"",""pl"":""Park Aberfoyle"",""hi"":""एबरफॉयल पार्क"",""ar"":""حديقة أبيرفويل""}",2019-10-06T09:28:36,2025-12-02T14:38:56,1,Q319540
3911,Aberglasslyn,3909,NSW,14,AU,section,,,-32.70000000,151.53333000,Aberglasslyn,6552,Australia/Sydney,"{""br"":""Aberglasslyn"",""ko"":""애버글래슬린"",""pt-BR"":""Aberglasslyn"",""pt"":""Aberglasslyn"",""nl"":""Aberglasslyn"",""hr"":""Aberglasslyn"",""fa"":""ابرگلاسلین"",""de"":""Aberglasslyn"",""es"":""Aberglasslyn"",""fr"":""Aberglasslyn"",""ja"":""アバーグラスリン"",""it"":""Aberglasslyn"",""zh-CN"":""阿伯格拉斯林"",""tr"":""Aberglasslyn"",""ru"":""Абергласслин"",""uk"":""Абергласлін"",""pl"":""Aberglasslyn"",""hi"":""एबरग्लास्लिन"",""ar"":""أبيرجلاسلين""}",2019-10-06T09:28:36,2025-12-02T14:38:56,1,Q4667103
3912,Abermain,3909,NSW,14,AU,section,,,-32.80740000,151.42750000,Abermain,2544,Australia/Sydney,"{""br"":""Abermain"",""ko"":""아베르메인"",""pt-BR"":""Abermain"",""pt"":""Abermain"",""nl"":""Abermain"",""hr"":""Abermain"",""fa"":""ابرمین"",""de"":""Abermain"",""es"":""Abermain"",""fr"":""Abermain"",""ja"":""アバーメイン"",""it"":""Abermain"",""zh-CN"":""阿伯曼"",""tr"":""Abermain"",""ru"":""Абермейн"",""uk"":""Абермейн"",""pl"":""Abermain"",""hi"":""एबरमेन"",""ar"":""أبرمين""}",2019-10-06T09:28:36,2025-12-02T14:38:56,1,Q4667131
3913,Acacia Gardens,3909,NSW,14,AU,section,,,-33.73159000,150.91636000,Acacia Gardens,3668,Australia/Sydney,"{""br"":""Liorzhoù akasia"",""ko"":""아카시아 가든"",""pt-BR"":""Jardins de Acácias"",""pt"":""Jardins de Acácias"",""nl"":""Acacia-tuinen"",""hr"":""Vrtovi akacije"",""fa"":""باغ‌های اقاقیا"",""de"":""Akaziengärten"",""es"":""Jardines de acacias"",""fr"":""Jardins d'Acacias"",""ja"":""アカシアガーデン"",""it"":""Giardini di acacia"",""zh-CN"":""金合欢花园"",""tr"":""Akasya Bahçeleri"",""ru"":""Сады Акации"",""uk"":""Сади Акації"",""pl"":""Ogrody Akacjowe"",""hi"":""बबूल उद्यान"",""ar"":""حدائق الأكاسيا""}",2019-10-06T09:28:36,2025-12-02T14:38:56,1,Q965388
3914,Acacia Ridge,3905,QLD,14,AU,section,,,-27.58333000,153.03333000,Acacia Ridge,7486,Australia/Brisbane,"{""br"":""Acacia Ridge"",""ko"":""아카시아 릿지"",""pt-BR"":""Cume de Acácia"",""pt"":""Cume de Acácia"",""nl"":""Acacia Ridge"",""hr"":""Greben akacije"",""fa"":""ریج آکاسیا"",""de"":""Akazienkamm"",""es"":""Acacia Ridge"",""fr"":""Crête d'Acacia"",""ja"":""アカシアリッジ"",""it"":""Acacia Ridge"",""zh-CN"":""金合欢岭"",""tr"":""Akasya Sırtı"",""ru"":""Акация-Ридж"",""uk"":""Акація Рідж"",""pl"":""Grzbiet Akacjowy"",""hi"":""बबूल रिज"",""ar"":""أكاسيا ريدج""}",2019-10-06T09:28:36,2025-12-02T14:38:56,1,Q4670845
3915,Acton,3907,ACT,14,AU,section,,,-35.27767000,149.11829000,Acton,2848,Australia/Sydney,"{""br"":""Acton"",""ko"":""액턴"",""pt-BR"":""Acton"",""pt"":""Acton"",""nl"":""Acton"",""hr"":""Acton"",""fa"":""اکتون"",""de"":""Acton"",""es"":""Actón"",""fr"":""Acton"",""ja"":""アクトン"",""it"":""Acton"",""zh-CN"":""阿克顿"",""tr"":""Acton"",""ru"":""Актон"",""uk"":""Актон"",""pl"":""Acton"",""hi"":""पर कार्रवाई"",""ar"":""أكتون""}",2019-10-06T09:28:36,2025-12-02T14:38:56,1,Q482055
3916,Acton Park,3908,TAS,14,AU,section,,,-42.87932000,147.48459000,Acton Park,2293,Australia/Hobart,"{""br"":""Park Acton"",""ko"":""액턴 공원"",""pt-BR"":""Parque Acton"",""pt"":""Parque Acton"",""nl"":""Acton Park"",""hr"":""Acton Park"",""fa"":""پارک اکتون"",""de"":""Acton Park"",""es"":""Parque Acton"",""fr"":""Parc d'Acton"",""ja"":""アクトンパーク"",""it"":""Acton Park"",""zh-CN"":""阿克顿公园"",""tr"":""Acton Parkı"",""ru"":""Актон Парк"",""uk"":""Актон Парк"",""pl"":""Acton Park"",""hi"":""एक्टन पार्क"",""ar"":""حديقة أكتون""}",2019-10-06T09:28:36,2025-12-02T14:39:55,1,Q4677678
3917,Adamstown,3909,NSW,14,AU,section,,,-32.93824000,151.72541000,Adamstown,6335,Australia/Sydney,"{""br"":""Adamstown"",""ko"":""애덤스타운"",""pt-BR"":""Adamstown"",""pt"":""Adamstown"",""nl"":""Adamstown"",""hr"":""Adamstown"",""fa"":""آدامزتاون"",""de"":""Adamstown"",""es"":""Adamstown"",""fr"":""Adamstown"",""ja"":""アダムズタウン"",""it"":""Adamstown"",""zh-CN"":""亚当斯敦"",""tr"":""Adamstown"",""ru"":""Адамстаун"",""uk"":""Адамстаун"",""pl"":""Adamstown"",""hi"":""एडमस्टाउन"",""ar"":""آدمستاون""}",2019-10-06T09:28:36,2025-12-02T14:38:56,1,Q10400942
3918,Adamstown Heights,3909,NSW,14,AU,section,,,-32.94906000,151.71009000,Adamstown Heights,5621,Australia/Sydney,"{""br"":""Adamstown Heights"",""ko"":""애덤스타운 하이츠"",""pt-BR"":""Adamstown Heights"",""pt"":""Adamstown Heights"",""nl"":""Adamstown Heights"",""hr"":""Adamstown Heights"",""fa"":""ارتفاعات آدامزتاون"",""de"":""Adamstown Heights"",""es"":""Alturas de Adamstown"",""fr"":""Adamstown Heights"",""ja"":""アダムズタウンハイツ"",""it"":""Adamstown Heights"",""zh-CN"":""亚当斯敦高地"",""tr"":""Adamstown Tepeleri"",""ru"":""Адамстаун-Хайтс"",""uk"":""Адамстаун-Хайтс"",""pl"":""Adamstown Heights"",""hi"":""एडमस्टाउन हाइट्स"",""ar"":""آدامستاون هايتس""}",2019-10-06T09:28:36,2025-12-02T14:38:56,1,Q4680523
3919,Adelaide,3904,SA,14,AU,adm1,,,-34.92866000,138.59863000,Adelaide,1387290,Australia/Adelaide,"{""br"":""Adelaide"",""ko"":""애들레이드"",""pt-BR"":""Adelaide"",""pt"":""Adelaide"",""nl"":""Adelaide"",""hr"":""Adelaide"",""fa"":""آدلاید"",""de"":""Adelaide"",""es"":""Adelaida"",""fr"":""Adélaïde"",""ja"":""アデレード"",""it"":""Adelaide"",""zh-CN"":""阿德莱德"",""tr"":""Adelaide"",""ru"":""Аделаида"",""uk"":""Аделаїда"",""pl"":""Adelaida"",""hi"":""एडीलेड"",""ar"":""أديلايد""}",2019-10-06T09:28:36,2025-12-02T14:38:56,1,Q5112
3920,Adelaide Hills,3904,SA,14,AU,city,,,-34.90103000,138.85457000,Adelaide Hills,40879,Australia/Adelaide,"{""br"":""Menezioù Adelaide"",""ko"":""애들레이드 힐스"",""pt-BR"":""Colinas de Adelaide"",""pt"":""Colinas de Adelaide"",""nl"":""Adelaide Hills"",""hr"":""Adelaide Hills"",""fa"":""آدلاید هیلز"",""de"":""Adelaide Hills"",""es"":""Colinas de Adelaida"",""fr"":""Collines d'Adélaïde"",""ja"":""アデレードヒルズ"",""it"":""Colline di Adelaide"",""zh-CN"":""阿德莱德山"",""tr"":""Adelaide Tepeleri"",""ru"":""Аделаида Хиллз"",""uk"":""Аделаїдські пагорби"",""pl"":""Wzgórza Adelaide"",""hi"":""एडिलेड हिल्स"",""ar"":""تلال أديلايد""}",2019-10-06T09:28:36,2025-12-02T17:11:50,1,Q353997
