id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
160394,Pos Chiquito,5341,09,13,AW,city,,,12.46497000,-69.96233000,,5259,America/Aruba,,2014-01-01T17:31:01,2025-12-02T18:58:02,1,
160395,Noord,5341,09,13,AW,city,,,12.56596000,-70.03198000,,24193,America/Aruba,,2014-01-01T17:31:01,2025-12-02T18:58:02,1,
160396,Oranjestad,5341,09,13,AW,capital,,,12.52398000,-70.02703000,,29998,America/Aruba,,2014-01-01T17:31:01,2025-12-02T18:58:02,1,
160397,Paradera,5341,09,13,AW,city,,,12.53510000,-70.00688000,,12000,America/Aruba,,2014-01-01T17:31:01,2025-12-02T18:58:02,1,
160398,Moco,5341,09,13,AW,city,,,12.55134000,-70.00843000,,4430,America/Aruba,,2014-01-01T17:31:01,2025-12-02T18:58:02,1,
160399,Palm Beach,5341,09,13,AW,city,,,12.56847000,-70.03887000,,5637,America/Aruba,,2014-01-01T17:31:01,2025-12-02T18:58:02,1,
160400,Alto Vista,5341,09,13,AW,city,,,12.57050000,-70.01912000,,5146,America/Aruba,,2014-01-01T17:31:01,2025-12-02T18:58:02,1,
160401,San Nicolas,5341,09,13,AW,city,,,12.43624000,-69.90713000,,15200,America/Aruba,,2014-01-01T17:31:01,2025-12-02T18:58:02,1,
160402,Tanki Leendert,5341,09,13,AW,city,,,12.53914000,-70.02004000,,21500,America/Aruba,,2014-01-01T17:31:01,2025-12-02T18:58:02,1,
160403,Washington,5341,09,13,AW,city,,,12.55837000,-70.03816000,,4390,America/Aruba,,2014-01-01T17:31:01,2025-12-02T18:58:02,1,
160404,Santa Cruz,5341,09,13,AW,city,,,12.50953000,-69.98094000,,12900,America/Aruba,,2014-01-01T17:31:01,2025-12-02T18:58:02,1,
160405,Savaneta,5341,09,13,AW,city,,,12.45026000,-69.93811000,,11500,America/Aruba,,2014-01-01T17:31:01,2025-12-02T18:58:02,1,
