id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
160425,Mariehamn,5287,01,2,AX,capital,,,60.09726000,19.93481000,,10682,Europe/Mariehamn,,2014-01-01T17:31:01,2025-12-02T19:41:00,1,
160426,Yomala,5288,02,2,AX,city,,,60.16689000,19.93341000,,5789,Europe/Mariehamn,,2014-01-01T17:31:01,2025-12-02T19:41:00,1,
160427,Finström,5288,02,2,AX,city,,,60.26667000,19.93333000,,2412,Europe/Mariehamn,,2014-01-01T17:31:01,2025-12-02T19:41:00,1,
160428,Hammarland,5288,02,2,AX,city,,,60.21667000,19.75000000,,1395,Europe/Mariehamn,,2014-01-01T17:31:01,2025-12-02T19:41:00,1,
160429,Jomala,5288,02,2,AX,city,,,60.14902000,19.95100000,,3662,Europe/Mariehamn,,2014-01-01T17:31:01,2025-12-02T19:41:00,1,
160430,Tjudö,5288,02,2,AX,city,,,60.33333000,19.95000000,,2630,Europe/Mariehamn,,2014-01-01T17:31:01,2025-12-02T19:41:00,1,
160431,Bomarsund,5288,02,2,AX,city,,,60.21234000,20.24023000,,1016,Europe/Mariehamn,,2014-01-01T17:31:01,2025-12-02T19:41:00,1,
160432,Godby,5288,02,2,AX,city,,,60.22995000,19.98810000,,1369,Europe/Mariehamn,,2014-01-01T17:31:01,2025-12-02T19:41:00,1,
160433,Lemland,5288,02,2,AX,city,,,60.07178000,20.08472000,,1829,Europe/Mariehamn,,2014-01-01T17:31:01,2025-12-02T19:41:00,1,
160434,Saltvik,5288,02,2,AX,city,,,60.28333000,20.05000000,,1691,Europe/Mariehamn,,2014-01-01T17:31:01,2025-12-02T19:41:00,1,
160435,Sund,5288,02,2,AX,city,,,60.25000000,20.11667000,,1016,Europe/Mariehamn,,2014-01-01T17:31:01,2025-12-02T19:41:00,1,
160436,Ytterby,5288,02,2,AX,city,,,60.16667000,20.01667000,,6384,Europe/Mariehamn,,2014-01-01T17:31:01,2025-12-02T19:41:00,1,
