id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
8037,Agdzhabedy,577,AGC,16,AZ,adm1,,,40.05015000,47.45937000,Ağdzabedy,43000,Asia/Baku,"{""br"":""Agdzhabedy"",""ko"":""아그자베디"",""pt-BR"":""Agdzhabedy"",""pt"":""Agdzhabedy"",""nl"":""Ağcabədi (stad)"",""hr"":""Agdžabedi"",""fa"":""آغجابدی"",""de"":""Ağcabədi (Stadt)"",""es"":""Aghyabadi"",""fr"":""Ağcabədi"",""ja"":""アグジャベディ"",""it"":""Ağcabədi"",""zh-CN"":""阿格贾贝迪"",""tr"":""Ağcabedi"",""ru"":""Агджабеди"",""uk"":""Агджабеді"",""pl"":""Ağcabədi"",""hi"":""अगदज़ाबेडी"",""ar"":""آقجبدي"",""id"":""Aghjabadi (kota)"",""zh"":""阿格賈貝迪""}",2019-10-06T09:29:22,2025-12-02T14:39:31,1,Q1983875
8038,Aghstafa,543,AGA,16,AZ,adm1,,,41.11889000,45.45389000,Ağstafa,12542,Asia/Baku,"{""br"":""Aghstafa"",""ko"":""아그스타파"",""pt-BR"":""Aghstafa"",""pt"":""Agstafa"",""nl"":""Ağstafa (stad)"",""hr"":""Agstafa"",""fa"":""آغستافا"",""de"":""Ağstafa (Stadt)"",""es"":""Agstafa (ciudad)"",""fr"":""Ağstafa"",""ja"":""アグスタファ"",""it"":""Ağstafa"",""zh-CN"":""阿格斯塔法"",""tr"":""Ağstafa"",""ru"":""Агстафа (город)"",""uk"":""Агстафа"",""pl"":""Ağstafa"",""hi"":""अगस्तफा"",""ar"":""آقستافا"",""zh"":""阿格斯塔法""}",2019-10-06T09:29:22,2025-12-02T14:39:31,1,Q1976493
8039,Aghsu,547,AGU,16,AZ,adm1,,,40.57028000,48.40087000,Aqsu,17209,Asia/Baku,"{""br"":""Aghsu"",""ko"":""아그수"",""pt-BR"":""Aghsu"",""pt"":""Agsu (cidade)"",""nl"":""Ağsu (stad)"",""hr"":""Aghsu"",""fa"":""آغسو"",""de"":""Aghsu"",""es"":""Agsu (ciudad)"",""fr"":""Ağsu (ville)"",""ja"":""アグス"",""it"":""Ağsu"",""zh-CN"":""阿格苏"",""tr"":""Ağsu"",""ru"":""Ахсу"",""uk"":""Агсу"",""pl"":""Ağsu"",""hi"":""अघसू"",""ar"":""آقسو"",""zh"":""阿赫蘇""}",2019-10-06T09:29:22,2025-12-02T14:39:31,1,Q1976493
8040,Aliabad,566,ZAQ,16,AZ,city,,,41.48290000,46.63483000,Aliabad,9103,Asia/Baku,"{""br"":""Aliabad"",""ko"":""알리아바드"",""pt-BR"":""Aliabad"",""pt"":""Aliabad"",""nl"":""Aliabad"",""hr"":""Aliabad"",""fa"":""علی آباد"",""de"":""Alibad"",""es"":""Aliabad"",""fr"":""Aliabad"",""ja"":""アリアバード"",""it"":""Aliabad"",""zh-CN"":""阿里阿巴德"",""tr"":""Aliabad"",""ru"":""Алиабад (значения)"",""uk"":""Аліабад"",""pl"":""Aliabad"",""hi"":""आलियाबाद"",""ar"":""علي آباد""}",2019-10-06T09:29:22,2025-12-02T14:39:31,1,Q3651686
8041,Altıağac,537,XIZ,16,AZ,city,,,40.85785000,48.93540000,Altıağac,1126,Asia/Baku,"{""br"":""Altıağac"",""ko"":""알티아작"",""pt-BR"":""Altıağac"",""pt"":""Altıağac"",""nl"":""Altıağac"",""hr"":""Altıağac"",""fa"":""آلتی‌آغاچ"",""de"":""Altıağac"",""es"":""Altiagach"",""fr"":""Altıağac"",""ja"":""アルティアガック"",""it"":""Altıağac"",""zh-CN"":""阿尔蒂亚克"",""tr"":""Altıağaç"",""ru"":""Алтыагач"",""uk"":""Алтиагач"",""pl"":""Altıağac"",""hi"":""अल्टियगाक"",""ar"":""ألتياجاك""}",2019-10-06T09:29:22,2025-12-02T14:38:56,1,Q4737076
8042,Amirdzhan,552,BA,16,AZ,city,,,40.42639000,49.98361000,Məzhəb,28203,Asia/Baku,"{""br"":""Amirdzhan"",""ko"":""아미르잔"",""pt-BR"":""Amirdzhan"",""pt"":""Amirdzhan"",""nl"":""Amirdzhan"",""hr"":""Amirdžan"",""fa"":""امیردجان"",""de"":""Amirdschan"",""es"":""Amirdzhan"",""fr"":""Amirdjan"",""ja"":""アミルジャン"",""it"":""Əmircan"",""zh-CN"":""阿米尔詹"",""tr"":""Amircan"",""ru"":""Амирджан"",""uk"":""Амірджан"",""pl"":""Əmircan"",""hi"":""अमीरदज़ान"",""ar"":""أميرجان""}",2019-10-06T09:29:22,2025-12-02T14:39:31,1,Q3131176
8043,Aran,523,YEV,16,AZ,city,,,40.62528000,46.97556000,Aran,6724,Asia/Baku,"{""br"":""Aran"",""ko"":""아란"",""pt-BR"":""Aran"",""pt"":""Aran"",""nl"":""Aran"",""hr"":""Aran"",""fa"":""آران"",""de"":""Aran"",""es"":""Arán"",""fr"":""Aran"",""ja"":""アラン"",""it"":""Aran"",""zh-CN"":""阿兰"",""tr"":""Aran"",""ru"":""Аран"",""uk"":""Аран"",""pl"":""Aran"",""hi"":""अरान"",""ar"":""أران""}",2019-10-06T09:29:22,2025-12-02T14:38:56,1,Q4068504
8044,Arıqdam,589,GAD,16,AZ,city,,,40.59313000,45.79900000,Arıqdam,2200,Asia/Baku,"{""br"":""Arıqdam"",""ko"":""아리크담"",""pt-BR"":""Arıqdam"",""pt"":""Arıqdam"",""nl"":""Arıqdam"",""hr"":""Ariqdam"",""fa"":""آریقدام"",""de"":""Arıqdam"",""es"":""Arıqdam"",""fr"":""Ariqdam"",""ja"":""アリクダム"",""it"":""Arıqdam"",""zh-CN"":""阿里克达姆"",""tr"":""Arıqdam"",""ru"":""Арыгдам"",""uk"":""Арікдам"",""pl"":""Arıqdam"",""hi"":""अरिकदम"",""ar"":""أريقدام""}",2019-10-06T09:29:22,2025-12-02T14:38:56,1,Q4591265
8045,Arıqıran,589,GAD,16,AZ,city,,,40.53971000,45.61414000,Arıqıran,2659,Asia/Baku,"{""br"":""Arıqıran"",""ko"":""아리키란"",""pt-BR"":""Arıqıran"",""pt"":""Arıqıran"",""nl"":""Arıqıran"",""hr"":""Ariqiran"",""fa"":""آریقران"",""de"":""Arıqıran"",""es"":""Arıqıran"",""fr"":""Arıqıran"",""ja"":""アリキラン"",""it"":""Arıqıran"",""zh-CN"":""阿里奇兰"",""tr"":""Arıqıran"",""ru"":""Арыкыран"",""uk"":""Арикіран"",""pl"":""Arıqıran"",""hi"":""अरीक़िरान"",""ar"":""أريكيران""}",2019-10-06T09:29:22,2025-12-02T14:38:56,1,Q4591863
8046,Askyaran,524,XCI,16,AZ,city,,,39.93910000,46.83161000,Askyaran,1639,Asia/Baku,"{""br"":""Askyaran"",""ko"":""아스키아란"",""pt-BR"":""Askyaran"",""pt"":""Askyaran"",""nl"":""Askeran"",""hr"":""Askyaran"",""fa"":""آسکایاران"",""de"":""Əsgəran"",""es"":""Asjarán"",""fr"":""Askeran"",""ja"":""アスキヤラン"",""it"":""Askeran"",""zh-CN"":""阿斯基亚兰"",""tr"":""Askeran (şehir)"",""ru"":""Аскеран"",""uk"":""Аскеран"",""pl"":""Əsgəran"",""hi"":""अस्क्यारन"",""ar"":""آسكران"",""zh"":""阿斯凯兰""}",2019-10-06T09:29:22,2025-12-02T14:39:31,1,Q1433468
