id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
8608,Aalst,1373,VLG,22,BE,city,,,50.93604000,4.03550000,Aalst,77534,Europe/Brussels,"{""br"":""Aalst"",""ko"":""알스트"",""pt-BR"":""Aalst"",""pt"":""Aalst"",""nl"":""Aalst"",""hr"":""Aalst"",""fa"":""آلست"",""de"":""Aalst"",""es"":""Aalst"",""fr"":""Alost"",""ja"":""アールスト"",""it"":""Aalst"",""zh-CN"":""阿尔斯特"",""tr"":""Aalst"",""ru"":""Аалст"",""uk"":""Алст"",""pl"":""Aalst"",""hi"":""आल्स्ट"",""ar"":""آلست"",""en"":""Aalst""}",2019-10-06T09:29:25,2025-12-02T14:38:56,1,Q21770022
8609,Aalter,1373,VLG,22,BE,city,,,51.09017000,3.44693000,Aalter,18802,Europe/Brussels,"{""br"":""Aalter"",""ko"":""알터"",""pt-BR"":""Aalter"",""pt"":""Aalter"",""nl"":""Aalter"",""hr"":""Aalter"",""fa"":""آلتر"",""de"":""Aalter"",""es"":""Aalter"",""fr"":""Aalter"",""ja"":""アールター"",""it"":""Aalter"",""zh-CN"":""阿尔特"",""tr"":""Aalter"",""ru"":""Аалтер"",""uk"":""Аалтер"",""pl"":""Aalter"",""hi"":""आल्टर"",""ar"":""ألتر"",""en"":""Aalter""}",2019-10-06T09:29:25,2025-12-02T14:39:31,1,Q21770025
8610,Aarschot,1373,VLG,22,BE,city,,,50.98715000,4.83695000,Aarschot,29965,Europe/Brussels,"{""br"":""Aarschot"",""ko"":""아르스코트"",""pt-BR"":""Aarschot"",""pt"":""Aarschot"",""nl"":""Aarschot"",""hr"":""Aarschot"",""fa"":""آرشوت"",""de"":""Aarschot"",""es"":""Aarschot"",""fr"":""Aarschot"",""ja"":""アールショット"",""it"":""Aarschot"",""zh-CN"":""阿尔斯霍特"",""tr"":""Aarschot"",""ru"":""Арсхот"",""uk"":""Ааршот"",""pl"":""Aarschot"",""hi"":""आर्सचोट"",""ar"":""آرشوت"",""en"":""Aarschot""}",2019-10-06T09:29:25,2025-12-02T14:38:56,1,Q12358108
8611,Aartselaar,1373,VLG,22,BE,city,,,51.13412000,4.38678000,Aartselaar,14610,Europe/Brussels,"{""br"":""Aartselaar"",""ko"":""아트셀라르"",""pt-BR"":""Aartselaar"",""pt"":""Aartselaar"",""nl"":""Aartselaar"",""hr"":""Aartselaar"",""fa"":""آرتسلار"",""de"":""Aartselaar"",""es"":""Aartselaar"",""fr"":""Aartselaar"",""ja"":""アールツェラー"",""it"":""Aartselaar"",""zh-CN"":""阿尔特拉尔"",""tr"":""Aartselaar"",""ru"":""Артселар"",""uk"":""Аартселар"",""pl"":""Aartselaar"",""hi"":""आर्टसेलार"",""ar"":""آرتسيلار"",""en"":""Aartselaar""}",2019-10-06T09:29:25,2025-12-02T14:38:56,1,Q21770026
8612,Aiseau,1380,WAL,22,BE,city,,,50.41158000,4.58671000,Afra,10906,Europe/Brussels,"{""br"":""Aiseau"",""ko"":""아이조"",""pt-BR"":""Aiseau"",""pt"":""Aiseau"",""nl"":""Aiseau"",""hr"":""Aiseau"",""fa"":""آیزو"",""de"":""Aiseau"",""es"":""Aiseau"",""fr"":""Aiseau"",""ja"":""アイゾー"",""it"":""Aiseau"",""zh-CN"":""艾索"",""tr"":""Aiseau"",""ru"":""Эзо"",""uk"":""Айзо"",""pl"":""Aiseau"",""hi"":""ऐसाउ"",""ar"":""أيزو"",""en"":""Aiseau""}",2019-10-06T09:29:25,2025-12-02T14:38:56,1,Q21770026
8613,Alken,1373,VLG,22,BE,city,,,50.87553000,5.30558000,Alken,11757,Europe/Brussels,"{""br"":""Alken"",""ko"":""알켄"",""pt-BR"":""Alken"",""pt"":""Alken"",""nl"":""Alken"",""hr"":""Alken"",""fa"":""آلکن"",""de"":""Alken"",""es"":""Alquen"",""fr"":""Alken"",""ja"":""アルケン"",""it"":""Alken"",""zh-CN"":""阿尔肯"",""tr"":""Alken"",""ru"":""Алкен"",""uk"":""Алкен"",""pl"":""Alken"",""hi"":""अल्केन"",""ar"":""ألكين"",""en"":""Alken""}",2019-10-06T09:29:25,2025-12-02T14:38:56,1,Q21770050
8614,Alveringem,1373,VLG,22,BE,city,,,51.01238000,2.71117000,Alveringem,5089,Europe/Brussels,"{""br"":""Alveringem"",""ko"":""알베링젬"",""pt-BR"":""Alveringem"",""pt"":""Alveringem"",""nl"":""Alveringem"",""hr"":""Alveringem"",""fa"":""آلورینژم"",""de"":""Alveringem"",""es"":""Alveringem"",""fr"":""Alveringem"",""ja"":""アルベリンゲム"",""it"":""Alveringem"",""zh-CN"":""阿尔弗林厄姆"",""tr"":""Alveringem"",""ru"":""Альверингем"",""uk"":""Альверінгем"",""pl"":""Alveringem"",""hi"":""अल्वेरिंगम"",""ar"":""ألفرينجيم"",""en"":""Alveringem""}",2019-10-06T09:29:25,2025-12-02T14:38:56,1,Q21770057
8615,Amay,1380,WAL,22,BE,city,,,50.54829000,5.30974000,Vader,14305,Europe/Brussels,"{""br"":""Amay"",""ko"":""아마이"",""pt-BR"":""Amay"",""pt"":""Amay"",""nl"":""Amay"",""hr"":""Amay"",""fa"":""آمای"",""de"":""Amay"",""es"":""Amay"",""fr"":""Amay"",""ja"":""アメイ"",""it"":""Amay"",""zh-CN"":""阿迈"",""tr"":""Amay"",""ru"":""Амай"",""uk"":""Амай"",""pl"":""Amay"",""hi"":""अमय"",""ar"":""أماي"",""en"":""Amay""}",2019-10-06T09:29:25,2025-12-02T14:38:56,1,Q21770059
8616,Amblève,1380,WAL,22,BE,city,,,50.35357000,6.17002000,Ambrève,5221,Europe/Brussels,"{""br"":""Amblève"",""ko"":""앰블레브"",""pt-BR"":""Amblève"",""pt"":""Amblève"",""nl"":""Amblève"",""hr"":""Amblève"",""fa"":""امبلو"",""de"":""Amel"",""es"":""Amblève"",""fr"":""Amblève"",""ja"":""アンブレーヴ"",""it"":""Amblève"",""zh-CN"":""安布莱夫"",""tr"":""Amblève"",""ru"":""Амблев"",""uk"":""Амблев"",""pl"":""Amblève"",""hi"":""एम्ब्लेव"",""ar"":""أمبليف"",""en"":""Amel""}",2019-10-06T09:29:25,2025-12-02T14:39:31,1,Q21770061
8617,Andenne,1380,WAL,22,BE,city,,,50.48941000,5.09513000,Andenne,27573,Europe/Brussels,"{""br"":""Andenne"",""ko"":""안덴"",""pt-BR"":""Andenne"",""pt"":""Andenne"",""nl"":""Andenne"",""hr"":""Andenne"",""fa"":""آندن"",""de"":""Andenne"",""es"":""Andenne"",""fr"":""Andenne"",""ja"":""アンデンヌ"",""it"":""Andenne"",""zh-CN"":""安德讷"",""tr"":""Andenne"",""ru"":""Анденн"",""uk"":""Анденн"",""pl"":""Andenne"",""hi"":""एंडेने"",""ar"":""أندين"",""en"":""Andenne""}",2019-10-06T09:29:25,2025-12-02T14:38:56,1,Q21770061
