id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
9158,Banfora,3153,02,35,BF,adm1,,,10.63333000,-4.76667000,Banfora,117200,Africa/Ouagadougou,"{""br"":""Banfora"",""ko"":""반포라"",""pt-BR"":""Banfora"",""pt"":""Banfora"",""nl"":""Banfora"",""hr"":""Banfora"",""fa"":""بانفورا"",""de"":""Banfora"",""es"":""Banfora"",""fr"":""Banfora"",""ja"":""バンフォラ"",""it"":""Banfora"",""zh-CN"":""邦福拉"",""tr"":""Banfora"",""ru"":""Банфора"",""uk"":""Банфора"",""pl"":""Banfora"",""hi"":""बानफोरा"",""ar"":""بانفورا""}",2019-10-06T09:29:27,2025-12-02T14:38:56,1,Q639674
9159,Barani,3138,01,35,BF,adm3,,,13.16910000,-3.88990000,Dans le monde,5000,Africa/Ouagadougou,"{""br"":""Barani"",""ko"":""바라니"",""pt-BR"":""Barani"",""pt"":""Barani"",""nl"":""Barani"",""hr"":""Barani"",""fa"":""بارانی"",""de"":""Barani"",""es"":""Barani"",""fr"":""Barani"",""ja"":""バラニ"",""it"":""Barani"",""zh-CN"":""巴拉尼"",""tr"":""Barani"",""ru"":""Барани"",""uk"":""Барані"",""pl"":""Barani"",""hi"":""बरनी"",""ar"":""باراني""}",2019-10-06T09:29:28,2025-12-02T14:38:56,1,Q639674
9160,Batié,3140,13,35,BF,adm2,,,9.88333000,-2.91667000,Ils ont mis,17997,Africa/Ouagadougou,"{""br"":""Batié"",""ko"":""바티에"",""pt-BR"":""Batié"",""pt"":""Batié"",""nl"":""Batié"",""hr"":""Batié"",""fa"":""باتیه"",""de"":""Batié"",""es"":""Batié"",""fr"":""Batié"",""ja"":""バティエ"",""it"":""Batié"",""zh-CN"":""巴蒂埃"",""tr"":""Batié"",""ru"":""Бати"",""uk"":""Батьє"",""pl"":""Batié"",""hi"":""बेटी"",""ar"":""باتييه""}",2019-10-06T09:29:28,2025-12-02T14:38:56,1,Q639674
9161,Bazega,3149,07,35,BF,province,,,11.91667000,-1.50000000,Province de Bazega,280793,Africa/Ouagadougou,"{""br"":""Proviñs Bazega"",""ko"":""바제가"",""pt-BR"":""Província de Bazega"",""pt"":""Província de Bazega"",""nl"":""Provincie Bazega"",""hr"":""Provincija Bazega"",""fa"":""استان بازگا"",""de"":""Provinz Bazega"",""es"":""Provincia de Bazega"",""fr"":""Province de Bazega"",""ja"":""バゼガ"",""it"":""Provincia di Bazega"",""zh-CN"":""巴泽加省"",""tr"":""Bazega Eyaleti"",""ru"":""Провинция Базега"",""uk"":""Провінція Базега"",""pl"":""Prowincja Bazega"",""hi"":""बाज़ेगा प्रांत"",""ar"":""مقاطعة بازيغا""}",2019-10-06T09:29:28,2025-12-02T17:03:58,1,Q619764
9162,Bobo-Dioulasso,3165,09,35,BF,adm1,,,11.17715000,-4.29790000,Bobo-Dioulasso,903887,Africa/Ouagadougou,"{""br"":""Bobo-Dioulasso"",""ko"":""보보-디울라소"",""pt-BR"":""Bobo-Dioulasso"",""pt"":""Bobo-Dioulasso"",""nl"":""Bobo-Dioulasso"",""hr"":""Bobo-Dioulasso"",""fa"":""بوبو-دیولاسو"",""de"":""Bobo-Dioulasso"",""es"":""Bobo-Dioulasso"",""fr"":""Bobo-Dioulasso"",""ja"":""ボボ・ディウラッソ"",""it"":""Bobo-Dioulasso"",""zh-CN"":""博博迪乌拉索"",""tr"":""Bobo-Dioulasso"",""ru"":""Бобо-Диуласо"",""uk"":""Бобо-Діуласо"",""pl"":""Bobo-Dioulasso"",""hi"":""बोबो-Dioulasso"",""ar"":""بوبو ديولاسو""}",2019-10-06T09:29:28,2025-12-02T14:38:56,1,Q223761
9163,Bogandé,3158,08,35,BF,adm2,,,12.97040000,-0.14953000,Bogandé,21443,Africa/Ouagadougou,"{""br"":""Bogandé"",""ko"":""보간데"",""pt-BR"":""Bogandé"",""pt"":""Bogandé"",""nl"":""Bogandé"",""hr"":""Bogandé"",""fa"":""بوگانده"",""de"":""Bogandé"",""es"":""Bogandé"",""fr"":""Bogandé"",""ja"":""ボガンデ"",""it"":""Bogandé"",""zh-CN"":""博冈德"",""tr"":""Bogandé"",""ru"":""Боганде"",""uk"":""Боганде"",""pl"":""Bogandé"",""hi"":""बोगांडे"",""ar"":""بوغاندي""}",2019-10-06T09:29:28,2025-12-02T14:38:56,1,Q890373
9164,Boromo,3138,01,35,BF,adm2,,,11.74542000,-2.93006000,Boromo,20193,Africa/Ouagadougou,"{""br"":""Boromo"",""ko"":""보로모"",""pt-BR"":""Boromo"",""pt"":""Boromo"",""nl"":""Boromo"",""hr"":""Boromo"",""fa"":""بورومو"",""de"":""Boromo"",""es"":""Boromo"",""fr"":""Boromo"",""ja"":""ボロモ"",""it"":""Boromo"",""zh-CN"":""博罗莫"",""tr"":""Boromo"",""ru"":""Боромо"",""uk"":""Боромо"",""pl"":""Boromo"",""hi"":""बोरोमो"",""ar"":""بورومو""}",2019-10-06T09:29:28,2025-12-02T14:38:56,1,Q894055
9165,Boulsa,3127,05,35,BF,adm2,,,12.66664000,-0.57469000,Boule,24200,Africa/Ouagadougou,"{""br"":""Boulsa"",""ko"":""불사"",""pt-BR"":""Boulsa"",""pt"":""Boulsa"",""nl"":""Boulsa"",""hr"":""Boulsa"",""fa"":""بولسا"",""de"":""Boulsa"",""es"":""Boulsa"",""fr"":""Boulsa"",""ja"":""ブルサ"",""it"":""Boulsa"",""zh-CN"":""博尔萨"",""tr"":""Boulsa"",""ru"":""Булса"",""uk"":""Боулса"",""pl"":""Boulsa"",""hi"":""बौल्सा"",""ar"":""بولسا""}",2019-10-06T09:29:28,2025-12-02T14:38:56,1,Q895110
9166,Boussé,3125,11,35,BF,adm2,,,12.66121000,-1.89515000,Boussé,25022,Africa/Ouagadougou,"{""br"":""Boussé"",""ko"":""부세"",""pt-BR"":""Boussé"",""pt"":""Boussé"",""nl"":""Boussé"",""hr"":""Boussé"",""fa"":""بوسی"",""de"":""Boussé"",""es"":""Boussé"",""fr"":""Boussé"",""ja"":""ブッセ"",""it"":""Boussé"",""zh-CN"":""布塞"",""tr"":""Boussé"",""ru"":""Буссе"",""uk"":""Буссе"",""pl"":""Boussé"",""hi"":""Bousse"",""ar"":""بوسيه""}",2019-10-06T09:29:28,2025-12-02T14:38:56,1,Q895281
9167,Dano,3140,13,35,BF,adm2,,,11.14640000,-3.05784000,Dano,25922,Africa/Ouagadougou,"{""br"":""Dano"",""ko"":""다노"",""pt-BR"":""Dano"",""pt"":""Dano"",""nl"":""Dano"",""hr"":""Dano"",""fa"":""دانو"",""de"":""Dano"",""es"":""Dano"",""fr"":""Dano"",""ja"":""ダノ"",""it"":""Dano"",""zh-CN"":""达诺"",""tr"":""Dano"",""ru"":""Дано"",""uk"":""Дано"",""pl"":""Dano"",""hi"":""दानो"",""ar"":""دانو""}",2019-10-06T09:29:28,2025-12-02T14:38:56,1,Q1164836
