id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
9250,Aheloy,4715,02,34,BG,city,,,42.64987000,27.64838000,Ахелой,2533,Europe/Sofia,"{""br"":""Aheloy"",""ko"":""아헬로이"",""pt-BR"":""Aheloy"",""pt"":""Aheloy"",""nl"":""Aheloy"",""hr"":""Aheloj"",""fa"":""آهلوی"",""de"":""Aheloy"",""es"":""Aheloy"",""fr"":""Aheloy"",""ja"":""アヘロイ"",""it"":""Aheloy"",""zh-CN"":""阿赫洛伊"",""tr"":""Aheloy"",""ru"":""Ахелой"",""uk"":""Ахелой"",""pl"":""Aheloy"",""hi"":""अहेलोय"",""ar"":""أهلوي""}",2019-10-06T09:29:28,2025-12-02T14:38:56,1,Q2597663
9251,Ahtopol,4715,02,34,BG,city,,,42.09768000,27.93961000,Ахтопол,1037,Europe/Sofia,"{""br"":""Ahtopol"",""ko"":""아흐토폴"",""pt-BR"":""Ahtopol"",""pt"":""Ahtopol"",""nl"":""Ahtopol"",""hr"":""Ahtopol"",""fa"":""آتوپول"",""de"":""Achtopol"",""es"":""Ahtopol"",""fr"":""Ahtopol"",""ja"":""アトポル"",""it"":""Ahtopol"",""zh-CN"":""阿赫托波尔"",""tr"":""Ahtopol"",""ru"":""Ахтопол"",""uk"":""Ахтопол"",""pl"":""Achtopol"",""hi"":""अहतोपोल"",""ar"":""أهتوبول""}",2019-10-06T09:29:28,2025-12-02T17:11:50,1,Q341027
9252,Aksakovo,4717,03,34,BG,city,,,43.25615000,27.82105000,Аксаково,6932,Europe/Sofia,"{""br"":""Aksakovo"",""ko"":""악사코보"",""pt-BR"":""Aksakovo"",""pt"":""Aksakovo"",""nl"":""Aksakovo"",""hr"":""Aksakovo"",""fa"":""آکساکوفو"",""de"":""Aksakowo"",""es"":""Aksakovo"",""fr"":""Aksakovo"",""ja"":""アクサコヴォ"",""it"":""Aksakovo"",""zh-CN"":""阿克萨科沃"",""tr"":""Aksakovo"",""ru"":""Аксаково"",""uk"":""Аксаково"",""pl"":""Aksakowo"",""hi"":""अक्साकोवो"",""ar"":""أكساكوفو""}",2019-10-06T09:29:28,2025-12-02T17:11:50,1,Q405433
9253,Alfatar,4708,19,34,BG,adm2,,,43.94525000,27.28751000,Алфатар,1916,Europe/Sofia,"{""br"":""Alfatar"",""ko"":""알파타르"",""pt-BR"":""Alfatar"",""pt"":""Alfatar"",""nl"":""Alfatar"",""hr"":""Alfatar"",""fa"":""الفاتار"",""de"":""Alfatar"",""es"":""Alfatar"",""fr"":""Alfatar"",""ja"":""アルファタール"",""it"":""Alfatar"",""zh-CN"":""阿尔法塔尔"",""tr"":""Alfatar"",""ru"":""Альфатар"",""uk"":""Альфатар"",""pl"":""Alfatar"",""hi"":""अल्फ़ातार"",""ar"":""ألفطار""}",2019-10-06T09:29:28,2025-12-02T14:39:31,1,Q407325
9254,Anton,4719,23,34,BG,city,,,42.75000000,24.28333000,Антон,1391,Europe/Sofia,"{""br"":""Anton"",""ko"":""안톤"",""pt-BR"":""Antônio"",""pt"":""Antônio"",""nl"":""Anton"",""hr"":""Anton"",""fa"":""آنتون"",""de"":""Anton"",""es"":""Antón"",""fr"":""Anton"",""ja"":""アントン"",""it"":""Antonio"",""zh-CN"":""安东"",""tr"":""Anton"",""ru"":""Антон"",""uk"":""Антон"",""pl"":""Anton"",""hi"":""एंटोन"",""ar"":""أنطون""}",2019-10-06T09:29:28,2025-12-02T17:11:50,1,Q7511879
9255,Antonovo,4714,25,34,BG,city,,,43.15000000,26.16667000,Антоново,944,Europe/Sofia,"{""br"":""Antonovo"",""ko"":""안토노보"",""pt-BR"":""Antonovo"",""pt"":""Antonovo"",""nl"":""Antonovo"",""hr"":""Antonovo"",""fa"":""آنتونوو"",""de"":""Antonovo"",""es"":""Antónovo"",""fr"":""Antonovo"",""ja"":""アントノヴォ"",""it"":""Antonovo"",""zh-CN"":""安东诺沃"",""tr"":""Antonovo"",""ru"":""Антоново"",""uk"":""Антоново"",""pl"":""Antonowo"",""hi"":""एंटोनोवो"",""ar"":""أنتونوفو""}",2019-10-06T09:29:28,2025-12-02T17:11:50,1,Q405852
9256,Apriltsi,4710,11,34,BG,city,,,42.84142000,24.91759000,Априлци,3851,Europe/Sofia,"{""br"":""miz Ebrel"",""ko"":""아프릴치"",""pt-BR"":""Abriltsi"",""pt"":""Abriltsi"",""nl"":""Apriltsi"",""hr"":""Aprilci"",""fa"":""آوریلتسی"",""de"":""Aprilzi"",""es"":""Apriltsi"",""fr"":""Apriltsi"",""ja"":""アプリルツィ"",""it"":""Apriltsi"",""zh-CN"":""阿普里尔齐"",""tr"":""Nisantsi"",""ru"":""Априлци"",""uk"":""Апрілці"",""pl"":""Apriltsi"",""hi"":""अप्रिलत्सी"",""ar"":""أبريلتسي""}",2019-10-06T09:29:28,2025-12-02T14:39:31,1,Q405223
9257,Ardino,4702,09,34,BG,city,,,41.58333000,25.13333000,Ардино,3468,Europe/Sofia,"{""br"":""Ardino"",""ko"":""아르디노"",""pt-BR"":""Ardino"",""pt"":""Ardino"",""nl"":""Ardino"",""hr"":""Ardino"",""fa"":""آردینو"",""de"":""Ardino"",""es"":""Ardino"",""fr"":""Ardino"",""ja"":""アルディーノ"",""it"":""Ardino"",""zh-CN"":""阿尔迪诺"",""tr"":""Ardino"",""ru"":""Ардино"",""uk"":""Ардіно"",""pl"":""Ardino"",""hi"":""आर्डिनो"",""ar"":""أردينو""}",2019-10-06T09:29:28,2025-12-02T14:38:56,1,Q407347
9258,Asen,4707,24,34,BG,city,,,42.65000000,25.20000000,Асен,429,Europe/Sofia,"{""br"":""Asen"",""ko"":""아센"",""pt-BR"":""Asen"",""pt"":""Asen"",""nl"":""Asen"",""hr"":""Asen"",""fa"":""آسن"",""de"":""Asen"",""es"":""Asen"",""fr"":""Asen"",""ja"":""アセン"",""it"":""Asen"",""zh-CN"":""阿森"",""tr"":""Asen"",""ru"":""Асен"",""uk"":""Асен"",""pl"":""Asen"",""hi"":""असेन"",""ar"":""أسين""}",2019-10-06T09:29:28,2025-12-02T17:11:50,1,Q2011103
9259,Asenovgrad,4701,16,34,BG,city,,,42.01667000,24.86667000,Асеновград,45362,Europe/Sofia,"{""br"":""Asenovgrad"",""ko"":""아세노브그라드"",""pt-BR"":""Asenovgrado"",""pt"":""Asenovgrado"",""nl"":""Asenovgrad"",""hr"":""Asenovgrad"",""fa"":""آسنوفگراد"",""de"":""Assenowgrad"",""es"":""Asenovgrad"",""fr"":""Assénovgrad"",""ja"":""アセノヴグラード"",""it"":""Asenovgrad"",""zh-CN"":""阿塞诺夫格勒"",""tr"":""Asenovgrad"",""ru"":""Асеновград"",""uk"":""Асеновград"",""pl"":""Asenowgrad"",""hi"":""असेनोवग्राद"",""ar"":""أسينوفغراد""}",2019-10-06T09:29:28,2025-12-02T14:38:56,1,Q191871
9260,Asparuhovo,4717,03,34,BG,section,,,43.18067000,27.88823000,Аспарухово,27000,Europe/Sofia,"{""br"":""Asparuhovo"",""ko"":""아스파루호보"",""pt-BR"":""Asparuhovo"",""pt"":""Asparuhovo"",""nl"":""Asparuhovo"",""hr"":""Asparuhovo"",""fa"":""آسپاروهوو"",""de"":""Asparuhovo"",""es"":""Asparuhovo"",""fr"":""Asparuhovo"",""ja"":""アスパルホヴォ"",""it"":""Asparuhovo"",""zh-CN"":""阿斯帕鲁霍沃"",""tr"":""Asparuhovo"",""ru"":""Аспарухово"",""uk"":""Аспарухово"",""pl"":""Asparuchowo"",""hi"":""असपरुहोवो"",""ar"":""أسباروهوفو""}",2019-10-06T09:29:28,2025-12-02T14:39:31,1,Q191871
9261,Aytos,4715,02,34,BG,city,,,42.70188650,27.25203860,Айтос,17171,Europe/Sofia,"{""br"":""Aytos"",""ko"":""아이토스"",""pt-BR"":""Aitos"",""pt"":""Aitos"",""nl"":""Aytos"",""hr"":""Ajtos"",""fa"":""آیتوس"",""de"":""Ajtos"",""es"":""Aytos"",""fr"":""Aytos"",""ja"":""アイトス"",""it"":""Aytos"",""zh-CN"":""艾托斯"",""tr"":""Aytos"",""ru"":""Айтос"",""uk"":""Айтос"",""pl"":""Aytos"",""hi"":""आयटोस"",""ar"":""أيتوس""}",2019-10-06T09:29:28,2025-12-02T17:11:50,1,Q275178
9262,Balchik,4718,08,34,BG,adm2,,,43.42166000,28.15848000,Балчик,13000,Europe/Sofia,"{""br"":""Balchik"",""ko"":""발치크"",""pt-BR"":""Balchik"",""pt"":""Balchik"",""nl"":""Baltsjik"",""hr"":""Balčik"",""fa"":""بالچیک"",""de"":""Baltschik"",""es"":""Balchik"",""fr"":""Balchik"",""ja"":""バルチク"",""it"":""Balchik"",""zh-CN"":""巴尔奇克"",""tr"":""Balçık"",""ru"":""Балчик"",""uk"":""Балчик"",""pl"":""Bałczik"",""hi"":""बालचिक"",""ar"":""بالتشيك""}",2019-10-06T09:29:28,2025-12-02T14:39:31,1,Q329437
