id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
9779,Abomey,3073,ZO,24,BJ,adm1,,,7.18286000,1.99119000,Abomey,117824,Africa/Porto-Novo,"{""br"":""Abomey"",""ko"":""아보메이"",""pt-BR"":""Abomey"",""pt"":""Abomey"",""nl"":""Abomey"",""hr"":""Abomey"",""fa"":""ابومی"",""de"":""Abomey"",""es"":""Abomey"",""fr"":""Abomey"",""ja"":""アボメイ"",""it"":""Abomey"",""zh-CN"":""阿波美"",""tr"":""Abomey"",""ru"":""Абомей"",""uk"":""Абомей"",""pl"":""Abomey"",""hi"":""अबोमी"",""ar"":""أبومي""}",2019-10-06T09:34:51,2025-12-02T14:38:56,1,Q189685
9780,Abomey-Calavi,3079,AQ,24,BJ,city,,,6.44852000,2.35566000,Abomey-Calavi,385755,Africa/Porto-Novo,"{""br"":""Abomey-Calavi"",""ko"":""아보메이-칼라비"",""pt-BR"":""Abomey-Calavi"",""pt"":""Abomey-Calavi"",""nl"":""Abomey-Calavi"",""hr"":""Abomey-Calavi"",""fa"":""ابومی-کالاوی"",""de"":""Abomey-Calavi"",""es"":""Abomey-Calavi"",""fr"":""Abomey-Calavi"",""ja"":""アボメイ・カラヴィ"",""it"":""Abomey-Calavi"",""zh-CN"":""阿波美-卡拉维"",""tr"":""Abomey-Calavi"",""ru"":""Абомей-Калави"",""uk"":""Абомей-Калаві"",""pl"":""Abomey-Calavi"",""hi"":""अबोमे-कैलावी"",""ar"":""أبومي-كالافي""}",2019-10-06T09:34:51,2025-12-02T14:38:56,1,Q189685
9781,Allada,3079,AQ,24,BJ,adm1,,,6.66547000,2.15138000,Alladique,23287,Africa/Porto-Novo,"{""br"":""Allada"",""ko"":""알라다"",""pt-BR"":""Allada"",""pt"":""Allada"",""nl"":""Allada"",""hr"":""Allada"",""fa"":""آلادا"",""de"":""Allada"",""es"":""Allada"",""fr"":""Allada"",""ja"":""アラダ"",""it"":""Allada"",""zh-CN"":""阿拉达"",""tr"":""Allada"",""ru"":""Аллада"",""uk"":""Алада"",""pl"":""Allada"",""hi"":""अल्लाडा"",""ar"":""ألادا""}",2019-10-06T09:34:51,2025-12-02T14:38:56,1,Q189685
9782,Banikoara,3077,AL,24,BJ,city,,,11.29845000,2.43856000,À la Vanikoa,37571,Africa/Porto-Novo,"{""br"":""Banikoara"",""ko"":""바니코아라"",""pt-BR"":""Banikoara"",""pt"":""Banikoara"",""nl"":""Banikoara"",""hr"":""Banikoara"",""fa"":""بانیکوآرا"",""de"":""Banikoara"",""es"":""Banikoara"",""fr"":""Banikoara"",""ja"":""バニコアラ"",""it"":""Banikoara"",""zh-CN"":""巴尼科拉"",""tr"":""Banikoara"",""ru"":""Баникоара"",""uk"":""Банікоара"",""pl"":""Banikoara"",""hi"":""बनिकोरा"",""ar"":""بانيكوارا""}",2019-10-06T09:34:51,2025-12-02T14:39:31,1,Q189685
9783,Bassila,3072,DO,24,BJ,city,,,9.00814000,1.66540000,Bassila,46569,Africa/Porto-Novo,"{""br"":""Bassila"",""ko"":""바실라"",""pt-BR"":""Bassila"",""pt"":""Bassila"",""nl"":""Bassila"",""hr"":""Basila"",""fa"":""باسیلا"",""de"":""Bassila"",""es"":""Bassila"",""fr"":""Bassila"",""ja"":""バシラ"",""it"":""Bassila"",""zh-CN"":""巴西拉"",""tr"":""Bassila"",""ru"":""Бассила"",""uk"":""Бассіла"",""pl"":""Basila"",""hi"":""बासिला"",""ar"":""باسيلا""}",2019-10-06T09:34:51,2025-12-02T14:38:56,1,Q189685
9784,Bembèrèkè,3078,BO,24,BJ,city,,,10.22827000,2.66335000,Gardien,31176,Africa/Porto-Novo,"{""br"":""Bembèrèkè"",""ko"":""벰베르케"",""pt-BR"":""Bembèrèkè"",""pt"":""Bembèrèkè"",""nl"":""Bembèrèkè"",""hr"":""Bembèrèkè"",""fa"":""بمبرک"",""de"":""Bembèrèkè"",""es"":""Bembèrèkè"",""fr"":""Bembèrèkè"",""ja"":""ベンベレケ"",""it"":""Bembèrèkè"",""zh-CN"":""贝姆贝雷克"",""tr"":""Bembèrèkè"",""ru"":""Бемберекэ"",""uk"":""Бембереке"",""pl"":""Bembèrèkè"",""hi"":""बेम्बरेके"",""ar"":""بيمبيريكي""}",2019-10-06T09:34:51,2025-12-02T14:39:31,1,Q189685
9785,Bohicon,3073,ZO,24,BJ,adm2,,,7.17826000,2.06670000,Bohicon,93744,Africa/Porto-Novo,"{""br"":""Bohicon"",""ko"":""보히콘"",""pt-BR"":""Bohicon"",""pt"":""Bohicon"",""nl"":""Bohicon"",""hr"":""Bohicon"",""fa"":""بوهیکون"",""de"":""Bohicon"",""es"":""Bohicón"",""fr"":""Bohicon"",""ja"":""ボヒコン"",""it"":""Bohicon"",""zh-CN"":""博希孔"",""tr"":""Bohicon"",""ru"":""Бохикон"",""uk"":""Бохікон"",""pl"":""Bohicon"",""hi"":""बोहिकॉन"",""ar"":""بوهيكون""}",2019-10-06T09:34:51,2025-12-02T14:38:56,1,Q189685
9786,Bétérou,3078,BO,24,BJ,city,,,9.19916000,2.25855000,Bétérou,13108,Africa/Porto-Novo,"{""br"":""Bétérou"",""ko"":""베테루"",""pt-BR"":""Bétérou"",""pt"":""Bétérou"",""nl"":""Bétérou"",""hr"":""Bétérou"",""fa"":""بترو"",""de"":""Bétérou"",""es"":""Bétérou"",""fr"":""Bétérou"",""ja"":""ベテロウ"",""it"":""Bétérou"",""zh-CN"":""贝特鲁"",""tr"":""Bétérou"",""ru"":""Бетеру"",""uk"":""Бетеру"",""pl"":""Bétérou"",""hi"":""बेतेरौ"",""ar"":""بيتيرو""}",2019-10-06T09:34:51,2025-12-02T14:38:56,1,Q2756784
9787,Commune of Agbangnizoun,3073,ZO,24,BJ,adm1,,,7.07600000,1.96100000,Commune d'AcaMenzo,,Africa/Porto-Novo,"{""br"":""Kumun Agbangnizoun"",""ko"":""아그방니존 공동체"",""pt-BR"":""Comuna de Agbangnizoun"",""pt"":""Comuna de Agbangnizoun"",""nl"":""Gemeente Agbangnizoun"",""hr"":""Općina Agbangnizoun"",""fa"":""کمون آگبانگنیزون"",""de"":""Gemeinde Agbangnizoun"",""es"":""Comuna de Agbangnizoun"",""fr"":""Commune d'Agbangnizoun"",""ja"":""アグバンニズーンコミューン"",""it"":""Comune di Agbangnizoun"",""zh-CN"":""阿格班尼宗公社"",""tr"":""Agbangnizoun Komünü"",""ru"":""Коммуна Агбангнизун"",""uk"":""Комуна Агбангнізун"",""pl"":""Gmina Agbangnizoun"",""hi"":""अगबांगनिज़ौन का कम्यून"",""ar"":""بلدية أغبانغنيزون""}",2019-10-06T09:34:51,2025-12-02T17:11:50,1,Q527734
9788,Commune of Athieme,3075,MO,24,BJ,adm2,,,6.56924000,1.70259000,Communauté d'une maison d'âge.,,Africa/Porto-Novo,"{""br"":""Kumun Athieme"",""ko"":""아티에메 공동체"",""pt-BR"":""Comuna de Athieme"",""pt"":""Comuna de Athieme"",""nl"":""Gemeente Athieme"",""hr"":""Općina Athieme"",""fa"":""کمون آتیمه"",""de"":""Gemeinde Athieme"",""es"":""Comuna de Athieme"",""fr"":""Commune d'Athieme"",""ja"":""アティエムのコミューン"",""it"":""Comune di Athieme"",""zh-CN"":""阿蒂梅公社"",""tr"":""Athieme Komünü"",""ru"":""Коммуна Атием"",""uk"":""Комуна Атіме"",""pl"":""Gmina Athieme"",""hi"":""एथीम का कम्यून"",""ar"":""بلدية أثييم""}",2019-10-06T09:34:51,2025-12-02T17:11:50,1,Q2682057
9789,Commune of Djougou,3072,DO,24,BJ,city,,,9.64300000,1.89600000,Commune de Djougo,237040,Africa/Porto-Novo,"{""br"":""Kumun Djougou"",""ko"":""주구 공동체"",""pt-BR"":""Comuna de Djougou"",""pt"":""Comuna de Djougou"",""nl"":""Gemeente Djougou"",""hr"":""Općina Djougou"",""fa"":""کمون جوگو"",""de"":""Gemeinde Djougou"",""es"":""Comuna de Djougou"",""fr"":""Commune de Djougou"",""ja"":""ジュグーのコミューン"",""it"":""Comune di Djougou"",""zh-CN"":""朱古公社"",""tr"":""Djougou Komünü"",""ru"":""Коммуна Джугу"",""uk"":""Комуна Джугу"",""pl"":""Gmina Djougou"",""hi"":""जोउगौ का कम्यून"",""ar"":""بلدية دجوغو""}",2019-10-06T09:34:51,2025-12-02T16:59:27,1,Q2682057
9790,Comé,3070,CO,24,BJ,city,,,6.40764000,1.88198000,Comé,42586,Africa/Porto-Novo,"{""br"":""Dont"",""ko"":""오다"",""pt-BR"":""Vir"",""pt"":""Vir"",""nl"":""Komen"",""hr"":""Comé"",""fa"":""کومه"",""de"":""Kommen"",""es"":""Venir"",""fr"":""Viens"",""ja"":""来る"",""it"":""Venire"",""zh-CN"":""来"",""tr"":""Gelmek"",""ru"":""Приходить"",""uk"":""Коме"",""pl"":""Przychodzić"",""hi"":""आना"",""ar"":""يأتي""}",2019-10-06T09:34:51,2025-12-02T14:38:56,1,Q2682057
9791,Cotonou,3081,LI,24,BJ,gov_seat,,,6.36536000,2.41833000,Coton,679012,Africa/Porto-Novo,"{""br"":""Cotonou"",""ko"":""코토누"",""pt-BR"":""Cotonou"",""pt"":""Cotonou"",""nl"":""Cotonou"",""hr"":""Cotonou"",""fa"":""کوتونو"",""de"":""Cotonou"",""es"":""Cotonú"",""fr"":""Cotonou"",""ja"":""コトヌー"",""it"":""Cotonou"",""zh-CN"":""科托努"",""tr"":""Cotonou"",""ru"":""Котону"",""uk"":""Котону"",""pl"":""Kotonu"",""hi"":""Cotonou"",""ar"":""كوتونو""}",2019-10-06T09:34:51,2025-12-02T14:39:31,1,Q43595
9792,Cové,3073,ZO,24,BJ,city,,,7.22097000,2.34017000,Covin,43554,Africa/Porto-Novo,"{""br"":""Cové"",""ko"":""후미"",""pt-BR"":""Enseada"",""pt"":""Enseada"",""nl"":""Inham"",""hr"":""Uvala"",""fa"":""خور"",""de"":""Bucht"",""es"":""Ensenada"",""fr"":""Crique"",""ja"":""入り江"",""it"":""Baia"",""zh-CN"":""科夫"",""tr"":""Cové"",""ru"":""Ковэ"",""uk"":""Кове"",""pl"":""Zatoczka"",""hi"":""कोवे"",""ar"":""كوفيه""}",2019-10-06T09:34:51,2025-12-02T14:39:31,1,Q43595
9793,Dassa-Zoumé,3070,CO,24,BJ,adm1,,,7.75000000,2.18333000,Lui donne une zougea,29461,Africa/Porto-Novo,"{""br"":""Dassa-Zoumé"",""ko"":""다사-주메"",""pt-BR"":""Dassa-Zoumé"",""pt"":""Dassa-Zoumé"",""nl"":""Dassa-Zoumé"",""hr"":""Dassa-Zoumé"",""fa"":""داسا-زومه"",""de"":""Dassa-Zoumé"",""es"":""Dassa-Zoumé"",""fr"":""Dassa-Zoumé"",""ja"":""ダッサ・ズメ"",""it"":""Dassa-Zoumé"",""zh-CN"":""达萨-祖梅"",""tr"":""Dassa-Zoumé"",""ru"":""Дасса-Зуме"",""uk"":""Дасса-Зуме"",""pl"":""Dassa-Zoumé"",""hi"":""दस्सा-ज़ौमे"",""ar"":""داسا زومي""}",2019-10-06T09:34:51,2025-12-02T14:39:31,1,Q43595
9794,Djakotomey,3071,KO,24,BJ,city,,,6.90000000,1.71667000,Djakotomey,19498,Africa/Porto-Novo,"{""br"":""Djakotomey"",""ko"":""자코토메이"",""pt-BR"":""Djakotomey"",""pt"":""Djakotomey"",""nl"":""Djakotomey"",""hr"":""Djakotomey"",""fa"":""دژاکوتومی"",""de"":""Djakotomey"",""es"":""Djakotomey"",""fr"":""Djakotomey"",""ja"":""ジャコトメイ"",""it"":""Djakotomey"",""zh-CN"":""贾科托梅伊"",""tr"":""Djakotomey"",""ru"":""Джакотомей"",""uk"":""Джакотомей"",""pl"":""Djakotomey"",""hi"":""जाकोतोमे"",""ar"":""جاكوتومي""}",2019-10-06T09:34:51,2025-12-02T14:39:31,1,Q3032740
9795,Djougou,3072,DO,24,BJ,adm1,,,9.70853000,1.66598000,Jonction,94773,Africa/Porto-Novo,"{""br"":""Djougou"",""ko"":""주구"",""pt-BR"":""Djougou"",""pt"":""Djougou"",""nl"":""Djougou"",""hr"":""Djougou"",""fa"":""جوگو"",""de"":""Djougou"",""es"":""Djougou"",""fr"":""Djougou"",""ja"":""ジュグー"",""it"":""Djougou"",""zh-CN"":""朱古"",""tr"":""Djougou"",""ru"":""Джугу"",""uk"":""Джугу"",""pl"":""Djougou"",""hi"":""जोउगौ"",""ar"":""دجوغو""}",2019-10-06T09:34:51,2025-12-02T14:39:31,1,Q3032740
9796,Dogbo,3071,KO,24,BJ,adm2,,,6.79911000,1.78073000,Refuser,41341,Africa/Porto-Novo,"{""br"":""Dogbo"",""ko"":""도그보"",""pt-BR"":""Dogbo"",""pt"":""Dogbo"",""nl"":""Dogbo"",""hr"":""Dogbo"",""fa"":""داگبو"",""de"":""Dogbo"",""es"":""Dogbo"",""fr"":""Dogbo"",""ja"":""ドグボ"",""it"":""Dogbo"",""zh-CN"":""狗宝"",""tr"":""Dogbo"",""ru"":""Догбо"",""uk"":""Догбо"",""pl"":""Dogbo"",""hi"":""डोगबो"",""ar"":""دوغبو""}",2019-10-06T09:34:51,2025-12-02T14:39:31,1,Q3032740
