id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
9825,Abapó,3377,S,27,BO,city,,,-18.88279000,-63.38026000,Abapó,2419,America/La_Paz,"{""br"":""Abapó"",""ko"":""아바포"",""pt-BR"":""Abapó"",""pt"":""Abapó"",""nl"":""Abapó"",""hr"":""Abapó"",""fa"":""آباپو"",""de"":""Abapó"",""es"":""Abapó"",""fr"":""Abapó"",""ja"":""アバポ"",""it"":""Abapó"",""zh-CN"":""阿巴波"",""tr"":""Abapó"",""ru"":""Абапо"",""uk"":""Абапо"",""pl"":""Abapó"",""hi"":""अबापो"",""ar"":""أبابو""}",2019-10-06T09:34:52,2025-12-02T14:38:56,1,Q305531
9826,Achacachi,3380,L,27,BO,city,,,-16.05000000,-68.68333000,AUT ACHACHICHI.,8857,America/La_Paz,"{""br"":""Achacachi"",""ko"":""아차카치"",""pt-BR"":""Achacachi"",""pt"":""Achacachi"",""nl"":""Achacachi"",""hr"":""Achacachi"",""fa"":""آچاچاچی"",""de"":""Achacachi"",""es"":""Achacachi"",""fr"":""Achacachi"",""ja"":""アチャカチ"",""it"":""Achacachi"",""zh-CN"":""阿查卡奇"",""tr"":""Achacachi"",""ru"":""Ачакачи"",""uk"":""Ачакачі"",""pl"":""Achachachi"",""hi"":""अचाकाची"",""ar"":""أتشاكاشي""}",2019-10-06T09:34:52,2025-12-02T14:38:56,1,Q1553175
9827,Aiquile,3381,C,27,BO,city,,,-18.20408000,-65.18068000,Aiquil,7381,America/La_Paz,"{""br"":""Aiquile"",""ko"":""아이킬레"",""pt-BR"":""Aiquile"",""pt"":""Aiquile"",""nl"":""Aiquile"",""hr"":""Aiquile"",""fa"":""ایکیل"",""de"":""Aiquile"",""es"":""Aiquile"",""fr"":""Aiquile"",""ja"":""アイキレ"",""it"":""Aiquile"",""zh-CN"":""艾基莱"",""tr"":""Aiquile"",""ru"":""Айкиле"",""uk"":""Айкіле"",""pl"":""Aiquile"",""hi"":""ऐक्विले"",""ar"":""أيكيلي""}",2019-10-06T09:34:52,2025-12-02T14:38:56,1,Q1617416
9828,Amarete,3380,L,27,BO,city,,,-15.23675000,-68.98462000,Amarete,2203,America/La_Paz,"{""br"":""Amarete"",""ko"":""아마레테"",""pt-BR"":""Amarete"",""pt"":""Amarete"",""nl"":""Amarette"",""hr"":""Amarete"",""fa"":""آمارت"",""de"":""Amarete"",""es"":""Amarete"",""fr"":""Amarete"",""ja"":""アマレテ"",""it"":""Amarete"",""zh-CN"":""阿马雷特"",""tr"":""Amarete"",""ru"":""Амарете"",""uk"":""Амарете"",""pl"":""Amarete"",""hi"":""अमरेटे"",""ar"":""أماريتي""}",2019-10-06T09:34:52,2025-12-02T14:38:56,1,Q454982
9829,Arani,3381,C,27,BO,city,,,-17.56854000,-65.76883000,Arani,3512,America/La_Paz,"{""br"":""Arani"",""ko"":""아라니"",""pt-BR"":""Arani"",""pt"":""Arani"",""nl"":""Arani"",""hr"":""Arani"",""fa"":""آرانی"",""de"":""Arani"",""es"":""Arani"",""fr"":""Arani"",""ja"":""アラニ"",""it"":""Arani"",""zh-CN"":""阿拉尼"",""tr"":""Arani"",""ru"":""Арани"",""uk"":""Арані"",""pl"":""Arani"",""hi"":""अरणि"",""ar"":""أراني""}",2019-10-06T09:34:52,2025-12-02T14:38:56,1,Q1026281
9830,Ascención de Guarayos,3377,S,27,BO,locality,,,-15.89299000,-63.18855000,Amoyose Amoyos,18816,America/La_Paz,"{""br"":""Ascención de Guarayos"",""ko"":""과라요스의 승천"",""pt-BR"":""Ascensão de Guarayos"",""pt"":""Ascensão de Guarayos"",""nl"":""Ascención de Guarayos"",""hr"":""Uzašašće Guarayosa"",""fa"":""آسنسیون دِ گوارایوس"",""de"":""Aufstieg von Guarayos"",""es"":""Ascensión de Guarayos"",""fr"":""Ascension de Guarayos"",""ja"":""グアラヨスの昇天"",""it"":""Ascención de Guarayos"",""zh-CN"":""瓜拉约斯升天"",""tr"":""Guarayos'un Yükselişi"",""ru"":""Ascención de Guarayos"",""uk"":""Асенсьйон-де-Гуарайос"",""pl"":""Ascención de Guarayos"",""hi"":""Ascención de Guarayos"",""ar"":""صعود غوايوس""}",2019-10-06T09:34:52,2025-12-02T14:38:56,1,Q1026281
9831,Ascensión,3377,S,27,BO,city,,,-15.70000000,-63.08333000,Ascensión,14429,America/La_Paz,"{""br"":""Pignat"",""ko"":""승천"",""pt-BR"":""Ascensão"",""pt"":""Ascensão"",""nl"":""Hemelvaart"",""hr"":""Uzašašće"",""fa"":""عروج"",""de"":""Aufstieg"",""es"":""Ascensión"",""fr"":""Ascension"",""ja"":""上昇"",""it"":""Ascensione"",""zh-CN"":""升天"",""tr"":""Yükseliş"",""ru"":""Вознесение"",""uk"":""Вознесіння"",""pl"":""Wniebowstąpienie"",""hi"":""असेंशन"",""ar"":""الصعود""}",2019-10-06T09:34:52,2025-12-02T14:39:31,1,Q1026281
9832,Atocha,3383,P,27,BO,city,,,-20.93515000,-66.22139000,Atocha,1833,America/La_Paz,"{""br"":""Atocha"",""ko"":""아토차"",""pt-BR"":""Atocha"",""pt"":""Atocha"",""nl"":""Atocha"",""hr"":""Atocha"",""fa"":""آتوچا"",""de"":""Atocha"",""es"":""Atocha"",""fr"":""Atocha"",""ja"":""アトーチャ"",""it"":""Atocha"",""zh-CN"":""阿托查"",""tr"":""Atocha"",""ru"":""Аточа"",""uk"":""Аточа"",""pl"":""Atocha"",""hi"":""अटोचा"",""ar"":""أتوتشا""}",2019-10-06T09:34:52,2025-12-02T14:38:56,1,Q637550
9833,Batallas,3380,L,27,BO,city,,,-16.30000000,-68.53333000,Batallas,2597,America/La_Paz,"{""br"":""Batallas"",""ko"":""바탈라스"",""pt-BR"":""Batalhas"",""pt"":""Batalhas"",""nl"":""Batallas"",""hr"":""Batallas"",""fa"":""باتالاس"",""de"":""Batallas"",""es"":""Batallas"",""fr"":""Batailles"",""ja"":""バタラス"",""it"":""Batallas"",""zh-CN"":""巴塔拉斯"",""tr"":""Batallas"",""ru"":""Батальяс"",""uk"":""Баталлас"",""pl"":""Batallas"",""hi"":""बटललस"",""ar"":""باتالاس""}",2019-10-06T09:34:52,2025-12-02T14:38:56,1,Q810710
9834,Bermejo,3378,T,27,BO,city,,,-22.73206000,-64.33724000,Bermejo,35411,America/La_Paz,"{""br"":""Bermejo"",""ko"":""베르메조"",""pt-BR"":""Bermejo"",""pt"":""Bermejo"",""nl"":""Bermejo"",""hr"":""Bermejo"",""fa"":""برمخو"",""de"":""Bermejo"",""es"":""Bermejo"",""fr"":""Bermejo"",""ja"":""ベルメホ"",""it"":""Bermejo"",""zh-CN"":""贝尔梅霍"",""tr"":""Bermejo"",""ru"":""Бермехо"",""uk"":""Бермехо"",""pl"":""Bermejo"",""hi"":""बर्मेजो"",""ar"":""بيرميجو""}",2019-10-06T09:34:52,2025-12-02T14:39:31,1,Q634479
