id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
10053,Abadia de Goiás,2000,GO,31,BR,city,,,-16.77762000,-49.46841000,Abadia de Goiás,22052,America/Sao_Paulo,"{""br"":""Abadia de Goiás"",""ko"":""아바디아 데 고이아스"",""pt-BR"":""Abadia de Goiás"",""pt"":""Abadia de Goiás"",""nl"":""Abadia de Goiás"",""hr"":""Abadia de Goiás"",""fa"":""آبادیا د گویاس"",""de"":""Abadia de Goiás"",""es"":""Abadía de Goiás"",""fr"":""Abbaye de Goiás"",""ja"":""アバディア・デ・ゴイアス"",""it"":""Abadia de Goiás"",""zh-CN"":""戈亚斯阿巴迪亚"",""tr"":""Abadia de Goiás"",""ru"":""Абадия де Гояс"",""uk"":""Абадія-ді-Гояс"",""pl"":""Abadia de Goiás"",""hi"":""अबादिया डे गोइआस"",""ar"":""أباديا دي غوياس""}",2019-10-06T09:34:55,2025-12-02T17:11:50,1,Q304652
10054,Abadia dos Dourados,1998,MG,31,BR,city,,,-18.36347000,-47.46997000,Abadia dos Dourados,6345,America/Sao_Paulo,"{""br"":""Abadia dos Dourados"",""ko"":""아바디아 도스 두라도스"",""pt-BR"":""Abadia dos Dourados"",""pt"":""Abadia dos Dourados"",""nl"":""Abadia dos Dourados"",""hr"":""Abadia dos Dourados"",""fa"":""آبادیا دوس دورادوس"",""de"":""Abadia dos Dourados"",""es"":""Abadía de los Dorados"",""fr"":""Abbaye des Dourados"",""ja"":""アバディア・ドス・ドウラドス"",""it"":""Abadia dos Dourados"",""zh-CN"":""金顶修道院"",""tr"":""Abadia dos Dourados"",""ru"":""Абадия дос Доурадос"",""uk"":""Абадія-дус-Дорадус"",""pl"":""Abadia dos Dourados"",""hi"":""अबादिया डॉस डोराडोस"",""ar"":""أباديا دوس دورادوس""}",2019-10-06T09:34:55,2025-12-02T16:59:27,1,Q582223
10055,Abadiânia,2000,GO,31,BR,city,,,-16.22632000,-48.62681000,Abadiânia,17738,America/Sao_Paulo,"{""br"":""Abadiânia"",""ko"":""아바디아니아"",""pt-BR"":""Abadiânia"",""pt"":""Abadiânia"",""nl"":""Abadiânia"",""hr"":""Abadiânia"",""fa"":""آبادیانیا"",""de"":""Abadiânia"",""es"":""Abadiânia"",""fr"":""Abadiânia"",""ja"":""アバディアニア"",""it"":""Abadiânia"",""zh-CN"":""阿巴迪亚尼亚"",""tr"":""Abadiânia"",""ru"":""Абадиания"",""uk"":""Абадіанія"",""pl"":""Abadiania"",""hi"":""अबादियानिया"",""ar"":""أباديانيا""}",2019-10-06T09:34:55,2025-12-02T16:59:27,1,Q304716
10056,Abaetetuba,2009,PA,31,BR,city,,,-1.71806000,-48.88250000,Abaetetuba,158188,America/Belem,"{""br"":""Abaetetuba"",""ko"":""아바에테투바"",""pt-BR"":""Abaetetuba"",""pt"":""Abaetetuba"",""nl"":""Abaetetuba"",""hr"":""Abaetetuba"",""fa"":""آباتتوبا"",""de"":""Abaetetuba"",""es"":""Abaetetuba"",""fr"":""Abaetetuba"",""ja"":""アバエテトゥバ"",""it"":""Abaetetuba"",""zh-CN"":""阿巴埃特图巴"",""tr"":""Abaetetuba"",""ru"":""Абаететуба"",""uk"":""Абаететуба"",""pl"":""Abaetetuba"",""hi"":""अबेटेट्यूबा"",""ar"":""أبايتيتوبا""}",2019-10-06T09:34:55,2025-12-02T14:39:55,1,Q1615298
10057,Abaeté,1998,MG,31,BR,city,,,-19.11099000,-45.43051000,Abaeté,23173,America/Sao_Paulo,"{""br"":""Abaeté"",""ko"":""아바에테"",""pt-BR"":""Abaeté"",""pt"":""Abaeté"",""nl"":""Abaeté"",""hr"":""Abaeté"",""fa"":""آباته"",""de"":""Abaeté"",""es"":""Abaeté"",""fr"":""Abaeté"",""ja"":""アバエテ"",""it"":""Abaeté"",""zh-CN"":""阿巴埃特"",""tr"":""Abaeté"",""ru"":""Абаэте"",""uk"":""Абаете"",""pl"":""Abaeté"",""hi"":""अबाएटे"",""ar"":""أباتي""}",2019-10-06T09:34:55,2025-12-02T17:11:50,1,Q1615444
10058,Abaiara,2016,CE,31,BR,city,,,-7.33642000,-39.06129000,Abiara,10269,America/Sao_Paulo,"{""br"":""Abaiara"",""ko"":""아바이아라"",""pt-BR"":""Abaiara"",""pt"":""Abaiara"",""nl"":""Abaiara"",""hr"":""Abaiara"",""fa"":""آبیارا"",""de"":""Abaiara"",""es"":""Abaiara"",""fr"":""Abaiara"",""ja"":""アバイアラ"",""it"":""Abaiara"",""zh-CN"":""阿巴亚拉"",""tr"":""Abayara"",""ru"":""Абайара"",""uk"":""Абаяра"",""pl"":""Abaiara"",""hi"":""अबियारा"",""ar"":""أبيارا""}",2019-10-06T09:34:55,2025-12-02T17:11:50,1,Q1796441
10059,Abaré,2002,BA,31,BR,city,,,-8.80961000,-39.27062000,Eu cobri,18269,America/Sao_Paulo,"{""br"":""Abaré"",""ko"":""아바레"",""pt-BR"":""Abaré"",""pt"":""Abaré"",""nl"":""Abaré"",""hr"":""Abaré"",""fa"":""آباره"",""de"":""Abaré"",""es"":""Abaré"",""fr"":""Abaré"",""ja"":""アバレ"",""it"":""Abaré"",""zh-CN"":""阿瓦雷"",""tr"":""Abaré"",""ru"":""Абаре"",""uk"":""Абаре"",""pl"":""Abaré"",""hi"":""एक खाली"",""ar"":""أباريه""}",2019-10-06T09:34:55,2025-12-02T17:11:50,1,Q1647789
10060,Abatiá,2022,PR,31,BR,city,,,-23.29903000,-50.32176000,Abatiá,7233,America/Sao_Paulo,"{""br"":""Abatiá"",""ko"":""아바티아"",""pt-BR"":""Abatiá"",""pt"":""Abatiá"",""nl"":""Abatiá"",""hr"":""Abatiá"",""fa"":""آباتیا"",""de"":""Abatiá"",""es"":""Abatiá"",""fr"":""Abatiá"",""ja"":""アバティア"",""it"":""Abatiá"",""zh-CN"":""阿巴蒂亚"",""tr"":""Abatiá"",""ru"":""Абатия"",""uk"":""Абатія"",""pl"":""Abatiá"",""hi"":""अबातिया"",""ar"":""أباتيا""}",2019-10-06T09:34:55,2025-12-02T17:11:50,1,Q784855
10061,Abaíra,2002,BA,31,BR,city,,,-13.32129000,-41.69759000,Abaíra,7407,America/Sao_Paulo,"{""br"":""Abaíra"",""ko"":""아바이라"",""pt-BR"":""Abaíra"",""pt"":""Abaíra"",""nl"":""Abaíra"",""hr"":""Abaíra"",""fa"":""آبیرا"",""de"":""Abaíra"",""es"":""Abaíra"",""fr"":""Abaíra"",""ja"":""アバイラ"",""it"":""Abaíra"",""zh-CN"":""阿巴伊拉"",""tr"":""Abaíra"",""ru"":""Абайра"",""uk"":""Абайра"",""pl"":""Abaíra"",""hi"":""अबैरा"",""ar"":""أبايرا""}",2019-10-06T09:34:55,2025-12-02T17:11:50,1,Q1645077
10062,Abdon Batista,2014,SC,31,BR,city,,,-27.58981000,-51.04023000,Abdon Batista,2629,America/Sao_Paulo,"{""br"":""Abdon Batista"",""ko"":""압돈 바티스타"",""pt-BR"":""Abdon Batista"",""pt"":""Abdon Batista"",""nl"":""Abdon Batista"",""hr"":""Abdon Batista"",""fa"":""ابدون باتیستا"",""de"":""Abdon Batista"",""es"":""Abdón Batista"",""fr"":""Abdon Batista"",""ja"":""アブドン・バティスタ"",""it"":""Abdon Batista"",""zh-CN"":""阿卜顿·巴蒂斯塔"",""tr"":""Abdon Batista"",""ru"":""Абдон Батиста"",""uk"":""Абдон Батіста"",""pl"":""Abdon Batista"",""hi"":""एब्डोन बतिस्ता"",""ar"":""عبدون باتيستا""}",2019-10-06T09:34:55,2025-12-02T17:11:50,1,Q1637414
