id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
15685,Abraham’s Bay,3633,MG,17,BS,adm1,,,22.36667000,-72.96667000,Abraham’s Bay,235,America/Nassau,"{""br"":""Bae Abraham"",""ko"":""아브라함스 베이"",""pt-BR"":""Baía de Abraão"",""pt"":""Baía de Abraão"",""nl"":""Abrahamsbaai"",""hr"":""Abrahamov zaljev"",""fa"":""خلیج ابراهیم"",""de"":""Abrahams Bucht"",""es"":""Bahía de Abraham"",""fr"":""Baie d'Abraham"",""ja"":""アブラハムズベイ"",""it"":""Baia di Abramo"",""zh-CN"":""亚伯拉罕湾"",""tr"":""İbrahim Körfezi"",""ru"":""Залив Авраама"",""uk"":""Затока Абрахама"",""pl"":""Zatoka Abrahama"",""hi"":""अब्राहम की खाड़ी"",""ar"":""خليج إبراهيم""}",2019-10-06T09:35:41,2025-12-02T14:39:31,1,Q658024
15686,Alice Town,3629,BI,17,BS,adm1,,,25.72800000,-79.29721000,Alice Town,1131,America/Nassau,"{""br"":""Kêr Alis"",""ko"":""앨리스 타운"",""pt-BR"":""Alice Town"",""pt"":""Alice Town"",""nl"":""Alice Town"",""hr"":""Grad Alice"",""fa"":""شهر آلیس"",""de"":""Alice Town"",""es"":""Ciudad Alice"",""fr"":""Alice Town"",""ja"":""アリスタウン"",""it"":""Città di Alice"",""zh-CN"":""爱丽丝镇"",""tr"":""Alice Kasabası"",""ru"":""Элис Таун"",""uk"":""Еліс-Таун"",""pl"":""Miasto Alicji"",""hi"":""एलिस टाउन"",""ar"":""أليس تاون""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q1771833
15687,Andros Town,3617,NS,17,BS,city,,,24.70502000,-77.76912000,Andros Town,2443,America/Nassau,"{""br"":""Kêr Andros"",""ko"":""안드로스 타운"",""pt-BR"":""Cidade de Andros"",""pt"":""Cidade de Andros"",""nl"":""Andros-stad"",""hr"":""Grad Andros"",""fa"":""شهر آندروس"",""de"":""Andros-Stadt"",""es"":""Ciudad de Andros"",""fr"":""Ville d'Andros"",""ja"":""アンドロスタウン"",""it"":""Città di Andros"",""zh-CN"":""安德罗斯镇"",""tr"":""Andros Kasabası"",""ru"":""Андрос Таун"",""uk"":""Андрос-Таун"",""pl"":""Miasto Andros"",""hi"":""एंड्रोस टाउन"",""ar"":""مدينة أندروس""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q1771818
15688,Arthur’s Town,3611,CI,17,BS,adm1,,,24.62240000,-75.67151000,Arthur’s Town,1175,America/Nassau,"{""br"":""Kêr Arzhur"",""ko"":""아서스 타운"",""pt-BR"":""Cidade de Arthur"",""pt"":""Cidade de Arthur"",""nl"":""Arthur's Town"",""hr"":""Arthurov grad"",""fa"":""شهر آرتور"",""de"":""Arthurs Stadt"",""es"":""Pueblo de Arthur"",""fr"":""La ville d'Arthur"",""ja"":""アーサーズタウン"",""it"":""La città di Arthur"",""zh-CN"":""亚瑟镇"",""tr"":""Arthur'un Kasabası"",""ru"":""Город Артура"",""uk"":""Місто Артура"",""pl"":""Miasto Artura"",""hi"":""आर्थर टाउन"",""ar"":""مدينة آرثر""}",2019-10-06T09:35:41,2025-12-02T14:39:31,1,Q1771792
15689,Clarence Town,3610,LI,17,BS,adm1,,,23.10000000,-74.98333000,Clarence Town,1788,America/Nassau,"{""br"":""Kêr Clarence"",""ko"":""클래런스 타운"",""pt-BR"":""Clarence Town"",""pt"":""Clarence Town"",""nl"":""Clarence Town"",""hr"":""Clarence Town"",""fa"":""شهر کلارنس"",""de"":""Clarence Town"",""es"":""Clarence Town"",""fr"":""Clarence Town"",""ja"":""クラレンスタウン"",""it"":""Clarence Town"",""zh-CN"":""克拉伦斯镇"",""tr"":""Clarence Kasabası"",""ru"":""Кларенс Таун"",""uk"":""Кларенс-Таун"",""pl"":""Miasto Clarence"",""hi"":""क्लेरेंस टाउन"",""ar"":""كلارنس تاون""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q891114
15690,Cockburn Town,3627,SS,17,BS,adm1,,,24.05179000,-74.53138000,Cockburn Town,831,America/Nassau,"{""br"":""Kêr Cockburn"",""ko"":""콕번 타운"",""pt-BR"":""Cidade de Cockburn"",""pt"":""Cidade de Cockburn"",""nl"":""Cockburn Town"",""hr"":""Cockburn Town"",""fa"":""شهر کاکبرن"",""de"":""Cockburn Stadt"",""es"":""Ciudad de Cockburn"",""fr"":""Ville de Cockburn"",""ja"":""コックバーンタウン"",""it"":""Cockburn Town"",""zh-CN"":""科克伯恩城"",""tr"":""Cockburn Kasabası"",""ru"":""Кокберн-Таун"",""uk"":""Кокберн-Таун"",""pl"":""Miasto Cockburn"",""hi"":""कॉकबर्न टाउन"",""ar"":""كوكبيرن تاون""}",2019-10-06T09:35:41,2025-12-02T14:39:31,1,Q9195237
15691,Colonel Hill,3621,CK,17,BS,adm1,,,22.75450000,-74.20415000,Colonel Hill,223,America/Nassau,"{""br"":""Ar c'horonal Hill"",""ko"":""힐 대령"",""pt-BR"":""Coronel Hill"",""pt"":""Coronel Hill"",""nl"":""Kolonel Hill"",""hr"":""Pukovnik Hill"",""fa"":""سرهنگ هیل"",""de"":""Oberst Hill"",""es"":""Coronel Hill"",""fr"":""Colonel Hill"",""ja"":""ヒル大佐"",""it"":""Colonnello Hill"",""zh-CN"":""希尔上校"",""tr"":""Albay Hill"",""ru"":""Полковник Хилл"",""uk"":""Полковник Гілл"",""pl"":""Pułkownik Hill"",""hi"":""कर्नल हिल"",""ar"":""العقيد هيل""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q1771805
15692,Cooper’s Town,3616,NO,17,BS,city,,,26.87137000,-77.51131000,Cooper’s Town,8413,America/Nassau,"{""br"":""Kêr Cooper"",""ko"":""쿠퍼스 타운"",""pt-BR"":""Cidade de Cooper"",""pt"":""Cidade de Cooper"",""nl"":""Cooper's Town"",""hr"":""Cooperov grad"",""fa"":""شهر کوپر"",""de"":""Coopers Stadt"",""es"":""Cooper's Town"",""fr"":""Cooper's Town"",""ja"":""クーパーズタウン"",""it"":""Città di Cooper"",""zh-CN"":""库珀镇"",""tr"":""Cooper Kasabası"",""ru"":""Город Купера"",""uk"":""Куперс-Таун"",""pl"":""Cooper’s Town"",""hi"":""कूपर्स टाउन"",""ar"":""بلدة كوبر""}",2019-10-06T09:35:41,2025-12-02T14:39:31,1,Q1129877
15693,Duncan Town,3615,RI,17,BS,adm1,,,22.19083000,-75.72583000,Duncan Town,70,America/Nassau,"{""br"":""Kêr Duncan"",""ko"":""던컨 타운"",""pt-BR"":""Cidade de Duncan"",""pt"":""Cidade de Duncan"",""nl"":""Duncan Town"",""hr"":""Duncan Town"",""fa"":""شهر دانکن"",""de"":""Duncan-Stadt"",""es"":""Ciudad de Duncan"",""fr"":""Duncan Town"",""ja"":""ダンカンタウン"",""it"":""Città di Duncan"",""zh-CN"":""邓肯镇"",""tr"":""Duncan Kasabası"",""ru"":""Дункан Таун"",""uk"":""Дункан-Таун"",""pl"":""Miasto Duncan"",""hi"":""डंकन टाउन"",""ar"":""دنكان تاون""}",2019-10-06T09:35:41,2025-12-02T14:39:31,1,Q1129877
15694,Dunmore Town,3613,HI,17,BS,city,,,25.50216000,-76.63633000,Dunmore Town,1523,America/Nassau,"{""br"":""Kêr Dunmore"",""ko"":""던모어 타운"",""pt-BR"":""Cidade de Dunmore"",""pt"":""Cidade de Dunmore"",""nl"":""Dunmore Town"",""hr"":""Dunmore Town"",""fa"":""شهر دانمور"",""de"":""Dunmore Town"",""es"":""Ciudad de Dunmore"",""fr"":""Ville de Dunmore"",""ja"":""ダンモアタウン"",""it"":""Dunmore Town"",""zh-CN"":""邓莫尔镇"",""tr"":""Dunmore Kasabası"",""ru"":""Данмор-Таун"",""uk"":""Данмор-Таун"",""pl"":""Miasto Dunmore"",""hi"":""डनमोर टाउन"",""ar"":""مدينة دنمور""}",2019-10-06T09:35:41,2025-12-02T14:39:31,1,Q1771794
15695,Freeport,3626,FP,17,BS,adm1,,,26.53333000,-78.70000000,Freeport,26910,America/Nassau,"{""br"":""Porzh frank"",""ko"":""프리포트"",""pt-BR"":""Porto Franco"",""pt"":""Porto Franco"",""nl"":""Vrijhaven"",""hr"":""Slobodna luka"",""fa"":""فریپورت"",""de"":""Freihafen"",""es"":""Puerto franco"",""fr"":""Port franc"",""ja"":""フリーポート"",""it"":""Porto franco"",""zh-CN"":""自由港"",""tr"":""Serbest Liman"",""ru"":""Фрипорт"",""uk"":""Фріпорт"",""pl"":""Wolny port"",""hi"":""मुक्त पोर्ट"",""ar"":""ميناء حر""}",2019-10-06T09:35:41,2025-12-02T14:39:31,1,Q1771794
15696,George Town,3612,EX,17,BS,adm1,,,23.51616000,-75.78665000,George Town,7314,America/Nassau,"{""br"":""George Town"",""ko"":""조지타운"",""pt-BR"":""George Town"",""pt"":""George Town"",""nl"":""George Town"",""hr"":""George Town"",""fa"":""جورج تاون"",""de"":""George Town"",""es"":""George Town"",""fr"":""George Town"",""ja"":""ジョージタウン"",""it"":""George Town"",""zh-CN"":""乔治城"",""tr"":""George Town"",""ru"":""Джорджтаун"",""uk"":""Джорджтаун"",""pl"":""George Town"",""hi"":""जॉर्ज टाउन"",""ar"":""جورج تاون""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q3101961
15697,High Rock,3614,EG,17,BS,adm1,,,26.60999000,-78.27863000,High Rock,3744,America/Nassau,"{""br"":""Roc'h Uhel"",""ko"":""하이록"",""pt-BR"":""High Rock"",""pt"":""High Rock"",""nl"":""Hoge Rots"",""hr"":""Visoka stijena"",""fa"":""های راک"",""de"":""Hoher Felsen"",""es"":""Roca alta"",""fr"":""Haut Rocher"",""ja"":""ハイロック"",""it"":""Roccia alta"",""zh-CN"":""高岩"",""tr"":""Yüksek Kaya"",""ru"":""Хай Рок"",""uk"":""Хай-Рок"",""pl"":""Wysoka Skała"",""hi"":""हाई रॉक"",""ar"":""هاي روك""}",2019-10-06T09:35:41,2025-12-02T17:11:50,1,Q3101961
