id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
15705,Daga,238,22,26,BT,adm1,,,27.07529000,89.87688000,དཱ་ག།,2243,Asia/Thimphu,"{""br"":""Daga"",""ko"":""다가"",""pt-BR"":""Daga"",""pt"":""Daga"",""nl"":""Daga"",""hr"":""Daga"",""fa"":""داگا"",""de"":""Daga"",""es"":""Daga"",""fr"":""Daga"",""ja"":""ダガ"",""it"":""Daga"",""zh-CN"":""达加"",""tr"":""Daga"",""ru"":""Дага"",""uk"":""Дага"",""pl"":""Daga"",""hi"":""दागा"",""ar"":""داجا""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q2487656
15706,Daphu,239,12,26,BT,city,,,26.96670000,89.38330000,དཱ་ཕུ།,1666,Asia/Thimphu,"{""br"":""Daphu"",""ko"":""다푸"",""pt-BR"":""Daphu"",""pt"":""Daphu"",""nl"":""Daphu"",""hr"":""Daphu"",""fa"":""دافو"",""de"":""Daphu"",""es"":""Daphu"",""fr"":""Daphu"",""ja"":""ダプー"",""it"":""Daphu"",""zh-CN"":""达普"",""tr"":""Daphu"",""ru"":""Дапху"",""uk"":""Дапху"",""pl"":""Daphu"",""hi"":""दाफू"",""ar"":""دافو""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q5221776
15707,Gasa,229,GA,26,BT,adm1,,,27.90372000,89.72689000,ག་ས།,548,Asia/Thimphu,"{""br"":""Gasa"",""ko"":""가사"",""pt-BR"":""Gasa"",""pt"":""Gasa"",""nl"":""Gasa"",""hr"":""Gasa"",""fa"":""گاسا"",""de"":""Gasa"",""es"":""Gasa"",""fr"":""Gasa"",""ja"":""ガサ"",""it"":""Gasa"",""zh-CN"":""加萨"",""tr"":""Gasa"",""ru"":""Гаса"",""uk"":""Гаса"",""pl"":""Gasa"",""hi"":""गासा"",""ar"":""غازا""}",2019-10-06T09:35:41,2025-12-02T14:39:31,1,Q5221776
15708,Ha,232,13,26,BT,adm1,,,27.38747000,89.28074000,ཧ་,1449,Asia/Thimphu,"{""br"":""Ha"",""ko"":""하아"",""pt-BR"":""Há"",""pt"":""Há"",""nl"":""Ha"",""hr"":""Ha"",""fa"":""ها"",""de"":""Ha"",""es"":""Ja"",""fr"":""Ha"",""ja"":""ハ"",""it"":""Ha"",""zh-CN"":""哈"",""tr"":""Ha"",""ru"":""Ха"",""uk"":""Ха"",""pl"":""Ha"",""hi"":""हा"",""ar"":""ها""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q2059058
15709,Jakar,240,33,26,BT,adm1,,,27.54918000,90.75250000,ཇ་དཀར་,6243,Asia/Thimphu,"{""br"":""Jakar"",""ko"":""자카르"",""pt-BR"":""Jakar"",""pt"":""Jakar"",""nl"":""Jakar"",""hr"":""Jakar"",""fa"":""جاکار"",""de"":""Jakar"",""es"":""Jakar"",""fr"":""Jakar"",""ja"":""ジャカール"",""it"":""Jakar"",""zh-CN"":""贾卡尔"",""tr"":""Cakar"",""ru"":""Джакар"",""uk"":""Джакар"",""pl"":""Jakar"",""hi"":""जाकर"",""ar"":""جاكار""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q2468415
15710,Lhuentse,234,44,26,BT,adm1,,,27.66787000,91.18393000,ལྷུན་རྩེ།,100,Asia/Thimphu,"{""br"":""Lhuentse"",""ko"":""루엔체"",""pt-BR"":""Lhuentse"",""pt"":""Lhuentse"",""nl"":""Lhuentse"",""hr"":""Lhuentse"",""fa"":""لونتسه"",""de"":""Lhuentse"",""es"":""Lhuentse"",""fr"":""Lhuentse"",""ja"":""ルエンツェ"",""it"":""Lhuentse"",""zh-CN"":""伦泽"",""tr"":""Lhuentse"",""ru"":""Лхуэнце"",""uk"":""Лхуентсе"",""pl"":""Lhuentse"",""hi"":""ल्हुएंत्से"",""ar"":""لوينتسي""}",2019-10-06T09:35:41,2025-12-02T14:39:31,1,Q2468415
15711,Mongar,242,42,26,BT,adm1,,,27.27471000,91.23963000,མོང་གར།,2969,Asia/Thimphu,"{""br"":""Mongar"",""ko"":""몽가르"",""pt-BR"":""Mongar"",""pt"":""Mongar"",""nl"":""Mongar"",""hr"":""Mongar"",""fa"":""مونگار"",""de"":""Mongar"",""es"":""Mongar"",""fr"":""Mongar"",""ja"":""モンガー"",""it"":""Mongar"",""zh-CN"":""蒙加尔"",""tr"":""Mongar"",""ru"":""Монгар"",""uk"":""Монгар"",""pl"":""Mongar"",""hi"":""मोंगर"",""ar"":""مونجار""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q2582611
15712,Pajo,235,23,26,BT,city,,,27.53333000,89.88333000,པཱ་ཇོ།,3032,Asia/Thimphu,"{""br"":""Pajo"",""ko"":""파조"",""pt-BR"":""Pajo"",""pt"":""Pajo"",""nl"":""Pajo"",""hr"":""Pajo"",""fa"":""پاجو"",""de"":""Pajo"",""es"":""Pajo"",""fr"":""Pajo"",""ja"":""パジョ"",""it"":""Pajo"",""zh-CN"":""帕乔"",""tr"":""Pajo"",""ru"":""Паджо"",""uk"":""Паджо"",""pl"":""Pajo"",""hi"":""पाजो"",""ar"":""باجو""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q2394786
15713,Panbang,233,34,26,BT,city,,,26.86667000,90.98333000,པན་བང་།,1360,Asia/Thimphu,"{""br"":""Panbang"",""ko"":""판방"",""pt-BR"":""Panbang"",""pt"":""Panbang"",""nl"":""Panbang"",""hr"":""Panbang"",""fa"":""پانبانگ"",""de"":""Panbang"",""es"":""panbang"",""fr"":""Panbang"",""ja"":""パンバン"",""it"":""Panbang"",""zh-CN"":""盘邦"",""tr"":""Panbang"",""ru"":""Панбанг"",""uk"":""Panbang"",""pl"":""Panbang"",""hi"":""पैनबंग"",""ar"":""بانبانج""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q7130169
15714,Paro,237,11,26,BT,adm1,,,27.43050000,89.41334000,སྤ་རོ།,11448,Asia/Thimphu,"{""br"":""Paro"",""ko"":""파로"",""pt-BR"":""Paro"",""pt"":""Paro"",""nl"":""Paro"",""hr"":""Paro"",""fa"":""پارو"",""de"":""Paro"",""es"":""Paro"",""fr"":""Paro"",""ja"":""パロ"",""it"":""Paro"",""zh-CN"":""帕罗"",""tr"":""Paro"",""ru"":""Паро"",""uk"":""Паро"",""pl"":""Paro"",""hi"":""पारो"",""ar"":""بارو""}",2019-10-06T09:35:41,2025-12-02T14:39:31,1,Q862041
