id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
15729,Bokaa,3062,KL,29,BW,city,,,-24.45000000,26.01667000,Bokaaaa,9146,Africa/Gaborone,"{""br"":""Bokaa"",""ko"":""보카"",""pt-BR"":""Bokaa"",""pt"":""Bokaa"",""nl"":""Bokaa"",""hr"":""Bokaa"",""fa"":""بوکا"",""de"":""Bokaa"",""es"":""Bokaa"",""fr"":""Bokaa"",""ja"":""ボカー"",""it"":""Bokaa"",""zh-CN"":""博卡"",""tr"":""Bokaa"",""ru"":""Бокаа"",""uk"":""Бокаа"",""pl"":""Bokaa"",""hi"":""बोका"",""ar"":""بوكا""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q170656
15730,Botlhapatlou,3069,KW,29,BW,city,,,-24.02591000,25.48976000,Eastern,1013,Africa/Gaborone,"{""br"":""Botlhapatlou"",""ko"":""보틀하파틀루"",""pt-BR"":""Botlhapatlou"",""pt"":""Botlhapatlou"",""nl"":""Botlhapatlou"",""hr"":""Botlhapatlou"",""fa"":""بوتلهاپاتلو"",""de"":""Botlhapatlou"",""es"":""Botlhapatlou"",""fr"":""Botlhapatlou"",""ja"":""ボトラパトルー"",""it"":""Botlhapatlou"",""zh-CN"":""博特拉帕特卢"",""tr"":""Botlhapatlou"",""ru"":""Ботлхапатлу"",""uk"":""Ботлхапатлоу"",""pl"":""Botlhapatlou"",""hi"":""बोटल्हापट्लौ"",""ar"":""بوتلهباتلو""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q170719
15731,Dekar,3061,GH,29,BW,city,,,-21.53333000,21.93333000,Acres,1043,Africa/Gaborone,"{""br"":""Dekar"",""ko"":""데카르"",""pt-BR"":""Dekar"",""pt"":""Dekar"",""nl"":""Dekar"",""hr"":""Dekar"",""fa"":""دکار"",""de"":""Dekar"",""es"":""Dekar"",""fr"":""Dékar"",""ja"":""デカール"",""it"":""Dekar"",""zh-CN"":""德卡尔"",""tr"":""Dekar"",""ru"":""Декар"",""uk"":""Декар"",""pl"":""Dekar"",""hi"":""डेकर"",""ar"":""ديكار""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q170898
15732,Dukwe,3068,NE,29,BW,city,,,-20.58333000,26.41667000,Embine,2037,Africa/Gaborone,"{""br"":""Dukwe"",""ko"":""두크웨"",""pt-BR"":""Dukwe"",""pt"":""Dukwe"",""nl"":""Dukwe"",""hr"":""Dukwe"",""fa"":""دوکوهه"",""de"":""Dukwe"",""es"":""Dukwe"",""fr"":""Dukwe"",""ja"":""ドゥクウェ"",""it"":""Dukwe"",""zh-CN"":""杜克韦"",""tr"":""Dukwe"",""ru"":""Дукве"",""uk"":""Дукве"",""pl"":""Dukwe"",""hi"":""डुकवे"",""ar"":""دوكوي""}",2019-10-06T09:35:41,2025-12-02T14:39:31,1,Q21858508
15733,Dutlwe,3069,KW,29,BW,city,,,-23.98333000,23.90000000,Dutlwe,1126,Africa/Gaborone,"{""br"":""Dutlwe"",""ko"":""두틀웨"",""pt-BR"":""Holandês"",""pt"":""Holandês"",""nl"":""Dutlwe"",""hr"":""Dutlwe"",""fa"":""دوتلوه"",""de"":""Dutlwe"",""es"":""Dutlwe"",""fr"":""Dutlwe"",""ja"":""ドゥトルウェ"",""it"":""Dutlwe"",""zh-CN"":""杜特尔韦"",""tr"":""Dutlwe"",""ru"":""Дутлве"",""uk"":""Дутлве"",""pl"":""Dutlwe"",""hi"":""डुटलवे"",""ar"":""دوتلوي""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q170705
15734,Gabane,3069,KW,29,BW,city,,,-24.66667000,25.78222000,Genes,20018,Africa/Gaborone,"{""br"":""Gabane"",""ko"":""가바네"",""pt-BR"":""Gabane"",""pt"":""Gabane"",""nl"":""Gabane"",""hr"":""Gabane"",""fa"":""گابان"",""de"":""Gabane"",""es"":""Gabane"",""fr"":""Gabane"",""ja"":""ガバネ"",""it"":""Gabane"",""zh-CN"":""加巴内"",""tr"":""Gabane"",""ru"":""Габане"",""uk"":""Габане"",""pl"":""Gabane"",""hi"":""गबाने"",""ar"":""غاباني""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q38855
15735,Gaborone,3064,SE,29,BW,locality,,,-24.76234000,25.79950000,Gaborone,647,Africa/Gaborone,"{""br"":""Gaborone"",""ko"":""가보로네"",""pt-BR"":""Gaborone"",""pt"":""Gaborone"",""nl"":""Gaborone"",""hr"":""Gaborone"",""fa"":""گابورون"",""de"":""Gaborone"",""es"":""Gaborone"",""fr"":""Gaborone"",""ja"":""ハボローネ"",""it"":""Gaborone"",""zh-CN"":""哈博罗内"",""tr"":""Gaborone"",""ru"":""Габороне"",""uk"":""Габороне"",""pl"":""Gaborone"",""hi"":""Gaborone"",""ar"":""غابورون""}",2019-10-06T09:35:41,2025-12-02T14:39:31,1,Q38855
15736,Gaphatshwe,3069,KW,29,BW,locality,,,-24.57389000,25.83417000,Hardly Dark,1678,Africa/Gaborone,"{""br"":""Gaphatshwe"",""ko"":""가팟슈웨"",""pt-BR"":""Gaphatshwe"",""pt"":""Gaphatshwe"",""nl"":""Gaphatshwe"",""hr"":""Gaphatshwe"",""fa"":""گپاتشوه"",""de"":""Gaphatshwe"",""es"":""Gaphatshwe"",""fr"":""Gaphatshwe"",""ja"":""ガパツウェ"",""it"":""Gaphatshwe"",""zh-CN"":""加帕特瑞"",""tr"":""Gaphatshwe"",""ru"":""Гапатшве"",""uk"":""Гапхатшве"",""pl"":""Gaphatshwe"",""hi"":""गपहात्श्वे"",""ar"":""جاباتشوي""}",2019-10-06T09:35:41,2025-12-02T14:39:31,1,Q38855
15737,Ghanzi,3061,GH,29,BW,adm1,,,-21.69785000,21.64581000,Pirm,19012,Africa/Gaborone,"{""br"":""Ghanzi"",""ko"":""간지"",""pt-BR"":""Ghanzi"",""pt"":""Ghanzi"",""nl"":""Ghanzi"",""hr"":""Ghanzi"",""fa"":""غزنی"",""de"":""Ghanzi"",""es"":""Ghanzi"",""fr"":""Ghanzi"",""ja"":""ガンジ"",""it"":""Ghanzi"",""zh-CN"":""甘齐"",""tr"":""Ganzi"",""ru"":""Ганзи"",""uk"":""Ганзі"",""pl"":""Ghanzi"",""hi"":""घांज़ी"",""ar"":""غانزي""}",2019-10-06T09:35:41,2025-12-02T14:38:56,1,Q859319
15738,Gobojango,3067,CE,29,BW,city,,,-21.83270000,28.72882000,Gobojango,1756,Africa/Gaborone,"{""br"":""Gobojango"",""ko"":""고보장고"",""pt-BR"":""Gobojango"",""pt"":""Gobojango"",""nl"":""Gobojango"",""hr"":""Gobojango"",""fa"":""گوبوجانگو"",""de"":""Gobojango"",""es"":""Gobojango"",""fr"":""Gobojango"",""ja"":""ゴボジャンゴ"",""it"":""Gobojango"",""zh-CN"":""戈博詹戈"",""tr"":""Gobojango"",""ru"":""Гободжанго"",""uk"":""Гободжанго"",""pl"":""Gobojango"",""hi"":""गोबोजांगो"",""ar"":""جوبوجانجو""}",2019-10-06T09:35:41,2025-12-02T14:39:31,1,Q166126
