id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
15804,Aktsyabrski,2955,HO,21,BY,adm2,,,52.64400000,28.88010000,Акцябрскі,7173,Europe/Minsk,"{""br"":""Aktsyabrski"",""ko"":""악차브르스키"",""pt-BR"":""Aktsyabrski"",""pt"":""Aktsyabrski"",""nl"":""Aktsyabrski"",""hr"":""Aktsjabrski"",""fa"":""آکتسیابرسکی"",""de"":""Aktsjabrski"",""es"":""Aktsyabrski"",""fr"":""Aktsyabrski"",""ja"":""アクチャブリスキ"",""it"":""Aktsyabrski"",""zh-CN"":""阿克恰布尔斯基"",""tr"":""Aktsyabrski"",""ru"":""Октябрьский"",""uk"":""Акцябрський"",""pl"":""Akcyabrski"",""hi"":""अकत्स्याब्र्स्की"",""ar"":""أكتسيابرسكي""}",2019-10-06T09:35:42,2025-12-02T14:39:31,1,Q2494383
15805,Antopal’,2959,BR,21,BY,city,,,52.20380000,24.78630000,Антопаль,1428,Europe/Minsk,"{""br"":""Antopal'"",""ko"":""안토팔’"",""pt-BR"":""Antopal'"",""pt"":""Antopal'"",""nl"":""Antopal’"",""hr"":""Antopal"",""fa"":""آنتوپال"",""de"":""Antopal‘"",""es"":""Antopal’"",""fr"":""Antopal’"",""ja"":""アントパル"",""it"":""Antopal'"",""zh-CN"":""安托帕尔"",""tr"":""Antopal'"",""ru"":""Антопал"",""uk"":""Антопаль"",""pl"":""Antopal’"",""hi"":""एंटोपाल’"",""ar"":""أنتوبال""}",2019-10-06T09:35:42,2025-12-02T14:39:31,1,Q608888
15806,Ashmyanski Rayon,2956,HR,21,BY,city,,,54.41667000,25.91667000,Ашмянскі раён,,Europe/Minsk,"{""br"":""Rayon Ashmyanski"",""ko"":""아쉬미얀스키 레이온"",""pt-BR"":""Ashmyanski Rayon"",""pt"":""Ashmyanski Rayon"",""nl"":""Ashmyanski Rayon"",""hr"":""Ašmjanski rajon"",""fa"":""شهرستان آشمیانسکی"",""de"":""Ashmyanski Rayon"",""es"":""Distrito de Ashmyanski"",""fr"":""Rayonne Ashmyanski"",""ja"":""アシュミアンスキー・レイヨン"",""it"":""Ashmyanski Rayon"",""zh-CN"":""阿什米扬斯基区"",""tr"":""Ashmyanski Rayonu"",""ru"":""Ошмянский район"",""uk"":""Ошмянський район"",""pl"":""Rejon Ashmyanski"",""hi"":""अश्म्यांस्की रेयान"",""ar"":""رايون أشميانسكي""}",2019-10-06T09:35:42,2025-12-02T16:59:27,1,Q1817340
15807,Ashmyany,2956,HR,21,BY,adm2,,,54.42100000,25.93600000,Ашмяны,16787,Europe/Minsk,"{""br"":""Ashmyany"",""ko"":""아쉬미야니"",""pt-BR"":""Ashmyany"",""pt"":""Ashmyany"",""nl"":""Ashmyany"",""hr"":""Ašmjani"",""fa"":""آشمیانی"",""de"":""Aschmjany"",""es"":""Ashmiany"",""fr"":""Ashmyany"",""ja"":""アシュミヤニー"",""it"":""Ashmyany"",""zh-CN"":""阿什米亚尼"",""tr"":""Ashmyany"",""ru"":""Ошмяны"",""uk"":""Ошмяни"",""pl"":""Ashmyany"",""hi"":""अश्म्यानी"",""ar"":""أشمياني""}",2019-10-06T09:35:42,2025-12-02T14:39:31,1,Q722836
15808,Asipovichy,2954,MA,21,BY,adm2,,,53.30110000,28.63860000,Асіповічы,28745,Europe/Minsk,"{""br"":""Asipovichiezh"",""ko"":""아시포비치"",""pt-BR"":""Asipovichy"",""pt"":""Asipovichy"",""nl"":""Asipovichy"",""hr"":""Asipoviči"",""fa"":""آسیپوویچی"",""de"":""Asipowitschy"",""es"":""Asipovichy"",""fr"":""Asipovichy"",""ja"":""アシポヴィチ"",""it"":""Asipovichy"",""zh-CN"":""阿西波维奇"",""tr"":""Asipovichi"",""ru"":""Осиповичи"",""uk"":""Осиповичі"",""pl"":""Asipowicze"",""hi"":""असिपोविची"",""ar"":""أسيبوفيتشي""}",2019-10-06T09:35:42,2025-12-02T17:11:50,1,Q742161
15809,Asipovitski Rayon,2954,MA,21,BY,city,,,53.33333000,28.75000000,Асіповіцкі раён,,Europe/Minsk,"{""br"":""Rayon Asipovitski"",""ko"":""아시포비츠키 레이온"",""pt-BR"":""Asipovitski Rayon"",""pt"":""Asipovitski Rayon"",""nl"":""Asipovitski Rayon"",""hr"":""Asipovitski rajon"",""fa"":""شهرستان آسیپویتسکی"",""de"":""Asipovitski Rayon"",""es"":""Distrito de Asipovitski"",""fr"":""Rayonne Asipovitski"",""ja"":""アシポヴィツキ・レイヨン"",""it"":""Asipovitski Rayon"",""zh-CN"":""阿西波维茨基区"",""tr"":""Asipovitski Rayonu"",""ru"":""Осиповицкий район"",""uk"":""Осиповицький район"",""pl"":""Rejon Asipowicki"",""hi"":""असिपोवित्स्की रेयान"",""ar"":""رايون أسيبوفيتسكي""}",2019-10-06T09:35:42,2025-12-02T16:59:27,1,Q2025083
15810,Asnyezhytsy,2959,BR,21,BY,city,,,52.18910000,26.12990000,Аснежыцы,1185,Europe/Minsk,"{""br"":""Asnyezhytsy"",""ko"":""아스네지치"",""pt-BR"":""Asnyezhytsy"",""pt"":""Asnyezhytsy"",""nl"":""Asnyezhytsy"",""hr"":""Asnježici"",""fa"":""آسنیژیتسی"",""de"":""Asnyezhytsy"",""es"":""Asnyezhytsy"",""fr"":""Asnyehytsy"",""ja"":""アシュニェジツィ"",""it"":""Asnyezhytsy"",""zh-CN"":""阿斯涅日齐"",""tr"":""Asnyezhitler"",""ru"":""Аснежицы"",""uk"":""Аснежиці"",""pl"":""Asnyeżyci"",""hi"":""अस्नेझित्सी"",""ar"":""أسنييزهيتسي""}",2019-10-06T09:35:42,2025-12-02T14:39:31,1,Q4338083
15811,Astrashytski Haradok,2957,MI,21,BY,city,,,54.06510000,27.69500000,Астрашыцкі Гарадок,2390,Europe/Minsk,"{""br"":""Astrashytski Haradok"",""ko"":""아스트라시트스키 하라독"",""pt-BR"":""Astrashytski Haradok"",""pt"":""Astrashytski Haradok"",""nl"":""Astrashytski Haradok"",""hr"":""Astrašitski Haradok"",""fa"":""آستراشیسکی هارادوک"",""de"":""Astrashytski Haradok"",""es"":""Astrashytski Haradok"",""fr"":""Haradok d'Astrashytski"",""ja"":""アストラシツキ・ハラドク"",""it"":""Astrashytski Haradok"",""zh-CN"":""阿斯特拉希茨基·哈拉多克"",""tr"":""Astrashytski Haradok"",""ru"":""Острошицкий Городок"",""uk"":""Острашицький Городок"",""pl"":""Astraszycki Haradok"",""hi"":""एस्ट्राशित्स्की हराडोक"",""ar"":""أستراشيتسكي هارادوك""}",2019-10-06T09:35:42,2025-12-02T14:39:31,1,Q13028169
15812,Astravyets,2956,HR,21,BY,city,,,54.61378000,25.95537000,Астравец,,Europe/Minsk,"{""br"":""Astravieted"",""ko"":""아스트라비에츠"",""pt-BR"":""Astravyets"",""pt"":""Astravyets"",""nl"":""Astravjets"",""hr"":""Astravjets"",""fa"":""آستراویتس"",""de"":""Astrawyets"",""es"":""Astravyets"",""fr"":""Astraviets"",""ja"":""アストラヴィエツ"",""it"":""Astravyets"",""zh-CN"":""阿斯特拉维茨"",""tr"":""Astravyets"",""ru"":""Островец"",""uk"":""Островець"",""pl"":""Ostrowiec"",""hi"":""एस्ट्रावियेट्स"",""ar"":""أسترافيتس""}",2019-10-06T09:35:42,2025-12-02T16:59:27,1,Q261024
15813,Astravyetski Rayon,2956,HR,21,BY,city,,,54.66667000,26.00000000,Астравецкі раён,,Europe/Minsk,"{""br"":""Astravyetski Rayon"",""ko"":""아스트라비에츠키 레이온"",""pt-BR"":""Rayon Astravyetski"",""pt"":""Rayon Astravyetski"",""nl"":""Astravyetski Rayon"",""hr"":""Astravjetski rajon"",""fa"":""شهرستان آستراوِیتسکی"",""de"":""Astravyetski Rayon"",""es"":""Distrito de Astravyetski"",""fr"":""Rayonne d'Astravietski"",""ja"":""アストラヴィエツキー・レイヨン"",""it"":""Astravyetski Rayon"",""zh-CN"":""阿斯特拉维耶茨基区"",""tr"":""Astravyetski Rayonu"",""ru"":""Островецкий район"",""uk"":""Островецькому районі"",""pl"":""Rejon Astrawiecki"",""hi"":""एस्ट्रावियेत्स्की रेयान"",""ar"":""رايون أسترافيتسكي""}",2019-10-06T09:35:42,2025-12-02T16:59:27,1,Q1953368
