id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
16133,Belize City,264,BZ,23,BZ,adm1,,,17.49952000,-88.19756000,Belize City,63999,America/Belize,"{""br"":""Kêr Belize"",""ko"":""벨리즈 시티"",""pt-BR"":""Cidade de Belize"",""pt"":""Cidade de Belize"",""nl"":""Belize-Stad"",""hr"":""Belize City"",""fa"":""شهر بلیز"",""de"":""Belize City"",""es"":""Ciudad de Belice"",""fr"":""Belize City"",""ja"":""ベリーズシティ"",""it"":""Città del Belize"",""zh-CN"":""伯利兹城"",""tr"":""Belize Şehri"",""ru"":""Белиз-Сити"",""uk"":""Беліз-Сіті"",""pl"":""Miasto Belize"",""hi"":""बेलीज़ सिटी"",""ar"":""مدينة بليز""}",2019-10-06T09:35:44,2025-12-02T14:38:56,1,Q108223
16134,Belmopan,269,CY,23,BZ,capital,,,17.25000000,-88.76667000,Belmopan,13381,America/Belize,"{""br"":""Belmopan"",""ko"":""벨모판"",""pt-BR"":""Belmopan"",""pt"":""Belmopan"",""nl"":""Belmopan"",""hr"":""Belmopan"",""fa"":""بلموپان"",""de"":""Belmopan"",""es"":""Belmopán"",""fr"":""Belmopan"",""ja"":""ベルモパン"",""it"":""Belmopan"",""zh-CN"":""贝尔莫潘"",""tr"":""Belmopan"",""ru"":""Бельмопан"",""uk"":""Бельмопан"",""pl"":""Belmopan"",""hi"":""बेल्मोपान"",""ar"":""بلموبان""}",2019-10-06T09:35:44,2025-12-02T14:39:31,1,Q3043
16135,Benque Viejo el Carmen,269,CY,23,BZ,city,,,17.07500000,-89.13917000,Benque Viejo El Carmen,7160,America/Belize,"{""br"":""Benque Viejo el Carmen"",""ko"":""벤케 비에호 엘 카르멘"",""pt-BR"":""Benque Viejo el Carmen"",""pt"":""Benque Viejo el Carmen"",""nl"":""Benque Viejo el Carmen"",""hr"":""Benque Viejo el Carmen"",""fa"":""بنکو ویخو ال کارمن"",""de"":""Benque Viejo el Carmen"",""es"":""Benque Viejo el Carmen"",""fr"":""Benque Viejo el Carmen"",""ja"":""ベンケ・ビエホ・エル・カルメン"",""it"":""Benque Viejo el Carmen"",""zh-CN"":""本克维耶霍埃尔卡门"",""tr"":""Benque Viejo el Carmen"",""ru"":""Бенке-Вьехо-эль-Кармен"",""uk"":""Бенке-В'єхо-ель-Кармен"",""pl"":""Benque Viejo el Carmen"",""hi"":""बेन्के विएजो एल कारमेन"",""ar"":""بنك فيجو إل كارمن""}",2019-10-06T09:35:44,2025-12-02T14:39:31,1,Q524851
16136,Corozal,266,CZL,23,BZ,adm1,,,18.39375000,-88.38849000,Corozal,9815,America/Belize,"{""br"":""Corozal"",""ko"":""코로잘"",""pt-BR"":""Corozal"",""pt"":""Corozal"",""nl"":""Corozal"",""hr"":""Corozal"",""fa"":""کروزال"",""de"":""Corozal"",""es"":""Corozal"",""fr"":""Corozal"",""ja"":""コロザル"",""it"":""Corozal"",""zh-CN"":""科罗萨尔"",""tr"":""Corozal"",""ru"":""Коросаль"",""uk"":""Коросал"",""pl"":""Corozal"",""hi"":""कोरोज़ल"",""ar"":""كوروزال""}",2019-10-06T09:35:44,2025-12-02T14:38:56,1,Q882907
16137,Dangriga,265,SC,23,BZ,adm1,,,16.96970000,-88.23313000,Dangriga,9927,America/Belize,"{""br"":""Dangriga"",""ko"":""단그리가"",""pt-BR"":""Dangriga"",""pt"":""Dangriga"",""nl"":""Dangriga"",""hr"":""Dangriga"",""fa"":""دانگریگا"",""de"":""Dangriga"",""es"":""Dangriga"",""fr"":""Dangriga"",""ja"":""ダングリガ"",""it"":""Dangriga"",""zh-CN"":""丹格里加"",""tr"":""Dangriga"",""ru"":""Дангрига"",""uk"":""Дангрига"",""pl"":""Dangriga"",""hi"":""डांगरीगा"",""ar"":""دانغريغا""}",2019-10-06T09:35:44,2025-12-02T14:38:56,1,Q888300
16138,Hopelchén,268,OW,23,BZ,city,,,17.80000000,-89.10000000,Hopelchén,,America/Belize,"{""br"":""Hopelchén"",""ko"":""호펠첸"",""pt-BR"":""Hopelchén"",""pt"":""Hopelchén"",""nl"":""Hopelchén"",""hr"":""Hopelchén"",""fa"":""هوپلشن"",""de"":""Hopelchén"",""es"":""Hopelchén"",""fr"":""Hopelchén"",""ja"":""ホペルチェン"",""it"":""Hopelchén"",""zh-CN"":""霍佩尔申"",""tr"":""Hopelchén"",""ru"":""Хопельчен"",""uk"":""Хопельчен"",""pl"":""Hopelchén"",""hi"":""होपेलचेन"",""ar"":""هوبلشين""}",2019-10-06T09:35:44,2025-12-02T16:59:27,1,Q888300
16139,Orange Walk,268,OW,23,BZ,adm1,,,18.08124000,-88.56328000,Orange Walk,14553,America/Belize,"{""br"":""Pourmenadenn orañjez"",""ko"":""오렌지 워크"",""pt-BR"":""Caminhada Laranja"",""pt"":""Caminhada Laranja"",""nl"":""Oranjewandeling"",""hr"":""Narančasta šetnja"",""fa"":""پیاده‌روی نارنجی"",""de"":""Orange Walk"",""es"":""Paseo Naranja"",""fr"":""Promenade Orange"",""ja"":""オレンジウォーク"",""it"":""Passeggiata arancione"",""zh-CN"":""奥兰治沃克"",""tr"":""Turuncu Yürüyüş"",""ru"":""Оранжевая прогулка"",""uk"":""Помаранчева прогулянка"",""pl"":""Pomarańczowy Spacer"",""hi"":""ऑरेंज वॉक"",""ar"":""ممشى البرتقال""}",2019-10-06T09:35:44,2025-12-02T14:38:56,1,Q882964
16140,Placencia,265,SC,23,BZ,city,,,16.51419000,-88.36647000,Placentcia,4300,America/Belize,"{""br"":""Placencia"",""ko"":""태반"",""pt-BR"":""Placência"",""pt"":""Placência"",""nl"":""Placencia"",""hr"":""Placencia"",""fa"":""پلاسنسیا"",""de"":""Placencia"",""es"":""Placencia"",""fr"":""Placencia"",""ja"":""プラセンシア"",""it"":""Placencia"",""zh-CN"":""普拉森西亚"",""tr"":""Placencia"",""ru"":""Плаценция"",""uk"":""Пласенсія"",""pl"":""Placencia"",""hi"":""प्लेसेंसिया"",""ar"":""بلاسينسيا""}",2019-10-06T09:35:44,2025-12-02T14:39:31,1,Q2097877
16141,Punta Gorda,267,TOL,23,BZ,adm1,,,16.09835000,-88.80970000,Gorda Punta,5406,America/Belize,"{""br"":""Punta Gorda"",""ko"":""푼타 고르다"",""pt-BR"":""Punta Gorda"",""pt"":""Punta Gorda"",""nl"":""Punta Gorda"",""hr"":""Punta Gorda"",""fa"":""پونتا گوردا"",""de"":""Punta Gorda"",""es"":""Punta Gorda"",""fr"":""Punta Gorda"",""ja"":""プンタゴルダ"",""it"":""Punta Gorda"",""zh-CN"":""蓬塔戈尔达"",""tr"":""Punta Gorda"",""ru"":""Пунта-Горда"",""uk"":""Пунта-Горда"",""pl"":""Punta Gorda"",""hi"":""पुंटा गोर्डा"",""ar"":""بونتا غوردا""}",2019-10-06T09:35:44,2025-12-02T14:38:56,1,Q883362
16142,San Ignacio,269,CY,23,BZ,city,,,17.15880000,-89.06960000,San Ignacio,12621,America/Belize,"{""br"":""San Ignacio"",""ko"":""산 이그나시오"",""pt-BR"":""Santo Inácio"",""pt"":""Santo Inácio"",""nl"":""San Ignacio"",""hr"":""San Ignacio"",""fa"":""سن ایگناسیو"",""de"":""San Ignacio"",""es"":""San Ignacio"",""fr"":""Saint Ignacio"",""ja"":""サン・イグナシオ"",""it"":""San Ignacio"",""zh-CN"":""圣伊格纳西奥"",""tr"":""San Ignacio"",""ru"":""Сан-Игнасио"",""uk"":""Сан-Ігнасіо"",""pl"":""San Ignacio"",""hi"":""सैन इग्नासियो"",""ar"":""سان إجناسيو""}",2019-10-06T09:35:44,2025-12-02T14:39:31,1,Q724815
