id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
16146,Abbotsford,875,BC,39,CA,city,,,49.05798000,-122.25257000,Abbotsford,153524,America/Vancouver,"{""br"":""Abbotsford"",""ko"":""애벗스포드"",""pt-BR"":""Abbotsford"",""pt"":""Abbotsford"",""nl"":""Abbotsford"",""hr"":""Abbotsford"",""fa"":""ابوتسفورد"",""de"":""Abbotsford"",""es"":""Abbotsford"",""fr"":""Abbotsford"",""ja"":""アボッツフォード"",""it"":""Abbotsford"",""zh-CN"":""阿伯茨福德"",""tr"":""Abbotsford"",""ru"":""Абботсфорд"",""uk"":""Абботсфорд"",""pl"":""Abbotsford"",""hi"":""एबॉट्सफ़ोर्ड"",""ar"":""أبوتسفورد""}",2019-10-06T09:35:44,2025-12-02T14:39:55,1,Q271730
16147,Abitibi-Témiscamingue,873,QC,39,CA,city,,,48.10018000,-77.78280000,Abitibi-Témiscamingue,147082,America/Toronto,"{""br"":""Abitibi-Témiscamingue"",""ko"":""아비티비-테미스카밍그"",""pt-BR"":""Abitibi-Témiscamingue"",""pt"":""Abitibi-Témiscamingue"",""nl"":""Abitibi-Témiscamingue"",""hr"":""Abitibi-Témiscamingue"",""fa"":""ابیتیبی-تمیسکامینگ"",""de"":""Abitibi-Témiscamingue"",""es"":""Abitibi-Témiscamingue"",""fr"":""Abitibi-Témiscamingue"",""ja"":""アビティビ＝テミスカマンゲ"",""it"":""Abitibi-Témiscamingue"",""zh-CN"":""阿比蒂比-泰米斯卡明格"",""tr"":""Abitibi-Témiscamingue"",""ru"":""Абитиби-Темискаминг"",""uk"":""Абітібі-Теміскамінге"",""pl"":""Abitibi-Témiscamingue"",""hi"":""अबितिबी-टेमिस्कैमिंगु"",""ar"":""أبيتيبي-تيميسكامينغ""}",2019-10-06T09:35:44,2025-12-02T16:59:27,1,Q321529
16148,Acton Vale,873,QC,39,CA,city,,,45.65007000,-72.56582000,Acton ok,7871,America/Toronto,"{""br"":""Acton Vale"",""ko"":""액턴 베일"",""pt-BR"":""Acton Vale"",""pt"":""Acton Vale"",""nl"":""Acton Vale"",""hr"":""Acton Vale"",""fa"":""اکتون ویل"",""de"":""Acton Vale"",""es"":""Acton Vale"",""fr"":""Acton Vale"",""ja"":""アクトン・ベール"",""it"":""Acton Vale"",""zh-CN"":""阿克顿谷"",""tr"":""Acton Vale"",""ru"":""Актон Вейл"",""uk"":""Актон Вейл"",""pl"":""Acton Vale"",""hi"":""एक्टन वेले"",""ar"":""أكتون فالي""}",2019-10-06T09:35:44,2025-12-02T14:38:56,1,Q141960
16149,Adstock,873,QC,39,CA,city,,,46.05007000,-71.08235000,Adstock,2903,America/Toronto,"{""br"":""Bruderezh"",""ko"":""애드스톡"",""pt-BR"":""Adstock"",""pt"":""Adstock"",""nl"":""Advertentievoorraad"",""hr"":""Adstock"",""fa"":""آداستوک"",""de"":""Adstock"",""es"":""Adstock"",""fr"":""Adstock"",""ja"":""アドストック"",""it"":""Adstock"",""zh-CN"":""阿德斯托克"",""tr"":""Adstock"",""ru"":""Рекламный носитель"",""uk"":""Рекламний сток"",""pl"":""Adstock"",""hi"":""एडस्टॉक"",""ar"":""أدستوك""}",2019-10-06T09:35:44,2025-12-02T14:38:56,1,Q141960
16150,Agassiz,875,BC,39,CA,city,,,49.23298000,-121.76926000,Agassiz,6300,America/Vancouver,"{""br"":""Agassiz"",""ko"":""아가시즈"",""pt-BR"":""Agassiz"",""pt"":""Agassiz"",""nl"":""Agassiz"",""hr"":""Agassiz"",""fa"":""آگاسیز"",""de"":""Agassiz"",""es"":""Agassiz"",""fr"":""Agassiz"",""ja"":""アガシー"",""it"":""Agassiz"",""zh-CN"":""阿加西"",""tr"":""Agassiz"",""ru"":""Агассис"",""uk"":""Агассіс"",""pl"":""Agassiz"",""hi"":""अगासीज़"",""ar"":""أغاسيز""}",2019-10-06T09:35:44,2025-12-02T14:39:55,1,Q2826436
16151,Airdrie,872,AB,39,CA,city,,,51.30011000,-114.03528000,Airdrie,74100,America/Edmonton,"{""br"":""Airdrie"",""ko"":""에어드리"",""pt-BR"":""Airdrie"",""pt"":""Airdrie"",""nl"":""Airdrie"",""hr"":""Airdrie"",""fa"":""ایردری"",""de"":""Airdrie"",""es"":""Airdrie"",""fr"":""Airdrie"",""ja"":""エアドリー"",""it"":""Airdrie"",""zh-CN"":""艾尔德里"",""tr"":""Airdrie"",""ru"":""Эйрдри"",""uk"":""Ейрдрі"",""pl"":""Airdrie"",""hi"":""एयरड्री"",""ar"":""إيردري""}",2019-10-06T09:35:44,2025-12-02T14:39:55,1,Q408537
16152,Ajax,866,ON,39,CA,city,,,43.85012000,-79.03288000,Ajax,126666,America/Toronto,"{""br"":""Ajax"",""ko"":""아약스"",""pt-BR"":""Ajax"",""pt"":""Ajax"",""nl"":""Ajax"",""hr"":""Ajax"",""fa"":""آژاکس"",""de"":""Ajax"",""es"":""Áyax"",""fr"":""Ajax"",""ja"":""アヤックス"",""it"":""Aiace"",""zh-CN"":""阿贾克斯"",""tr"":""Ajax"",""ru"":""Аякс"",""uk"":""Аякс"",""pl"":""Ajax"",""hi"":""ajax"",""ar"":""أياكس""}",2019-10-06T09:35:44,2025-12-02T14:38:56,1,Q386567
16153,Albanel,873,QC,39,CA,city,,,48.88324000,-72.44867000,Masonry,1087,America/Toronto,"{""br"":""Albanel"",""ko"":""알바넬"",""pt-BR"":""Albanel"",""pt"":""Albanel"",""nl"":""Albanel"",""hr"":""Albanel"",""fa"":""آلبانل"",""de"":""Albanel"",""es"":""Albanel"",""fr"":""Albanel"",""ja"":""アルバネル"",""it"":""Albanel"",""zh-CN"":""阿尔巴内尔"",""tr"":""Albanel"",""ru"":""Альбанель"",""uk"":""Албанель"",""pl"":""Albanel"",""hi"":""अल्बानेल"",""ar"":""ألبانيل""}",2019-10-06T09:35:44,2025-12-02T14:39:31,1,Q2830791
16154,Alberton,871,PE,39,CA,city,,,46.81685000,-64.06542000,Alberton,1147,America/Halifax,"{""br"":""Alberton"",""ko"":""알버튼"",""pt-BR"":""Alberto"",""pt"":""Alberto"",""nl"":""Alberton"",""hr"":""Alberton"",""fa"":""آلبرتون"",""de"":""Alberton"",""es"":""Alberton"",""fr"":""Alberton"",""ja"":""アルバートン"",""it"":""Alberton"",""zh-CN"":""阿尔伯顿"",""tr"":""Alberton"",""ru"":""Альбертон"",""uk"":""Альбертон"",""pl"":""Alberton"",""hi"":""अल्बर्टन"",""ar"":""ألبرتون""}",2019-10-06T09:35:44,2025-12-02T14:38:56,1,Q740843
16155,Aldergrove,875,BC,39,CA,city,,,49.05801000,-122.47087000,Aldergrove,12363,America/Vancouver,"{""br"":""Aldergrove"",""ko"":""알더그로브"",""pt-BR"":""Aldergrove"",""pt"":""Aldergrove"",""nl"":""Elzenbos"",""hr"":""Aldergrove"",""fa"":""آلدرگرو"",""de"":""Aldergrove"",""es"":""Aldergrove"",""fr"":""Aldergrove"",""ja"":""アルダーグローブ"",""it"":""Aldergrove"",""zh-CN"":""奥尔德格罗夫"",""tr"":""Aldergrove"",""ru"":""Олдергроув"",""uk"":""Олдергроув"",""pl"":""Olszowy las"",""hi"":""एल्डरग्रोव"",""ar"":""ألديرغروف""}",2019-10-06T09:35:44,2025-12-02T14:39:55,1,Q2832285
