id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
17225,Aketi,2753,BU,51,CD,city,,,2.73877000,23.78326000,Séance,61437,Africa/Lubumbashi,"{""br"":""Aketi"",""ko"":""아케티"",""pt-BR"":""Aketi"",""pt"":""Aketi"",""nl"":""Aketi"",""hr"":""Aketi"",""fa"":""آکتی"",""de"":""Aketi"",""es"":""Aketi"",""fr"":""Aketi"",""ja"":""アケティ"",""it"":""Aketi"",""zh-CN"":""阿克蒂"",""tr"":""Aketi"",""ru"":""Акети"",""uk"":""Акеті"",""pl"":""Aketi"",""hi"":""अकेती"",""ar"":""أكيتي""}",2019-10-06T09:35:50,2025-12-02T14:39:55,1,Q417523
17226,Bandundu,2759,KL,51,CD,adm1,,,-3.31687000,17.38063000,Bandundu,202904,Africa/Kinshasa,"{""br"":""Bandundu"",""ko"":""반둔두"",""pt-BR"":""Bandundu"",""pt"":""Bandundu"",""nl"":""Bandundu"",""hr"":""Bandundu"",""fa"":""باندوندو"",""de"":""Bandundu"",""es"":""Bandundu"",""fr"":""Bandundu"",""ja"":""バンドゥンドゥ"",""it"":""Bandundu"",""zh-CN"":""班顿杜"",""tr"":""Bandundu"",""ru"":""Бандунду"",""uk"":""Бандунду"",""pl"":""Bandundu"",""hi"":""बेंडुंडु"",""ar"":""باندوندو""}",2019-10-06T09:35:50,2025-12-02T14:38:56,1,Q417523
17227,Basoko,2756,TO,51,CD,city,,,1.23909000,23.61598000,Forêt,76371,Africa/Lubumbashi,"{""br"":""Basoko"",""ko"":""바소코"",""pt-BR"":""Basoko"",""pt"":""Basoko"",""nl"":""Basoko"",""hr"":""Basoko"",""fa"":""باسوکو"",""de"":""Basoko"",""es"":""Basoko"",""fr"":""Basoko"",""ja"":""バソコ"",""it"":""Basoko"",""zh-CN"":""巴索科"",""tr"":""Basoko"",""ru"":""Басоко"",""uk"":""Басоко"",""pl"":""Basoko"",""hi"":""बासोको"",""ar"":""باسوكو""}",2019-10-06T09:35:50,2025-12-02T14:39:55,1,Q1101913
17228,Beni,2749,NK,51,CD,city,,,0.49113000,29.47306000,Beni,140731,Africa/Lubumbashi,"{""br"":""Beni"",""ko"":""베니"",""pt-BR"":""Beni"",""pt"":""Beni"",""nl"":""Beni"",""hr"":""Beni"",""fa"":""بنی"",""de"":""Beni"",""es"":""Beni"",""fr"":""Béni"",""ja"":""ベニ"",""it"":""Beni"",""zh-CN"":""贝尼"",""tr"":""Beni"",""ru"":""Бени"",""uk"":""Бені"",""pl"":""Beni"",""hi"":""बेनी"",""ar"":""بني""}",2019-10-06T09:35:50,2025-12-02T14:39:55,1,Q1101913
17229,Boende,2732,TU,51,CD,adm1,,,-0.28163000,20.88053000,Hébergement,50794,Africa/Kinshasa,"{""br"":""Boende"",""ko"":""보엔데"",""pt-BR"":""Boende"",""pt"":""Boende"",""nl"":""Boende"",""hr"":""Boende"",""fa"":""بوئنده"",""de"":""Boende"",""es"":""Boende"",""fr"":""Boende"",""ja"":""ボンデ"",""it"":""Boende"",""zh-CN"":""博恩德"",""tr"":""Boende"",""ru"":""Боэнде"",""uk"":""Бонде"",""pl"":""Boende"",""hi"":""बोएंडे"",""ar"":""بويندي""}",2019-10-06T09:35:50,2025-12-02T14:38:56,1,Q616131
17230,Bolobo,2755,MN,51,CD,city,,,-2.15800000,16.23249000,L'armée,47032,Africa/Kinshasa,"{""br"":""Bolobo"",""ko"":""볼로보"",""pt-BR"":""Bolobo"",""pt"":""Bolobo"",""nl"":""Bolobo"",""hr"":""Bolobo"",""fa"":""بولوبو"",""de"":""Bolobo"",""es"":""Bolobo"",""fr"":""Bolobo"",""ja"":""ボロボ"",""it"":""Bolobo"",""zh-CN"":""博洛博"",""tr"":""Bolobo"",""ru"":""Болобо"",""uk"":""Болобо"",""pl"":""Bolobo"",""hi"":""बोलोबो"",""ar"":""بولوبو""}",2019-10-06T09:35:50,2025-12-02T14:38:56,1,Q2594437
17231,Boma,2746,BC,51,CD,city,,,-5.85098000,13.05364000,Boma,297009,Africa/Kinshasa,"{""br"":""Boma"",""ko"":""보마"",""pt-BR"":""Boma"",""pt"":""Boma"",""nl"":""Boma"",""hr"":""Boma"",""fa"":""بوما"",""de"":""Boma"",""es"":""Boma"",""fr"":""Boma"",""ja"":""ボマ"",""it"":""Boma"",""zh-CN"":""博马"",""tr"":""Boma"",""ru"":""Бома"",""uk"":""Бома"",""pl"":""Boma"",""hi"":""बोमा"",""ar"":""بوما""}",2019-10-06T09:35:50,2025-12-02T14:38:56,1,Q223917
17232,Bondo,2753,BU,51,CD,city,,,3.81461000,23.68665000,Rotule,17860,Africa/Lubumbashi,"{""br"":""Bondo"",""ko"":""본도"",""pt-BR"":""Bondo"",""pt"":""Bondo"",""nl"":""Bondo"",""hr"":""Bondo"",""fa"":""باندو"",""de"":""Bondo"",""es"":""Bondo"",""fr"":""Bondo"",""ja"":""ボンド"",""it"":""Bondo"",""zh-CN"":""邦多"",""tr"":""Bağ"",""ru"":""Бондо"",""uk"":""Бондо"",""pl"":""Bondo"",""hi"":""बोंडो"",""ar"":""بوندو""}",2019-10-06T09:35:50,2025-12-02T14:39:55,1,Q2909998
17233,Bongandanga,2748,SU,51,CD,city,,,1.50695000,21.07260000,Bongandanga,4105,Africa/Kinshasa,"{""br"":""Bongandanga"",""ko"":""봉간당가"",""pt-BR"":""Bongandanga"",""pt"":""Bongandanga"",""nl"":""Bongandanga"",""hr"":""Bongandanga"",""fa"":""بونگاندانگا"",""de"":""Bongandanga"",""es"":""Bongandanga"",""fr"":""Bongandanga"",""ja"":""ボンガンダンガ"",""it"":""Bongandanga"",""zh-CN"":""邦甘丹加"",""tr"":""Bongandanga"",""ru"":""Бонганданга"",""uk"":""Бонганданга"",""pl"":""Bongandanga"",""hi"":""बोंगांडांगा"",""ar"":""بونغاندانغا""}",2019-10-06T09:35:50,2025-12-02T14:39:31,1,Q2909998
17234,Bosobolo,2739,NU,51,CD,city,,,4.18980000,19.88330000,Bosobolo,14553,Africa/Kinshasa,"{""br"":""Bosobolo"",""ko"":""보소볼로"",""pt-BR"":""Bosobolo"",""pt"":""Bosobolo"",""nl"":""Bosobolo"",""hr"":""Bosobolo"",""fa"":""بوسوبولو"",""de"":""Bosobolo"",""es"":""Bosobolo"",""fr"":""Bosobolo"",""ja"":""ボソボロ"",""it"":""Bosobolo"",""zh-CN"":""博索博洛"",""tr"":""Bosobolo"",""ru"":""Бособоло"",""uk"":""Бособоло"",""pl"":""Bosobolo"",""hi"":""बोसोबोलो"",""ar"":""بوسوبولو""}",2019-10-06T09:35:50,2025-12-02T14:38:56,1,Q2911484
