id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
17294,Alindao,1264,BK,42,CF,city,,,5.02667000,21.20876000,Alindao,32588,Africa/Bangui,"{""br"":""Alindao"",""ko"":""알리다오"",""pt-BR"":""Alindão"",""pt"":""Alindão"",""nl"":""Alindao"",""hr"":""Alindao"",""fa"":""آلیندائو"",""de"":""Alindao"",""es"":""Alindao"",""fr"":""Alindão"",""ja"":""アリンダオ"",""it"":""Alindao"",""zh-CN"":""阿林岛"",""tr"":""Alindao"",""ru"":""Алиндао"",""uk"":""Аліндао"",""pl"":""Alindao"",""hi"":""अलिनदाओ"",""ar"":""الينداو""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q153512
17295,Bambari,1265,UK,42,CF,adm1,,,5.76795000,20.67565000,Bambari,83029,Africa/Bangui,"{""br"":""Bambari"",""ko"":""밤바리"",""pt-BR"":""Bambari"",""pt"":""Bambari"",""nl"":""Bambari"",""hr"":""Bambarski"",""fa"":""بامباری"",""de"":""Bambari"",""es"":""Bambari"",""fr"":""Bambari"",""ja"":""バンバリ"",""it"":""Bambari"",""zh-CN"":""班巴里"",""tr"":""Bambari"",""ru"":""Бамбари"",""uk"":""Бамбарі"",""pl"":""Bambari"",""hi"":""बम्बारी"",""ar"":""بامباري""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q805946
17296,Bamingui,1259,BB,42,CF,city,,,7.88897000,20.04875000,Pour baming,0,Africa/Bangui,"{""br"":""Bamingui"",""ko"":""바밍기"",""pt-BR"":""Bamingui"",""pt"":""Bamingui"",""nl"":""Bamingui"",""hr"":""Bamingui"",""fa"":""بامینگویی"",""de"":""Bamingui"",""es"":""Bamingui"",""fr"":""Bamingui"",""ja"":""バミングイ"",""it"":""Bamingui"",""zh-CN"":""巴明吉"",""tr"":""Bamingui"",""ru"":""Баминги"",""uk"":""Бамінгуї"",""pl"":""Bamingui"",""hi"":""बामिंगुई"",""ar"":""بامينغوي""}",2019-10-06T09:35:51,2025-12-02T16:59:27,1,Q805946
17297,Bangassou,1266,MB,42,CF,adm1,,,4.74132000,22.81838000,Bangassou,54059,Africa/Bangui,"{""br"":""Bangassou"",""ko"":""방가수"",""pt-BR"":""Bangassou"",""pt"":""Bangassou"",""nl"":""Bangassou"",""hr"":""Bangassou"",""fa"":""بانگاسو"",""de"":""Bangassou"",""es"":""Bangassou"",""fr"":""Bangassou"",""ja"":""バンガスー"",""it"":""Bangassou"",""zh-CN"":""班加苏"",""tr"":""Bangassou"",""ru"":""Бангасу"",""uk"":""Бангассу"",""pl"":""Bangassou"",""hi"":""बंगासौ"",""ar"":""بانغاسو""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q806478
17298,Bangui,1262,BGF,42,CF,capital,,,4.36122000,18.55496000,Bangui,889231,Africa/Bangui,"{""br"":""Bangui"",""ko"":""방기"",""pt-BR"":""Bangui"",""pt"":""Bangui"",""nl"":""Bangui"",""hr"":""Bangui"",""fa"":""بانگی"",""de"":""Bangui"",""es"":""Bangui"",""fr"":""Bangui"",""ja"":""バンギ"",""it"":""Bangui"",""zh-CN"":""班吉"",""tr"":""Bangui"",""ru"":""Банги"",""uk"":""Бангі"",""pl"":""Bangi"",""hi"":""बांगुई"",""ar"":""بانغي""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q3832
17299,Baoro,1260,NM,42,CF,city,,,5.66667000,15.96667000,Baoro,18089,Africa/Bangui,"{""br"":""Baoro"",""ko"":""바오로"",""pt-BR"":""Baoro"",""pt"":""Baoro"",""nl"":""Baoro"",""hr"":""Baoro"",""fa"":""بائورو"",""de"":""Baoro"",""es"":""Baoro"",""fr"":""Baoro"",""ja"":""バオロ"",""it"":""Baoro"",""zh-CN"":""宝罗"",""tr"":""Baoro"",""ru"":""Баоро"",""uk"":""Баоро"",""pl"":""Baoro"",""hi"":""बाओरो"",""ar"":""باورو""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q1772389
17300,Batangafo,1254,AC,42,CF,adm1,,,7.30082000,18.28330000,Batangafo,24119,Africa/Bangui,"{""br"":""Batangafo"",""ko"":""바탕가포"",""pt-BR"":""Batangafo"",""pt"":""Batangafo"",""nl"":""Batangafo"",""hr"":""Batangafo"",""fa"":""باتانگافو"",""de"":""Batangafo"",""es"":""Batangafo"",""fr"":""Batangafo"",""ja"":""バタンガフォ"",""it"":""Batangafo"",""zh-CN"":""巴坦加福"",""tr"":""Batangafo"",""ru"":""Батангафо"",""uk"":""Батангафо"",""pl"":""Batangafo"",""hi"":""बटंगाफो"",""ar"":""باتانغافو""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q2626276
17301,Berberati,1257,HS,42,CF,adm1,,,4.31211000,15.88948000,Berberati,76918,Africa/Bangui,"{""br"":""Berberati"",""ko"":""베르베라티"",""pt-BR"":""Berberati"",""pt"":""Berberati"",""nl"":""Berberati"",""hr"":""Berberati"",""fa"":""بربراتی"",""de"":""Berberati"",""es"":""Berberati"",""fr"":""Berberati"",""ja"":""ベルベラティ"",""it"":""Berberati"",""zh-CN"":""贝尔贝拉蒂"",""tr"":""Berberati"",""ru"":""Берберати"",""uk"":""Бербераті"",""pl"":""Berberati"",""hi"":""बेरबेराती"",""ar"":""بربراتي""}",2019-10-06T09:35:51,2025-12-02T17:11:50,1,Q2626276
17303,Bimbo,1255,MP,42,CF,adm1,,,4.25671000,18.41583000,Bimbo,348802,Africa/Bangui,"{""br"":""Bimbo"",""ko"":""빔보"",""pt-BR"":""Bimbo"",""pt"":""Bimbo"",""nl"":""Bimbo"",""hr"":""Bimbo"",""fa"":""بیمبو"",""de"":""Bimbo"",""es"":""Jai"",""fr"":""Bimbo"",""ja"":""ビンボ"",""it"":""Bimbo"",""zh-CN"":""宾博"",""tr"":""Aptal"",""ru"":""Бимбо"",""uk"":""Бімбо"",""pl"":""Lalunia"",""hi"":""बिम्बो"",""ar"":""بيمبو""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q863461
17304,Birao,1261,VK,42,CF,adm1,,,10.28488000,22.78818000,Bureau,8457,Africa/Bangui,"{""br"":""Birao"",""ko"":""비라오"",""pt-BR"":""Birao"",""pt"":""Birao"",""nl"":""Birao"",""hr"":""Birao"",""fa"":""بیرائو"",""de"":""Birao"",""es"":""Birao"",""fr"":""Birao"",""ja"":""ビラオ"",""it"":""Birao"",""zh-CN"":""比劳"",""tr"":""Birao"",""ru"":""Бирао"",""uk"":""Бірао"",""pl"":""Birao"",""hi"":""बिराओ"",""ar"":""بيراو""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q864999
17305,Boali,1255,MP,42,CF,city,,,4.80048000,18.12747000,maladie,18090,Africa/Bangui,"{""br"":""Boali"",""ko"":""보알리"",""pt-BR"":""Boali"",""pt"":""Boali"",""nl"":""Boali"",""hr"":""Boali"",""fa"":""بوعلی"",""de"":""Boali"",""es"":""Boali"",""fr"":""Boali"",""ja"":""ボアリ"",""it"":""Boali"",""zh-CN"":""博阿利"",""tr"":""Boali"",""ru"":""Боали"",""uk"":""Боалі"",""pl"":""Boali"",""hi"":""बोआली"",""ar"":""بوالي""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q1772369
17306,Bocaranga,1267,OP,42,CF,city,,,6.76546000,15.77873000,Bocaranga,15744,Africa/Bangui,"{""br"":""Bocaranga"",""ko"":""보카랑가"",""pt-BR"":""Bocaranga"",""pt"":""Bocaranga"",""nl"":""Bocaranga"",""hr"":""Bocaranga"",""fa"":""بوکارانگا"",""de"":""Bocaranga"",""es"":""Bocaranga"",""fr"":""Bocaranga"",""ja"":""ボカランガ"",""it"":""Bocaranga"",""zh-CN"":""博卡兰加"",""tr"":""Bocaranga"",""ru"":""Бокаранга"",""uk"":""Бокаранга"",""pl"":""Bocaranga"",""hi"":""बोकारंगा"",""ar"":""بوكارانجا""}",2019-10-06T09:35:51,2025-12-02T16:59:27,1,Q1772369
17307,Boda,1256,LB,42,CF,city,,,4.31887000,17.46953000,Boda,11688,Africa/Bangui,"{""br"":""Boda"",""ko"":""보다"",""pt-BR"":""Boda"",""pt"":""Boda"",""nl"":""Boda"",""hr"":""Boda"",""fa"":""بودا"",""de"":""Boda"",""es"":""Boda"",""fr"":""Mariage"",""ja"":""ボダ"",""it"":""Boda"",""zh-CN"":""博达"",""tr"":""Boda"",""ru"":""Бода"",""uk"":""Бода"",""pl"":""Boda"",""hi"":""बोडा"",""ar"":""بودا""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q2543954
17308,Boganangone,1256,LB,42,CF,city,,,4.73558000,17.14047000,Boganangone,1851,Africa/Bangui,"{""br"":""Boganangone"",""ko"":""보가낭곤"",""pt-BR"":""Boganangone"",""pt"":""Boganangone"",""nl"":""Boganangone"",""hr"":""Boganangone"",""fa"":""بوگانانگون"",""de"":""Boganangone"",""es"":""Boganangone"",""fr"":""Boganangone"",""ja"":""ボガナンゴン"",""it"":""Boganangone"",""zh-CN"":""博加南戈内"",""tr"":""Boganangone"",""ru"":""Боганангон"",""uk"":""Боганангоне"",""pl"":""Boganangone"",""hi"":""बोगानंगोन"",""ar"":""بوغانانغون""}",2019-10-06T09:35:51,2025-12-02T16:59:27,1,Q17175000
17309,Bossangoa,1254,AC,42,CF,adm1,,,6.49263000,17.45518000,Bossangoa,55353,Africa/Bangui,"{""br"":""Bossangoa"",""ko"":""보산고아"",""pt-BR"":""Bossangoa"",""pt"":""Bossangoa"",""nl"":""Bossangoa"",""hr"":""Bossangoa"",""fa"":""بوسانگوآ"",""de"":""Bossangoa"",""es"":""Bossangoa"",""fr"":""Bossangoa"",""ja"":""ボサンゴア"",""it"":""Bossangoa"",""zh-CN"":""博桑戈阿"",""tr"":""Bossangoa"",""ru"":""Босангоа"",""uk"":""Боссангоа"",""pl"":""Bossangoa"",""hi"":""बोसांगोआ"",""ar"":""بوسانغوا""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q894513
17310,Bouar,1260,NM,42,CF,adm1,,,5.93404000,15.59599000,Bouar,71680,Africa/Bangui,"{""br"":""Bouar"",""ko"":""부아르"",""pt-BR"":""Bouar"",""pt"":""Bouar"",""nl"":""Bouar"",""hr"":""Bouar"",""fa"":""بوآر"",""de"":""Bouar"",""es"":""Bouar"",""fr"":""Bouar"",""ja"":""ブアール"",""it"":""Bouar"",""zh-CN"":""布阿尔"",""tr"":""Bouar"",""ru"":""Буар"",""uk"":""Буар"",""pl"":""Bouar"",""hi"":""बौआर"",""ar"":""بوار""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q512111
17311,Bouca,1254,AC,42,CF,city,,,6.50734000,18.27670000,Boulca,19320,Africa/Bangui,"{""br"":""Bouca"",""ko"":""부카"",""pt-BR"":""Bouca"",""pt"":""Bouca"",""nl"":""Bouca"",""hr"":""Bouca"",""fa"":""بوکا"",""de"":""Bouca"",""es"":""Bouca"",""fr"":""Bouca"",""ja"":""ブーカ"",""it"":""Bouca"",""zh-CN"":""布卡"",""tr"":""Bouca"",""ru"":""Бука"",""uk"":""Бука"",""pl"":""Bouca"",""hi"":""बौका"",""ar"":""بوكا""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q2428295
17312,Bozoum,1267,OP,42,CF,adm1,,,6.31933000,16.37992000,Bozoum,20665,Africa/Bangui,"{""br"":""Bozoum"",""ko"":""보조움"",""pt-BR"":""Bozoum"",""pt"":""Bozoum"",""nl"":""Bozoum"",""hr"":""Bozum"",""fa"":""بوزوم"",""de"":""Bozoum"",""es"":""Bozoum"",""fr"":""Bozoum"",""ja"":""ボズム"",""it"":""Bozoum"",""zh-CN"":""博祖姆"",""tr"":""Bozum"",""ru"":""Бозум"",""uk"":""Бозум"",""pl"":""Bozoum"",""hi"":""बोज़ूम"",""ar"":""بوزوم""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q896185
17313,Bria,1268,HK,42,CF,adm1,,,6.54233000,21.98633000,Bria,47226,Africa/Bangui,"{""br"":""Bria"",""ko"":""브리아"",""pt-BR"":""Bria"",""pt"":""Bria"",""nl"":""Bria"",""hr"":""Bria"",""fa"":""بریا"",""de"":""Bria"",""es"":""Bria"",""fr"":""Bria"",""ja"":""ブリア"",""it"":""Bria"",""zh-CN"":""布里亚"",""tr"":""Bria"",""ru"":""Бриа"",""uk"":""Брія"",""pl"":""Bria"",""hi"":""ब्रिया"",""ar"":""بريا""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q598667
17314,Carnot,1257,HS,42,CF,adm1,,,4.94273000,15.87735000,Carnot,129032,Africa/Bangui,"{""br"":""Carnot"",""ko"":""카르노"",""pt-BR"":""Carnot"",""pt"":""Carnot"",""nl"":""Carnot"",""hr"":""Carnot"",""fa"":""کارنو"",""de"":""Carnot"",""es"":""Carnot"",""fr"":""Carnot"",""ja"":""カルノー"",""it"":""Carnot"",""zh-CN"":""卡诺"",""tr"":""Carnot"",""ru"":""Карно"",""uk"":""Карно"",""pl"":""Carnot"",""hi"":""कार्नोट"",""ar"":""كارنو""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q598667
17315,Damara,1255,MP,42,CF,city,,,4.96075000,18.70350000,Le,9117,Africa/Bangui,"{""br"":""Damara"",""ko"":""다마라"",""pt-BR"":""Damara"",""pt"":""Damara"",""nl"":""Damara"",""hr"":""Damara"",""fa"":""دمارا"",""de"":""Damara"",""es"":""Damara"",""fr"":""Damara"",""ja"":""ダマラ"",""it"":""Damara"",""zh-CN"":""达玛拉"",""tr"":""Damara"",""ru"":""Дамара"",""uk"":""Дамара"",""pl"":""Damara"",""hi"":""दमारा"",""ar"":""دامارا""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q2423381
17316,Gambo,1266,MB,42,CF,city,,,4.64816000,22.26331000,Gambo,4971,Africa/Bangui,"{""br"":""Gambo"",""ko"":""감보"",""pt-BR"":""Gambo"",""pt"":""Gambo"",""nl"":""Gambo"",""hr"":""Gambo"",""fa"":""گامبو"",""de"":""Gambo"",""es"":""Gambo"",""fr"":""Gambo"",""ja"":""ガンボ"",""it"":""Gambo"",""zh-CN"":""甘博"",""tr"":""Gambo"",""ru"":""Гамбо"",""uk"":""Гамбо"",""pl"":""Gambo"",""hi"":""गैम्बो"",""ar"":""جامبو""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q3094950
17317,Gamboula,1257,HS,42,CF,city,,,4.11775000,15.13926000,Gamboula,13048,Africa/Bangui,"{""br"":""Gamboula"",""ko"":""감불라"",""pt-BR"":""Gamboula"",""pt"":""Gamboula"",""nl"":""Gamboula"",""hr"":""Gamboula"",""fa"":""گامبولا"",""de"":""Gamboula"",""es"":""Gamboula"",""fr"":""Gamboula"",""ja"":""ガンブーラ"",""it"":""Gamboula"",""zh-CN"":""甘布拉"",""tr"":""Gamboula"",""ru"":""Гамбола"",""uk"":""Гамбула"",""pl"":""Gamboula"",""hi"":""गम्बौला"",""ar"":""غامبولا""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q962947
17318,Grimari,1265,UK,42,CF,city,,,5.73549000,19.91209000,Grimari,10824,Africa/Bangui,"{""br"":""Grimari"",""ko"":""그리마리"",""pt-BR"":""Grimari"",""pt"":""Grimari"",""nl"":""Grimari"",""hr"":""Grimari"",""fa"":""گریماری"",""de"":""Grimari"",""es"":""Grimari"",""fr"":""Grimari"",""ja"":""グリマリ"",""it"":""Grimari"",""zh-CN"":""格里马里"",""tr"":""Grimari"",""ru"":""Гримари"",""uk"":""Грімарі"",""pl"":""Grimari"",""hi"":""ग्रिमारी"",""ar"":""غريماري""}",2019-10-06T09:35:51,2025-12-02T17:11:50,1,Q962947
17319,Ippy,1265,UK,42,CF,city,,,6.26793000,21.22468000,Ippy,28319,Africa/Bangui,"{""br"":""Ippy"",""ko"":""이피"",""pt-BR"":""Ippy"",""pt"":""Ippy"",""nl"":""Ippy"",""hr"":""Ippy"",""fa"":""ایپی"",""de"":""Ippy"",""es"":""Ippy"",""fr"":""Ippy"",""ja"":""イッピー"",""it"":""Ippy"",""zh-CN"":""伊皮"",""tr"":""Ippy"",""ru"":""Иппи"",""uk"":""Іппі"",""pl"":""Ippy"",""hi"":""इप्पी"",""ar"":""إيبي""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q2428110
17320,Kabo,1254,AC,42,CF,city,,,7.69937000,18.62903000,Chaussure,16279,Africa/Bangui,"{""br"":""Kabo"",""ko"":""카보"",""pt-BR"":""Kabo"",""pt"":""Kabo"",""nl"":""Kabo"",""hr"":""Kabo"",""fa"":""کابو"",""de"":""Kabo"",""es"":""Kabo"",""fr"":""Kabo"",""ja"":""カボ"",""it"":""Kabo"",""zh-CN"":""卡博"",""tr"":""Kabo"",""ru"":""Кабо"",""uk"":""Кабо"",""pl"":""Kabo"",""hi"":""काबो"",""ar"":""كابو""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q2428075
17321,Kaga Bandoro,1253,KB,42,CF,adm1,,,6.98961000,19.18744000,Kaga bando,55047,Africa/Bangui,"{""br"":""Kaga Bandoro"",""ko"":""카가 반도로"",""pt-BR"":""Kaga Bandoro"",""pt"":""Kaga Bandoro"",""nl"":""Kaga Bandoro"",""hr"":""Kaga Bandoro"",""fa"":""کاگا باندورو"",""de"":""Kaga Bandoro"",""es"":""Kaga Bandoro"",""fr"":""Kaga Bandoro"",""ja"":""加賀バンドロ"",""it"":""Kaga Bandoro"",""zh-CN"":""卡加班多罗"",""tr"":""Kaga Bandoro"",""ru"":""Кага Бандоро"",""uk"":""Кага Бандоро"",""pl"":""Kaga Bandoro"",""hi"":""कागा बंदोरो"",""ar"":""كاجا باندورو""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q1210015
17323,Kembé,1264,BK,42,CF,city,,,4.62275000,21.88645000,Kembé,7317,Africa/Bangui,"{""br"":""Kembé"",""ko"":""켐베"",""pt-BR"":""Kembé"",""pt"":""Kembé"",""nl"":""Kembé"",""hr"":""Kembé"",""fa"":""کمبه"",""de"":""Kembé"",""es"":""Kembé"",""fr"":""Kembé"",""ja"":""ケンベ"",""it"":""Kembé"",""zh-CN"":""肯贝"",""tr"":""Kembé"",""ru"":""Кембе"",""uk"":""Кембе"",""pl"":""Kembé"",""hi"":""केम्बे"",""ar"":""كيمبي""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q2428213
17324,Kouango,1265,UK,42,CF,city,,,4.99337000,19.96186000,Ne pas,36575,Africa/Bangui,"{""br"":""Kouango"",""ko"":""쿠앙고"",""pt-BR"":""Kouango"",""pt"":""Kouango"",""nl"":""Kouango"",""hr"":""Kouango"",""fa"":""کوانگو"",""de"":""Kouango"",""es"":""Kouango"",""fr"":""Kouango"",""ja"":""クアンゴ"",""it"":""Kouango"",""zh-CN"":""库安戈"",""tr"":""Kouango"",""ru"":""Куанго"",""uk"":""Куанго"",""pl"":""Kouango"",""hi"":""कोउआंगो"",""ar"":""كوانجو""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q1772378
17325,Mbaiki,1256,LB,42,CF,adm1,,,3.97145000,17.93352000,Plus grand,22166,Africa/Bangui,"{""br"":""Mbaiki"",""ko"":""음바이키"",""pt-BR"":""Mbaiki"",""pt"":""Mbaiki"",""nl"":""Mbaiki"",""hr"":""Mbaiki"",""fa"":""مبیکی"",""de"":""Mbaiki"",""es"":""Mbaiki"",""fr"":""Mbaiki"",""ja"":""ムバイキ"",""it"":""Mbaiki"",""zh-CN"":""姆拜基"",""tr"":""Mbaiki"",""ru"":""Мбаики"",""uk"":""Мбаїкі"",""pl"":""Mbaiki"",""hi"":""मबैकी"",""ar"":""مبايكي""}",2019-10-06T09:35:51,2025-12-02T17:11:50,1,Q1772378
17327,Mobaye,1264,BK,42,CF,adm1,,,4.31902000,21.17861000,Mobaye,7179,Africa/Bangui,"{""br"":""Mobaye"",""ko"":""모바예"",""pt-BR"":""Mobaye"",""pt"":""Mobaye"",""nl"":""Mobaye"",""hr"":""Mobaye"",""fa"":""موبای"",""de"":""Mobaye"",""es"":""Mobaye"",""fr"":""Mobaye"",""ja"":""モバイエ"",""it"":""Mobaye"",""zh-CN"":""莫巴耶"",""tr"":""Mobaye"",""ru"":""Мобае"",""uk"":""Мобає"",""pl"":""Mobaye"",""hi"":""मोबाये"",""ar"":""موباي""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q1025621
17328,Mongoumba,1256,LB,42,CF,city,,,3.64153000,18.59364000,Mongoumba,11756,Africa/Bangui,"{""br"":""Mongoumba"",""ko"":""몽구움바"",""pt-BR"":""Mongoumba"",""pt"":""Mongoumba"",""nl"":""Mongoumba"",""hr"":""Mongoumba"",""fa"":""مونگومبا"",""de"":""Mongoumba"",""es"":""Mongoumba"",""fr"":""Mongoumba"",""ja"":""モングンバ"",""it"":""Mongoumba"",""zh-CN"":""蒙贡巴"",""tr"":""Mongoumba"",""ru"":""Монгумба"",""uk"":""Монгумба"",""pl"":""Mongoumba"",""hi"":""मोंगुम्बा"",""ar"":""مونغومبا""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q969825
17329,Ndélé,1259,BB,42,CF,city,,,8.74287000,20.89108000,Ndélé,13704,Africa/Bangui,"{""br"":""Ndélé"",""ko"":""은델레"",""pt-BR"":""Ndélé"",""pt"":""Ndélé"",""nl"":""Ndélé"",""hr"":""Ndélé"",""fa"":""ندله"",""de"":""Ndélé"",""es"":""Ndélé"",""fr"":""Ndélé"",""ja"":""ンデレ"",""it"":""Ndélé"",""zh-CN"":""恩代莱"",""tr"":""Ndelé"",""ru"":""Нделе"",""uk"":""Нделе"",""pl"":""Ndelé"",""hi"":""नेडेल"",""ar"":""نديلي""}",2019-10-06T09:35:51,2025-12-02T16:59:27,1,Q969825
17330,Nola,1252,SE,42,CF,adm1,,,3.52494000,16.04583000,Nola,31923,Africa/Bangui,"{""br"":""Nola"",""ko"":""놀라"",""pt-BR"":""Nola"",""pt"":""Nola"",""nl"":""Nola"",""hr"":""Nola"",""fa"":""نولا"",""de"":""Nola"",""es"":""Nola"",""fr"":""Nola"",""ja"":""ノーラ"",""it"":""Nola"",""zh-CN"":""诺拉"",""tr"":""Nola"",""ru"":""Нола"",""uk"":""Нола"",""pl"":""Nola"",""hi"":""नोला"",""ar"":""نولا""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q969825
17331,Obo,1258,HM,42,CF,adm1,,,5.39586000,26.49211000,Obo,14402,Africa/Bangui,"{""br"":""Obo"",""ko"":""오보"",""pt-BR"":""Obo"",""pt"":""Obo"",""nl"":""Obo"",""hr"":""Obo"",""fa"":""اوبو"",""de"":""Obo"",""es"":""Obo"",""fr"":""Obo"",""ja"":""オボ"",""it"":""Obo"",""zh-CN"":""敖包"",""tr"":""Obo"",""ru"":""Обо"",""uk"":""Обо"",""pl"":""Obo"",""hi"":""ओबो"",""ar"":""أوبو""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q1025617
