id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
17339,Brazzaville,2870,BZV,50,CG,capital,,,-4.26613000,15.28318000,Brazzaville,2145783,Africa/Brazzaville,"{""br"":""Brazzaville"",""ko"":""브라자빌"",""pt-BR"":""Brazzaville"",""pt"":""Brazzaville"",""nl"":""Brazzaville"",""hr"":""Brazzaville"",""fa"":""برازاویل"",""de"":""Brazzaville"",""es"":""Brazzaville"",""fr"":""Brazzaville"",""ja"":""ブラザヴィル"",""it"":""Brazzaville"",""zh-CN"":""布拉柴维尔"",""tr"":""Brazzaville"",""ru"":""Браззавиль"",""uk"":""Браззавіль"",""pl"":""Brazzaville"",""hi"":""ब्राज़ाविल"",""ar"":""برازافيل""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q3844
17340,Djambala,2862,14,50,CG,adm1,,,-2.54472000,14.75333000,Djambala,15372,Africa/Brazzaville,"{""br"":""Djambala"",""ko"":""잠발라"",""pt-BR"":""Djambala"",""pt"":""Djambala"",""nl"":""Djambala"",""hr"":""Džambala"",""fa"":""جامبالا"",""de"":""Djambala"",""es"":""Djambala"",""fr"":""Djambala"",""ja"":""ジャンバラ"",""it"":""Djambala"",""zh-CN"":""贾巴拉"",""tr"":""Djambala"",""ru"":""Джамбала"",""uk"":""Джамбала"",""pl"":""Dżambala"",""hi"":""जम्बाला"",""ar"":""جامبالا""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q2490824
17341,Dolisie,2872,9,50,CG,adm1,,,-4.19834000,12.66664000,Dolisie,117920,Africa/Brazzaville,"{""br"":""Dolisie"",""ko"":""돌리시"",""pt-BR"":""Dolisie"",""pt"":""Dolisie"",""nl"":""Dolisie"",""hr"":""Dolisie"",""fa"":""دولیسی"",""de"":""Dolisie"",""es"":""Dolisie"",""fr"":""Dolisie"",""ja"":""ドリシー"",""it"":""Dolisie"",""zh-CN"":""多利西"",""tr"":""Dolisie"",""ru"":""Долиси"",""uk"":""Долісі"",""pl"":""Dolisie"",""hi"":""डोलिसी"",""ar"":""دوليسي""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q246554
17342,Ewo,2869,15,50,CG,adm1,,,-0.87250000,14.82056000,Héros,11457,Africa/Brazzaville,"{""br"":""Ewo"",""ko"":""에워"",""pt-BR"":""Ewo"",""pt"":""Ewo"",""nl"":""Ewo"",""hr"":""Evo"",""fa"":""ایو"",""de"":""Ewo"",""es"":""Ewo"",""fr"":""Ewo"",""ja"":""エウォ"",""it"":""Ewo"",""zh-CN"":""埃沃"",""tr"":""Ewo"",""ru"":""Эво"",""uk"":""Ево"",""pl"":""Ewo"",""hi"":""इवो"",""ar"":""إيوو""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q2362433
17343,Gamboma,2862,14,50,CG,city,,,-1.87639000,15.86444000,Gamboma,26718,Africa/Brazzaville,"{""br"":""Gamboma"",""ko"":""감보마"",""pt-BR"":""Gamboma"",""pt"":""Gamboma"",""nl"":""Gamboma"",""hr"":""Gamboma"",""fa"":""گامبوما"",""de"":""Gamboma"",""es"":""Gamboma"",""fr"":""Gamboma"",""ja"":""ガンボマ"",""it"":""Gamboma"",""zh-CN"":""甘博马"",""tr"":""Gamboma"",""ru"":""Гамбома"",""uk"":""Гамбома"",""pl"":""Gamboma"",""hi"":""गम्बोमा"",""ar"":""جامبوما""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q22624469
17344,Impfondo,2865,7,50,CG,adm1,,,1.61804000,18.05981000,Louer,39653,Africa/Brazzaville,"{""br"":""Impfondo"",""ko"":""임폰도"",""pt-BR"":""Impfondo"",""pt"":""Impfondo"",""nl"":""Impfondo"",""hr"":""Impfondo"",""fa"":""ایمفوندو"",""de"":""Impfondo"",""es"":""Impfondo"",""fr"":""Impfondo"",""ja"":""インプフォンド"",""it"":""Impfondo"",""zh-CN"":""因普丰多"",""tr"":""Impfondo"",""ru"":""Импфондо"",""uk"":""Імфондо"",""pl"":""Impfondo"",""hi"":""इम्फोंडो"",""ar"":""إمبفوندو""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q1142926
17345,Kayes,2866,11,50,CG,city,,,-4.20493000,13.28608000,Kayes,58737,Africa/Brazzaville,"{""br"":""Kayes"",""ko"":""케이스"",""pt-BR"":""Kayes"",""pt"":""Kayes"",""nl"":""Kayes"",""hr"":""Kayes"",""fa"":""کایس"",""de"":""Kayes"",""es"":""Kayes"",""fr"":""Kayes"",""ja"":""ケイズ"",""it"":""Kayes"",""zh-CN"":""凯斯"",""tr"":""Kayes"",""ru"":""Кейс"",""uk"":""Кейс"",""pl"":""Kayes"",""hi"":""कयेस"",""ar"":""كايس""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q6271177
17346,Kinkala,2873,12,50,CG,adm1,,,-4.36139000,14.76444000,Kinkala,12102,Africa/Brazzaville,"{""br"":""Kinkala"",""ko"":""킨칼라"",""pt-BR"":""Kinkala"",""pt"":""Kinkala"",""nl"":""Kinkala"",""hr"":""Kinkala"",""fa"":""کینکالا"",""de"":""Kinkala"",""es"":""Kinkala"",""fr"":""Kinkala"",""ja"":""キンカラ"",""it"":""Kinkala"",""zh-CN"":""金卡拉"",""tr"":""Kinkala"",""ru"":""Кинкала"",""uk"":""Кінкала"",""pl"":""Kinkala"",""hi"":""किंकाला"",""ar"":""كينكالا""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q667652
17347,Loandjili,2863,16,50,CG,city,,,-4.75611000,11.85778000,Loandjili,23204,Africa/Brazzaville,"{""br"":""Loandjili"",""ko"":""론드질리"",""pt-BR"":""Loandjili"",""pt"":""Loandjili"",""nl"":""Loandjili"",""hr"":""Loandjili"",""fa"":""لواندجیلی"",""de"":""Loandjili"",""es"":""Loandjili"",""fr"":""Loandjili"",""ja"":""ロアンジリ"",""it"":""Loandjili"",""zh-CN"":""洛安吉利"",""tr"":""Loandjili"",""ru"":""Лоанджили"",""uk"":""Лоанджілі"",""pl"":""Loandjili"",""hi"":""लोआंडजिली"",""ar"":""لوانجيلي""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q22643954
17348,Madingou,2866,11,50,CG,adm1,,,-4.15361000,13.55000000,Mode,1153,Africa/Brazzaville,"{""br"":""Madingou"",""ko"":""마딩구"",""pt-BR"":""Madingou"",""pt"":""Madingou"",""nl"":""Madingou"",""hr"":""Madingou"",""fa"":""مادیگو"",""de"":""Madingou"",""es"":""Madingou"",""fr"":""Madingou"",""ja"":""マディンゴウ"",""it"":""Madingou"",""zh-CN"":""马丁古"",""tr"":""Madingou"",""ru"":""Мадингу"",""uk"":""Мадінгу"",""pl"":""Madingou"",""hi"":""मादिंगौ"",""ar"":""مادينجو""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q1971302
