id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
17356,Aadorf,1657,TG,214,CH,city,,,47.49204000,8.90099000,Aadorf,9036,Europe/Zurich,"{""br"":""Aadorf"",""ko"":""아도르프"",""pt-BR"":""Aadorf"",""pt"":""Aadorf"",""nl"":""Aadorf"",""hr"":""Aadorf"",""fa"":""آدورف"",""de"":""Aadorf"",""es"":""Aadorf"",""fr"":""Aadorf"",""ja"":""アードルフ"",""it"":""Aadorf"",""zh-CN"":""阿多夫"",""tr"":""Aadorf"",""ru"":""Аадорф"",""uk"":""Аадорф"",""pl"":""Aadorf"",""hi"":""आडॉर्फ़"",""ar"":""آدورف""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q223920
17357,Aarau,1639,AG,214,CH,adm1,,,47.39254000,8.04422000,Aarau,21503,Europe/Zurich,"{""br"":""Aarau"",""ko"":""아라우"",""pt-BR"":""Aarau"",""pt"":""Aarau"",""nl"":""Aarau"",""hr"":""Aarau"",""fa"":""آراو"",""de"":""Aarau"",""es"":""Aarau"",""fr"":""Aarau"",""ja"":""アーラウ"",""it"":""Aarau"",""zh-CN"":""阿劳"",""tr"":""Aarau"",""ru"":""Аарау"",""uk"":""Аарау"",""pl"":""Aarau"",""hi"":""आराऊ"",""ar"":""آراو""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q223920
17358,Aarberg,1645,BE,214,CH,city,,,47.04439000,7.27578000,Aarberg,4628,Europe/Zurich,"{""br"":""Aarberg"",""ko"":""아르베르그"",""pt-BR"":""Aarberg"",""pt"":""Aarberg"",""nl"":""Aarberg"",""hr"":""Aarberg"",""fa"":""آربرگ"",""de"":""Aarberg"",""es"":""Aarberg"",""fr"":""Aarberg"",""ja"":""アーバーグ"",""it"":""Aarberg"",""zh-CN"":""阿尔贝格"",""tr"":""Aarberg"",""ru"":""Аарберг"",""uk"":""Аарберг"",""pl"":""Aarberg"",""hi"":""आर्बर्ग"",""ar"":""آربيرج""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q223920
17359,Aarburg,1639,AG,214,CH,city,,,47.32067000,7.89986000,Aarburg,8185,Europe/Zurich,"{""br"":""Aarburg"",""ko"":""아르부르크"",""pt-BR"":""Aarburg"",""pt"":""Aarburg"",""nl"":""Aarburg"",""hr"":""Aarburg"",""fa"":""آربورگ"",""de"":""Aarburg"",""es"":""Aarburg"",""fr"":""Aarbourg"",""ja"":""アーブルグ"",""it"":""Aarburg"",""zh-CN"":""阿尔堡"",""tr"":""Aarburg"",""ru"":""Аарбург"",""uk"":""Аарбург"",""pl"":""Aarburg"",""hi"":""आरबर्ग"",""ar"":""آربورغ""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q223920
17360,Aarwangen,1645,BE,214,CH,city,,,47.23845000,7.76854000,Arriens,4561,Europe/Zurich,"{""br"":""Aarwangen"",""ko"":""아르왕겐"",""pt-BR"":""Aarwangen"",""pt"":""Aarwangen"",""nl"":""Aarwangen"",""hr"":""Aarwangen"",""fa"":""آروانگن"",""de"":""Aarwangen"",""es"":""Aarwangen"",""fr"":""Aarwangen"",""ja"":""アーヴァンゲン"",""it"":""Aarwangen"",""zh-CN"":""阿尔旺根"",""tr"":""Aarwangen"",""ru"":""Аарванген"",""uk"":""Аарванген"",""pl"":""Aarwangen"",""hi"":""आरवांगेन"",""ar"":""أروانجن""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q69222
17361,Acquarossa,1643,TI,214,CH,adm2,,,46.45473000,8.94261000,Acquarossa,1808,Europe/Zurich,"{""br"":""Acquarossa"",""ko"":""아쿠로사"",""pt-BR"":""Acquarossa"",""pt"":""Acquarossa"",""nl"":""Acquarossa"",""hr"":""Acquarossa"",""fa"":""آکواروسا"",""de"":""Acquarossa"",""es"":""Acquarossa"",""fr"":""Acquarossa"",""ja"":""アクアロッサ"",""it"":""Acquarossa"",""zh-CN"":""阿夸罗萨"",""tr"":""Acquarossa"",""ru"":""Акваросса"",""uk"":""Акваросса"",""pl"":""Acquarossa"",""hi"":""एक्वारोसा"",""ar"":""أكواروسا""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q69222
17362,Adelboden,1645,BE,214,CH,city,,,46.49142000,7.56031000,Adelboden,3390,Europe/Zurich,"{""br"":""Adelboden"",""ko"":""아델보덴"",""pt-BR"":""Adelboden"",""pt"":""Adelboden"",""nl"":""Adelboden"",""hr"":""Adelboden"",""fa"":""آدلبودن"",""de"":""Adelboden"",""es"":""Adelboden"",""fr"":""Adelboden"",""ja"":""アデルボーデン"",""it"":""Adelboden"",""zh-CN"":""阿德尔博登"",""tr"":""Adelboden"",""ru"":""Адельбоден"",""uk"":""Адельбоден"",""pl"":""Adelboden"",""hi"":""एडेलबोडेन"",""ar"":""أدلبودن""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q69222
17363,Adligenswil,1663,LU,214,CH,city,,,47.06521000,8.36124000,Adligenswil,5391,Europe/Zurich,"{""br"":""Adligenswil"",""ko"":""아들리겐스빌"",""pt-BR"":""Adligenswil"",""pt"":""Adligenswil"",""nl"":""Adligenswil"",""hr"":""Adligenswil"",""fa"":""آدلیگنسویل"",""de"":""Adligenswil"",""es"":""Adligenswil"",""fr"":""Adligenswil"",""ja"":""アドリゲンスヴィル"",""it"":""Adligenswil"",""zh-CN"":""阿德利根斯维尔"",""tr"":""Adligenswil"",""ru"":""Адлигенсвиль"",""uk"":""Адлігенсвіль"",""pl"":""Adligenswil"",""hi"":""एडलिगेन्सविल"",""ar"":""أدليغنسويل""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q69222
17364,Adliswil,1656,ZH,214,CH,city,,,47.30997000,8.52462000,Adliswil,18765,Europe/Zurich,"{""br"":""Adliswil"",""ko"":""아들리스빌"",""pt-BR"":""Adliswil"",""pt"":""Adliswil"",""nl"":""Adliswil"",""hr"":""Adliswil"",""fa"":""آدلیسویل"",""de"":""Adliswil"",""es"":""Adliswil"",""fr"":""Adliswil"",""ja"":""アドリスヴィル"",""it"":""Adliswil"",""zh-CN"":""阿德利斯维尔"",""tr"":""Adliswil"",""ru"":""Адлисвиль"",""uk"":""Адлісвіль"",""pl"":""Adliswil"",""hi"":""एडलिसविल"",""ar"":""أدليسويل""}",2019-10-06T09:35:51,2025-12-02T14:38:56,1,Q22361097
17365,Adliswil / Adliswil (Stadtkern),1656,ZH,214,CH,section,,,47.31128000,8.52675000,Adliswil / adliswil (stadtkern),2538,Europe/Zurich,"{""br"":""Adliswil / Adliswil (Stadtkern)"",""ko"":""아들리스빌 / 아들리스빌(슈타트케른)"",""pt-BR"":""Adliswil / Adliswil (Cidade)"",""pt"":""Adliswil / Adliswil (Cidade)"",""nl"":""Adliswil / Adliswil (Stadtkern)"",""hr"":""Adliswil / Adliswil (Stadtkern)"",""fa"":""آدلیسویل / آدلیسویل (اشتادکرن)"",""de"":""Adliswil / Adliswil (Stadtkern)"",""es"":""Adliswil / Adliswil (Ciudad)"",""fr"":""Adliswil / Adliswil (centre-ville)"",""ja"":""アドリスヴィル / アドリスヴィル (シュタットケルン)"",""it"":""Adliswil / Adliswil (Stadtkern)"",""zh-CN"":""阿德利斯维尔 / 阿德利斯维尔 (Stadtkern)"",""tr"":""Adliswil / Adliswil (Stadtkern)"",""ru"":""Adliswil / Adliswil (Stadtkern)"",""uk"":""Адлісвіль / Адлісвіль (Штадткерн)"",""pl"":""Adliswil / Adliswil (Miasto)"",""hi"":""Adliswil / Adliswil (Stadtkern)"",""ar"":""أدليسويل / أدليسويل (شتاتكيرن)""}",2019-10-06T09:35:51,2025-12-02T14:39:31,1,Q22361097
