id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
18859,Abengourou,2654,CM,54,CI,adm1,,,6.72972000,-3.49639000,Abengourou,130810,Africa/Abidjan,"{""ar"":""أبنغورو"",""br"":""Abengourou"",""de"":""Abengourou"",""es"":""Abengourou"",""fa"":""آبنگورو"",""fr"":""Abengourou"",""hi"":""अबेंगौरौ"",""hr"":""Abengourou"",""it"":""Abengourou"",""ja"":""アベンゴルー"",""ko"":""아벤구루"",""nl"":""Abengourou"",""pl"":""Abengourou"",""pt"":""Abengourou"",""pt-BR"":""Abengourou"",""ru"":""Абенгуру"",""tr"":""Abengourou"",""uk"":""Абенгуру"",""zh-CN"":""阿本古鲁""}",2019-10-05T22:36:02,2025-12-02T14:39:31,1,Q1044225
18860,Abidjan,2634,AB,54,CI,adm1,,,5.30966000,-4.01266000,Abidjan,6321017,Africa/Abidjan,"{""ar"":""أبيدجان"",""br"":""Abidjan"",""de"":""Abidjan"",""es"":""Abiyán"",""fa"":""آبیجان"",""fr"":""Abidjan"",""hi"":""एबिजान"",""hr"":""Abidžan"",""it"":""Abidjan"",""ja"":""アビジャン"",""ko"":""아비장"",""nl"":""Abidjan"",""pl"":""Abidżan"",""pt"":""Abidjã"",""pt-BR"":""Abidjã"",""ru"":""Абиджан"",""tr"":""Abidjan"",""uk"":""Абіджан"",""zh-CN"":""阿比让""}",2019-10-05T22:36:02,2025-12-02T14:38:56,1,Q1515
18861,Abobo,2634,AB,54,CI,city,,,5.41613000,-4.01590000,Abobo,1340083,Africa/Abidjan,"{""ar"":""أبوبو"",""br"":""Abobo"",""de"":""Abobo"",""es"":""Abobo"",""fa"":""ابوبو"",""fr"":""Abobo"",""hi"":""अबोबो"",""hr"":""Abobo"",""it"":""Abobo"",""ja"":""アボボ"",""ko"":""아보보"",""nl"":""Abobo"",""pl"":""Abobo"",""pt"":""Abobo"",""pt-BR"":""Abobo"",""ru"":""Абобо"",""tr"":""Abobo"",""uk"":""Абобо"",""zh-CN"":""阿波波""}",2019-10-05T22:36:02,2025-12-02T14:38:56,1,Q322624
18862,Aboisso,2654,CM,54,CI,adm2,,,5.46779000,-3.20711000,Aboisso,59225,Africa/Abidjan,"{""ar"":""أبويسو"",""br"":""Aboisso"",""de"":""Aboisso"",""es"":""Aboisso"",""fa"":""آبویسو"",""fr"":""Aboisso"",""hi"":""अबोइसो"",""hr"":""Aboisso"",""it"":""Aboisso"",""ja"":""アボイッソ"",""ko"":""아보이소"",""nl"":""Aboisso"",""pl"":""Aboisso"",""pt"":""Aboisso"",""pt-BR"":""Aboisso"",""ru"":""Абоиссо"",""tr"":""Aboisso"",""uk"":""Абойсо"",""zh-CN"":""阿博伊索""}",2019-10-05T22:36:02,2025-12-02T14:39:31,1,Q521322
18863,Adiaké,2654,CM,54,CI,adm3,,,5.28634000,-3.30403000,Adiaké,24701,Africa/Abidjan,"{""ar"":""أدياكي"",""br"":""Adiaké"",""de"":""Adiaké"",""es"":""Adiaké"",""fa"":""آدیاکه"",""fr"":""Adiaké"",""hi"":""अदियाके"",""hr"":""Adiaké"",""it"":""Adiaké"",""ja"":""アディアケ"",""ko"":""아디아케"",""nl"":""Adiaké"",""pl"":""Adiaké"",""pt"":""Adiaké"",""pt-BR"":""Adiaké"",""ru"":""Адиаке"",""tr"":""Adiaké"",""uk"":""Адіаке"",""zh-CN"":""阿迪亚凯""}",2019-10-05T22:36:02,2025-12-02T14:39:31,1,Q521322
18864,Adzopé,2627,LG,54,CI,adm2,,,6.10694000,-3.86194000,Adzopé,76122,Africa/Abidjan,"{""ar"":""أدزوبيه"",""br"":""Adzopé"",""de"":""Adzopé"",""es"":""Adzopé"",""fa"":""آدزوپه"",""fr"":""Adzopé"",""hi"":""अडज़ोपे"",""hr"":""Adzopé"",""it"":""Adzopé"",""ja"":""アゾペ"",""ko"":""아조페"",""nl"":""Adzope"",""pl"":""Adzopé"",""pt"":""Adzopé"",""pt-BR"":""Adzopé"",""ru"":""Адзопе"",""tr"":""Adzopé"",""uk"":""Адзопе"",""zh-CN"":""阿佐佩""}",2019-10-05T22:36:02,2025-12-02T14:39:31,1,Q1270691
18865,Affery,2627,LG,54,CI,city,,,6.32035000,-3.95235000,Affaiblissement,47109,Africa/Abidjan,"{""ar"":""أفيري"",""br"":""Affery"",""de"":""Affery"",""es"":""Affery"",""fa"":""آفری"",""fr"":""Affery"",""hi"":""अफ़री"",""hr"":""Affery"",""it"":""Affery"",""ja"":""アフェリー"",""ko"":""애프리"",""nl"":""Affery"",""pl"":""Affery"",""pt"":""Affery"",""pt-BR"":""Affery"",""ru"":""Аффери"",""tr"":""Affery"",""uk"":""Аффері"",""zh-CN"":""阿弗里""}",2019-10-05T22:36:02,2025-12-02T14:38:56,1,Q1270691
18866,Agboville,2627,LG,54,CI,adm2,,,5.92801000,-4.21319000,Agboville,81770,Africa/Abidjan,"{""ar"":""أغبوفيل"",""br"":""Agboville"",""de"":""Agboville"",""es"":""Agboville"",""fa"":""آگبوویل"",""fr"":""Agboville"",""hi"":""एग्बोविल"",""hr"":""Agboville"",""it"":""Agboville"",""ja"":""アグボヴィル"",""ko"":""아그보빌"",""nl"":""Agboville"",""pl"":""Agboville"",""pt"":""Agboville"",""pt-BR"":""Agboville"",""ru"":""Агбовиль"",""tr"":""Agboville"",""uk"":""Агбовілль"",""zh-CN"":""阿博维尔""}",2019-10-05T22:36:02,2025-12-02T14:39:31,1,Q2080938
18867,Agnibilékrou,2654,CM,54,CI,adm3,,,7.13113000,-3.20415000,Agnibilékrou,63015,Africa/Abidjan,"{""ar"":""أغنيبيليكرو"",""br"":""Agnibilékrou"",""de"":""Agnibilékrou"",""es"":""Agnibilékrou"",""fa"":""آگنیبیلکرو"",""fr"":""Agnibilékrou"",""hi"":""अग्निबिलेक्रो"",""hr"":""Agnibilékrou"",""it"":""Agnibilékrou"",""ja"":""アグニビレクロウ"",""ko"":""아그니빌레크루"",""nl"":""Agnibilékrou"",""pl"":""Agnibilékrou"",""pt"":""Agnibilékrou"",""pt-BR"":""Agnibilékrou"",""ru"":""Агнибилекру"",""tr"":""Agnibilékrou"",""uk"":""Агнібілекру"",""zh-CN"":""阿格尼比莱克鲁""}",2019-10-05T22:36:02,2025-12-02T14:39:31,1,Q2080938
18868,Agnéby-Tiassa,2627,LG,54,CI,city,,,5.79488000,-4.37187000,Agnby-tiassa,,Africa/Abidjan,"{""ar"":""أغنيبي تياسا"",""br"":""Agnéby-Tiassa"",""de"":""Agnéby-Tiassa"",""es"":""Agnéby-Tiassa"",""fa"":""آگنبی-تیاسا"",""fr"":""Agnéby-Tiassa"",""hi"":""एग्नेबी-टियासा"",""hr"":""Agnéby-Tiassa"",""it"":""Agnéby-Tiassa"",""ja"":""アグネビー・ティアッサ"",""ko"":""아그네비-티아사"",""nl"":""Agnéby-Tiassa"",""pl"":""Agnéby-Tiassa"",""pt"":""Agnéby-Tiassa"",""pt-BR"":""Agnéby-Tiassa"",""ru"":""Аньеби-Тиасса"",""tr"":""Agnéby-Tiassa"",""uk"":""Агнебі-Тіасса"",""zh-CN"":""阿涅比-蒂亚萨""}",2019-10-05T22:36:02,2025-12-02T17:11:50,1,Q2080938
