id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
18944,Ancud,2835,LL,44,CL,city,,,-41.87070000,-73.81622000,Ancud,38991,America/Santiago,"{""br"":""Ancud"",""ko"":""앙쿠드"",""pt-BR"":""Ancud"",""pt"":""Ancud"",""nl"":""Ancud"",""hr"":""Ancud"",""fa"":""آنکود"",""de"":""Ancud"",""es"":""Ancud"",""fr"":""Ancud"",""ja"":""アンクッド"",""it"":""Ancud"",""zh-CN"":""安库德"",""tr"":""Ancud"",""ru"":""Анкуд"",""uk"":""Анкуд"",""pl"":""Ancud"",""hi"":""अंकुड"",""ar"":""أنكود""}",2019-10-06T09:36:02,2025-12-02T14:38:56,1,Q3597
18945,Angol,2826,AR,44,CL,adm2,,,-37.79519000,-72.71636000,Inglés,48608,America/Santiago,"{""br"":""Angol"",""ko"":""앙골"",""pt-BR"":""Angola"",""pt"":""Angola"",""nl"":""Angol"",""hr"":""Angol"",""fa"":""آنگول"",""de"":""Angol"",""es"":""Angol"",""fr"":""Angola"",""ja"":""アンゴル"",""it"":""Angol"",""zh-CN"":""安戈尔"",""tr"":""Angol"",""ru"":""Ангол"",""uk"":""Англійська"",""pl"":""Angol"",""hi"":""अंगोल"",""ar"":""أنغول""}",2019-10-06T09:36:02,2025-12-02T14:38:56,1,Q3608
18946,Antofagasta,2832,AN,44,CL,adm1,,,-23.65236000,-70.39540000,Antofagasta,348517,America/Santiago,"{""br"":""Antofagasta"",""ko"":""안토파가스타"",""pt-BR"":""Antofagasta"",""pt"":""Antofagasta"",""nl"":""Antofagasta"",""hr"":""Antofagasta"",""fa"":""آنتوفاگاستا"",""de"":""Antofagasta"",""es"":""Antofagasta"",""fr"":""Antofagasta"",""ja"":""アントファガスタ"",""it"":""Antofagasta"",""zh-CN"":""安托法加斯塔"",""tr"":""Antofagasta"",""ru"":""Антофагаста"",""uk"":""Антофагаста"",""pl"":""Antofagasta"",""hi"":""एंटोफ़गास्ता"",""ar"":""أنتوفاجاستا""}",2019-10-06T09:36:02,2025-12-02T14:38:56,1,Q3612
18947,Arauco,2827,BI,44,CL,city,,,-37.24630000,-73.31752000,Arauco,24659,America/Santiago,"{""br"":""Arauco"",""ko"":""아라우코"",""pt-BR"":""Arauco"",""pt"":""Arauco"",""nl"":""Arauco"",""hr"":""Arauco"",""fa"":""آراوکو"",""de"":""Arauco"",""es"":""Arauco"",""fr"":""Arauco"",""ja"":""アラウコ"",""it"":""Arauco"",""zh-CN"":""阿劳科"",""tr"":""Arauco"",""ru"":""Арауко"",""uk"":""Арауко"",""pl"":""Arauco"",""hi"":""अरौको"",""ar"":""أراوكو""}",2019-10-06T09:36:02,2025-12-02T14:39:31,1,Q3632
18948,Arica,2829,AP,44,CL,adm1,,,-18.47460000,-70.29792000,Arica,202131,America/Santiago,"{""br"":""Arica"",""ko"":""아리카"",""pt-BR"":""Arica"",""pt"":""Arica"",""nl"":""Arica"",""hr"":""Arica"",""fa"":""آریکا"",""de"":""Arica"",""es"":""Arica"",""fr"":""Arica"",""ja"":""アリカ"",""it"":""Arica"",""zh-CN"":""阿里卡"",""tr"":""Arica"",""ru"":""Арика"",""uk"":""Аріка"",""pl"":""Arica"",""hi"":""एरिका"",""ar"":""أريكا""}",2019-10-06T09:36:02,2025-12-02T14:38:56,1,Q2203
18950,Bulnes,2831,NB,44,CL,adm2,,,-36.74232000,-72.29854000,Bulnes,12715,America/Santiago,"{""br"":""Bulnes"",""ko"":""불네스"",""pt-BR"":""Bulnes"",""pt"":""Bulnes"",""nl"":""Bulnes"",""hr"":""Bulnes"",""fa"":""بولنس"",""de"":""Bulnes"",""es"":""Bulnes"",""fr"":""Bulnes"",""ja"":""ブルネス"",""it"":""Bulnes"",""zh-CN"":""布尔内斯"",""tr"":""Bulnes"",""ru"":""Бульнес"",""uk"":""Булнес"",""pl"":""Bulnes"",""hi"":""बुल्नेस"",""ar"":""بولنز""}",2019-10-06T09:36:02,2025-12-02T14:39:31,1,Q3663
18951,Cabrero,2827,BI,44,CL,city,,,-37.03394000,-72.40468000,Cabrero,27595,America/Santiago,"{""br"":""Cabrero"",""ko"":""카브레로"",""pt-BR"":""Cabrero"",""pt"":""Cabrero"",""nl"":""Cabrero"",""hr"":""Cabrero"",""fa"":""کابررو"",""de"":""Cabrero"",""es"":""Cabrero"",""fr"":""Cabrero"",""ja"":""カブレロ"",""it"":""Cabrero"",""zh-CN"":""卡布雷罗"",""tr"":""Cabrero"",""ru"":""Кабреро"",""uk"":""Кабреро"",""pl"":""Cabrero"",""hi"":""कैब्रेरो"",""ar"":""كابريرو""}",2019-10-06T09:36:02,2025-12-02T14:39:31,1,Q3678
18952,Calama,2832,AN,44,CL,adm2,,,-22.45667000,-68.92371000,Calama,157575,America/Santiago,"{""br"":""Kalama"",""ko"":""칼라마"",""pt-BR"":""Calama"",""pt"":""Calama"",""nl"":""Calama"",""hr"":""Kalama"",""fa"":""کالاما"",""de"":""Calama"",""es"":""Calama"",""fr"":""Calama"",""ja"":""カラマ"",""it"":""Calama"",""zh-CN"":""卡拉马"",""tr"":""Kalama"",""ru"":""Калама"",""uk"":""Калама"",""pl"":""Calama"",""hi"":""कैलमा"",""ar"":""كالاما""}",2019-10-06T09:36:02,2025-12-02T14:38:56,1,Q3685
18953,Calbuco,2835,LL,44,CL,city,,,-41.77338000,-73.13049000,Calbuco,32963,America/Santiago,"{""br"":""Calbuco"",""ko"":""칼부코"",""pt-BR"":""Calbuco"",""pt"":""Calbuco"",""nl"":""Calbuco"",""hr"":""Calbuco"",""fa"":""کالبوکو"",""de"":""Calbuco"",""es"":""Calbuco"",""fr"":""Calbuco"",""ja"":""カルブコ"",""it"":""Calbuco"",""zh-CN"":""卡尔布科"",""tr"":""Calbuco"",""ru"":""Кальбуко"",""uk"":""Кальбуко"",""pl"":""Calbuco"",""hi"":""कैल्बुको"",""ar"":""كالبوكو""}",2019-10-06T09:36:02,2025-12-02T14:39:31,1,Q3691
18954,Carahue,2826,AR,44,CL,city,,,-38.71122000,-73.16101000,Carhue,24377,America/Santiago,"{""br"":""Carahue"",""ko"":""카라후에"",""pt-BR"":""Carahue"",""pt"":""Carahue"",""nl"":""Carahue"",""hr"":""Carahue"",""fa"":""کاراهو"",""de"":""Carahue"",""es"":""Carahue"",""fr"":""Carahue"",""ja"":""カラウエ"",""it"":""Carahue"",""zh-CN"":""卡拉韦"",""tr"":""Carahue"",""ru"":""Карауэ"",""uk"":""Карауе"",""pl"":""Carahue"",""hi"":""कैराहुए"",""ar"":""كاراهوي""}",2019-10-06T09:36:02,2025-12-02T14:39:31,1,Q3736
