id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
19132,Abong Mbang,2661,ES,38,CM,city,,,3.98333000,13.18333000,Abong Mbang,24433,Africa/Douala,"{""br"":""Abong Mbang"",""ko"":""아봉 음방"",""pt-BR"":""Abong Mbang"",""pt"":""Abong Mbang"",""nl"":""Abong Mbang"",""hr"":""Abong Mbang"",""fa"":""آبونگ امبانگ"",""de"":""Abong Mbang"",""es"":""Abong Mbang"",""fr"":""Abong Mbang"",""ja"":""アボン・ムバン"",""it"":""Abong Mbang"",""zh-CN"":""阿邦姆邦"",""tr"":""Abong Mbang"",""ru"":""Абонг Мбанг"",""uk"":""Абонг Мбанг"",""pl"":""Abong Mbang"",""hi"":""अबोंग मबांग"",""ar"":""أبونغ مبانغ""}",2019-10-06T09:36:03,2025-12-02T14:39:31,1,Q322917
19133,Akom II,2659,SU,38,CM,city,,,2.78333000,10.56667000,Ce que II,9709,Africa/Douala,"{""br"":""Akom II"",""ko"":""아콤 II"",""pt-BR"":""Akom II"",""pt"":""Akom II"",""nl"":""Akom II"",""hr"":""Akom II"",""fa"":""آکوم دوم"",""de"":""Akom II"",""es"":""Akom II"",""fr"":""Akom II"",""ja"":""アコム II"",""it"":""Akom II"",""zh-CN"":""阿科姆二世"",""tr"":""Akom II"",""ru"":""Аком II"",""uk"":""Аком II"",""pl"":""Akom II"",""hi"":""अकोम II"",""ar"":""أكوم الثاني""}",2019-10-06T09:36:03,2025-12-02T14:38:56,1,Q322917
19134,Akono,2660,CE,38,CM,city,,,3.50000000,11.33333000,Lex,3821,Africa/Douala,"{""br"":""Akono"",""ko"":""아코노"",""pt-BR"":""Akono"",""pt"":""Akono"",""nl"":""Akono"",""hr"":""Akono"",""fa"":""آکونو"",""de"":""Akono"",""es"":""Akono"",""fr"":""Akono"",""ja"":""アコノ"",""it"":""Akono"",""zh-CN"":""阿科诺"",""tr"":""Akono"",""ru"":""Аконо"",""uk"":""Аконо"",""pl"":""Akono"",""hi"":""अकोनो"",""ar"":""أكونو""}",2019-10-06T09:36:03,2025-12-02T14:38:56,1,Q322917
19135,Akonolinga,2660,CE,38,CM,city,,,3.76667000,12.25000000,Maynanga,30078,Africa/Douala,"{""br"":""Akonolinga"",""ko"":""아코놀링가"",""pt-BR"":""Akonolinga"",""pt"":""Akonolinga"",""nl"":""Akonolinga"",""hr"":""Akonolinga"",""fa"":""آکونولینگا"",""de"":""Akonolinga"",""es"":""Akonolinga"",""fr"":""Akonolinga"",""ja"":""アコノリンガ"",""it"":""Akonolinga"",""zh-CN"":""阿科诺林加"",""tr"":""Akonolinga"",""ru"":""Аконолинга"",""uk"":""Аконолінґа"",""pl"":""Akonolinga"",""hi"":""अकोनोलिंगा"",""ar"":""أكونولينجا""}",2019-10-06T09:36:03,2025-12-02T14:38:56,1,Q2829121
19136,Ambam,2659,SU,38,CM,city,,,2.38333000,11.28333000,Ambam,25052,Africa/Douala,"{""br"":""Ambam"",""ko"":""암밤"",""pt-BR"":""Ambam"",""pt"":""Ambam"",""nl"":""Ambam"",""hr"":""Ambam"",""fa"":""آمبام"",""de"":""Ambam"",""es"":""Ambam"",""fr"":""Ambam"",""ja"":""アンバム"",""it"":""Ambam"",""zh-CN"":""安巴姆"",""tr"":""Ambam"",""ru"":""Амбам"",""uk"":""Амбам"",""pl"":""Ambam"",""hi"":""अम्बाम"",""ar"":""أمبام""}",2019-10-06T09:36:03,2025-12-02T14:38:56,1,Q2841553
19137,Babanki,2657,NW,38,CM,city,,,6.11667000,10.25000000,Radki,9851,Africa/Douala,"{""br"":""Babanki"",""ko"":""바반키"",""pt-BR"":""Babanki"",""pt"":""Babanki"",""nl"":""Babanki"",""hr"":""Babanki"",""fa"":""بابانکی"",""de"":""Babanki"",""es"":""Babanki"",""fr"":""Babanki"",""ja"":""ババンキ"",""it"":""Babanki"",""zh-CN"":""巴班基"",""tr"":""Babanki"",""ru"":""Бабанки"",""uk"":""Бабанкі"",""pl"":""Babanki"",""hi"":""बबांकी"",""ar"":""بابانكي""}",2019-10-06T09:36:03,2025-12-02T14:39:31,1,Q2841553
19138,Bafang,2664,OU,38,CM,city,,,5.15705000,10.17710000,Bafang,54505,Africa/Douala,"{""br"":""Bafang"",""ko"":""바팡"",""pt-BR"":""Bafang"",""pt"":""Bafang"",""nl"":""Bafang"",""hr"":""Bafang"",""fa"":""بافنگ"",""de"":""Bafang"",""es"":""bafang"",""fr"":""Bafang"",""ja"":""バファン"",""it"":""Bafang"",""zh-CN"":""八方"",""tr"":""Bafang"",""ru"":""Бафанг"",""uk"":""Бафанг"",""pl"":""Bafang"",""hi"":""Bafang"",""ar"":""بافانغ""}",2019-10-06T09:36:03,2025-12-02T14:39:31,1,Q667828
19139,Bafia,2660,CE,38,CM,city,,,4.75000000,11.23333000,Bafia,69270,Africa/Douala,"{""br"":""Bafia"",""ko"":""바피아"",""pt-BR"":""Bafia"",""pt"":""Bafia"",""nl"":""Bafia"",""hr"":""Bafia"",""fa"":""بافیا"",""de"":""Bafia"",""es"":""Bafia"",""fr"":""Bafia"",""ja"":""バフィア"",""it"":""Bafia"",""zh-CN"":""巴菲亚"",""tr"":""Bafya"",""ru"":""Бафия"",""uk"":""Бафія"",""pl"":""Bafia"",""hi"":""बफिया"",""ar"":""بافيا""}",2019-10-06T09:36:03,2025-12-02T14:38:56,1,Q799790
19140,Bafoussam,2664,OU,38,CM,adm1,,,5.47775000,10.41759000,Bafoussam,373268,Africa/Douala,"{""br"":""Bafoussam"",""ko"":""바푸삼"",""pt-BR"":""Bafoussam"",""pt"":""Bafoussam"",""nl"":""Bafoussam"",""hr"":""Bafoussam"",""fa"":""بافوسام"",""de"":""Bafoussam"",""es"":""Bafoussam"",""fr"":""Bafoussam"",""ja"":""バフッサム"",""it"":""Bafoussam"",""zh-CN"":""巴富萨姆"",""tr"":""Bafoussam"",""ru"":""Бафусам"",""uk"":""Бафуссам"",""pl"":""Bafoussam"",""hi"":""बाफौसम"",""ar"":""بافوسام""}",2019-10-06T09:36:03,2025-12-02T14:39:31,1,Q799808
19141,Bali,2657,NW,38,CM,city,,,5.88737000,10.01176000,Bali,27473,Africa/Douala,"{""br"":""Bali"",""ko"":""발리"",""pt-BR"":""Bali"",""pt"":""Bali"",""nl"":""Bali"",""hr"":""Bali"",""fa"":""بالی"",""de"":""Bali"",""es"":""Bali"",""fr"":""Bali"",""ja"":""バリ島"",""it"":""Bali"",""zh-CN"":""巴厘岛"",""tr"":""Bali"",""ru"":""Бали"",""uk"":""Балі"",""pl"":""Bali"",""hi"":""बाली"",""ar"":""بالي""}",2019-10-06T09:36:03,2025-12-02T14:38:56,1,Q799808
