id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
19271,Aba,2277,SC,45,CN,prefecture,1,,31.90156940,102.22292370,阿坝藏族羌族自治州,0,Asia/Shanghai,"{""br"":""Aba Zangzu Qiangzu Zizhizhou"",""ko"":""Aba Zangzu Qiangzu Zizhizhou"",""pt-BR"":""Aba Zangzu Qiangzu Zizhizhou"",""pt"":""Aba Zangzu Qiangzu Zizhizhou"",""nl"":""Aba Zangzu Qiangzu Zizhizhou"",""hr"":""Aba Zangzu Qiangzu Zizhizhou"",""fa"":""آبا زانگزو کیانگزو زیژیژو"",""de"":""Aba Zangzu Qiangzu Zizhizhou"",""es"":""Aba Zangzu Qiangzu Zizhizhou"",""fr"":""Aba Zangzu Qiangzu Zizhizhou"",""ja"":""アバ・ザンズ・チャンズ・ジズ"",""it"":""Aba Zangzu Qiangzu Zizhizhou"",""zh-CN"":""阿坝藏族羌族自治州"",""tr"":""Aba Zangzu Qiangzu Zizhizhou"",""ru"":""Аба Зангзу Цянцзу Цзыжичжоу"",""uk"":""Аба Зангзу Цяньцу Цзічжоу"",""pl"":""Aba Zangzu Qiangzu Zizhizhou"",""hi"":""अबा ज़ंगज़ु क़ियांग्ज़ु ज़िझिझोउ"",""ar"":""أبا Zangzu Qiangzu Zizhizhou""}",2019-10-06T09:36:03,2025-12-02T14:39:31,1,Q134110
19272,Acheng,2265,HL,45,CN,adm4,,,45.54545000,126.97703000,阿城,500327,Asia/Shanghai,"{""br"":""Acheng"",""ko"":""아청"",""pt-BR"":""Acheng"",""pt"":""Acheng"",""nl"":""Acheng"",""hr"":""Ačeng"",""fa"":""آچنگ"",""de"":""Acheng"",""es"":""Acheng"",""fr"":""Acheng"",""ja"":""阿成"",""it"":""Acheng"",""zh-CN"":""阿城"",""tr"":""Acheng"",""ru"":""Ачэн"",""uk"":""Аченг"",""pl"":""Acheng"",""hi"":""अचेंग"",""ar"":""أتشنغ""}",2019-10-06T09:36:03,2025-12-02T17:11:50,1,Q1012450
19273,Ailan Mubage,2263,XJ,45,CN,adm3,,,43.90845000,81.33299000,艾兰·穆巴格,0,Asia/Urumqi,"{""br"":""Ailan Mubage"",""ko"":""에일런 무바게"",""pt-BR"":""Ailan Mubage"",""pt"":""Ailan Mubage"",""nl"":""Ailan Mubage"",""hr"":""Ailan Mubage"",""fa"":""آیلان موباج"",""de"":""Ailan Mubage"",""es"":""Ailan Mubage"",""fr"":""Ailan Mubage"",""ja"":""アイラン・ムバゲ"",""it"":""Ailan Mubage"",""zh-CN"":""艾兰·穆巴格"",""tr"":""Ailan Mubage"",""ru"":""Айлан Мубаге"",""uk"":""Айлан Мубадж"",""pl"":""Alana Mubage’a"",""hi"":""ऐलान मुबगे"",""ar"":""إيلان موباج""}",2019-10-06T09:36:03,2025-12-02T14:39:55,1,Q866021
19274,Aksu,2263,XJ,45,CN,prefecture,1,,41.16775750,80.25821360,阿克苏,715319,Asia/Shanghai,"{""br"":""Aksu"",""ko"":""악수"",""pt-BR"":""Aksu"",""pt"":""Aksu"",""nl"":""Aksu"",""hr"":""Aksu"",""fa"":""آکسو"",""de"":""Aksu"",""es"":""Aksu"",""fr"":""Aksu"",""ja"":""アクス"",""it"":""Aksu"",""zh-CN"":""阿克苏"",""tr"":""Aksu"",""ru"":""Аксу"",""uk"":""Аксу"",""pl"":""Aksu"",""hi"":""अक्सू"",""ar"":""أكسو""}",2019-10-06T09:36:03,2025-11-26T18:43:44,1,Q228723
19275,Aksu,2263,XJ,45,CN,city,,,40.55689000,81.84629000,阿克苏地区,715319,Asia/Shanghai,"{""br"":""Aksu Diqu"",""ko"":""악수 디쿠"",""pt-BR"":""Aksu Diqu"",""pt"":""Aksu Diqu"",""nl"":""Aksu Diqu"",""hr"":""Aksu Diqu"",""fa"":""آکسو دیکو"",""de"":""Aksu Diqu"",""es"":""Aksu Diqu"",""fr"":""Aksu Diqu"",""ja"":""アクス・ディク"",""it"":""Aksu Diqu"",""zh-CN"":""阿克苏地区"",""tr"":""Aksu Diqu"",""ru"":""Аксу Дикю"",""uk"":""Аксу Діку"",""pl"":""Aksu Diqu"",""hi"":""अक्सू दिकु"",""ar"":""اكسو ديكو""}",2019-10-06T09:36:03,2025-12-02T16:59:27,1,Q421638
19276,Altay,2263,XJ,45,CN,prefecture,1,,47.10017820,88.43417510,阿勒泰,221454,Asia/Shanghai,"{""br"":""Altay"",""ko"":""알타이"",""pt-BR"":""Altai"",""pt"":""Altai"",""nl"":""Altaj"",""hr"":""Altaj"",""fa"":""آلتای"",""de"":""Altay"",""es"":""Altay"",""fr"":""Altaï"",""ja"":""アルタイ"",""it"":""Altai"",""zh-CN"":""阿勒泰"",""tr"":""Altay"",""ru"":""Алтай"",""uk"":""Алтай"",""pl"":""Ałtaj"",""hi"":""अल्ते"",""ar"":""ألتاي""}",2019-10-06T09:36:03,2025-11-26T18:43:38,1,Q1178285
19277,Altay,2263,XJ,45,CN,city,,,47.86667000,88.11667000,阿勒泰地区,221454,Asia/Shanghai,"{""br"":""Altay Diqu"",""ko"":""알타이 디구"",""pt-BR"":""Altai Diqu"",""pt"":""Altai Diqu"",""nl"":""Altay Diqu"",""hr"":""Altay Diqu"",""fa"":""آلتای دیقو"",""de"":""Altay Diqu"",""es"":""Altay Diqu"",""fr"":""Altay Diqu"",""ja"":""アルタイ・ディク"",""it"":""Altay Diqu"",""zh-CN"":""阿勒泰地区"",""tr"":""Altay Diqu"",""ru"":""Алтай Дику"",""uk"":""Алтай Діку"",""pl"":""Altay Diqu"",""hi"":""अल्ताय डिकू"",""ar"":""ألتاي ديكو""}",2019-10-06T09:36:03,2025-12-02T16:59:27,1,Q776550
19278,Anbu,2279,GD,45,CN,adm3,,,23.44895000,116.68092000,庵部,162964,Asia/Shanghai,"{""br"":""Anbu"",""ko"":""안부"",""pt-BR"":""Anbu"",""pt"":""Anbu"",""nl"":""Anbu"",""hr"":""Anbu"",""fa"":""آنبو"",""de"":""Anbu"",""es"":""Anbu"",""fr"":""Anbu"",""ja"":""安部"",""it"":""Anbu"",""zh-CN"":""庵部"",""tr"":""Anbu"",""ru"":""Анбу"",""uk"":""Анбу"",""pl"":""Anbu"",""hi"":""अंबू"",""ar"":""أنبو""}",2019-10-06T09:36:03,2025-12-02T14:39:31,1,Q776550
19279,Anda,2265,HL,45,CN,adm3,,,46.40202000,125.31454000,安达,181271,Asia/Shanghai,"{""br"":""Hag"",""ko"":""안다"",""pt-BR"":""Anda"",""pt"":""Anda"",""nl"":""Anda"",""hr"":""Anda"",""fa"":""آندا"",""de"":""Anda"",""es"":""Anda"",""fr"":""Eta"",""ja"":""アンダ"",""it"":""Anda"",""zh-CN"":""安达"",""tr"":""Anda"",""ru"":""Анда"",""uk"":""Анда"",""pl"":""Anda"",""hi"":""आंदा"",""ar"":""أنت""}",2019-10-06T09:36:03,2025-12-02T17:11:50,1,Q776550
19280,Anjiang,2258,HN,45,CN,city,,,27.31944000,110.10306000,安江,55421,Asia/Shanghai,"{""br"":""Anjiang"",""ko"":""안장"",""pt-BR"":""Anjiang"",""pt"":""Anjiang"",""nl"":""Anjiang"",""hr"":""Anjiang"",""fa"":""آنجیانگ"",""de"":""Anjiang"",""es"":""Anjiang"",""fr"":""Anjiang"",""ja"":""安江市"",""it"":""Anjiang"",""zh-CN"":""安江"",""tr"":""Anjiang"",""ru"":""Анцзян"",""uk"":""Анцзян"",""pl"":""Anjiang"",""hi"":""अंजियांग"",""ar"":""انجيانغ""}",2019-10-06T09:36:03,2025-12-02T14:38:56,1,Q776550
