id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
20485,Abejorral,2890,ANT,48,CO,adm2,,,5.78928000,-75.42725000,Abejorral,20287,America/Bogota,"{""br"":""Abejorral"",""ko"":""아베호랄"",""pt-BR"":""Abejorral"",""pt"":""Abejorral"",""nl"":""Abejorral"",""hr"":""Abejorral"",""fa"":""آبژورال"",""de"":""Abejorral"",""es"":""Abejorral"",""fr"":""Abejorral"",""ja"":""アベジョラル"",""it"":""Abejorral"",""zh-CN"":""阿贝约拉尔"",""tr"":""Abejorral"",""ru"":""Абейоррал"",""uk"":""Абехоррал"",""pl"":""Abejorral"",""hi"":""अबेजोरल"",""ar"":""أبيجورال""}",2019-10-06T09:39:44,2025-12-02T14:38:56,1,Q1441947
20486,Abrego,2877,NSA,48,CO,adm2,,,8.00000000,-73.20000000,Abrego,38627,America/Bogota,"{""br"":""Abrego"",""ko"":""아브레고"",""pt-BR"":""Abrego"",""pt"":""Abrego"",""nl"":""Abrego"",""hr"":""Ábrego"",""fa"":""ابرگو"",""de"":""Abrego"",""es"":""Abrego"",""fr"":""Abrego"",""ja"":""アブレゴ"",""it"":""Abrego"",""zh-CN"":""阿夫雷戈"",""tr"":""Abrego"",""ru"":""Абрего"",""uk"":""Абрего"",""pl"":""Abrego"",""hi"":""अब्रेगो"",""ar"":""أبريغو""}",2019-10-06T09:39:44,2025-12-02T17:11:50,1,Q2429591
20487,Abriaquí,2890,ANT,48,CO,adm2,,,6.63148000,-76.06444000,Abrié,1281,America/Bogota,"{""br"":""Abriaquí"",""ko"":""아브리아키"",""pt-BR"":""Abriaquí"",""pt"":""Abriaquí"",""nl"":""Abriaquí"",""hr"":""Abriaquí"",""fa"":""ابریاکی"",""de"":""Abriaquí"",""es"":""Abriaquí"",""fr"":""Abriaquí"",""ja"":""アブリアキ"",""it"":""Abriaquí"",""zh-CN"":""阿布里亚基"",""tr"":""Abriaquí"",""ru"":""Абриаки"",""uk"":""Абріакі"",""pl"":""Abriaquí"",""hi"":""अब्रियाकी"",""ar"":""أبرياكوي""}",2019-10-06T09:39:44,2025-12-02T14:39:31,1,Q1655866
20488,Acacías,2878,MET,48,CO,adm2,,,3.98695000,-73.75797000,Acacías,40627,America/Bogota,"{""br"":""Acacías"",""ko"":""아카시아"",""pt-BR"":""Acácias"",""pt"":""Acácias"",""nl"":""Acacia's"",""hr"":""Akacije"",""fa"":""آکاسیاس"",""de"":""Akazien"",""es"":""Acacías"",""fr"":""Acacias"",""ja"":""アカシアス"",""it"":""Acacie"",""zh-CN"":""金合欢属"",""tr"":""Akaçalar"",""ru"":""Акации"",""uk"":""Акації"",""pl"":""Akacje"",""hi"":""Acacias"",""ar"":""أكاسيا""}",2019-10-06T09:39:44,2025-12-02T14:39:31,1,Q2429780
20489,Acandí,2876,CHO,48,CO,adm2,,,8.51158000,-77.27719000,Acandí,4840,America/Bogota,"{""br"":""Acandí"",""ko"":""아칸디"",""pt-BR"":""Acandí"",""pt"":""Acandí"",""nl"":""Acandí"",""hr"":""Acandí"",""fa"":""آکاندی"",""de"":""Acandí"",""es"":""Acandí"",""fr"":""Acandí"",""ja"":""アカンディ"",""it"":""Acandí"",""zh-CN"":""阿坎迪"",""tr"":""Acandí"",""ru"":""Аканди"",""uk"":""Аканді"",""pl"":""Acandí"",""hi"":""Acandi"",""ar"":""أكاندي""}",2019-10-06T09:39:44,2025-12-02T14:39:31,1,Q1575935
20490,Achí,2893,BOL,48,CO,adm2,,,8.56950000,-74.55715000,Ahí,8434,America/Bogota,"{""br"":""Achí"",""ko"":""아치"",""pt-BR"":""Achi"",""pt"":""Achi"",""nl"":""Achí"",""hr"":""Ači"",""fa"":""آچی"",""de"":""Achí"",""es"":""Ahí"",""fr"":""Achi"",""ja"":""アチ"",""it"":""Achí"",""zh-CN"":""阿奇"",""tr"":""Achí"",""ru"":""Ачи"",""uk"":""Ачі"",""pl"":""Achi"",""hi"":""Achi"",""ar"":""أتشي""}",2019-10-06T09:39:44,2025-12-02T14:39:31,1,Q933580
20491,Agua de Dios,2875,CUN,48,CO,adm2,,,4.37648000,-74.66995000,Agua de Dios,13182,America/Bogota,"{""br"":""Agua de Dios"",""ko"":""아쿠아 데 디오스"",""pt-BR"":""Água de Deus"",""pt"":""Água de Deus"",""nl"":""Water van God"",""hr"":""Agua de Dios"",""fa"":""آگوا د دیوس"",""de"":""Agua de Dios"",""es"":""Agua de Dios"",""fr"":""Eau de Dieu"",""ja"":""アグア・デ・ディオス"",""it"":""Acqua di Dio"",""zh-CN"":""阿瓜德迪奥斯"",""tr"":""Tanrının Suyu"",""ru"":""Агуа де Диос"",""uk"":""Агуа-де-Діос"",""pl"":""Woda Dios"",""hi"":""अगुआ डे डिओस"",""ar"":""مياه ديوس""}",2019-10-06T09:39:44,2025-12-02T14:38:56,1,Q1525734
20492,Aguachica,2899,CES,48,CO,adm2,,,8.30844000,-73.61660000,Aguachica,109621,America/Bogota,"{""br"":""Aguachica"",""ko"":""아과치카"",""pt-BR"":""Aguachica"",""pt"":""Aguachica"",""nl"":""Aguachica"",""hr"":""Aguachica"",""fa"":""آگواچیکا"",""de"":""Aguachica"",""es"":""Aguachica"",""fr"":""Aguachica"",""ja"":""アグアチカ"",""it"":""Aguachica"",""zh-CN"":""阿瓜奇卡"",""tr"":""Aguachica"",""ru"":""Агуачика"",""uk"":""Агуачіка"",""pl"":""Aguachica"",""hi"":""अग्वाचिका"",""ar"":""أغواتشيكا""}",2019-10-06T09:39:44,2025-12-02T14:38:56,1,Q2309010
20493,Aguada,2901,SAN,48,CO,adm2,,,6.16019000,-73.52747000,Aguada,0,America/Bogota,"{""br"":""Aguada"",""ko"":""아과다"",""pt-BR"":""Aguada"",""pt"":""Aguada"",""nl"":""Aguada"",""hr"":""Aguada"",""fa"":""آگوادا"",""de"":""Aguada"",""es"":""Aguada"",""fr"":""Aguada"",""ja"":""アグアダ"",""it"":""Aguada"",""zh-CN"":""阿瓜达"",""tr"":""Aguada"",""ru"":""Агуада"",""uk"":""Агуада"",""pl"":""Aguada"",""hi"":""अगुआडा"",""ar"":""أغوادا""}",2019-10-06T09:39:44,2025-12-02T14:39:31,1,Q1656766
20494,Aguadas,2887,CAL,48,CO,adm2,,,5.61161000,-75.45624000,Aguadas,20712,America/Bogota,"{""br"":""Aguadas"",""ko"":""아과다스"",""pt-BR"":""Aguadas"",""pt"":""Aguadas"",""nl"":""Aguadas"",""hr"":""Aguadas"",""fa"":""آگواداس"",""de"":""Aguadas"",""es"":""Aguadas"",""fr"":""Aguadas"",""ja"":""アグアダス"",""it"":""Aguadas"",""zh-CN"":""阿瓜达斯"",""tr"":""Aguadas"",""ru"":""Агуадас"",""uk"":""Агуадас"",""pl"":""Aguadas"",""hi"":""अग्वाडास"",""ar"":""أغواداس""}",2019-10-06T09:39:44,2025-12-02T14:38:56,1,Q1442012
