id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
21800,Abreus,287,06,56,CU,city,,,22.27797000,-80.56931000,Abreus,16711,America/Havana,"{""br"":""Abreus"",""ko"":""아브레우스"",""pt-BR"":""Abreu"",""pt"":""Abreu"",""nl"":""Abreus"",""hr"":""Abreus"",""fa"":""آبروس"",""de"":""Abreus"",""es"":""Abreus"",""fr"":""Abreus"",""ja"":""アブレウス"",""it"":""Abreo"",""zh-CN"":""阿布雷乌斯"",""tr"":""Abreus"",""ru"":""Абреус"",""uk"":""Абреус"",""pl"":""Abreus"",""hi"":""अब्रेयस"",""ar"":""أبريوس""}",2019-10-06T09:40:00,2025-12-02T14:39:31,1,Q23806009
21801,Aguada de Pasajeros,287,06,56,CU,city,,,22.38520000,-80.84792000,Aguada de Pasajeros,23606,America/Havana,"{""br"":""Aguada de Pasajeros"",""ko"":""아과다 데 파사헤로스"",""pt-BR"":""Aguada de Pasajeros"",""pt"":""Aguada de Pasajeros"",""nl"":""Aguada de Pasajeros"",""hr"":""Aguada de Pasajeros"",""fa"":""آگوادا د پاساخروس"",""de"":""Aguada de Pasajeros"",""es"":""Aguada de Pasajeros"",""fr"":""Aguada de Pasajeros"",""ja"":""アグアダ・デ・パサヘロス"",""it"":""Aguada de Pasajeros"",""zh-CN"":""帕萨赫罗斯的阿瓜达"",""tr"":""Pasajeros Aguadası"",""ru"":""Агуада-де-Пасахерос"",""uk"":""Агуада-де-Пасахерос"",""pl"":""Aguada de Pasajeros"",""hi"":""अगुआडा डे पासाजेरोस"",""ar"":""أغوادا دي باساجيروس""}",2019-10-06T09:40:00,2025-12-02T14:39:31,1,Q23806009
21802,Alacranes,284,04,56,CU,city,,,22.76719000,-81.56803000,Alacranes,5843,America/Havana,"{""br"":""Alakraned"",""ko"":""알라크레인"",""pt-BR"":""Alacranes"",""pt"":""Alacranes"",""nl"":""Alacranes"",""hr"":""Alacranes"",""fa"":""آلاکران‌ها"",""de"":""Alacranes"",""es"":""Alacranes"",""fr"":""Alacranes"",""ja"":""アラクレーン"",""it"":""Alacranes"",""zh-CN"":""阿拉克兰斯"",""tr"":""Alakranlar"",""ru"":""Алакранес"",""uk"":""Алакрани"",""pl"":""Alakranes"",""hi"":""अलाक्रेन्स"",""ar"":""ألاكرانيس""}",2019-10-06T09:40:00,2025-12-02T14:38:56,1,Q23805305
21803,Alamar,272,03,56,CU,section,,,23.15794000,-82.27837000,Marca,100000,America/Havana,"{""br"":""Alamar"",""ko"":""알라마르"",""pt-BR"":""Alamar"",""pt"":""Alamar"",""nl"":""Alamar"",""hr"":""Alamar"",""fa"":""آلمار"",""de"":""Alamar"",""es"":""Alamar"",""fr"":""Alamar"",""ja"":""アラマー"",""it"":""Alamar"",""zh-CN"":""阿拉马尔"",""tr"":""Alamar"",""ru"":""Аламар"",""uk"":""Аламар"",""pl"":""Alamar"",""hi"":""अलमार"",""ar"":""علمار""}",2019-10-06T09:40:00,2025-12-02T14:39:31,1,Q23805305
21804,Alquízar,283,15,56,CU,adm2,,,22.80517000,-82.58392000,Alquízar,15275,America/Havana,"{""br"":""Alquízar"",""ko"":""알퀴사르"",""pt-BR"":""Alquízar"",""pt"":""Alquízar"",""nl"":""Alquízar"",""hr"":""Alquízar"",""fa"":""آلکیزار"",""de"":""Alquízar"",""es"":""Alquízar"",""fr"":""Alquizar"",""ja"":""アルキサル"",""it"":""Alquízar"",""zh-CN"":""阿尔基萨尔"",""tr"":""Alquizar"",""ru"":""Алькисар"",""uk"":""Алькісар"",""pl"":""Alquízar"",""hi"":""अलक्विज़ार"",""ar"":""ألكيزار""}",2019-10-06T09:40:00,2025-12-02T14:39:31,1,Q23805305
21805,Amancio,281,10,56,CU,adm2,,,20.81914000,-77.57958000,Muestra,41523,America/Havana,"{""br"":""Amancio"",""ko"":""아만시오"",""pt-BR"":""Amâncio"",""pt"":""Amâncio"",""nl"":""Amancio"",""hr"":""Amancio"",""fa"":""آمانسیو"",""de"":""Amancio"",""es"":""Amancio"",""fr"":""Amancio"",""ja"":""アマンシオ"",""it"":""Amancio"",""zh-CN"":""阿曼西奥"",""tr"":""Amancio"",""ru"":""Амансио"",""uk"":""Амансіо"",""pl"":""Amancio"",""hi"":""अमानसियो"",""ar"":""أمانسيو""}",2019-10-06T09:40:00,2025-12-02T14:39:31,1,Q1936063
21806,Arroyo Naranjo,272,03,56,CU,section,,,23.03677000,-82.36937000,Arroyo Naranjo,23118,America/Havana,"{""br"":""Arroyo Naranjo"",""ko"":""아로요 나란조"",""pt-BR"":""Arroyo Naranjo"",""pt"":""Arroyo Naranjo"",""nl"":""Arroyo Naranjo"",""hr"":""Arroyo Naranjo"",""fa"":""آرویو نارانخو"",""de"":""Arroyo Naranjo"",""es"":""Arroyo Naranjo"",""fr"":""Arroyo Naranjo"",""ja"":""アロヨ・ナランホ"",""it"":""Arroyo Naranjo"",""zh-CN"":""阿罗约·纳兰霍"",""tr"":""Arroyo Naranjo"",""ru"":""Арройо Наранхо"",""uk"":""Арройо Наранхо"",""pl"":""Arroyo Naranjo"",""hi"":""अरोयो नारंजो"",""ar"":""أرويو نارانيو""}",2019-10-06T09:40:00,2025-12-02T14:39:31,1,Q1936053
21807,Artemisa,283,15,56,CU,adm1,,,22.81667000,-82.75944000,Artemisa,59130,America/Havana,"{""br"":""Artemisa"",""ko"":""아르테미사"",""pt-BR"":""Artemisa"",""pt"":""Artemisa"",""nl"":""Artemisa"",""hr"":""Artemisa"",""fa"":""آرتمیسا"",""de"":""Artemisa"",""es"":""Artemisa"",""fr"":""Artémisa"",""ja"":""アルテミサ"",""it"":""Artemisa"",""zh-CN"":""蒿属"",""tr"":""Artemisa"",""ru"":""Артемиса"",""uk"":""Артеміса"",""pl"":""Artemida"",""hi"":""आर्टेमिसा"",""ar"":""أرتيميسا""}",2019-10-06T09:40:00,2025-12-02T14:38:56,1,Q1936053
21808,Bahía Honda,283,15,56,CU,adm2,,,22.90332000,-83.15994000,Bahía Honda,19834,America/Havana,"{""br"":""Bahía Honda"",""ko"":""바이아 혼다"",""pt-BR"":""Bahia Honda"",""pt"":""Bahia Honda"",""nl"":""Bahía Honda"",""hr"":""Bahía Honda"",""fa"":""باهیا هوندا"",""de"":""Bahía Honda"",""es"":""Bahía Honda"",""fr"":""Bahía Honda"",""ja"":""バイア・ホンダ"",""it"":""Bahía Honda"",""zh-CN"":""巴伊亚本田"",""tr"":""Bahía Honda"",""ru"":""Баия Хонда"",""uk"":""Баїя-Онда"",""pl"":""Bahía Honda"",""hi"":""बाहिया होंडा"",""ar"":""باهيا هوندا""}",2019-10-06T09:40:00,2025-12-02T14:39:31,1,Q571968
21809,Banes,279,11,56,CU,adm2,,,20.96116000,-75.72200000,Defenderse,53104,America/Havana,"{""br"":""Banes"",""ko"":""베인스"",""pt-BR"":""Maldições"",""pt"":""Maldições"",""nl"":""Banes"",""hr"":""Prokletstva"",""fa"":""بینز"",""de"":""Fluch"",""es"":""Banes"",""fr"":""Fléaux"",""ja"":""ベインズ"",""it"":""Flagelli"",""zh-CN"":""贝恩斯"",""tr"":""Lanet"",""ru"":""Бэйнс"",""uk"":""Прокляття"",""pl"":""Zmory"",""hi"":""बेंस"",""ar"":""بانيس""}",2019-10-06T09:40:00,2025-12-02T14:39:31,1,Q23804595
