id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
21987,Assomada,2985,CA,40,CV,adm1,,,15.10000000,-23.68333000,Osadoma,21297,Atlantic/Cape_Verde,"{""ar"":""أسومادا"",""br"":""Assomada"",""de"":""Assomada"",""es"":""Assomada"",""fa"":""آسومادا"",""fr"":""Assomada"",""hi"":""असोमाडा"",""hr"":""Assomada"",""it"":""Assomada"",""ja"":""アソマダ"",""ko"":""아소마다"",""nl"":""Assomada"",""pl"":""Assomada"",""pt"":""Assomada"",""pt-BR"":""Assomada"",""ru"":""Ассомада"",""tr"":""Assomada"",""uk"":""Ассомада"",""zh-CN"":""阿索玛达""}",2019-10-05T22:40:02,2025-12-02T14:39:31,1,Q490573
21988,Calheta,2990,SM,40,CV,adm1,,,15.18613000,-23.59228000,Calheta,6329,Atlantic/Cape_Verde,"{""ar"":""كالهيتا"",""br"":""Calheta"",""de"":""Calheta"",""es"":""Calheta"",""fa"":""کالهتا"",""fr"":""Calheta"",""hi"":""कह्लेत"",""hr"":""Calheta"",""it"":""Calheta"",""ja"":""カリェタ"",""ko"":""칼헤타"",""nl"":""Calheta"",""pl"":""Calheta"",""pt"":""Calheta"",""pt-BR"":""Calheta"",""ru"":""Кальета"",""tr"":""Calheta"",""uk"":""Кальєта"",""zh-CN"":""卡列塔""}",2019-10-05T22:40:02,2025-12-02T14:39:31,1,Q2539817
21989,Cidade Velha,2984,RS,40,CV,adm1,,,14.91531000,-23.60527000,Cidade Velha,3319,Atlantic/Cape_Verde,"{""ar"":""مدينة فيلها"",""br"":""Kêr Velha"",""de"":""Cidade Velha"",""es"":""Ciudad Vieja"",""fa"":""سیداد وله"",""fr"":""Cidade Velha"",""hi"":""सिडेड वेल्हा"",""hr"":""Grad Velha"",""it"":""Cidade Velha"",""ja"":""シダーデ・ヴェリャ"",""ko"":""시다데 벨라"",""nl"":""Cidade Velha"",""pl"":""Cidade Velha"",""pt"":""Cidade Velha"",""pt-BR"":""Cidade Velha"",""ru"":""Сидаде Велья"",""tr"":""Velha Şehri"",""uk"":""Сідаде-Велья"",""zh-CN"":""旧城""}",2019-10-05T22:40:02,2025-12-02T14:38:56,1,Q464913
21990,Cova Figueira,2995,CF,40,CV,adm1,,,14.89054000,-24.29343000,Cova Figueira,720,Atlantic/Cape_Verde,"{""ar"":""كوفا فيغيرا"",""br"":""Cova Figueira"",""de"":""Cova Figueira"",""es"":""Cueva Figueira"",""fa"":""کووا فیگوئرا"",""fr"":""Cova Figueira"",""hi"":""कोवा फिगुएरा"",""hr"":""Cova Figueira"",""it"":""Cova Figueira"",""ja"":""コヴァ・フィゲイラ"",""ko"":""코바 피게이라"",""nl"":""Cova Figueira"",""pl"":""Cova Figueira"",""pt"":""Cova Figueira"",""pt-BR"":""Cova Figueira"",""ru"":""Кова Фигейра"",""tr"":""Cova Figueira"",""uk"":""Кова-Фігейра"",""zh-CN"":""科瓦·菲盖拉""}",2019-10-05T22:40:02,2025-12-02T14:39:31,1,Q485198
21991,Espargos,2998,SL,40,CV,adm1,,,16.75524000,-22.94460000,Espargos,24500,Atlantic/Cape_Verde,"{""ar"":""إسبارجوس"",""br"":""Espargoù"",""de"":""Espargos"",""es"":""Espargos"",""fa"":""اسپارگوس"",""fr"":""Espargos"",""hi"":""एस्परगोस"",""hr"":""Espargos"",""it"":""Spargos"",""ja"":""エスパルゴス"",""ko"":""에스파르고스"",""nl"":""Espargos"",""pl"":""Espargos"",""pt"":""Espargos"",""pt-BR"":""Espargos"",""ru"":""Эспаргос"",""tr"":""Espargos"",""uk"":""Еспаргос"",""zh-CN"":""埃斯帕戈斯""}",2019-10-05T22:40:02,2025-12-02T14:39:31,1,Q498968
21992,Igreja,2987,MO,40,CV,city,,,15.03389000,-24.32500000,Igreja,,Atlantic/Cape_Verde,"{""ar"":""كنيسة"",""br"":""Igreja"",""de"":""Igreja"",""es"":""Iglesia"",""fa"":""ایگرجا"",""fr"":""Église"",""hi"":""इग्रेजा"",""hr"":""Crkva"",""it"":""Chiesa"",""ja"":""教会"",""ko"":""이그레자"",""nl"":""Kerk"",""pl"":""Kościół"",""pt"":""Igreja"",""pt-BR"":""Igreja"",""ru"":""Игрейа"",""tr"":""Kilise"",""uk"":""Церква"",""zh-CN"":""教堂""}",2019-10-05T22:40:02,2025-12-02T17:11:50,1,Q498968
21993,João Teves,2993,SO,40,CV,adm1,,,15.06694000,-23.58917000,João Teves,627,Atlantic/Cape_Verde,"{""ar"":""جواو تيفيس"",""br"":""João Teves"",""de"":""João Teves"",""es"":""Juan Teves"",""fa"":""ژائو توس"",""fr"":""João Teves"",""hi"":""जोआओ टेवेस"",""hr"":""João Teves"",""it"":""João Teves"",""ja"":""ジョアン・テベス"",""ko"":""주앙 테베스"",""nl"":""João Teves"",""pl"":""João Teves"",""pt"":""João Teves"",""pt-BR"":""João Teves"",""ru"":""Жуан Тевес"",""tr"":""João Teves"",""uk"":""Жуан Тевеш"",""zh-CN"":""若昂·特维斯""}",2019-10-05T22:40:02,2025-12-02T14:38:56,1,Q3077671
21994,Mindelo,3001,SV,40,CV,adm1,,,16.89014000,-24.98042000,Mindelo,70468,Atlantic/Cape_Verde,"{""ar"":""مينديلو"",""br"":""Mindelo"",""de"":""Mindelo"",""es"":""Mindelo"",""fa"":""میندلو"",""fr"":""Mindelo"",""hi"":""मिंडेलो"",""hr"":""Mindelo"",""it"":""Mindelo"",""ja"":""ミンデロ"",""ko"":""민델로"",""nl"":""Mindelo"",""pl"":""Mindelo"",""pt"":""Mindelo"",""pt-BR"":""Mindelo"",""ru"":""Минделу"",""tr"":""Mindelo"",""uk"":""Мінделу"",""zh-CN"":""明德卢""}",2019-10-05T22:40:02,2025-12-02T14:38:56,1,Q495547
21995,Nova Sintra,2996,BR,40,CV,adm1,,,14.87139000,-24.69556000,Nova Sintra,2225,Atlantic/Cape_Verde,"{""ar"":""نوفا سينترا"",""br"":""Nova Sintra"",""de"":""Nova Sintra"",""es"":""Nueva Sintra"",""fa"":""نوا سینترا"",""fr"":""Nouvelle Sintra"",""hi"":""नोवा सिंट्रा"",""hr"":""Nova Sintra"",""it"":""Nuova Sintra"",""ja"":""ノヴァ・シントラ"",""ko"":""노바 신트라"",""nl"":""Nieuw Sintra"",""pl"":""Nowa Sintra"",""pt"":""Nova Sintra"",""pt-BR"":""Nova Sintra"",""ru"":""Новая Синтра"",""tr"":""Nova Sintra"",""uk"":""Нова-Сінтра"",""zh-CN"":""新辛特拉""}",2019-10-05T22:40:02,2025-12-02T14:39:31,1,Q493634
21996,Pedra Badejo,3004,CR,40,CV,adm1,,,15.13750000,-23.53083000,Pedra Badejo,9530,Atlantic/Cape_Verde,"{""ar"":""بيدرا باديجو"",""br"":""Pedra Badejo"",""de"":""Pedra Badejo"",""es"":""Piedra Badejo"",""fa"":""پدرا بادجو"",""fr"":""Pedra Badejo"",""hi"":""पेड्रा बडेजो"",""hr"":""Pedra Badejo"",""it"":""Pedra Badejo"",""ja"":""ペドラ・バデホ"",""ko"":""페드라 바데호"",""nl"":""Pedra Badejo"",""pl"":""Pedra Badejo"",""pt"":""Pedra Badejo"",""pt-BR"":""Pedra Badejo"",""ru"":""Педра Бадехо"",""tr"":""Pedra Badejo"",""uk"":""Педра Бадехо"",""zh-CN"":""佩德拉·巴德霍""}",2019-10-05T22:40:02,2025-12-02T14:38:56,1,Q490579
