id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
22011,Acherítou,749,04,57,CY,city,,,35.10022000,33.86155000,Αχερίτου,1556,Asia/Famagusta,"{""br"":""Acherítou"",""ko"":""아케리투"",""pt-BR"":""Acherítou"",""pt"":""Acherítou"",""nl"":""Acherítou"",""hr"":""Acherítou"",""fa"":""آچریتو"",""de"":""Acherítou"",""es"":""Acheritou"",""fr"":""Acherítou"",""ja"":""アチェリトゥ"",""it"":""Acherítou"",""zh-CN"":""阿切里图"",""tr"":""Acherítou"",""ru"":""Ачериту"",""uk"":""Ашеріту"",""pl"":""Acherítou"",""hi"":""अचेरिटौ"",""ar"":""أشيريتو""}",2019-10-06T09:40:02,2025-12-02T14:38:56,1,Q489776
22012,Akáki,745,01,57,CY,city,,,35.13341000,33.12873000,Ακάκι,3003,Asia/Nicosia,"{""br"":""Akáki"",""ko"":""아카키"",""pt-BR"":""Akáki"",""pt"":""Akáki"",""nl"":""Akáki"",""hr"":""Akáki"",""fa"":""آکاکی"",""de"":""Akáki"",""es"":""Akáki"",""fr"":""Akaki"",""ja"":""アカーキ"",""it"":""Akáki"",""zh-CN"":""阿卡基"",""tr"":""Akáki"",""ru"":""Акакий"",""uk"":""Акакі"",""pl"":""Akáki"",""hi"":""अकाकी"",""ar"":""أكاكي""}",2019-10-06T09:40:02,2025-12-02T14:39:55,1,Q3646772
22013,Alámpra,745,01,57,CY,city,,,34.98898000,33.39887000,Αλάμπρα,1192,Asia/Nicosia,"{""br"":""Alámpra"",""ko"":""알람프라"",""pt-BR"":""Alâmpra"",""pt"":""Alâmpra"",""nl"":""Alámpra"",""hr"":""Alámpra"",""fa"":""آلامپرا"",""de"":""Alámpra"",""es"":""Alámpra"",""fr"":""Alámpra"",""ja"":""アランプラ"",""it"":""Alámpra"",""zh-CN"":""阿兰普拉"",""tr"":""Alámpra"",""ru"":""Алампра"",""uk"":""Алампра"",""pl"":""Alámpra"",""hi"":""अलम्प्रा"",""ar"":""ألامبرا""}",2019-10-06T09:40:02,2025-12-02T14:39:55,1,Q827206
22014,Ammochostos,749,04,57,CY,municipality,,,35.11755000,33.94335000,Δήμος Αμμοχώστου,,Asia/Famagusta,"{""br"":""Kumuniezh Ammochostos"",""ko"":""암모코스토스 지방 자치 단체"",""pt-BR"":""Município de Ammochostos"",""pt"":""Município de Ammochostos"",""nl"":""Gemeente Ammochostos"",""hr"":""Općina Ammochostos"",""fa"":""شهرداری آموچوستوس"",""de"":""Gemeinde Ammochostos"",""es"":""Municipio de Ammochostos"",""fr"":""Municipalité d'Ammochostos"",""ja"":""アモホストス市"",""it"":""Comune di Ammochostos"",""zh-CN"":""阿莫霍斯托斯市"",""tr"":""Ammochostos Belediyesi"",""ru"":""Муниципалитет Аммохостос"",""uk"":""Муніципалітет Аммохостос"",""pl"":""Gmina Ammochostos"",""hi"":""अम्मोचोस्तोस नगर पालिका"",""ar"":""بلدية أموشوستوس""}",2019-10-06T09:40:02,2025-12-02T17:04:02,1,Q56118759
22015,Aradíppou,747,03,57,CY,city,,,34.95151000,33.59199000,Αραδίππου,,Asia/Famagusta,"{""br"":""Aradíppou"",""ko"":""아라디푸"",""pt-BR"":""Aradíppou"",""pt"":""Aradíppou"",""nl"":""Aradíppou"",""hr"":""Aradippou"",""fa"":""آرادیپو"",""de"":""Aradippou"",""es"":""Aradíppou"",""fr"":""Aradippou"",""ja"":""アラディポウ"",""it"":""Aradíppou"",""zh-CN"":""阿拉迪普"",""tr"":""Aradippou"",""ru"":""Арадиппу"",""uk"":""Арадіппу"",""pl"":""Aradíppou"",""hi"":""अराडिप्पौ"",""ar"":""أراديبو""}",2019-10-06T09:40:02,2025-12-02T17:11:50,1,Q2009604
22016,Aredioú,745,01,57,CY,city,,,35.04844000,33.19610000,Αρεδιού,1225,Asia/Nicosia,"{""br"":""Aredioú"",""ko"":""아레디오우"",""pt-BR"":""Aredioú"",""pt"":""Aredioú"",""nl"":""Aredioú"",""hr"":""Arediou"",""fa"":""آریدیو"",""de"":""Aredioú"",""es"":""Aredioú"",""fr"":""Aredioú"",""ja"":""アレディウ"",""it"":""Aredioú"",""zh-CN"":""阿雷迪奥"",""tr"":""Aredioú"",""ru"":""Аредиоу"",""uk"":""Аредіу"",""pl"":""Aredioú"",""hi"":""अरेडियोउ"",""ar"":""أريديو""}",2019-10-06T09:40:02,2025-12-02T14:39:55,1,Q4788730
22017,Argáka,746,05,57,CY,city,,,35.06646000,32.49446000,Αργάκα,1078,Asia/Nicosia,"{""br"":""Argáka"",""ko"":""아르가카"",""pt-BR"":""Argáka"",""pt"":""Argáka"",""nl"":""Argáka"",""hr"":""Argáka"",""fa"":""آرگاکا"",""de"":""Argáka"",""es"":""Argáka"",""fr"":""Argáka"",""ja"":""アルガカ"",""it"":""Argáka"",""zh-CN"":""阿尔加卡"",""tr"":""Argáka"",""ru"":""Аргака"",""uk"":""Аргака"",""pl"":""Argáka"",""hi"":""अर्गाका"",""ar"":""أرغاكا""}",2019-10-06T09:40:02,2025-12-02T14:39:55,1,Q744626
22018,Astromerítis,745,01,57,CY,city,,,35.14096000,33.03793000,Αστρομερίτης,2307,Asia/Nicosia,"{""br"":""Astromeritis"",""ko"":""아스트로메리티티스"",""pt-BR"":""Astromeríte"",""pt"":""Astromeríte"",""nl"":""Astromeritis"",""hr"":""Astromeritis"",""fa"":""آسترومریتیس"",""de"":""Astromerítis"",""es"":""Astromeritis"",""fr"":""Astromérite"",""ja"":""アストロメリティス"",""it"":""Astromerítis"",""zh-CN"":""天文学家"",""tr"":""Astromeritis"",""ru"":""Астромеритис"",""uk"":""Астромерітіс"",""pl"":""Astromerítis"",""hi"":""एस्ट्रोमेरिटिस"",""ar"":""علم الفلك""}",2019-10-06T09:40:02,2025-12-02T14:39:55,1,Q4811597
22019,Athíenou,747,03,57,CY,city,,,35.06180000,33.54156000,Αθηένου,5017,Asia/Nicosia,"{""br"":""Athienou"",""ko"":""아티에누"",""pt-BR"":""Athíenou"",""pt"":""Athíenou"",""nl"":""Athíenou"",""hr"":""Athienou"",""fa"":""آتینو"",""de"":""Athíenou"",""es"":""Athíenou"",""fr"":""Athienou"",""ja"":""アティエヌ"",""it"":""Athíenou"",""zh-CN"":""阿西埃努"",""tr"":""Athíenou"",""ru"":""Атиену"",""uk"":""Афієну"",""pl"":""Ateny"",""hi"":""अथीनोउ"",""ar"":""أثينو""}",2019-10-06T09:40:02,2025-12-02T14:39:55,1,Q570146
22020,Avgórou,749,04,57,CY,city,,,35.03615000,33.83918000,Αυγόρου,4604,Asia/Famagusta,"{""br"":""Avgórou"",""ko"":""아브고루"",""pt-BR"":""Avgórou"",""pt"":""Avgórou"",""nl"":""Avgórou"",""hr"":""Avgórou"",""fa"":""آوگورو"",""de"":""Avgórou"",""es"":""Avgórou"",""fr"":""Avgórou"",""ja"":""アヴゴロウ"",""it"":""Avgórou"",""zh-CN"":""阿夫格鲁"",""tr"":""Avgórou"",""ru"":""Авгуроу"",""uk"":""Авґуру"",""pl"":""Avgórou"",""hi"":""अवगोरू"",""ar"":""أفغورو""}",2019-10-06T09:40:02,2025-12-02T14:38:56,1,Q3560533
22021,Ayia Napa,749,04,57,CY,city,,,34.98213000,34.00183000,Αγία Νάπα,4717,Asia/Famagusta,"{""br"":""Ayia Napa"",""ko"":""아이아 나파"",""pt-BR"":""Ayia Napa"",""pt"":""Ayia Napa"",""nl"":""Agia Napa"",""hr"":""Aja Napa"",""fa"":""آیا ناپا"",""de"":""Ayia Napa"",""es"":""Ayia Napa"",""fr"":""Ayia Napa"",""ja"":""アギア・ナパ"",""it"":""Ayia Napa"",""zh-CN"":""阿依纳帕"",""tr"":""Ayia Napa"",""ru"":""Айя-Напа"",""uk"":""Айя-Напа"",""pl"":""Ajia Napa"",""hi"":""आइया नापा"",""ar"":""أيا نابا""}",2019-10-06T09:40:02,2025-12-02T14:39:31,1,Q393593
22022,Chlórakas,746,05,57,CY,city,,,34.79768000,32.41207000,Χλώρακας,,Asia/Famagusta,"{""br"":""Chlórakas"",""ko"":""클로라카스"",""pt-BR"":""Chlórakas"",""pt"":""Chlórakas"",""nl"":""Chlórakas"",""hr"":""Chlórakas"",""fa"":""چلوراکاس"",""de"":""Chlorakas"",""es"":""Chlórakas"",""fr"":""Chlorakas"",""ja"":""クロラカス"",""it"":""Chlórakas"",""zh-CN"":""克洛拉卡斯"",""tr"":""Chlórakas"",""ru"":""Хлоракас"",""uk"":""Хлоракас"",""pl"":""Chlórakas"",""hi"":""क्लोराकास"",""ar"":""كلوراكاس""}",2019-10-06T09:40:02,2025-12-02T17:11:50,1,Q393593
22023,Derýneia,749,04,57,CY,city,,,35.06484000,33.96083000,Δερύνεια,5844,Asia/Famagusta,"{""br"":""Derýneia"",""ko"":""데리네이아"",""pt-BR"":""Derineia"",""pt"":""Derineia"",""nl"":""Derýneia"",""hr"":""Derýneia"",""fa"":""درنیا"",""de"":""Derýneia"",""es"":""Derýneia"",""fr"":""Derýneia"",""ja"":""デリーネイア"",""it"":""Derýneia"",""zh-CN"":""德林尼亚"",""tr"":""Derineia"",""ru"":""Дериния"",""uk"":""Дерінея"",""pl"":""Derýneia"",""hi"":""डेरिनिया"",""ar"":""ديرينيا""}",2019-10-06T09:40:02,2025-12-02T14:38:56,1,Q777760
22024,Dhromolaxia,747,03,57,CY,city,,,34.87551000,33.58684000,Δρομολαξία,6866,Asia/Nicosia,"{""br"":""Dhromolaksiezh"",""ko"":""드로몰락시아"",""pt-BR"":""Dromolaxia"",""pt"":""Dromolaxia"",""nl"":""Dhromolaxie"",""hr"":""Dhromolaksija"",""fa"":""درومولاکسیا"",""de"":""Dhromolaxie"",""es"":""Dhromolaxia"",""fr"":""Dhromolaxie"",""ja"":""ドロモラキシア"",""it"":""Dromolassia"",""zh-CN"":""失眠症"",""tr"":""Dhromolaxia"",""ru"":""Дромолаксия"",""uk"":""Дромолаксія"",""pl"":""Dromolaksja"",""hi"":""ध्रोमोलैक्सिया"",""ar"":""درومولاكسيا""}",2019-10-06T09:40:02,2025-12-02T14:39:55,1,Q5308294
22025,Dáli,745,01,57,CY,city,,,35.02294000,33.42195000,Ντάλι,10466,Asia/Nicosia,"{""br"":""Dáli"",""ko"":""달리"",""pt-BR"":""Dáli"",""pt"":""Dáli"",""nl"":""Dali"",""hr"":""Dáli"",""fa"":""دالی"",""de"":""Dali"",""es"":""Dalí"",""fr"":""Dali"",""ja"":""ダリ"",""it"":""Dalì"",""zh-CN"":""达利"",""tr"":""Dali"",""ru"":""Дали"",""uk"":""Далі"",""pl"":""Dali"",""hi"":""डाली"",""ar"":""دالي""}",2019-10-06T09:40:02,2025-12-02T14:39:55,1,Q2555453
22026,Emba,746,05,57,CY,city,,,34.80700000,32.42406000,Έμπα,4855,Asia/Nicosia,"{""br"":""Emba"",""ko"":""엠바"",""pt-BR"":""Emba"",""pt"":""Emba"",""nl"":""Emba"",""hr"":""Emba"",""fa"":""امبا"",""de"":""Emba"",""es"":""Emba"",""fr"":""Emba"",""ja"":""エンバ"",""it"":""Emba"",""zh-CN"":""恩巴"",""tr"":""Emba"",""ru"":""Эмба"",""uk"":""Емба"",""pl"":""Emba"",""hi"":""एम्बा"",""ar"":""إمبا""}",2019-10-06T09:40:02,2025-12-02T14:39:55,1,Q5369408
22027,Ergátes,745,01,57,CY,city,,,35.05365000,33.24292000,Εργάτες,1792,Asia/Nicosia,"{""br"":""Ergátes"",""ko"":""에르가테스"",""pt-BR"":""Ergátes"",""pt"":""Ergátes"",""nl"":""Ergátes"",""hr"":""Ergátes"",""fa"":""ارگاتس"",""de"":""Ergátes"",""es"":""Ergátes"",""fr"":""Ergates"",""ja"":""エルガテス"",""it"":""Ergate"",""zh-CN"":""埃尔加特斯"",""tr"":""Ergátes"",""ru"":""Эргатес"",""uk"":""Ергатес"",""pl"":""Ergátes"",""hi"":""एर्गेट्स"",""ar"":""إرغاتيس""}",2019-10-06T09:40:02,2025-12-02T14:39:55,1,Q1828011
22028,Erími,748,02,57,CY,city,,,34.67766000,32.91815000,Ερίμι,1493,Asia/Nicosia,"{""br"":""Erími"",""ko"":""에리미"",""pt-BR"":""Erími"",""pt"":""Erími"",""nl"":""Erimi"",""hr"":""Erími"",""fa"":""اریمی"",""de"":""Erími"",""es"":""Erimi"",""fr"":""Erími"",""ja"":""エリミ"",""it"":""Erími"",""zh-CN"":""埃里米"",""tr"":""Erimi"",""ru"":""Эрими"",""uk"":""Ерімі"",""pl"":""Erími"",""hi"":""एरिमी"",""ar"":""إريمي""}",2019-10-06T09:40:02,2025-12-02T14:39:55,1,Q5389081
22029,Famagusta,749,04,57,CY,adm1,,,35.12054000,33.93894000,Αμμόχωστος,40920,Asia/Famagusta,"{""br"":""Famagusta"",""ko"":""파마구스타"",""pt-BR"":""Famagusta"",""pt"":""Famagusta"",""nl"":""Famagusta"",""hr"":""Famagusta"",""fa"":""فاماگوستا"",""de"":""Famagusta"",""es"":""Famagusta"",""fr"":""Famagouste"",""ja"":""ファマグスタ"",""it"":""Famagosta"",""zh-CN"":""法马古斯塔"",""tr"":""Mağusa"",""ru"":""Фамагуста"",""uk"":""Фамагуста"",""pl"":""Famagusta"",""hi"":""Famagusta"",""ar"":""فاماغوستا""}",2019-10-06T09:40:02,2025-12-02T14:38:56,1,Q193190
22030,Frénaros,749,04,57,CY,city,,,35.04121000,33.92242000,Φρέναρος,4298,Asia/Famagusta,"{""br"":""Frénaros"",""ko"":""프레나로스"",""pt-BR"":""Frénaros"",""pt"":""Frénaros"",""nl"":""Frénaros"",""hr"":""Frénaros"",""fa"":""فرناروس"",""de"":""Frénaros"",""es"":""Frenaros"",""fr"":""Frénaros"",""ja"":""フレナロス"",""it"":""Frénaros"",""zh-CN"":""弗雷纳罗斯"",""tr"":""Frenaros"",""ru"":""Френарос"",""uk"":""Френарос"",""pl"":""Frénaros"",""hi"":""फ्रेनारोस"",""ar"":""فريناروس""}",2019-10-06T09:40:02,2025-12-02T14:38:56,1,Q1455222
22031,Germasógeia,748,02,57,CY,city,,,34.72207000,33.08254000,Γερμασόγεια,17325,Asia/Nicosia,"{""br"":""Germasógeia"",""ko"":""게르마소게이아"",""pt-BR"":""Germasógeia"",""pt"":""Germasógeia"",""nl"":""Germasógeia"",""hr"":""Germasógeia"",""fa"":""ژرماسوگیا"",""de"":""Germasógeia"",""es"":""Germasógeia"",""fr"":""Germasógeia"",""ja"":""ゲルマソゲイア"",""it"":""Germasógeia"",""zh-CN"":""杰马索盖亚"",""tr"":""Germasógeia"",""ru"":""Гермасогейя"",""uk"":""Гермасогея"",""pl"":""Germasógeia"",""hi"":""जर्मनसोगिया"",""ar"":""جيرماسوجيا""}",2019-10-06T09:40:02,2025-12-02T14:39:55,1,Q349340
22032,Geroskipou,746,05,57,CY,adm3,,,34.75498000,32.45155000,Γεροσκήπου,0,Asia/Nicosia,"{""br"":""Geroskipou"",""ko"":""게로스키포우"",""pt-BR"":""Geroskipou"",""pt"":""Geroskipou"",""nl"":""Geroskipou"",""hr"":""Geroskipou"",""fa"":""گروسکیپو"",""de"":""Geroskipou"",""es"":""Geroskipou"",""fr"":""Geroskipou"",""ja"":""ゲロスキポウ"",""it"":""Geroskipou"",""zh-CN"":""格罗斯基普"",""tr"":""Geroskipou"",""ru"":""Героскипу"",""uk"":""Героскіпу"",""pl"":""Jeroskipu"",""hi"":""गेरोस्किपौ"",""ar"":""جيروسكيبو""}",2019-10-06T09:40:02,2025-12-02T14:39:55,1,Q349340
22033,Geroskípou (quarter),746,05,57,CY,adm3,,,34.76190000,32.45135000,Γεροσκήπου (τέταρτο),0,Asia/Nicosia,"{""br"":""Geroskípou (karter)"",""ko"":""게로스키포우(분기)"",""pt-BR"":""Geroskípou (quarto)"",""pt"":""Geroskípou (quarto)"",""nl"":""Geroskípou (kwartier)"",""hr"":""Geroskípou (četvrtina)"",""fa"":""گروسکیپو (ربع)"",""de"":""Geroskípou (Viertel)"",""es"":""Geroskípou (barrio)"",""fr"":""Geroskípou (quartier)"",""ja"":""ゲロスキポウ（四半期）"",""it"":""Geroskípou (quartiere)"",""zh-CN"":""Geroskípou（区）"",""tr"":""Geroskípou (çeyrek)"",""ru"":""Героскипу (квартал)"",""uk"":""Героскіпу (квартал)"",""pl"":""Geroskípou (ćwiartka)"",""hi"":""गेरोस्किपौ (क्वार्टर)"",""ar"":""جيروسكيبو (ربع)""}",2019-10-06T09:40:02,2025-12-02T14:39:55,1,Q47313335
