id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
23461,Aach,3006,BW,82,DE,city,,,47.84240000,8.85384000,Aach,2248,Europe/Berlin,"{""br"":""Aach"",""ko"":""아치"",""pt-BR"":""Aach"",""pt"":""Aach"",""nl"":""Aach"",""hr"":""Aach"",""fa"":""آخ"",""de"":""Aach"",""es"":""Aach"",""fr"":""Aach"",""ja"":""アーチ"",""it"":""Aach"",""zh-CN"":""阿赫"",""tr"":""Aach"",""ru"":""Аах"",""uk"":""Аах"",""pl"":""Aach"",""hi"":""आच"",""ar"":""آخ""}",2019-10-06T09:40:27,2025-12-02T14:39:31,1,Q31868004
23462,Aach,3019,RP,82,DE,adm4,,,49.78333000,6.60000000,Aach,1104,Europe/Berlin,"{""br"":""Aach"",""ko"":""아치"",""pt-BR"":""Aach"",""pt"":""Aach"",""nl"":""Aach"",""hr"":""Aach"",""fa"":""آخ"",""de"":""Aach"",""es"":""Aach"",""fr"":""Aach"",""ja"":""アーチ"",""it"":""Aach"",""zh-CN"":""阿赫"",""tr"":""Aach"",""ru"":""Аах"",""uk"":""Аах"",""pl"":""Aach"",""hi"":""आच"",""ar"":""آخ""}",2019-10-06T09:40:27,2025-12-02T14:38:56,1,Q300691
23463,Aachen,3017,NW,82,DE,adm3,,,50.77664000,6.08342000,Aachen,252769,Europe/Berlin,"{""br"":""Aachen"",""ko"":""아헨"",""pt-BR"":""Aquisgrano"",""pt"":""Aquisgrano"",""nl"":""Aken"",""hr"":""Aachen"",""fa"":""آخن"",""de"":""Aachen"",""es"":""Aquisgrán"",""fr"":""Aix-la-Chapelle"",""ja"":""アーヘン"",""it"":""Aquisgrana"",""zh-CN"":""亚琛"",""tr"":""Aachen"",""ru"":""Аахен"",""uk"":""Аахен"",""pl"":""Akwizgran"",""hi"":""आकिन"",""ar"":""آخن""}",2019-10-06T09:40:27,2025-12-02T14:38:56,1,Q1017
23464,Aalen,3006,BW,82,DE,adm3,,,48.83777000,10.09330000,Aalen,67085,Europe/Berlin,"{""br"":""Aalen"",""ko"":""알렌"",""pt-BR"":""Aalen"",""pt"":""Aalen"",""nl"":""Aalen"",""hr"":""Aalen"",""fa"":""آلن"",""de"":""Aalen"",""es"":""Aalen"",""fr"":""Aalen"",""ja"":""アーレン"",""it"":""Aalen"",""zh-CN"":""阿伦"",""tr"":""Aalen"",""ru"":""Аален"",""uk"":""Аален"",""pl"":""Aalen"",""hi"":""आलेन"",""ar"":""آلين""}",2019-10-06T09:40:27,2025-12-02T14:38:56,1,Q3951
23465,Abbesbüttel,3008,NI,82,DE,city,,,52.35233000,10.55649000,Abbesbüttel,1346,Europe/Berlin,"{""br"":""Abbesbüttel"",""ko"":""아베스뷔텔"",""pt-BR"":""Abadia de Abbesbüttel"",""pt"":""Abadia de Abbesbüttel"",""nl"":""Abbesbüttel"",""hr"":""Abbesbüttel"",""fa"":""آبسبوتل"",""de"":""Abbesbüttel"",""es"":""Abbesbüttel"",""fr"":""Abbesbüttel"",""ja"":""アッベスビュッテル"",""it"":""Abbesbüttel"",""zh-CN"":""阿贝斯比特尔"",""tr"":""Abbesbüttel"",""ru"":""Аббесбюттель"",""uk"":""Аббесбюттель"",""pl"":""Abbesbüttel"",""hi"":""एब्सबुटेल"",""ar"":""أبيسبوتيل""}",2019-10-06T09:40:27,2025-12-02T14:38:56,1,Q306234
23466,Abenberg,3009,BY,82,DE,city,,,49.24282000,10.96401000,Abenberg,5614,Europe/Berlin,"{""br"":""Abenberg"",""ko"":""아벤베르크"",""pt-BR"":""Abenberg"",""pt"":""Abenberg"",""nl"":""Abenberg"",""hr"":""Abenberg"",""fa"":""آبنبرگ"",""de"":""Abenberg"",""es"":""Abenberg"",""fr"":""Abenberg"",""ja"":""アベンベルク"",""it"":""Abenberg"",""zh-CN"":""阿贝格"",""tr"":""Abenberg"",""ru"":""Абенберг"",""uk"":""Абенберг"",""pl"":""Abenberg"",""hi"":""एबेनबर्ग"",""ar"":""أبينبيرج""}",2019-10-06T09:40:27,2025-12-02T14:38:56,1,Q261822
23467,Abensberg,3009,BY,82,DE,city,,,48.81684000,11.84980000,Abensberg,12570,Europe/Berlin,"{""br"":""Abensberg"",""ko"":""아벤스베르크"",""pt-BR"":""Abensberg"",""pt"":""Abensberg"",""nl"":""Abensberg"",""hr"":""Abensberg"",""fa"":""آبنسبرگ"",""de"":""Abensberg"",""es"":""Abensberg"",""fr"":""Abensberg"",""ja"":""アベンスベルク"",""it"":""Abensberg"",""zh-CN"":""阿本斯贝格"",""tr"":""Abensberg"",""ru"":""Абенсберг"",""uk"":""Абенсберг"",""pl"":""Abensberg"",""hi"":""एबेंसबर्ग"",""ar"":""أبينسبيرج""}",2019-10-06T09:40:28,2025-12-02T14:39:31,1,Q255698
23468,Absberg,3009,BY,82,DE,city,,,49.14438000,10.88101000,ABSBERG,1462,Europe/Berlin,"{""br"":""Absberg"",""ko"":""압스베르크"",""pt-BR"":""Absberg"",""pt"":""Absberg"",""nl"":""Absberg"",""hr"":""Absberg"",""fa"":""آبسبرگ"",""de"":""Absberg"",""es"":""Absberg"",""fr"":""Absberg"",""ja"":""アプスバーグ"",""it"":""Absberg"",""zh-CN"":""阿布斯贝格"",""tr"":""Absberg"",""ru"":""Абсберг"",""uk"":""Абсберг"",""pl"":""Absberg"",""hi"":""एब्सबर्ग"",""ar"":""أبسبيرج""}",2019-10-06T09:40:28,2025-12-02T14:38:56,1,Q255698
23469,Abstatt,3006,BW,82,DE,adm4,,,49.06820000,9.29070000,ABSTATT,5058,Europe/Berlin,"{""br"":""Abstatt"",""ko"":""압슈타트"",""pt-BR"":""Abstatt"",""pt"":""Abstatt"",""nl"":""Abstatt"",""hr"":""Abstatt"",""fa"":""آبستات"",""de"":""Abstatt"",""es"":""Abstatt"",""fr"":""Abstatt"",""ja"":""アプシュタット"",""it"":""Abstatt"",""zh-CN"":""阿布斯塔特"",""tr"":""Abstatt"",""ru"":""Абштатт"",""uk"":""Абштатт"",""pl"":""Abstatt"",""hi"":""एबस्टैट"",""ar"":""أبستات""}",2019-10-06T09:40:28,2025-12-02T14:38:56,1,Q333149
23470,Abtsdorf,3011,ST,82,DE,city,,,51.88984000,12.72526000,ABTSDORF,1457,Europe/Berlin,"{""br"":""Abtsdorf"",""ko"":""압츠도르프"",""pt-BR"":""Abtsdorf"",""pt"":""Abtsdorf"",""nl"":""Abtsdorf"",""hr"":""Abtsdorf"",""fa"":""آبتسدورف"",""de"":""Abtsdorf"",""es"":""Abtsdorf"",""fr"":""Abtsdorf"",""ja"":""アプトスドルフ"",""it"":""Abtsdorf"",""zh-CN"":""阿布茨多夫"",""tr"":""Abtsdorf"",""ru"":""Абтсдорф"",""uk"":""Абтсдорф"",""pl"":""Abtsdorf"",""hi"":""एब्ट्सडॉर्फ"",""ar"":""أبتسدورف""}",2019-10-06T09:40:28,2025-12-02T14:38:56,1,Q334596
