id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
30561,Ali Sabieh,2933,AS,60,DJ,adm1,,,11.15583000,42.71250000,Ali Sabieh,50006,Africa/Djibouti,"{""br"":""Ali Sabieh"",""ko"":""알리 사비에"",""pt-BR"":""Ali Sabieh"",""pt"":""Ali Sabieh"",""nl"":""Ali Sabieh"",""hr"":""Ali Sabieh"",""fa"":""علی صبیح"",""de"":""Ali Sabieh"",""es"":""Ali Sabieh"",""fr"":""Ali Sabieh"",""ja"":""アリ・サビエ"",""it"":""Ali Sabieh"",""zh-CN"":""阿里·萨比耶"",""tr"":""Ali Sabieh"",""ru"":""Али Сабих"",""uk"":""Алі Сабієх"",""pl"":""Ali Sabieh"",""hi"":""अली सबीह"",""ar"":""علي صبيح""}",2019-10-06T09:45:14,2025-12-02T14:39:31,1,Q842854
30562,Alaïli Ḏaḏḏa‘,2928,OB,60,DJ,city,,,12.42167000,42.89556000,Alaïli ḏaḏḏa ',1456,Africa/Djibouti,"{""br"":""Alaïli Ḏaḏḏa‘"",""ko"":""Alaïli Ḏaḏḏa‘"",""pt-BR"":""Alaïli Ḏaḏḏa‘"",""pt"":""Alaïli Ḏaḏḏa‘"",""nl"":""Alaïli Ḏaḏḏa‘"",""hr"":""Alaïli Dada"",""fa"":""علائیلی دادا"",""de"":""Alaïli Ḏaḏḏa‘"",""es"":""Alaïli Ḏaḏḏa‘"",""fr"":""Alaïli Ḏaḏḏa‘"",""ja"":""アライリ・ハダダ"",""it"":""Alaïli Ḏaḏḏa‘"",""zh-CN"":""阿拉伊利·哈达"",""tr"":""Alaïli Ḏaḏḏa‘"",""ru"":""Alaïli Ḏaḏḏa‘"",""uk"":""Алайлі Дада"",""pl"":""Alaïli Ḏaḏḏa‘"",""hi"":""Alaïli Ḏaḏḏa‘"",""ar"":""Alaïli Ḏaḏḏa‘""}",2019-10-06T09:45:14,2025-12-02T14:39:31,1,Q1708992
30563,Arta,2932,AR,60,DJ,adm1,,,11.52639000,42.85194000,Art,17477,Africa/Djibouti,"{""br"":""Arta"",""ko"":""아르타"",""pt-BR"":""Arta"",""pt"":""Arta"",""nl"":""Arta"",""hr"":""Arta"",""fa"":""آرتا"",""de"":""Arta"",""es"":""Artá"",""fr"":""Arta"",""ja"":""アルタ"",""it"":""Arta"",""zh-CN"":""阿尔塔"",""tr"":""Sanat"",""ru"":""Арта"",""uk"":""Арта"",""pl"":""Arta"",""hi"":""आर्टा"",""ar"":""أرتا""}",2019-10-06T09:45:14,2025-12-02T14:38:56,1,Q705884
30564,Dikhil,2930,DI,60,DJ,adm1,,,11.10454000,42.36971000,Dikhil,35000,Africa/Djibouti,"{""br"":""Dikhil"",""ko"":""디킬"",""pt-BR"":""Dikhil"",""pt"":""Dikhil"",""nl"":""Dikhil"",""hr"":""Dikhil"",""fa"":""دیکیل"",""de"":""Dikhil"",""es"":""Dikhil"",""fr"":""Dikhil"",""ja"":""ディキル"",""it"":""Dikhil"",""zh-CN"":""迪基尔"",""tr"":""Dikhil"",""ru"":""Дикхил"",""uk"":""Діхіл"",""pl"":""Dikhil"",""hi"":""डिखिल"",""ar"":""دخيل""}",2019-10-06T09:45:14,2025-12-02T14:38:56,1,Q620625
30565,Djibouti,2929,DJ,60,DJ,capital,,,11.58901000,43.14503000,Djibouti,603900,Africa/Djibouti,"{""br"":""Djibouti"",""ko"":""지부티"",""pt-BR"":""Djibuti"",""pt"":""Djibuti"",""nl"":""Djibouti"",""hr"":""Džibuti"",""fa"":""جیبوتی"",""de"":""Dschibuti"",""es"":""Yibuti"",""fr"":""Djibouti"",""ja"":""ジブチ"",""it"":""Gibuti"",""zh-CN"":""吉布提"",""tr"":""Cibuti"",""ru"":""Джибути"",""uk"":""Джибуті"",""pl"":""Dżibuti"",""hi"":""ज़िबूटी"",""ar"":""جيبوتي""}",2019-10-06T09:45:14,2025-12-02T14:38:56,1,Q3604
30566,Dorra,2931,TA,60,DJ,city,,,12.15028000,42.47624000,Dora,1873,Africa/Djibouti,"{""br"":""Dorra"",""ko"":""도라"",""pt-BR"":""Dorra"",""pt"":""Dorra"",""nl"":""Dorra"",""hr"":""Dorra"",""fa"":""دورا"",""de"":""Dorra"",""es"":""Dorra"",""fr"":""Dorra"",""ja"":""ドラ"",""it"":""Dorra"",""zh-CN"":""多拉"",""tr"":""Dorra"",""ru"":""Дорра"",""uk"":""Дорра"",""pl"":""Dorra"",""hi"":""डोर्रा"",""ar"":""درة""}",2019-10-06T09:45:14,2025-12-02T14:38:56,1,Q970073
30567,Goubétto,2933,AS,60,DJ,city,,,11.42389000,43.00028000,Goubétto,2003,Africa/Djibouti,"{""br"":""Goubétto"",""ko"":""구베토"",""pt-BR"":""Goubetto"",""pt"":""Goubetto"",""nl"":""Goubétto"",""hr"":""Goubétto"",""fa"":""گوبتو"",""de"":""Goubetto"",""es"":""Goubétto"",""fr"":""Goubétto"",""ja"":""グベット"",""it"":""Goubétto"",""zh-CN"":""古贝托"",""tr"":""Goubetto"",""ru"":""Губетто"",""uk"":""Губетто"",""pl"":""Goubétto"",""hi"":""गौबेटो"",""ar"":""جوبيتو""}",2019-10-06T09:45:14,2025-12-02T14:38:56,1,Q5588130
30568,Gâlâfi,2930,DI,60,DJ,city,,,11.71583000,41.83611000,Gâlâfi,1849,Africa/Djibouti,"{""br"":""Gâlâfi"",""ko"":""갈라피"",""pt-BR"":""Gâlâfi"",""pt"":""Gâlâfi"",""nl"":""Galaf"",""hr"":""Galafi"",""fa"":""گالافی"",""de"":""Gâlâfi"",""es"":""Gâlâfi"",""fr"":""Gâlâfi"",""ja"":""ガラフィ"",""it"":""Gâlâfi"",""zh-CN"":""加拉菲"",""tr"":""Galâfi"",""ru"":""Галафи"",""uk"":""Галафі"",""pl"":""Galaf"",""hi"":""गैलाफी"",""ar"":""جالافي""}",2019-10-06T09:45:14,2025-12-02T14:38:56,1,Q1491656
30569,Holhol,2933,AS,60,DJ,city,,,11.31028000,42.92944000,Holhol,3519,Africa/Djibouti,"{""br"":""Holhol"",""ko"":""홀홀"",""pt-BR"":""Holhol"",""pt"":""Holhol"",""nl"":""Holhol"",""hr"":""Holhol"",""fa"":""هولهول"",""de"":""Holhol"",""es"":""Holhol"",""fr"":""Holhol"",""ja"":""ホルホル"",""it"":""Holhol"",""zh-CN"":""霍尔霍尔"",""tr"":""Holhol"",""ru"":""Холхол"",""uk"":""Холхол"",""pl"":""Holhol"",""hi"":""होलहोल"",""ar"":""هولهول""}",2019-10-06T09:45:14,2025-12-02T14:38:56,1,Q924549
30570,Loyada,2929,DJ,60,DJ,city,,,11.46111000,43.25278000,Inférieur,1646,Africa/Djibouti,"{""br"":""Loyada"",""ko"":""로야다"",""pt-BR"":""Loyada"",""pt"":""Loyada"",""nl"":""Loyada"",""hr"":""Loyada"",""fa"":""لویادا"",""de"":""Loyada"",""es"":""Loyada"",""fr"":""Loyada"",""ja"":""ロヤダ"",""it"":""Loyada"",""zh-CN"":""洛亚达"",""tr"":""Loyada"",""ru"":""Лояда"",""uk"":""Лояда"",""pl"":""Loyada"",""hi"":""लोयाडा"",""ar"":""لويادا""}",2019-10-06T09:45:14,2025-12-02T14:38:56,1,Q983900
