id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
30573,Aabenraa,1529,83,59,DK,adm2,,,55.04434000,9.41741000,Aabenraa,15967,Europe/Copenhagen,"{""br"":""Aabenraa"",""ko"":""아벤라"",""pt-BR"":""Aabenraa"",""pt"":""Aabenraa"",""nl"":""Aabenraa"",""hr"":""Aabenraa"",""fa"":""آبنرا"",""de"":""Apenrade"",""es"":""Aabenraa"",""fr"":""Aabenraa"",""ja"":""アーベンラー"",""it"":""Aabenraa"",""zh-CN"":""奥本罗"",""tr"":""Aabenraa"",""ru"":""Аабенраа"",""uk"":""Аабенраа"",""pl"":""Aabenraa"",""hi"":""अलबेनरा"",""ar"":""أبينرا""}",2019-10-06T09:45:14,2025-12-02T14:38:56,1,Q154897
30574,Aabenraa Kommune,1529,83,59,DK,city,,,54.98980000,9.31282000,Aabenraa Kommune,,Europe/Copenhagen,"{""br"":""Kumuniezh Aabenraa"",""ko"":""아벤라 코무네"",""pt-BR"":""Aabenraa Kommune"",""pt"":""Aabenraa Kommune"",""nl"":""Aabenraa Kommune"",""hr"":""Općina Aabenraa"",""fa"":""آبنرا کومون"",""de"":""Aabenraa Kommune"",""es"":""Comuna de Aabenraa"",""fr"":""Commune d'Aabenraa"",""ja"":""アーベンラー市"",""it"":""Aabenraa Kommune"",""zh-CN"":""奥本罗市"",""tr"":""Aabenraa Kommune"",""ru"":""Aabenraa Kommune"",""uk"":""Комуна Аабенро"",""pl"":""Gmina Aabenraa"",""hi"":""आबेनरा कोम्मुने"",""ar"":""بلدية أبينرا""}",2019-10-06T09:45:14,2025-12-02T17:11:50,1,Q21152
30575,Aalborg,1532,81,59,DK,adm1,,,57.04800000,9.91870000,Aalborg,121878,Europe/Copenhagen,"{""br"":""Aalborg"",""ko"":""올보르그"",""pt-BR"":""Aalborg"",""pt"":""Aalborg"",""nl"":""Aalborg"",""hr"":""Aalborg"",""fa"":""آلبورگ"",""de"":""Aalborg"",""es"":""Aalborg"",""fr"":""Aalborg"",""ja"":""オールボー"",""it"":""Aalborg"",""zh-CN"":""奥尔堡"",""tr"":""Aalborg"",""ru"":""Ольборг"",""uk"":""Ольборг"",""pl"":""Aalborg"",""hi"":""अलबोर्ग"",""ar"":""آلبورغ""}",2019-10-06T09:45:14,2025-12-02T14:38:56,1,Q25410
30576,Aars,1532,81,59,DK,adm2,,,56.80399000,9.51441000,Aars,8246,Europe/Copenhagen,"{""br"":""Aars"",""ko"":""아르스"",""pt-BR"":""Aars"",""pt"":""Aars"",""nl"":""Aars"",""hr"":""Aars"",""fa"":""ارس"",""de"":""Aars"",""es"":""Aars"",""fr"":""Aars"",""ja"":""アーズ"",""it"":""Aars"",""zh-CN"":""奥斯"",""tr"":""Aars"",""ru"":""Аарс"",""uk"":""Аарс"",""pl"":""Roczniki"",""hi"":""आर्स"",""ar"":""أرس""}",2019-10-06T09:45:15,2025-12-02T14:38:56,1,Q303066
30577,Albertslund,1530,84,59,DK,adm2,,,55.65691000,12.36381000,Albertslund,27692,Europe/Copenhagen,"{""br"":""Albertslund"",""ko"":""알베르트슬룬드"",""pt-BR"":""Albertslund"",""pt"":""Albertslund"",""nl"":""Albertslund"",""hr"":""Albertslund"",""fa"":""آلبرتسلوند"",""de"":""Albertslund"",""es"":""Albertslund"",""fr"":""Albertslund"",""ja"":""アルベルトスルンド"",""it"":""Albertslund"",""zh-CN"":""阿尔贝茨隆德"",""tr"":""Albertslund"",""ru"":""Альбертслунд"",""uk"":""Альбертслунд"",""pl"":""Albertslund"",""hi"":""अल्बर्ट्सलुंड"",""ar"":""ألبرتسلوند""}",2019-10-06T09:45:15,2025-12-02T14:38:56,1,Q3196726
30578,Albertslund Kommune,1530,84,59,DK,adm2,,,55.68022000,12.34797000,Albertslund Kommune,,Europe/Copenhagen,"{""br"":""Kumuniezh Albertslund"",""ko"":""알베르트슬룬드 코무네"",""pt-BR"":""Albertslund Kommune"",""pt"":""Albertslund Kommune"",""nl"":""Albertslund Kommune"",""hr"":""Općina Albertslund"",""fa"":""آلبرتس‌لوند کومونه"",""de"":""Albertslund Kommune"",""es"":""Comuna de Albertslund"",""fr"":""Commune d'Albertslund"",""ja"":""アルベルツルンド市"",""it"":""Comune di Albertslund"",""zh-CN"":""阿尔贝茨隆德市"",""tr"":""Albertslund Kommune"",""ru"":""Albertslund Kommune"",""uk"":""Комуна Альбертслунд"",""pl"":""Gmina Albertslund"",""hi"":""अल्बर्ट्सलुंड कम्यून"",""ar"":""بلدية ألبرتسلوند""}",2019-10-06T09:45:15,2025-12-02T17:11:50,1,Q493833
30579,Allerød Kommune,1530,84,59,DK,city,,,55.85856000,12.32558000,Allerød Kommune,,Europe/Copenhagen,"{""br"":""Kumuniezh Allerød"",""ko"":""알레뢰드 코무네"",""pt-BR"":""Allerød Kommune"",""pt"":""Allerød Kommune"",""nl"":""Allerød Kommune"",""hr"":""Općina Allerød"",""fa"":""آلرود کومون"",""de"":""Allerød Kommune"",""es"":""Municipio de Allerød"",""fr"":""Commune d'Allerød"",""ja"":""アレロッド・コムネ"",""it"":""Allerød Kommune"",""zh-CN"":""阿勒罗德公社"",""tr"":""Allerød Kommune"",""ru"":""Allerød Kommune"",""uk"":""Комуна Аллеред"",""pl"":""Allerød Kommune"",""hi"":""Allerød Kommune"",""ar"":""بلدية أليرود""}",2019-10-06T09:45:15,2025-12-02T17:11:50,1,Q499479
30580,Allingåbro,1531,82,59,DK,city,,,56.46432000,10.31957000,Allingåbro,1842,Europe/Copenhagen,"{""br"":""Allingåbro"",""ko"":""알링가브로"",""pt-BR"":""Allingåbro"",""pt"":""Allingåbro"",""nl"":""Allingåbro"",""hr"":""Allingåbro"",""fa"":""آلینگابرو"",""de"":""Allingåbro"",""es"":""Allingåbro"",""fr"":""Allingåbro"",""ja"":""アリングオーブロ"",""it"":""Allingåbro"",""zh-CN"":""阿林戈布罗"",""tr"":""Allingåbro"",""ru"":""Аллингабро"",""uk"":""Аллінгабро"",""pl"":""Allingåbro"",""hi"":""अल्लिंगाब्रो"",""ar"":""ألينغابرو""}",2019-10-06T09:45:15,2025-12-02T14:39:31,1,Q3218538
30581,Arden,1532,81,59,DK,city,,,56.76899000,9.86184000,Arden,2516,Europe/Copenhagen,"{""br"":""Arden"",""ko"":""아덴"",""pt-BR"":""Arden"",""pt"":""Arden"",""nl"":""Arden"",""hr"":""Arden"",""fa"":""آردن"",""de"":""Arden"",""es"":""Arden"",""fr"":""Arden"",""ja"":""アーデン"",""it"":""Arden"",""zh-CN"":""雅顿"",""tr"":""Arden"",""ru"":""Арден"",""uk"":""Арден"",""pl"":""Arden"",""hi"":""आर्डेन"",""ar"":""أردن""}",2019-10-06T09:45:15,2025-12-02T14:38:56,1,Q10417379
30582,Asnæs,1528,85,59,DK,city,,,55.81229000,11.50129000,Asnæs,3100,Europe/Copenhagen,"{""br"":""Asnæs"",""ko"":""아스네스"",""pt-BR"":""Asnæs"",""pt"":""Asnæs"",""nl"":""Asnæs"",""hr"":""Asnæs"",""fa"":""آسنس"",""de"":""Asnæs"",""es"":""Asnæs"",""fr"":""Asnæs"",""ja"":""アスネス"",""it"":""Asnaes"",""zh-CN"":""阿斯奈斯"",""tr"":""Asnæs"",""ru"":""Аснес"",""uk"":""Аснес"",""pl"":""Asnæs"",""hi"":""अस्नेस"",""ar"":""أسنيس""}",2019-10-06T09:45:15,2025-12-02T14:38:56,1,Q2019461
