id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
31002,Berekua,4080,09,61,DM,adm1,,,15.23333000,-61.31667000,Berejahua,2608,America/Dominica,"{""br"":""Berekua"",""ko"":""베레쿠아"",""pt-BR"":""Berekua"",""pt"":""Berekua"",""nl"":""Berekua"",""hr"":""Berekua"",""fa"":""برکوا"",""de"":""Berekua"",""es"":""Berekua"",""fr"":""Berekua"",""ja"":""ベレクア"",""it"":""Berekua"",""zh-CN"":""贝雷库阿"",""tr"":""Berekua"",""ru"":""Берекуа"",""uk"":""Берекуа"",""pl"":""Berekua"",""hi"":""बेरेकुआ"",""ar"":""بيريكوا""}",2019-10-06T09:45:17,2025-12-02T14:38:56,1,Q1136090
31003,Calibishie,4082,02,61,DM,city,,,15.59297000,-61.34901000,Calibishie,1020,America/Dominica,"{""br"":""Calibishie"",""ko"":""칼리비시"",""pt-BR"":""Calibishie"",""pt"":""Calibishie"",""nl"":""Calibishie"",""hr"":""Kalibiši"",""fa"":""کالیبشی"",""de"":""Calibishie"",""es"":""Calibishie"",""fr"":""Calibishie"",""ja"":""カリビシー"",""it"":""Calibishie"",""zh-CN"":""卡利比什"",""tr"":""Calibishie"",""ru"":""Калибиши"",""uk"":""Калібіші"",""pl"":""Calibishie"",""hi"":""कैलिबिशी"",""ar"":""كاليبيشي""}",2019-10-06T09:45:17,2025-12-02T14:38:56,1,Q2933944
31004,Castle Bruce,4078,03,61,DM,city,,,15.44397000,-61.25723000,Castle Bruce,1387,America/Dominica,"{""br"":""Kastell Bruce"",""ko"":""캐슬 브루스"",""pt-BR"":""Castelo Bruce"",""pt"":""Castelo Bruce"",""nl"":""Kasteel Bruce"",""hr"":""Dvorac Bruce"",""fa"":""قلعه بروس"",""de"":""Schloss Bruce"",""es"":""Castillo Bruce"",""fr"":""Château Bruce"",""ja"":""キャッスル・ブルース"",""it"":""Castello Bruce"",""zh-CN"":""布鲁斯城堡"",""tr"":""Bruce Kalesi"",""ru"":""Замок Брюс"",""uk"":""Замок Брюс"",""pl"":""Zamek Bruce"",""hi"":""कैसल ब्रूस"",""ar"":""قلعة بروس""}",2019-10-06T09:45:17,2025-12-02T14:38:56,1,Q1049398
31005,Colihaut,4081,11,61,DM,adm1,,,15.48478000,-61.46215000,Colihaut,773,America/Dominica,"{""br"":""Colihaut"",""ko"":""콜리하우트"",""pt-BR"":""Colihaut"",""pt"":""Colihaut"",""nl"":""Colihaut"",""hr"":""Colihaut"",""fa"":""کولیهوت"",""de"":""Colihaut"",""es"":""Colihaut"",""fr"":""Colihaut"",""ja"":""コリオー"",""it"":""Colihaut"",""zh-CN"":""科利豪特"",""tr"":""Colihaut"",""ru"":""Колихаут"",""uk"":""Коліхаут"",""pl"":""Colihaut"",""hi"":""कोलिहौत"",""ar"":""كوليهوت""}",2019-10-06T09:45:17,2025-12-02T14:38:56,1,Q1108306
31006,La Plaine,4080,09,61,DM,city,,,15.32768000,-61.24753000,The plain,1332,America/Dominica,"{""br"":""La Plaine"",""ko"":""라 플레인"",""pt-BR"":""La Plaine"",""pt"":""La Plaine"",""nl"":""De vlakte"",""hr"":""La Plaine"",""fa"":""لا پلین"",""de"":""La Plaine"",""es"":""La llanura"",""fr"":""La Plaine"",""ja"":""ラ・プレーヌ"",""it"":""La Plaine"",""zh-CN"":""拉普兰"",""tr"":""La Plaine"",""ru"":""Ла Плен"",""uk"":""Ла-Плен"",""pl"":""La Plaine"",""hi"":""ला प्लेन"",""ar"":""لا بلين""}",2019-10-06T09:45:17,2025-12-02T14:38:56,1,Q3174970
31007,Mahaut,4084,10,61,DM,city,,,15.36357000,-61.39701000,Mahaut,2369,America/Dominica,"{""br"":""Mahaut"",""ko"":""마호트"",""pt-BR"":""Mahaut"",""pt"":""Mahaut"",""nl"":""Mahaut"",""hr"":""Mahaut"",""fa"":""ماهوت"",""de"":""Mahaut"",""es"":""Mahaut"",""fr"":""Mahaut"",""ja"":""マオー"",""it"":""Mahaut"",""zh-CN"":""马豪特"",""tr"":""Mahaut"",""ru"":""Махаут"",""uk"":""Махаут"",""pl"":""Mahaut"",""hi"":""महाउत"",""ar"":""ماهاوت""}",2019-10-06T09:45:17,2025-12-02T14:38:56,1,Q3052683
31008,Marigot,4082,02,61,DM,city,,,15.53886000,-61.28375000,Husband,2669,America/Dominica,"{""br"":""Marigot"",""ko"":""마리고"",""pt-BR"":""Marigot"",""pt"":""Marigot"",""nl"":""Marigot"",""hr"":""Marigot"",""fa"":""ماریگوت"",""de"":""Marigot"",""es"":""Marigot"",""fr"":""Marigot"",""ja"":""マリゴ"",""it"":""Marigot"",""zh-CN"":""马里戈特"",""tr"":""Marigot"",""ru"":""Мариго"",""uk"":""Маріго"",""pl"":""Marigot"",""hi"":""मैरीगोट"",""ar"":""ماريجوت""}",2019-10-06T09:45:17,2025-12-02T14:38:56,1,Q3052620
31009,Pointe Michel,4083,07,61,DM,adm1,,,15.25976000,-61.37452000,Michel Pointe,1202,America/Dominica,"{""br"":""Poent Michel"",""ko"":""푸앵트 미셸"",""pt-BR"":""Ponta Michel"",""pt"":""Ponta Michel"",""nl"":""Pointe Michel"",""hr"":""Pointe Michel"",""fa"":""پوینت میشل"",""de"":""Pointe Michel"",""es"":""Punta Michel"",""fr"":""Pointe Michel"",""ja"":""ポワント・ミッシェル"",""it"":""Punta Michel"",""zh-CN"":""米歇尔角"",""tr"":""Pointe Michel"",""ru"":""Пуэнт-Мишель"",""uk"":""Пуент-Мішель"",""pl"":""Pointe Michel"",""hi"":""पॉइंट मिशेल"",""ar"":""بوانت ميشيل""}",2019-10-06T09:45:18,2025-12-02T14:38:56,1,Q1934011
31010,Pont Cassé,4084,10,61,DM,adm1,,,15.36667000,-61.35000000,Broken bridge,702,America/Dominica,"{""br"":""Pont Kassé"",""ko"":""퐁 카세"",""pt-BR"":""Ponte Cassé"",""pt"":""Ponte Cassé"",""nl"":""Pont Cassé"",""hr"":""Pont Cassé"",""fa"":""پونت کاسِه"",""de"":""Pont Cassé"",""es"":""Puente Cassé"",""fr"":""Pont Cassé"",""ja"":""ポン・カッセ"",""it"":""Pont Cassé"",""zh-CN"":""卡塞桥"",""tr"":""Cassé Köprüsü"",""ru"":""Пон-Кассе"",""uk"":""Понт-Кассе"",""pl"":""Pont Cassé"",""hi"":""पोंट कैसे"",""ar"":""جسر كاسي""}",2019-10-06T09:45:18,2025-12-02T14:38:56,1,Q1972895
31011,Portsmouth,4076,05,61,DM,adm1,,,15.58333000,-61.46667000,Portsmouth,3633,America/Dominica,"{""br"":""Portsmouth"",""ko"":""포츠머스"",""pt-BR"":""Portsmouth"",""pt"":""Portsmouth"",""nl"":""Portsmouth"",""hr"":""Portsmouth"",""fa"":""پورتسموث"",""de"":""Portsmouth"",""es"":""Portsmouth"",""fr"":""Portsmouth"",""ja"":""ポーツマス"",""it"":""Portsmouth"",""zh-CN"":""朴茨茅斯"",""tr"":""Portsmouth"",""ru"":""Портсмут"",""uk"":""Портсмут"",""pl"":""Portsmouth"",""hi"":""पोर्ट्समाउथ"",""ar"":""بورتسموث""}",2019-10-06T09:45:19,2025-12-02T17:11:50,1,Q1014235
