id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
31019,Agua Santa del Yuna,4113,06,62,DO,city,,,19.15072000,-69.80069000,Agua Santa del Yuna,1830,America/Santo_Domingo,"{""br"":""Agua Santa del Yuna"",""ko"":""아과 산타 델 유나"",""pt-BR"":""Água Santa del Yuna"",""pt"":""Água Santa del Yuna"",""nl"":""Agua Santa del Yuna"",""hr"":""Voda Santa del Yuna"",""fa"":""آگوا سانتا دل یونا"",""de"":""Agua Santa del Yuna"",""es"":""Agua Santa del Yuna"",""fr"":""Eau Santa del Yuna"",""ja"":""アグア・サンタ・デル・ユナ"",""it"":""Agua Santa del Yuna"",""zh-CN"":""圣德尔尤纳水"",""tr"":""Santa del Yuna Suyu"",""ru"":""Агуа Санта дель Юна"",""uk"":""Агуа Санта-дель-Юна"",""pl"":""Woda Santa del Yuna"",""hi"":""अगुआ सांता डेल यूना"",""ar"":""مياه سانتا ديل يونا""}",2019-10-06T09:45:21,2025-12-02T14:38:56,1,Q4694455
31020,Altamira,4092,18,62,DO,city,,,19.70000000,-70.83333000,Altamira,8024,America/Santo_Domingo,"{""br"":""Altamira"",""ko"":""알타미라"",""pt-BR"":""Altamira"",""pt"":""Altamira"",""nl"":""Altamira"",""hr"":""Altamira"",""fa"":""آلتامیرا"",""de"":""Altamira"",""es"":""Altamira"",""fr"":""Altamira"",""ja"":""アルタミラ"",""it"":""Altamira"",""zh-CN"":""阿尔塔米拉"",""tr"":""Altamira"",""ru"":""Альтамира"",""uk"":""Альтаміра"",""pl"":""Altamira"",""hi"":""अल्तामिरा"",""ar"":""ألتاميرا""}",2019-10-06T09:45:21,2025-12-02T14:39:31,1,Q23779605
31021,Amina,4104,27,62,DO,city,,,19.54813000,-70.99599000,Amina,1910,America/Santo_Domingo,"{""br"":""Amina"",""ko"":""아미나"",""pt-BR"":""Amina"",""pt"":""Amina"",""nl"":""Amina"",""hr"":""Amina"",""fa"":""امینه"",""de"":""Amina"",""es"":""Amina"",""fr"":""Amina"",""ja"":""アミナ"",""it"":""Amina"",""zh-CN"":""阿米娜"",""tr"":""Amina"",""ru"":""Амина"",""uk"":""Аміна"",""pl"":""Amina"",""hi"":""अमीना"",""ar"":""أمينة""}",2019-10-06T09:45:21,2025-12-02T14:38:56,1,Q23779645
31022,Arenoso,4113,06,62,DO,city,,,19.18732000,-69.85917000,Arenoso,2897,America/Santo_Domingo,"{""br"":""Arenoso"",""ko"":""아레노소"",""pt-BR"":""Arenoso"",""pt"":""Arenoso"",""nl"":""Arenoso"",""hr"":""Arenoso"",""fa"":""آرنوسو"",""de"":""Arenoso"",""es"":""Arenoso"",""fr"":""Arenoso"",""ja"":""アレノソ"",""it"":""Arenoso"",""zh-CN"":""阿雷诺索"",""tr"":""Arenoso"",""ru"":""Аренозо"",""uk"":""Аренозо"",""pl"":""Arenoso"",""hi"":""एरेनोसो"",""ar"":""أرينوسو""}",2019-10-06T09:45:22,2025-12-02T14:39:31,1,Q3622180
31023,Arroyo Salado,4094,14,62,DO,city,,,19.50000000,-69.90000000,Arroyo Salado,1990,America/Santo_Domingo,"{""br"":""Arroyo Salado"",""ko"":""아로요 살라도"",""pt-BR"":""Arroyo Salado"",""pt"":""Arroyo Salado"",""nl"":""Arroyo Salado"",""hr"":""Arroyo Salado"",""fa"":""آرویو سالادو"",""de"":""Arroyo Salado"",""es"":""Arroyo Salado"",""fr"":""Arroyo Salado"",""ja"":""アロヨ・サラド"",""it"":""Arroyo Salado"",""zh-CN"":""阿罗约·萨拉多"",""tr"":""Arroyo Salatası"",""ru"":""Арройо Саладо"",""uk"":""Арройо Саладо"",""pl"":""Arroyo Salado"",""hi"":""अरोयो सलादो"",""ar"":""أرويو سالادو""}",2019-10-06T09:45:22,2025-12-02T14:38:56,1,Q4796250
31024,Azua,4114,02,62,DO,adm1,,,18.45319000,-70.73490000,Azua,59139,America/Santo_Domingo,"{""br"":""Azua"",""ko"":""아주아"",""pt-BR"":""Azua"",""pt"":""Azua"",""nl"":""Azua"",""hr"":""Azua"",""fa"":""آزوا"",""de"":""Azua"",""es"":""Azua"",""fr"":""Azua"",""ja"":""アズア"",""it"":""Azua"",""zh-CN"":""阿苏阿"",""tr"":""Azua"",""ru"":""Асуа"",""uk"":""Азуа"",""pl"":""Azua"",""hi"":""आज़ुआ"",""ar"":""أزوا""}",2019-10-06T09:45:22,2025-12-02T14:39:31,1,Q1836680
31025,Baitoa,4108,25,62,DO,city,,,19.32512000,-70.70357000,Porque,2013,America/Santo_Domingo,"{""br"":""Baitoa"",""ko"":""바이토아"",""pt-BR"":""Baitoa"",""pt"":""Baitoa"",""nl"":""Baitoa"",""hr"":""Baitoa"",""fa"":""بایتوآ"",""de"":""Baitoa"",""es"":""Baitoa"",""fr"":""Baitoa"",""ja"":""バイトア"",""it"":""Baitoa"",""zh-CN"":""拜托阿"",""tr"":""Baitoa"",""ru"":""Байтоа"",""uk"":""Байтоа"",""pl"":""Baitoa"",""hi"":""बैतोआ"",""ar"":""بيتوا""}",2019-10-06T09:45:22,2025-12-02T14:39:31,1,Q4848740
31026,Bajos de Haina,4091,21,62,DO,city,,,18.41667000,-70.03333000,Bajos de Haina,66784,America/Santo_Domingo,"{""br"":""Bajos de Haina"",""ko"":""바호스 데 하이나"",""pt-BR"":""Baixos de Haina"",""pt"":""Baixos de Haina"",""nl"":""Bajos de Haina"",""hr"":""Bajos de Haina"",""fa"":""باخوس د هاینا"",""de"":""Bajos de Haina"",""es"":""Bajos de Haina"",""fr"":""Bajos de Haina"",""ja"":""バホス・デ・ハイナ"",""it"":""Bajos de Haina"",""zh-CN"":""下海纳"",""tr"":""Bajos de Haina"",""ru"":""Бахос-де-Айна"",""uk"":""Бахос-де-Хайна"",""pl"":""Bajos de Haina"",""hi"":""बाजोस डी हैना"",""ar"":""bajos de haina""}",2019-10-06T09:45:22,2025-12-02T14:39:31,1,Q2438383
31027,Baní,4096,17,62,DO,adm1,,,18.27964000,-70.33185000,Minas,66709,America/Santo_Domingo,"{""br"":""Baní"",""ko"":""바니"",""pt-BR"":""Baní"",""pt"":""Baní"",""nl"":""Baní"",""hr"":""Baní"",""fa"":""بانی"",""de"":""Baní"",""es"":""Baní"",""fr"":""Baní"",""ja"":""バニ"",""it"":""Baní"",""zh-CN"":""巴尼"",""tr"":""Baní"",""ru"":""Бани"",""uk"":""Бані"",""pl"":""Baní"",""hi"":""बानी"",""ar"":""باني""}",2019-10-06T09:45:22,2025-12-02T14:39:31,1,Q1902349
31028,Bayaguana,4111,29,62,DO,city,,,18.78333000,-69.60000000,Bayaguana,31889,America/Santo_Domingo,"{""br"":""Bayaguana"",""ko"":""바야과나"",""pt-BR"":""Bayaguana"",""pt"":""Bayaguana"",""nl"":""Bayaguana"",""hr"":""Bayaguana"",""fa"":""بایاگوانا"",""de"":""Bayaguana"",""es"":""Bayaguana"",""fr"":""Bayaguana"",""ja"":""バヤグアナ"",""it"":""Bayaguana"",""zh-CN"":""巴亚瓜纳"",""tr"":""Bayaguana"",""ru"":""Баягуана"",""uk"":""Баягуана"",""pl"":""Bayaguana"",""hi"":""बयागुआना"",""ar"":""باياجوانا""}",2019-10-06T09:45:22,2025-12-02T17:11:50,1,Q1770505
31029,Bella Vista,4095,01,62,DO,section,,,18.45539000,-69.94540000,Hermosa vista,175683,America/Santo_Domingo,"{""br"":""Bella Vista"",""ko"":""벨라 비스타"",""pt-BR"":""Bella Vista"",""pt"":""Bella Vista"",""nl"":""Prachtig uitzicht"",""hr"":""Bella Vista"",""fa"":""بلا ویستا"",""de"":""Bella Vista"",""es"":""Bella Vista"",""fr"":""Bella Vista"",""ja"":""ベラビスタ"",""it"":""Bella Vista"",""zh-CN"":""贝拉维斯塔"",""tr"":""Bella Vista"",""ru"":""Белла Виста"",""uk"":""Белла Віста"",""pl"":""Bella Vista"",""hi"":""बेला विस्टा"",""ar"":""بيلا فيستا""}",2019-10-06T09:45:22,2025-12-02T14:38:56,1,Q4883376
31030,Bisonó,4108,25,62,DO,city,,,19.58333000,-70.86667000,Bisonte,42092,America/Santo_Domingo,"{""br"":""Bisonó"",""ko"":""비소노"",""pt-BR"":""Bisonó"",""pt"":""Bisonó"",""nl"":""Bizon"",""hr"":""Bisonó"",""fa"":""بیسونو"",""de"":""Bisonó"",""es"":""Bisonó"",""fr"":""Bisonó"",""ja"":""ビソノ"",""it"":""Bisonó"",""zh-CN"":""比索诺"",""tr"":""Bizon"",""ru"":""Бизоно"",""uk"":""Бізоно"",""pl"":""Bisonó"",""hi"":""बिसोनो"",""ar"":""بيسونو""}",2019-10-06T09:45:22,2025-12-02T17:11:50,1,Q2690547
31031,Boca Chica,4093,32,62,DO,adm3,,,18.45000000,-69.60000000,Boca Chica,46300,America/Santo_Domingo,"{""br"":""Boca Chica"",""ko"":""보카 치카"",""pt-BR"":""Boca Chica"",""pt"":""Boca Chica"",""nl"":""Boca Chica"",""hr"":""Boca Chica"",""fa"":""بوکا چیکا"",""de"":""Boca Chica"",""es"":""Boca Chica"",""fr"":""Boca Chica"",""ja"":""ボカ・チカ"",""it"":""Boca Chica"",""zh-CN"":""博卡奇卡"",""tr"":""Boca Chica"",""ru"":""Бока-Чика"",""uk"":""Бока-Чіка"",""pl"":""Boca Chica"",""hi"":""बोका चिका"",""ar"":""بوكا تشيكا""}",2019-10-06T09:45:22,2025-12-02T14:39:31,1,Q888935
31032,Boca de Yuma,4109,11,62,DO,city,,,18.37825000,-68.60900000,Boca de Yuma,1991,America/Santo_Domingo,"{""br"":""Boca de Yuma"",""ko"":""보카 데 유마"",""pt-BR"":""Boca de Yuma"",""pt"":""Boca de Yuma"",""nl"":""Boca de Yuma"",""hr"":""Boca de Yuma"",""fa"":""بوکا دِ یوما"",""de"":""Boca de Yuma"",""es"":""Boca de Yuma"",""fr"":""Boca de Yuma"",""ja"":""ボカ・デ・ユマ"",""it"":""Boca de Yuma"",""zh-CN"":""博卡德尤马"",""tr"":""Boca de Yuma"",""ru"":""Бока-де-Юма"",""uk"":""Бока-де-Юма"",""pl"":""Boca de Yuma"",""hi"":""बोका डे युमा"",""ar"":""بوكا دي يوما""}",2019-10-06T09:45:22,2025-12-02T14:38:56,1,Q4936128
31033,Bohechío,4098,22,62,DO,city,,,18.77515000,-70.98889000,Bohechya,2281,America/Santo_Domingo,"{""br"":""Bohechío"",""ko"":""보헤키오"",""pt-BR"":""Boêmio"",""pt"":""Boêmio"",""nl"":""Bohechío"",""hr"":""Bohechío"",""fa"":""بوهچیو"",""de"":""Bohechío"",""es"":""Bohechio"",""fr"":""Bohechio"",""ja"":""ボヘチオ"",""it"":""Bohechío"",""zh-CN"":""博赫奇奥"",""tr"":""Bohechio"",""ru"":""Бохечио"",""uk"":""Бохечіо"",""pl"":""Bohechío"",""hi"":""बोहेचियो"",""ar"":""بوهيشيو""}",2019-10-06T09:45:22,2025-12-02T14:39:31,1,Q23778512
31034,Bonao,4099,28,62,DO,city,,,18.91667000,-70.46667000,Bonao,158034,America/Santo_Domingo,"{""br"":""Bonao"",""ko"":""보나오"",""pt-BR"":""Bonao"",""pt"":""Bonao"",""nl"":""Bonao"",""hr"":""Bonao"",""fa"":""بونائو"",""de"":""Bonao"",""es"":""Bonao"",""fr"":""Bonao"",""ja"":""ボナオ"",""it"":""Bonao"",""zh-CN"":""博纳奥"",""tr"":""Bonao"",""ru"":""Бонао"",""uk"":""Бонао"",""pl"":""Bonao"",""hi"":""बोनाओ"",""ar"":""بوناو""}",2019-10-06T09:45:22,2025-12-02T17:11:50,1,Q2306136
31035,Cabarete,4092,18,62,DO,city,,,19.74982000,-70.40829000,Cabarete,4094,America/Santo_Domingo,"{""br"":""Cabarete"",""ko"":""카바레테"",""pt-BR"":""Cabarete"",""pt"":""Cabarete"",""nl"":""Cabarete"",""hr"":""Kabarete"",""fa"":""کاباره"",""de"":""Cabarete"",""es"":""Cabarete"",""fr"":""Cabarete"",""ja"":""カバレテ"",""it"":""Cabarete"",""zh-CN"":""卡巴雷特"",""tr"":""Kabarete"",""ru"":""Кабарете"",""uk"":""Кабарете"",""pl"":""Cabarete"",""hi"":""कैबरेते"",""ar"":""كاباريتي""}",2019-10-06T09:45:22,2025-12-02T14:38:56,1,Q459919
31036,Cabral,4090,04,62,DO,city,,,18.19991000,-71.24660000,Cabral,14823,America/Santo_Domingo,"{""br"":""Cabral"",""ko"":""카브랄"",""pt-BR"":""Cabral"",""pt"":""Cabral"",""nl"":""Cabral"",""hr"":""Cabral"",""fa"":""کابرال"",""de"":""Cabral"",""es"":""Cabral"",""fr"":""Cabral"",""ja"":""カブラル"",""it"":""Cabral"",""zh-CN"":""卡布拉尔"",""tr"":""Cabral"",""ru"":""Кабрал"",""uk"":""Кабрал"",""pl"":""Cabral"",""hi"":""कैब्रल"",""ar"":""كابرال""}",2019-10-06T09:45:22,2025-12-02T17:11:50,1,Q1770655
