id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
31479,Alausí,2925,H,64,EC,adm2,,,-2.20329000,-78.84714000,Alausi,14294,America/Guayaquil,"{""br"":""Alausí"",""ko"":""알라우시"",""pt-BR"":""Alausí"",""pt"":""Alausí"",""nl"":""Alausí"",""hr"":""Alausí"",""fa"":""آلاوسی"",""de"":""Alausí"",""es"":""Alausí"",""fr"":""Alausí"",""ja"":""アラウシ"",""it"":""Alausí"",""zh-CN"":""阿劳西"",""tr"":""Alausí"",""ru"":""Алауси"",""uk"":""Алаусі"",""pl"":""Alausí"",""hi"":""अलौसी"",""ar"":""ألاوسي""}",2019-10-06T09:45:27,2025-12-02T14:39:31,1,Q2640072
31480,Alfredo Baquerizo Moreno,2914,G,64,EC,city,,,-1.91667000,-79.51667000,Alfredo Baquerizo Moreno,12617,America/Guayaquil,"{""br"":""Alfredo Baquerizo Moreno"",""ko"":""알프레도 바케리조 모레노"",""pt-BR"":""Alfredo Baquerizo Moreno"",""pt"":""Alfredo Baquerizo Moreno"",""nl"":""Alfredo Baquerizo Moreno"",""hr"":""Alfredo Baquerizo Moreno"",""fa"":""آلفردو باکریزو مورنو"",""de"":""Alfredo Baquerizo Moreno"",""es"":""Alfredo Baquerizo Moreno"",""fr"":""Alfredo Baquerizo Moreno"",""ja"":""アルフレド・バケリソ・モレノ"",""it"":""Alfredo Baquerizo Moreno"",""zh-CN"":""阿尔弗雷多·巴克里索·莫雷诺"",""tr"":""Alfredo Baquerizo Moreno"",""ru"":""Альфредо Бакерисо Морено"",""uk"":""Альфредо Бакерісо Морено"",""pl"":""Alfredo Baquerizo Moreno"",""hi"":""अल्फ्रेडो बाकेरिज़ो मोरेनो"",""ar"":""ألفريدو باكيريزو مورينو""}",2019-10-06T09:45:27,2025-12-02T14:39:31,1,Q4723711
31481,Ambato,2908,T,64,EC,adm1,,,-1.24908000,-78.61675000,Pista,387309,America/Guayaquil,"{""br"":""Ambato"",""ko"":""암바토"",""pt-BR"":""Ambato"",""pt"":""Ambato"",""nl"":""Ambato"",""hr"":""Ambato"",""fa"":""آمباتو"",""de"":""Ambato"",""es"":""Ambato"",""fr"":""Ambato"",""ja"":""アンバト"",""it"":""Ambato"",""zh-CN"":""安巴托"",""tr"":""Ambato"",""ru"":""Амбато"",""uk"":""Амбато"",""pl"":""Ambato"",""hi"":""अम्बाटो"",""ar"":""أمباتو""}",2019-10-06T09:45:27,2025-12-02T14:39:31,1,Q210161
31482,Archidona,2916,N,64,EC,city,,,-0.90950000,-77.80772000,Archidona,7353,America/Guayaquil,"{""br"":""Archidona"",""ko"":""아르키도나"",""pt-BR"":""Archidona"",""pt"":""Archidona"",""nl"":""Archidona"",""hr"":""Arhidona"",""fa"":""آرچیدونا"",""de"":""Archidona"",""es"":""Archidona"",""fr"":""Archidona"",""ja"":""アルキドナ"",""it"":""Archidona"",""zh-CN"":""阿奇多纳"",""tr"":""Archidona"",""ru"":""Арчидона"",""uk"":""Архідона"",""pl"":""Archidona"",""hi"":""आर्किडोना"",""ar"":""أرشيدونا""}",2019-10-06T09:45:27,2025-12-02T14:38:56,1,Q4786593
31483,Atuntaqui,2911,I,64,EC,adm2,,,0.33247000,-78.21371000,Atuntaqui,17456,America/Guayaquil,"{""br"":""Atuntaqui"",""ko"":""아툰타키"",""pt-BR"":""Atuntaqui"",""pt"":""Atuntaqui"",""nl"":""Atuntaqui"",""hr"":""Atuntaqui"",""fa"":""آتونتاکی"",""de"":""Atuntaqui"",""es"":""Atuntaqui"",""fr"":""Atuntaqui"",""ja"":""アトゥンタキ"",""it"":""Atuntaqui"",""zh-CN"":""阿通塔基"",""tr"":""Atuntaqui"",""ru"":""Атунтаки"",""uk"":""Атунтакі"",""pl"":""Atuntaqui"",""hi"":""अटुंटाकी"",""ar"":""أتونتاكي""}",2019-10-06T09:45:27,2025-12-02T14:39:31,1,Q4741622
31484,Azogues,2917,F,64,EC,adm1,,,-2.73969000,-78.84860000,Azogues,35763,America/Guayaquil,"{""br"":""Azoged"",""ko"":""아조그"",""pt-BR"":""Azogues"",""pt"":""Azogues"",""nl"":""Azogues"",""hr"":""Azoguesi"",""fa"":""آزوگ‌ها"",""de"":""Azogues"",""es"":""Azogues"",""fr"":""Azogues"",""ja"":""アゾグエ"",""it"":""Azoghi"",""zh-CN"":""阿佐格斯"",""tr"":""Azogues"",""ru"":""Азоги"",""uk"":""Азоги"",""pl"":""Azogues"",""hi"":""अजोगुएस"",""ar"":""أزوغيس""}",2019-10-06T09:45:27,2025-12-02T14:38:56,1,Q786758
31485,Babahoyo,2910,R,64,EC,adm1,,,-1.80217000,-79.53443000,Babahoyo,76279,America/Guayaquil,"{""br"":""Babahoyo"",""ko"":""바바호요"",""pt-BR"":""Babahoyo"",""pt"":""Babahoyo"",""nl"":""Babahoyo"",""hr"":""Babahoyo"",""fa"":""باباهویو"",""de"":""Babahoyo"",""es"":""Babahoyo"",""fr"":""Babahoyo"",""ja"":""ババホヨ"",""it"":""Babahoyo"",""zh-CN"":""巴巴霍约"",""tr"":""Babahoyo"",""ru"":""Бабахойо"",""uk"":""Бабахойо"",""pl"":""Babahoyo"",""hi"":""बाबाहोयो"",""ar"":""باباهويو""}",2019-10-06T09:45:27,2025-12-02T14:39:31,1,Q797568
31486,Bahía de Caráquez,2913,M,64,EC,adm2,,,-0.59792000,-80.42367000,Bahía de Caráquez,37056,America/Guayaquil,"{""br"":""Bahía de Caráquez"",""ko"":""바이아 데 카라케스"",""pt-BR"":""Baía de Caráquez"",""pt"":""Baía de Caráquez"",""nl"":""Bahía de Caráquez"",""hr"":""Bahía de Caráquez"",""fa"":""باهیا د کاراکز"",""de"":""Bahía de Caráquez"",""es"":""Bahía de Caráquez"",""fr"":""Baie de Caráquez"",""ja"":""カラケス湾"",""it"":""Baia di Caráquez"",""zh-CN"":""卡拉克斯湾"",""tr"":""Bahía de Caráquez"",""ru"":""Баия-де-Каракес"",""uk"":""Баїя-де-Каракес"",""pl"":""Bahía de Caráquez"",""hi"":""बाहिया डे काराक्वेज़"",""ar"":""باهيا دي كاراكِز""}",2019-10-06T09:45:27,2025-12-02T14:39:31,1,Q2749246
31487,Balzar,2914,G,64,EC,adm2,,,-1.36501000,-79.90494000,Salto,40115,America/Guayaquil,"{""br"":""Balzar"",""ko"":""발자르"",""pt-BR"":""Balzar"",""pt"":""Balzar"",""nl"":""Balzar"",""hr"":""Balzar"",""fa"":""بالزار"",""de"":""Balzar"",""es"":""Balzar"",""fr"":""Balzar"",""ja"":""バルザール"",""it"":""Balzar"",""zh-CN"":""巴尔扎尔"",""tr"":""Balzar"",""ru"":""Бальзар"",""uk"":""Бальзар"",""pl"":""Balzar"",""hi"":""बलज़ार"",""ar"":""بلزار""}",2019-10-06T09:45:27,2025-12-02T14:39:31,1,Q4853169
31488,Baláo,2914,G,64,EC,adm2,,,-2.91100000,-79.81441000,Mochila,12205,America/Guayaquil,"{""br"":""Baláo"",""ko"":""발라오"",""pt-BR"":""Balão"",""pt"":""Balão"",""nl"":""Baláo"",""hr"":""Baláo"",""fa"":""بالائو"",""de"":""Baláo"",""es"":""Baláo"",""fr"":""Baláo"",""ja"":""バラオ"",""it"":""Baláo"",""zh-CN"":""巴劳"",""tr"":""Baláo"",""ru"":""Балао"",""uk"":""Балао"",""pl"":""Baláo"",""hi"":""Balao"",""ar"":""بالاو""}",2019-10-06T09:45:27,2025-12-02T14:39:31,1,Q4850064
