id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
31593,Abja-Paluoja,3556,84,69,EE,adm2,,,58.12528000,25.34972000,Abja-Paluoja,1056,Europe/Tallinn,"{""br"":""Abja-Paluoja"",""ko"":""아브자-팔루오자"",""pt-BR"":""Abja-Paluoja"",""pt"":""Abja-Paluoja"",""nl"":""Abja-Paluoja"",""hr"":""Abja-Paluoja"",""fa"":""آبجا-پالوجا"",""de"":""Abja-Paluoja"",""es"":""Abja-Paluoja"",""fr"":""Abja-Paluoja"",""ja"":""アブジャ・パルオジャ"",""it"":""Abja-Paluoja"",""zh-CN"":""阿布贾-帕洛奥贾"",""tr"":""Abja-Paluoja"",""ru"":""Абджа-Палуоджа"",""uk"":""Абджа-Палуоджа"",""pl"":""Abja-Paluoja"",""hi"":""अब्जा-पलुओजा"",""ar"":""أبجا-بالوجا""}",2019-10-06T09:45:28,2025-12-02T14:38:56,1,Q321784
31594,Alatskivi,3557,79,69,EE,adm2,,,58.59806000,27.13361000,Alatskivi,380,Europe/Tallinn,"{""br"":""Alatskivi"",""ko"":""알라츠키비"",""pt-BR"":""Alatskivi"",""pt"":""Alatskivi"",""nl"":""Alatskivi"",""hr"":""Alatskivi"",""fa"":""آلاتسکیوی"",""de"":""Alatskivi"",""es"":""Alatskivi"",""fr"":""Alatskivi"",""ja"":""アラツキヴィ"",""it"":""Alatskivi"",""zh-CN"":""阿拉茨基维"",""tr"":""Alatskivi"",""ru"":""Алатскиви"",""uk"":""Алатсківі"",""pl"":""Alatskivi"",""hi"":""अलात्सकिवी"",""ar"":""ألاتسكيفي""}",2019-10-06T09:45:28,2025-12-02T14:38:56,1,Q122317
31595,Anija vald,3567,37,69,EE,city,,,59.27644000,25.48168000,Anija vald,,Europe/Tallinn,"{""br"":""Anija vald"",""ko"":""아니자 발드"",""pt-BR"":""Anija Vald"",""pt"":""Anija Vald"",""nl"":""Anija vald"",""hr"":""Anija Vald"",""fa"":""آنیا والد"",""de"":""Anija vald"",""es"":""Anija vald"",""fr"":""Anija vald"",""ja"":""アニヤ・ヴァルド"",""it"":""Anija Vald"",""zh-CN"":""阿尼娅·瓦尔德"",""tr"":""Anija vald"",""ru"":""Ания Вальд"",""uk"":""Анія Вальд"",""pl"":""Anija vald"",""hi"":""अनिजा वाल्ड"",""ar"":""أنيجا فالد""}",2019-10-06T09:45:28,2025-12-02T16:59:27,1,Q546693
31596,Antsla,3560,87,69,EE,adm2,,,57.82556000,26.54056000,Antsla,0,Europe/Tallinn,"{""br"":""Antsla"",""ko"":""안츨라"",""pt-BR"":""Antsla"",""pt"":""Antsla"",""nl"":""Mieren"",""hr"":""Antsla"",""fa"":""آنتسلا"",""de"":""Antsla"",""es"":""Antsla"",""fr"":""Antsla"",""ja"":""アンスラ"",""it"":""Antsla"",""zh-CN"":""安茨拉"",""tr"":""Karıncalar"",""ru"":""Антсла"",""uk"":""Антсла"",""pl"":""Antsla"",""hi"":""एंट्सला"",""ar"":""أنتسلا""}",2019-10-06T09:45:28,2025-12-02T14:39:31,1,Q154994
31597,Antsla vald,3560,87,69,EE,city,,,57.77738000,26.59520000,Antsla vald,,Europe/Tallinn,"{""br"":""Antsla vald"",""ko"":""안츨라 발드"",""pt-BR"":""Antsla vald"",""pt"":""Antsla vald"",""nl"":""Antsla vald"",""hr"":""Antsla vald"",""fa"":""آنتسلا والد"",""de"":""Antsla vald"",""es"":""Antsla vald"",""fr"":""Vallée d'Antsla"",""ja"":""アンツラ・ヴァルド"",""it"":""Antsla vald"",""zh-CN"":""安茨拉·瓦尔德"",""tr"":""Antsla vald"",""ru"":""Antsla vald"",""uk"":""Антсла вальд"",""pl"":""Antsla vald"",""hi"":""Antsla vald"",""ar"":""Antsla vald""}",2019-10-06T09:45:28,2025-12-02T16:59:27,1,Q305226
31598,Aruküla,3567,37,69,EE,adm2,,,59.36686000,25.07618000,Aruküla,2198,Europe/Tallinn,"{""br"":""Aruküla"",""ko"":""아루쿨라"",""pt-BR"":""Arukula"",""pt"":""Arukula"",""nl"":""Aruküla"",""hr"":""Aruküla"",""fa"":""آروکولا"",""de"":""Aruküla"",""es"":""Aruküla"",""fr"":""Aruküla"",""ja"":""アルキュラ"",""it"":""Aruküla"",""zh-CN"":""阿鲁库拉"",""tr"":""Aruküla"",""ru"":""Арукюла"",""uk"":""Арукула"",""pl"":""Aruküla"",""hi"":""अरुकुला"",""ar"":""أروكولا""}",2019-10-06T09:45:28,2025-12-02T14:38:56,1,Q617868
31599,Aseri,3564,60,69,EE,city,,,59.45056000,26.86750000,Aseri,1108,Europe/Tallinn,"{""br"":""Aseri"",""ko"":""아세리"",""pt-BR"":""Aseri"",""pt"":""Aseri"",""nl"":""Aseri"",""hr"":""Aseri"",""fa"":""آسری"",""de"":""Aseri"",""es"":""Aseri"",""fr"":""Aseri"",""ja"":""アセリ"",""it"":""Aseri"",""zh-CN"":""阿塞里"",""tr"":""Aseri"",""ru"":""Азери"",""uk"":""Асері"",""pl"":""Aseri"",""hi"":""असेरी"",""ar"":""أسيري""}",2019-10-06T09:45:28,2025-12-02T17:11:50,1,Q724294
31600,Audru,3562,68,69,EE,city,,,58.40861000,24.37389000,Audru,1480,Europe/Tallinn,"{""br"":""Audru"",""ko"":""오드루"",""pt-BR"":""Audru"",""pt"":""Audru"",""nl"":""Audru"",""hr"":""Audru"",""fa"":""آدرو"",""de"":""Audru"",""es"":""Audru"",""fr"":""Audru"",""ja"":""オードル"",""it"":""Audru"",""zh-CN"":""奥德鲁"",""tr"":""Audru"",""ru"":""Аудру"",""uk"":""Одру"",""pl"":""Audru"",""hi"":""ऑड्रू"",""ar"":""أودرو""}",2019-10-06T09:45:28,2025-12-02T14:38:56,1,Q2989844
31601,Elva,3557,79,69,EE,adm2,,,58.22250000,26.42111000,Elva,5692,Europe/Tallinn,"{""br"":""Elva"",""ko"":""엘바"",""pt-BR"":""Elva"",""pt"":""Elva"",""nl"":""Elva"",""hr"":""Elva"",""fa"":""الوا"",""de"":""Elva"",""es"":""Elva"",""fr"":""Elva"",""ja"":""エルヴァ"",""it"":""Elva"",""zh-CN"":""埃尔瓦"",""tr"":""Elva"",""ru"":""Элва"",""uk"":""Елва"",""pl"":""Elva"",""hi"":""एल्वा"",""ar"":""إيلفا""}",2019-10-06T09:45:28,2025-12-02T14:38:56,1,Q213071
31602,Haabneeme,3567,37,69,EE,city,,,59.51358000,24.82225000,Haabneeme,2077,Europe/Tallinn,"{""br"":""Haabneeme"",""ko"":""하브네메"",""pt-BR"":""Haabneeme"",""pt"":""Haabneeme"",""nl"":""Haabneeme"",""hr"":""Haabneeme"",""fa"":""هابنیم"",""de"":""Haabneeme"",""es"":""Haabneeme"",""fr"":""Haabneeme"",""ja"":""ハブニーメ"",""it"":""Haabneeme"",""zh-CN"":""哈布尼姆"",""tr"":""Haabneeme"",""ru"":""Хаабнееме"",""uk"":""Хаабнееме"",""pl"":""Haabneeme"",""hi"":""हाब्नीमे"",""ar"":""هابنيم""}",2019-10-06T09:45:28,2025-12-02T14:39:31,1,Q3125242
31603,Haapsalu,3568,56,69,EE,adm1,,,58.94306000,23.54139000,Haapsalu,13379,Europe/Tallinn,"{""br"":""Haapsalu"",""ko"":""합살루"",""pt-BR"":""Haapsalu"",""pt"":""Haapsalu"",""nl"":""Haapsalu"",""hr"":""Haapsalu"",""fa"":""هاپسالو"",""de"":""Haapsalu"",""es"":""Haapsalu"",""fr"":""Haapsalu"",""ja"":""ハープサル"",""it"":""Haapsalu"",""zh-CN"":""哈普萨卢"",""tr"":""Haapsalu"",""ru"":""Хаапсалу"",""uk"":""Хаапсалу"",""pl"":""Haapsalu"",""hi"":""Haapsalu"",""ar"":""هابسالو""}",2019-10-06T09:45:28,2025-12-02T14:38:56,1,Q191106
