id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
31755,Abnūb,3236,AST,65,EG,city,,,27.26960000,31.15105000,أبنوب,108858,Africa/Cairo,"{""br"":""Abnūb"",""ko"":""아브누브"",""pt-BR"":""Abnūb"",""pt"":""Abnūb"",""nl"":""Abnūb"",""hr"":""Abnūb"",""fa"":""ابنوب"",""de"":""Abnūb"",""es"":""Abnub"",""fr"":""Abnūb"",""ja"":""アブヌーブ"",""it"":""Abnūb"",""zh-CN"":""阿布努布"",""tr"":""Abnûb"",""ru"":""Абнуб"",""uk"":""Абнуб"",""pl"":""Abnūb"",""hi"":""अब्नूब"",""ar"":""أبنوب""}",2019-10-06T09:45:30,2025-12-02T14:38:56,1,Q975904
31756,Abu Simbel,3225,ASN,65,EG,city,,,22.34570000,31.61624000,أبو سمبل,5000,Africa/Cairo,"{""br"":""Abu Simbel"",""ko"":""아부 심벨"",""pt-BR"":""Abu Simbel"",""pt"":""Abu Simbel"",""nl"":""Aboe Simbel"",""hr"":""Abu Simbel"",""fa"":""ابو سیمبل"",""de"":""Abu Simbel"",""es"":""Abu Simbel"",""fr"":""Abou Simbel"",""ja"":""アブ・シンベル"",""it"":""Abu Simbel"",""zh-CN"":""阿布辛贝勒"",""tr"":""Ebu Simbel"",""ru"":""Абу-Симбел"",""uk"":""Абу-Сімбел"",""pl"":""Abu Simbel"",""hi"":""अबू सिंबल"",""ar"":""أبو سمبل""}",2019-10-06T09:45:30,2025-12-02T14:39:31,1,Q6655437
31757,Abū Qurqāş,3243,MN,65,EG,city,,,27.93120000,30.83841000,أبو قرقاص,90266,Africa/Cairo,"{""br"":""Abū Qurqāş"",""ko"":""아부 쿠르카스"",""pt-BR"":""Abū Qurqāş"",""pt"":""Abū Qurqāş"",""nl"":""Abū Qurqāş"",""hr"":""Abu Kurkaš"",""fa"":""ابو قرقاش"",""de"":""Abū Qurqāş"",""es"":""Abu Qurqas"",""fr"":""Abū Qurqāş"",""ja"":""アブー・クルカシュ"",""it"":""Abū Qurqāş"",""zh-CN"":""阿布·库尔卡什"",""tr"":""Ebû Kurkâş"",""ru"":""Абу Куркаш"",""uk"":""Абу Куркаш"",""pl"":""Abū Qurqāş"",""hi"":""अबू क़ुरक़ाश"",""ar"":""أبو قرقاص""}",2019-10-06T09:45:30,2025-12-02T14:39:31,1,Q3646152
31758,Abū Tīj,3236,AST,65,EG,city,,,27.04411000,31.31897000,أبو تيج,105418,Africa/Cairo,"{""br"":""Abū Tīj"",""ko"":""아부 티지"",""pt-BR"":""Abū Tīj"",""pt"":""Abū Tīj"",""nl"":""Abū Tīj"",""hr"":""Abu Tidž"",""fa"":""ابو تیج"",""de"":""Abū Tīj"",""es"":""Abu Tīj"",""fr"":""Abū Tīj"",""ja"":""アブー・ティジ"",""it"":""Abū Tīj"",""zh-CN"":""阿布·提吉"",""tr"":""Ebu Tîj"",""ru"":""Абу Тидж"",""uk"":""Абу Тідж"",""pl"":""Abū Tīj"",""hi"":""अबू तिज"",""ar"":""أبو تيج""}",2019-10-06T09:45:30,2025-12-02T14:39:31,1,Q3502865
31759,Abū al Maţāmīr,3241,BH,65,EG,city,,,30.91018000,30.17438000,أبو المطامير,66946,Africa/Cairo,"{""br"":""Abū al Maţāmīr"",""ko"":""아부 알 마타미르"",""pt-BR"":""Abu al Maţāmīr"",""pt"":""Abu al Maţāmīr"",""nl"":""Abū al Maţāmīr"",""hr"":""Abu al-Maţamir"",""fa"":""ابو المطامیر"",""de"":""Abū al Maţāmīr"",""es"":""Abu al Matamir"",""fr"":""Abū al Maţāmīr"",""ja"":""アブー・アル・マツァミール"",""it"":""Abū al Maţāmīr"",""zh-CN"":""阿布·马塔米尔"",""tr"":""Abū al Maţāmīr"",""ru"":""Abū al Maţāmīr"",""uk"":""Абу аль-Матамір"",""pl"":""Abū al Maţāmīr"",""hi"":""अबू अल मातमीर"",""ar"":""أبو المطامير""}",2019-10-06T09:45:30,2025-12-02T14:39:31,1,Q3502865
31760,Ad Dilinjāt,3241,BH,65,EG,city,,,30.82796000,30.53552000,أد دلنجات,68901,Africa/Cairo,"{""br"":""Ad Dilinjāt"",""ko"":""아드 딜린자트"",""pt-BR"":""Ad Dilinjat"",""pt"":""Ad Dilinjat"",""nl"":""Ad Dilinjāt"",""hr"":""Ad Dilinjāt"",""fa"":""آد دیلینجات"",""de"":""Ad Dilinjāt"",""es"":""Ad Dilinjāt"",""fr"":""Ad Dilinjāt"",""ja"":""Ad Dilinjāt"",""it"":""Ad Dilinjāt"",""zh-CN"":""迪林贾特"",""tr"":""Ad Dilinjāt"",""ru"":""Ad Dilinjāt"",""uk"":""Ад Ділінджат"",""pl"":""Ad Dilinjāt"",""hi"":""अद दिलिनजत"",""ar"":""أد دلنجات""}",2019-10-06T09:45:30,2025-12-02T14:38:56,1,Q23955761
31761,Ain Sukhna,3233,SUZ,65,EG,city,,,29.60018000,32.31671000,العين السخنة,45552,Africa/Cairo,"{""br"":""Ain Sukhna"",""ko"":""아인 수크나"",""pt-BR"":""Ain Sukhna"",""pt"":""Ain Sukhna"",""nl"":""Ain Sukhna"",""hr"":""Ain Sukhna"",""fa"":""عین سخنه"",""de"":""Ain Suchna"",""es"":""Ain Sukhna"",""fr"":""Ain Sukhna"",""ja"":""アイン・スクナ"",""it"":""Ain Sukhna"",""zh-CN"":""艾因苏赫纳"",""tr"":""Ayn Sukhna"",""ru"":""Айн Сукхна"",""uk"":""Айн-Сукхна"",""pl"":""Ain Sukhna"",""hi"":""ऐन सुखना"",""ar"":""العين السخنة""}",2019-10-06T09:45:30,2025-12-02T14:39:31,1,Q23955761
31762,Ajā,3245,DK,65,EG,city,,,30.94162000,31.29039000,أجا,47013,Africa/Cairo,"{""br"":""Ajā"",""ko"":""아자"",""pt-BR"":""Aja"",""pt"":""Aja"",""nl"":""Aja"",""hr"":""Ajā"",""fa"":""آجا"",""de"":""Ajā"",""es"":""Ajā"",""fr"":""Aja"",""ja"":""アジャ"",""it"":""Ajā"",""zh-CN"":""阿贾"",""tr"":""Aja"",""ru"":""Аджа"",""uk"":""Аджа"",""pl"":""Aja"",""hi"":""AJA"",""ar"":""أجا""}",2019-10-06T09:45:30,2025-12-02T14:39:31,1,Q10961074
31763,Akhmīm,3226,SHG,65,EG,city,,,26.56217000,31.74503000,أخميم,151430,Africa/Cairo,"{""br"":""Akhmīm"",""ko"":""아크밈"",""pt-BR"":""Akhmīm"",""pt"":""Akhmīm"",""nl"":""Akhmīm"",""hr"":""Akhmīm"",""fa"":""اخمیم"",""de"":""Achmīm"",""es"":""Akhmīm"",""fr"":""Akhmim"",""ja"":""アフミーム"",""it"":""Akhmīm"",""zh-CN"":""阿赫米姆"",""tr"":""Ahmīm"",""ru"":""Ахмим"",""uk"":""Ахмім"",""pl"":""Achmim"",""hi"":""Akhmim"",""ar"":""أخميم""}",2019-10-06T09:45:30,2025-12-02T14:39:31,1,Q31865526
31764,Al Badārī,3236,AST,65,EG,city,,,26.99257000,31.41554000,البداري,56033,Africa/Cairo,"{""br"":""Al Badārī"",""ko"":""알 바다리"",""pt-BR"":""Al Badārī"",""pt"":""Al Badārī"",""nl"":""Al Badārī"",""hr"":""Al Badārī"",""fa"":""البداری"",""de"":""Al Badārī"",""es"":""Al Badārī"",""fr"":""Al Badari"",""ja"":""アル・バダリー"",""it"":""Al Badārī"",""zh-CN"":""巴达里"",""tr"":""Al Badārī"",""ru"":""Аль-Бадари"",""uk"":""Аль-Бадарі"",""pl"":""Al Badārī"",""hi"":""अल बदारी"",""ar"":""البداري""}",2019-10-06T09:45:30,2025-12-02T14:39:31,1,Q31865526
