id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
31881,Adi Keyh,3427,DU,68,ER,city,,,14.84444000,39.37722000,ዓዲ ኪህ,13061,Africa/Asmara,"{""br"":""Adi Keyh"",""ko"":""아디 키흐"",""pt-BR"":""Adi Keyh"",""pt"":""Adi Keyh"",""nl"":""Adi Keyh"",""hr"":""Adi Keyh"",""fa"":""آدی کیه"",""de"":""Adi Keyh"",""es"":""Adi Keyh"",""fr"":""Adi Keyh"",""ja"":""アディ・ケイ"",""it"":""Adi Keyh"",""zh-CN"":""阿迪·凯赫"",""tr"":""Adi Keyh"",""ru"":""Ади Кейх"",""uk"":""Аді Кей"",""pl"":""Adi Keyh"",""hi"":""आदि कीह"",""ar"":""آدي كيه""}",2019-10-06T09:45:32,2025-12-02T14:38:56,1,Q356811
31882,Ak’ordat,3428,GB,68,ER,city,,,15.54798000,37.88291000,ኣክ'ኦርዳት,8857,Africa/Asmara,"{""br"":""Ak’ordat"",""ko"":""아코르다트"",""pt-BR"":""Ak'ordat"",""pt"":""Ak'ordat"",""nl"":""Ak'ordat"",""hr"":""Akordat"",""fa"":""آکوردات"",""de"":""Ak’ordat"",""es"":""Ak'ordat"",""fr"":""Ak'ordat"",""ja"":""アコルダット"",""it"":""Ak'ordat"",""zh-CN"":""阿克奥尔达特"",""tr"":""Ak'ordat"",""ru"":""Акордат"",""uk"":""Акордат"",""pl"":""Ak’ordat"",""hi"":""अकोर्डत"",""ar"":""أكوردات""}",2019-10-06T09:45:32,2025-12-02T14:39:31,1,Q395433
31883,Asmara,3426,MA,68,ER,capital,,,15.33805000,38.93184000,ኣስማራ,563930,Africa/Asmara,"{""br"":""Asmara"",""ko"":""아스마라"",""pt-BR"":""Asmara"",""pt"":""Asmara"",""nl"":""Asmara"",""hr"":""Asmara"",""fa"":""اسمره"",""de"":""Asmara"",""es"":""Asmara"",""fr"":""Asmara"",""ja"":""アスマラ"",""it"":""Asmara"",""zh-CN"":""阿斯马拉"",""tr"":""Asmara"",""ru"":""Асмэра"",""uk"":""Асмара"",""pl"":""Asmara"",""hi"":""अस्मारा"",""ar"":""أسمرة""}",2019-10-06T09:45:32,2025-12-02T14:39:31,1,Q3642
31884,Assab,3429,DK,68,ER,adm1,,,13.00917000,42.73944000,ኣሳብ,21300,Africa/Asmara,"{""br"":""Assab"",""ko"":""아사브"",""pt-BR"":""Assab"",""pt"":""Assab"",""nl"":""Assab"",""hr"":""Assab"",""fa"":""عصب"",""de"":""Assab"",""es"":""Assab"",""fr"":""Assab"",""ja"":""アッサブ"",""it"":""Assab"",""zh-CN"":""阿萨布"",""tr"":""Assab"",""ru"":""Асэб"",""uk"":""Ассаб"",""pl"":""Assab"",""hi"":""असाब"",""ar"":""عصب""}",2019-10-06T09:45:32,2025-12-02T14:39:31,1,Q738496
31885,Barentu,3428,GB,68,ER,adm1,,,15.10582000,37.59067000,ባረንቱ,15891,Africa/Asmara,"{""br"":""Barentu"",""ko"":""바렌투"",""pt-BR"":""Barentu"",""pt"":""Barentu"",""nl"":""Barentu"",""hr"":""Barentu"",""fa"":""بارنتو"",""de"":""Barentu"",""es"":""Barentu"",""fr"":""Barentu"",""ja"":""バレンツ"",""it"":""Barentu"",""zh-CN"":""巴伦图"",""tr"":""Barentu"",""ru"":""Баренту"",""uk"":""Баренту"",""pl"":""Barentu"",""hi"":""बारेंटू"",""ar"":""بارنتو""}",2019-10-06T09:45:32,2025-12-02T14:39:31,1,Q808100
31886,Dek’emhāre,3427,DU,68,ER,city,,,15.07000000,39.04750000,ደክ’እምሃረ,10959,Africa/Asmara,"{""br"":""Dek’emhāre"",""ko"":""데켐하레"",""pt-BR"":""Dek'emhāre"",""pt"":""Dek'emhāre"",""nl"":""Dek'emhāre"",""hr"":""Dek'emhāre"",""fa"":""دِکمهر"",""de"":""Dek’emhāre"",""es"":""Dek’emhāre"",""fr"":""Dek’emhāre"",""ja"":""デケムハーレ"",""it"":""Dek’emhāre"",""zh-CN"":""德克姆哈雷"",""tr"":""Dek’emhāre"",""ru"":""Дэкэмхаре"",""uk"":""Дек'емхаре"",""pl"":""Dek’emhāre"",""hi"":""डेक’एम्हारे"",""ar"":""ديك إمهار""}",2019-10-06T09:45:32,2025-12-02T14:39:31,1,Q1020477
31887,Edd,3429,DK,68,ER,city,,,13.93088000,41.69380000,ኤድ,11259,Africa/Asmara,"{""br"":""Edd"",""ko"":""에드"",""pt-BR"":""Edd"",""pt"":""Edd"",""nl"":""Edd"",""hr"":""Edd"",""fa"":""اد"",""de"":""Edd"",""es"":""Edd"",""fr"":""Edd"",""ja"":""エド"",""it"":""Edd"",""zh-CN"":""艾德"",""tr"":""Edd"",""ru"":""Эдд"",""uk"":""Едд"",""pl"":""Edd"",""hi"":""एड"",""ar"":""إد""}",2019-10-06T09:45:32,2025-12-02T14:38:56,1,Q523618
31888,Keren,3425,AN,68,ER,adm1,,,15.77792000,38.45107000,ኬረን,74800,Africa/Asmara,"{""br"":""Keren"",""ko"":""케렌"",""pt-BR"":""Keren"",""pt"":""Keren"",""nl"":""Keren"",""hr"":""Keren"",""fa"":""کرن"",""de"":""Keren"",""es"":""Keren"",""fr"":""Keren"",""ja"":""ケレン"",""it"":""Keren"",""zh-CN"":""可人"",""tr"":""Keren"",""ru"":""Керен"",""uk"":""Керен"",""pl"":""Keren"",""hi"":""केरेन"",""ar"":""كيرين""}",2019-10-06T09:45:32,2025-12-02T14:38:56,1,Q534409
31889,Massawa,3424,SK,68,ER,adm1,,,15.60811000,39.47455000,ማሳዋ,23100,Africa/Asmara,"{""br"":""Massawa"",""ko"":""마사와"",""pt-BR"":""Massawa"",""pt"":""Massawa"",""nl"":""Massawa"",""hr"":""Massawa"",""fa"":""ماساوا"",""de"":""Massawa"",""es"":""Massawa"",""fr"":""Massaoua"",""ja"":""マッサワ"",""it"":""Massaua"",""zh-CN"":""马萨瓦"",""tr"":""Massawa"",""ru"":""Массауа"",""uk"":""Массава"",""pl"":""Massawa"",""hi"":""मसावा"",""ar"":""مصوع""}",2019-10-06T09:45:32,2025-12-02T14:39:31,1,Q275635
31890,Mendefera,3427,DU,68,ER,adm1,,,14.88722000,38.81528000,ትሑዝ,17781,Africa/Asmara,"{""br"":""Mendefera"",""ko"":""멘데페라"",""pt-BR"":""Mendefera"",""pt"":""Mendefera"",""nl"":""Mendefera"",""hr"":""Mendefera"",""fa"":""مندفرا"",""de"":""Mendefera"",""es"":""Mendefera"",""fr"":""Mendefera"",""ja"":""メンデフェラ"",""it"":""Mendefera"",""zh-CN"":""门德费拉"",""tr"":""Mendefera"",""ru"":""Мендефера"",""uk"":""Мендефера"",""pl"":""Mendefera"",""hi"":""मेंडेफेरा"",""ar"":""مندفيرا""}",2019-10-06T09:45:32,2025-12-02T14:39:31,1,Q1019356
31891,Teseney,3428,GB,68,ER,section,,,15.11000000,36.65750000,ተሰኒ,3753,Africa/Asmara,"{""br"":""Teseney"",""ko"":""테세니"",""pt-BR"":""Teseney"",""pt"":""Teseney"",""nl"":""Teseney"",""hr"":""Teseney"",""fa"":""تسنی"",""de"":""Teseney"",""es"":""Teseney"",""fr"":""Teseney"",""ja"":""テセニー"",""it"":""Teseney"",""zh-CN"":""特塞内"",""tr"":""Teseney"",""ru"":""Тэсэнэй"",""uk"":""Тесені"",""pl"":""Teseney"",""hi"":""टेसेनी"",""ar"":""تيسيني""}",2019-10-06T09:45:32,2025-12-02T14:38:56,1,Q1797764
