id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
31898,Ababuj,5111,TE,207,ES,city,,,40.54908000,-0.80758000,Ababuj,74,Europe/Madrid,"{""br"":""Ababuj"",""ko"":""아바부즈"",""pt-BR"":""Ababuj"",""pt"":""Ababuj"",""nl"":""Ababuj"",""hr"":""Ababuj"",""fa"":""آبابوج"",""de"":""Ababuj"",""es"":""Ababuj"",""fr"":""Ababuj"",""ja"":""アバブジ"",""it"":""Ababuj"",""zh-CN"":""阿巴布杰"",""tr"":""Ababuj"",""ru"":""Абабудж"",""uk"":""Абабудж"",""pl"":""Ababuj"",""hi"":""अबाबुज"",""ar"":""أبابوج""}",2019-10-06T09:45:32,2025-12-02T14:38:56,1,Q1607619
31899,Abades,1192,SG,207,ES,city,,,40.91646000,-4.26937000,Abades,859,Europe/Madrid,"{""br"":""Abades"",""ko"":""아바데스"",""pt-BR"":""Abades"",""pt"":""Abades"",""nl"":""Abades"",""hr"":""Abades"",""fa"":""آبادس"",""de"":""Abades"",""es"":""Abades"",""fr"":""Abades"",""ja"":""アバデス"",""it"":""Abades"",""zh-CN"":""阿巴德斯"",""tr"":""Abades"",""ru"":""Абадес"",""uk"":""Абадес"",""pl"":""Abades"",""hi"":""अबादेस"",""ar"":""أباديس""}",2019-10-06T09:45:32,2025-12-02T14:38:56,1,Q1607619
31900,Abadía,1190,CC,207,ES,city,,,40.25922000,-5.97828000,Abadía,331,Europe/Madrid,"{""br"":""Abadía"",""ko"":""아바디아"",""pt-BR"":""Abadia"",""pt"":""Abadia"",""nl"":""Abadia"",""hr"":""Abadía"",""fa"":""آبادیا"",""de"":""Abada"",""es"":""Abadía"",""fr"":""Abbaye"",""ja"":""アバディア"",""it"":""Abadía"",""zh-CN"":""阿巴迪亚"",""tr"":""Abadía"",""ru"":""Абадия"",""uk"":""Абадія"",""pl"":""Abadía"",""hi"":""अबादिया"",""ar"":""عبادة""}",2019-10-06T09:45:32,2025-12-02T14:38:56,1,Q1607619
31901,Abadín,5090,LU,207,ES,city,,,43.36667000,-7.48333000,Abadín,3193,Europe/Madrid,"{""br"":""Abadín"",""ko"":""아바딘"",""pt-BR"":""Abadín"",""pt"":""Abadín"",""nl"":""Abadin"",""hr"":""Abadín"",""fa"":""آبادین"",""de"":""Abadín"",""es"":""Abadín"",""fr"":""Abadín"",""ja"":""アバディン"",""it"":""Abadín"",""zh-CN"":""阿巴丁"",""tr"":""Abadín"",""ru"":""Абадин"",""uk"":""Абадін"",""pl"":""Abadín"",""hi"":""अबादीन"",""ar"":""أبادين""}",2019-10-06T09:45:32,2025-12-02T14:39:31,1,Q304757
31902,Abajas,1146,BU,207,ES,city,,,42.62310000,-3.58086000,Abajas,37,Europe/Madrid,"{""br"":""Abajas"",""ko"":""아바하스"",""pt-BR"":""Abajas"",""pt"":""Abajas"",""nl"":""Abajas"",""hr"":""Abaje"",""fa"":""آباخاس"",""de"":""Abajas"",""es"":""Abajas"",""fr"":""Abajas"",""ja"":""アバハス"",""it"":""Abbassamenti"",""zh-CN"":""阿巴哈斯"",""tr"":""Abajalar"",""ru"":""Абахас"",""uk"":""Абахас"",""pl"":""Abajas"",""hi"":""अबाजस"",""ar"":""أباجا""}",2019-10-06T09:45:32,2025-12-02T14:39:31,1,Q304757
31903,Abanilla,1176,MU,207,ES,city,,,38.20537000,-1.04153000,Abanilla,6206,Europe/Madrid,"{""br"":""Abanilla"",""ko"":""아바닐라"",""pt-BR"":""Abanilla"",""pt"":""Abanilla"",""nl"":""Abanilla"",""hr"":""Abanilla"",""fa"":""آبانیلا"",""de"":""Abanilla"",""es"":""Abanilla"",""fr"":""Abanilla"",""ja"":""アバニラ"",""it"":""Abanilla"",""zh-CN"":""阿巴尼拉"",""tr"":""Abanilla"",""ru"":""Абанилья"",""uk"":""Абанілья"",""pl"":""Abanilla"",""hi"":""अबनिल्ला"",""ar"":""أبانيا""}",2019-10-06T09:45:32,2025-12-02T14:38:56,1,Q1635711
31904,Abanto,5113,Z,207,ES,city,,,41.13751000,-1.69818000,Abanchar,152,Europe/Madrid,"{""br"":""Dilezel"",""ko"":""아반토"",""pt-BR"":""Abanto"",""pt"":""Abanto"",""nl"":""Abanto"",""hr"":""Abanto"",""fa"":""آبانتو"",""de"":""Abanto"",""es"":""Abanto"",""fr"":""Abanto"",""ja"":""アバント"",""it"":""Abanto"",""zh-CN"":""阿班托"",""tr"":""Abanto"",""ru"":""Абанто"",""uk"":""Абанто"",""pl"":""Abanto"",""hi"":""अबांटो"",""ar"":""أبانتو""}",2019-10-06T09:45:32,2025-12-02T14:39:31,1,Q24019768
31905,Abarán,1176,MU,207,ES,city,,,38.20551000,-1.39907000,Abarán,13000,Europe/Madrid,"{""br"":""Abarán"",""ko"":""아바란"",""pt-BR"":""Abaran"",""pt"":""Abaran"",""nl"":""Abarán"",""hr"":""Abarán"",""fa"":""آباران"",""de"":""Abarán"",""es"":""Abarán"",""fr"":""Abarán"",""ja"":""アバラン"",""it"":""Abarán"",""zh-CN"":""阿瓦兰"",""tr"":""Abaran"",""ru"":""Абаран"",""uk"":""Абаран"",""pl"":""Abarán"",""hi"":""अबरान"",""ar"":""أباران""}",2019-10-06T09:45:32,2025-12-02T14:38:56,1,Q305593
31906,Abegondo,5089,C,207,ES,city,,,43.21667000,-8.28333000,Abegondo,5578,Europe/Madrid,"{""br"":""Abegondo"",""ko"":""아베곤도"",""pt-BR"":""Abegondo"",""pt"":""Abegondo"",""nl"":""Abegondo"",""hr"":""Abegondo"",""fa"":""آبگوندو"",""de"":""Abegondo"",""es"":""Abegondo"",""fr"":""Abegondo"",""ja"":""アベゴンド"",""it"":""Abegondo"",""zh-CN"":""阿贝贡多"",""tr"":""Abegondo"",""ru"":""Абегондо"",""uk"":""Абегондо"",""pl"":""Abegondo"",""hi"":""अबेगोंडो"",""ar"":""أبيغوندو""}",2019-10-06T09:45:32,2025-12-02T14:38:56,1,Q305593
31907,Abejar,1208,SO,207,ES,city,,,41.80755000,-2.78407000,Abojar,386,Europe/Madrid,"{""br"":""Abejar"",""ko"":""아베하르"",""pt-BR"":""Abejar"",""pt"":""Abejar"",""nl"":""Abejar"",""hr"":""Abejar"",""fa"":""آبجار"",""de"":""Abejar"",""es"":""Abejar"",""fr"":""Abejar"",""ja"":""アベハル"",""it"":""Abejar"",""zh-CN"":""阿贝贾尔"",""tr"":""Abejar"",""ru"":""Абехар"",""uk"":""Абехар"",""pl"":""Abejar"",""hi"":""अबेजर"",""ar"":""أبيجار""}",2019-10-06T09:45:32,2025-12-02T14:38:56,1,Q31910020
31909,Abenójar,5105,CR,207,ES,city,,,38.88032000,-4.35702000,Abeno,1683,Europe/Madrid,"{""br"":""Abenójar"",""ko"":""아베노하르"",""pt-BR"":""Abenójar"",""pt"":""Abenójar"",""nl"":""Abenójar"",""hr"":""Abenójar"",""fa"":""آبنوجار"",""de"":""Abenójar"",""es"":""Abenójar"",""fr"":""Abenójar"",""ja"":""アベノハル"",""it"":""Abenójar"",""zh-CN"":""阿贝诺哈尔"",""tr"":""Abenójar"",""ru"":""Абенохар"",""uk"":""Абенохар"",""pl"":""Abenójar"",""hi"":""अबेनोजार"",""ar"":""أبينوجار""}",2019-10-06T09:45:32,2025-12-02T14:39:31,1,Q24011834
31910,Abertura,1190,CC,207,ES,city,,,39.24352000,-5.81394000,Apertura,509,Europe/Madrid,"{""br"":""Abertura"",""ko"":""아베르투라"",""pt-BR"":""Abertura"",""pt"":""Abertura"",""nl"":""Abertura"",""hr"":""Abertura"",""fa"":""آبرتورا"",""de"":""Abertura"",""es"":""Abertura"",""fr"":""Ouverture"",""ja"":""アベルトゥラ"",""it"":""Abertura"",""zh-CN"":""开放"",""tr"":""Açık"",""ru"":""Абертура"",""uk"":""Абертура"",""pl"":""Abertura"",""hi"":""अबेर्तुरा"",""ar"":""ابرتورا""}",2019-10-06T09:45:32,2025-12-02T14:39:31,1,Q1626839
31911,Abezames,1161,ZA,207,ES,city,,,41.62642000,-5.42577000,Abelamas,94,Europe/Madrid,"{""br"":""Abezames"",""ko"":""아베자메스"",""pt-BR"":""Abezames"",""pt"":""Abezames"",""nl"":""Abezames"",""hr"":""Abezames"",""fa"":""آبزامس"",""de"":""Abezames"",""es"":""Abezames"",""fr"":""Abezames"",""ja"":""アベザメス"",""it"":""Abezames"",""zh-CN"":""阿贝扎梅斯"",""tr"":""Abezames"",""ru"":""Абезамес"",""uk"":""Абезамес"",""pl"":""Abezames"",""hi"":""अबेज़ेम्स"",""ar"":""أبيزاميس""}",2019-10-06T09:45:32,2025-12-02T14:39:31,1,Q1626839
