id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
38585,Abomsa,3,AM,70,ET,city,,,9.98333000,39.98333000,አቤቱታ,30400,Africa/Addis_Ababa,"{""br"":""Abomsa"",""ko"":""아봄사"",""pt-BR"":""Abomsa"",""pt"":""Abomsa"",""nl"":""Abomsa"",""hr"":""Abomsa"",""fa"":""ابومسا"",""de"":""Abomsa"",""es"":""Abomsa"",""fr"":""Abomsa"",""ja"":""アボンサ"",""it"":""Abomsa"",""zh-CN"":""阿博姆萨"",""tr"":""Abomsa"",""ru"":""Абомса"",""uk"":""Абомса"",""pl"":""Abomsa"",""hi"":""अबोमसा"",""ar"":""أبومسا""}",2019-10-06T09:46:25,2025-12-02T14:39:31,1,Q329984
38586,Addiet Canna,3,AM,70,ET,city,,,11.26667000,37.48333000,ካና,43200,Africa/Addis_Ababa,"{""br"":""Addiet Canna"",""ko"":""애디엣 칸나"",""pt-BR"":""Addiet Canna"",""pt"":""Addiet Canna"",""nl"":""Addiet Canna"",""hr"":""Addiet Canna"",""fa"":""آدیت کانا"",""de"":""Addiet Canna"",""es"":""Addiet Canna"",""fr"":""Additif Canna"",""ja"":""アディエット・カンナ"",""it"":""Addiet Canna"",""zh-CN"":""上瘾的美人蕉"",""tr"":""Addiet Canna"",""ru"":""Аддиет Канна"",""uk"":""Аддієт Канна"",""pl"":""Addiet Canna"",""hi"":""अडिएट कैना"",""ar"":""أدييت كانا""}",2019-10-06T09:46:25,2025-12-02T14:39:31,1,Q2824323
38587,Addis Ababa,11,AA,70,ET,capital,,,9.02497000,38.74689000,አዲስ አበባ,3860000,Africa/Addis_Ababa,"{""br"":""Addis Abeba"",""ko"":""아디스 아바바"",""pt-BR"":""Adis Abeba"",""pt"":""Adis Abeba"",""nl"":""Addis Abeba"",""hr"":""Adis Abeba"",""fa"":""آدیس آبابا"",""de"":""Addis Abeba"",""es"":""Adís Abeba"",""fr"":""Addis-Abeba"",""ja"":""アディスアベバ"",""it"":""Addis Abeba"",""zh-CN"":""亚的斯亚贝巴"",""tr"":""Addis Ababa"",""ru"":""Аддис-Абеба"",""uk"":""Аддис-Абеба"",""pl"":""Addis Abeba"",""hi"":""अदीस अबाबा"",""ar"":""أديس أبابا""}",2019-10-06T09:46:25,2025-12-02T14:39:31,1,Q3624
38588,Administrative Zone 1,10,GA,70,ET,city,,,8.14699000,33.97335000,አስተዳደራዊ ዞን 1,,Africa/Addis_Ababa,"{""br"":""Takad melestradurel 1"",""ko"":""행정구역 1"",""pt-BR"":""Zona Administrativa 1"",""pt"":""Zona Administrativa 1"",""nl"":""Administratieve Zone 1"",""hr"":""Administrativna zona 1"",""fa"":""منطقه اداری ۱"",""de"":""Verwaltungszone 1"",""es"":""Zona administrativa 1"",""fr"":""Zone administrative 1"",""ja"":""行政区1"",""it"":""Zona amministrativa 1"",""zh-CN"":""行政区1"",""tr"":""İdari Bölge 1"",""ru"":""Административная зона 1"",""uk"":""Адміністративна зона 1"",""pl"":""Strefa administracyjna 1"",""hi"":""प्रशासनिक क्षेत्र 1"",""ar"":""المنطقة الإدارية 1""}",2019-10-06T09:46:25,2025-12-02T16:59:27,1,Q3575755
38589,Administrative Zone 2,6,AF,70,ET,city,,,13.68513000,40.05615000,አስተዳደራዊ ዞን 2,,Africa/Addis_Ababa,"{""br"":""Takad melestradurel 2"",""ko"":""행정구역 2"",""pt-BR"":""Zona Administrativa 2"",""pt"":""Zona Administrativa 2"",""nl"":""Administratieve Zone 2"",""hr"":""Administrativna zona 2"",""fa"":""منطقه اداری ۲"",""de"":""Verwaltungszone 2"",""es"":""Zona administrativa 2"",""fr"":""Zone administrative 2"",""ja"":""行政区2"",""it"":""Zona amministrativa 2"",""zh-CN"":""行政区2"",""tr"":""İdari Bölge 2"",""ru"":""Административная зона 2"",""uk"":""Адміністративна зона 2"",""pl"":""Strefa administracyjna 2"",""hi"":""प्रशासनिक क्षेत्र 2"",""ar"":""المنطقة الإدارية 2""}",2019-10-06T09:46:25,2025-12-02T16:59:27,1,Q3444683
38590,Administrative Zone 3,6,AF,70,ET,city,,,10.00902000,40.47394000,አስተዳደራዊ ዞን 3,,Africa/Addis_Ababa,"{""br"":""Takad melestradurel 3"",""ko"":""행정구역 3"",""pt-BR"":""Zona Administrativa 3"",""pt"":""Zona Administrativa 3"",""nl"":""Administratieve Zone 3"",""hr"":""Administrativna zona 3"",""fa"":""منطقه اداری ۳"",""de"":""Verwaltungszone 3"",""es"":""Zona administrativa 3"",""fr"":""Zone administrative 3"",""ja"":""行政区3"",""it"":""Zona amministrativa 3"",""zh-CN"":""行政区3"",""tr"":""İdari Bölge 3"",""ru"":""Административная зона 3"",""uk"":""Адміністративна зона 3"",""pl"":""Strefa administracyjna 3"",""hi"":""प्रशासनिक क्षेत्र 3"",""ar"":""المنطقة الإدارية 3""}",2019-10-06T09:46:25,2025-12-02T16:59:27,1,Q3444674
38591,Afder Zone,2,SO,70,ET,city,,,5.25000000,43.00000000,Arder ዞን,570629,Africa/Addis_Ababa,"{""br"":""Rannvro Afder"",""ko"":""아프더 존"",""pt-BR"":""Zona Afder"",""pt"":""Zona Afder"",""nl"":""Na de zone"",""hr"":""Afderska zona"",""fa"":""منطقه افدر"",""de"":""Afder Zone"",""es"":""Zona posterior"",""fr"":""Zone Afder"",""ja"":""アフダーゾーン"",""it"":""Zona Afder"",""zh-CN"":""阿夫德区"",""tr"":""After Bölgesi"",""ru"":""Зона Афдер"",""uk"":""Зона Афдер"",""pl"":""Strefa Afder"",""hi"":""अफ्दर ज़ोन"",""ar"":""منطقة أفدر""}",2019-10-06T09:46:25,2025-12-02T16:59:27,1,Q382135
38592,Alaba Special Wereda,1,SN,70,ET,city,,,7.45347000,38.21189000,አላባ ልዩ ወረዳ,,Africa/Addis_Ababa,"{""br"":""Alaba Special Wereda"",""ko"":""알라바 스페셜 웨레다"",""pt-BR"":""Alaba Especial Wereda"",""pt"":""Alaba Especial Wereda"",""nl"":""Alaba Special Wereda"",""hr"":""Alaba Special Wereda"",""fa"":""آلابا ویریدای ویژه"",""de"":""Alaba Spezial Wereda"",""es"":""Alaba Special Wereda"",""fr"":""Wereda spécial d'Alaba"",""ja"":""アラバスペシャルウェレダ"",""it"":""Alaba Special Wereda"",""zh-CN"":""阿拉巴特别韦雷达"",""tr"":""Alaba Özel Wereda"",""ru"":""Alaba Special Wereda"",""uk"":""Алаба Спеціальна Вереда"",""pl"":""Alaba Special Wereda"",""hi"":""अलाबा स्पेशल वेरेडा"",""ar"":""ألابا سبيشال ويريدا""}",2019-10-06T09:46:25,2025-12-02T16:59:27,1,Q2829448
38593,Arba Minch,1,SN,70,ET,city,,,6.03333000,37.55000000,አርባምንጭ,201000,Africa/Addis_Ababa,"{""br"":""Arba Minch"",""ko"":""아르바 민치"",""pt-BR"":""Arba Minch"",""pt"":""Arba Minch"",""nl"":""Arba Minch"",""hr"":""Arba Minch"",""fa"":""آربا مینچ"",""de"":""Arba Minch"",""es"":""Arba Minch"",""fr"":""Arba Minch"",""ja"":""アルバ・ミンチ"",""it"":""Arba Minch"",""zh-CN"":""阿尔巴·明奇"",""tr"":""Arba Minch"",""ru"":""Арба Мынч"",""uk"":""Арба Мінч"",""pl"":""Arba Minch"",""hi"":""अरबा मिंच"",""ar"":""أربا مينش""}",2019-10-06T09:46:25,2025-12-02T14:39:31,1,Q626861
38594,Arsi Zone,5,OR,70,ET,city,,,7.50000000,39.50000000,Arsi ዞን,2637000,Africa/Addis_Ababa,"{""br"":""Rannvro Arsi"",""ko"":""아르시 존"",""pt-BR"":""Zona Arsi"",""pt"":""Zona Arsi"",""nl"":""Arsi-zone"",""hr"":""Arsi zona"",""fa"":""منطقه آرسی"",""de"":""Arsi-Zone"",""es"":""Zona Arsi"",""fr"":""Zone Arsi"",""ja"":""アルシゾーン"",""it"":""Zona Arsi"",""zh-CN"":""阿尔西区"",""tr"":""Arsi Bölgesi"",""ru"":""Зона Арси"",""uk"":""Зона Арсі"",""pl"":""Strefa Arsi"",""hi"":""अर्सी ज़ोन"",""ar"":""منطقة أرسي""}",2019-10-06T09:46:25,2025-12-02T17:11:50,1,Q646859
