id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
38730,Alahärmä,1498,03,74,FI,adm3,,,63.23333000,22.85000000,Alahärmä,4915,Europe/Helsinki,"{""br"":""Alahärmä"",""ko"":""알라하르마"",""pt-BR"":""Alahärmä"",""pt"":""Alahärmä"",""nl"":""Alahärmä"",""hr"":""Alahärmä"",""fa"":""آلارمه"",""de"":""Alahärmä"",""es"":""Alahärmä"",""fr"":""Alahärmä"",""ja"":""アラハルマ"",""it"":""Alahärmä"",""zh-CN"":""阿拉哈尔迈"",""tr"":""Alahärmä"",""ru"":""Алахярмя"",""uk"":""Алахарма"",""pl"":""Alahärmä"",""hi"":""अलाहरमा"",""ar"":""اللهما""}",2019-10-06T09:47:37,2025-12-02T17:11:50,1,Q575090
38731,Alajärvi,1498,03,74,FI,adm3,,,63.00000000,23.81667000,Alajärvi,8793,Europe/Helsinki,"{""br"":""Alajärvi"",""ko"":""알라자르비"",""pt-BR"":""Alajärvi"",""pt"":""Alajärvi"",""nl"":""Alajärvi"",""hr"":""Alajärvi"",""fa"":""آلایروی"",""de"":""Alajärvi"",""es"":""Alajärvi"",""fr"":""Alajärvi"",""ja"":""アラヤルヴィ"",""it"":""Alajärvi"",""zh-CN"":""阿拉亚尔维"",""tr"":""Alajärvi"",""ru"":""Алаярви"",""uk"":""Алаярві"",""pl"":""Alajärvi"",""hi"":""अलाजर्वी"",""ar"":""ألاجارفي""}",2019-10-06T09:47:37,2025-12-02T14:38:56,1,Q5980
38732,Alastaro,1507,19,74,FI,adm3,,,60.95000000,22.85000000,Alastaro,0,Europe/Helsinki,"{""br"":""Alastaro"",""ko"":""알라스타로"",""pt-BR"":""Alastaro"",""pt"":""Alastaro"",""nl"":""Alastaro"",""hr"":""Alastaro"",""fa"":""آلاستارو"",""de"":""Alastaro"",""es"":""Alastaro"",""fr"":""Alastaro"",""ja"":""アラスタロ"",""it"":""Alastaro"",""zh-CN"":""阿拉斯塔罗"",""tr"":""Alastaro"",""ru"":""Аластаро"",""uk"":""Аластаро"",""pl"":""Alastaro"",""hi"":""अलास्टारो"",""ar"":""ألاستارو""}",2019-10-06T09:47:37,2025-12-02T14:39:31,1,Q206601
38733,Alavieska,1505,14,74,FI,adm3,,,64.16667000,24.30000000,Alavieska,2437,Europe/Helsinki,"{""br"":""Alavieska"",""ko"":""알라비에스카"",""pt-BR"":""Alavieska"",""pt"":""Alavieska"",""nl"":""Alavieska"",""hr"":""Alavieska"",""fa"":""آلویسکا"",""de"":""Alavieska"",""es"":""Alavieska"",""fr"":""Alavieska"",""ja"":""アラヴィエスカ"",""it"":""Alavieska"",""zh-CN"":""阿拉维斯卡"",""tr"":""Alavieska"",""ru"":""Алавиеска"",""uk"":""Алав'єска"",""pl"":""Alavieska"",""hi"":""अलाविस्का"",""ar"":""ألافيسكا""}",2019-10-06T09:47:37,2025-12-02T14:38:56,1,Q996252
38734,Alavus,1498,03,74,FI,adm3,,,62.58333000,23.61667000,Alavus,10933,Europe/Helsinki,"{""br"":""Alavus"",""ko"":""알라부스"",""pt-BR"":""Álavo"",""pt"":""Álavo"",""nl"":""Alavus"",""hr"":""Alavus"",""fa"":""آلاوس"",""de"":""Alavus"",""es"":""Alavus"",""fr"":""Alavus"",""ja"":""アラヴス"",""it"":""Alavus"",""zh-CN"":""阿拉武斯"",""tr"":""Alavus"",""ru"":""Алавус"",""uk"":""Алавус"",""pl"":""Alavus"",""hi"":""अलावुस"",""ar"":""ألافوس""}",2019-10-06T09:47:37,2025-12-02T14:38:56,1,Q5981
38735,Anjala,1512,09,74,FI,section,,,60.68333000,26.83333000,Anjala,16779,Europe/Helsinki,"{""br"":""Anjala"",""ko"":""안잘라"",""pt-BR"":""Anjala"",""pt"":""Anjala"",""nl"":""Anjala"",""hr"":""Anjala"",""fa"":""آنجلا"",""de"":""Anjala"",""es"":""Anjala"",""fr"":""Anjala"",""ja"":""アンジャラ"",""it"":""Anjala"",""zh-CN"":""安贾拉"",""tr"":""Anjala"",""ru"":""Анджала"",""uk"":""Анджала"",""pl"":""Anjala"",""hi"":""अंजला"",""ar"":""أنجالا""}",2019-10-06T09:47:37,2025-12-02T14:38:56,1,Q4765722
38736,Artjärvi,1502,16,74,FI,adm3,,,60.74544000,26.07084000,Artjärvi,1536,Europe/Helsinki,"{""br"":""Artjärvi"",""ko"":""아르티아르비"",""pt-BR"":""Artjärvi"",""pt"":""Artjärvi"",""nl"":""Artjärvi"",""hr"":""Artjärvi"",""fa"":""آرتیروی"",""de"":""Artjärvi"",""es"":""Artjärvi"",""fr"":""Artjärvi"",""ja"":""アルトヤルヴィ"",""it"":""Artjärvi"",""zh-CN"":""阿尔特耶尔维"",""tr"":""Artjärvi"",""ru"":""Артъярви"",""uk"":""Арт'ярві"",""pl"":""Artjärvi"",""hi"":""आर्टजार्वी"",""ar"":""أرتيارفي""}",2019-10-06T09:47:37,2025-12-02T14:38:56,1,Q713559
38737,Asikkala,1502,16,74,FI,adm3,,,61.21667000,25.50000000,Asikkala,7968,Europe/Helsinki,"{""br"":""Asikkala"",""ko"":""아시칼라"",""pt-BR"":""Asikkala"",""pt"":""Asikkala"",""nl"":""Asikkala"",""hr"":""Asikkala"",""fa"":""آسیک‌قلعه"",""de"":""Asikkala"",""es"":""Asikkala"",""fr"":""Asikkala"",""ja"":""アシッカラ"",""it"":""Asikkala"",""zh-CN"":""阿西卡拉"",""tr"":""Aşıkkala"",""ru"":""Асиккала"",""uk"":""Асіккала"",""pl"":""Asikkala"",""hi"":""असिक्कला"",""ar"":""أسيكالا""}",2019-10-06T09:47:37,2025-12-02T14:38:56,1,Q713559
38738,Askainen,1507,19,74,FI,adm3,,,60.56667000,21.86667000,Askainen,959,Europe/Helsinki,"{""br"":""Askainen"",""ko"":""아스카이넨"",""pt-BR"":""Askainen"",""pt"":""Askainen"",""nl"":""Askainen"",""hr"":""Askainen"",""fa"":""آسکاینن"",""de"":""Askainen"",""es"":""Askainen"",""fr"":""Askainen"",""ja"":""アスカイネン"",""it"":""Askainen"",""zh-CN"":""阿斯凯宁"",""tr"":""Askainen"",""ru"":""Аскайнен"",""uk"":""Аскайнен"",""pl"":""Askainen"",""hi"":""अस्कैनेन"",""ar"":""أسكاينن""}",2019-10-06T09:47:37,2025-12-02T14:38:56,1,Q730954
38739,Askola,1510,18,74,FI,adm3,,,60.53333000,25.60000000,Askola,4700,Europe/Helsinki,"{""br"":""Askola"",""ko"":""아스콜라"",""pt-BR"":""Askola"",""pt"":""Askola"",""nl"":""Askola"",""hr"":""Askola"",""fa"":""آسکولا"",""de"":""Askola"",""es"":""Askola"",""fr"":""Askola"",""ja"":""アスコラ"",""it"":""Askola"",""zh-CN"":""阿斯科拉"",""tr"":""Askola"",""ru"":""Аскола"",""uk"":""Аскола"",""pl"":""Askola"",""hi"":""अस्कोला"",""ar"":""أسكولا""}",2019-10-06T09:47:37,2025-12-02T14:38:56,1,Q730954
