id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
39153,Colonia,2582,YAP,143,FM,adm1,,,9.51638000,138.12167000,Colonia,7371,Pacific/Chuuk,"{""br"":""Trevadenn"",""ko"":""콜로니아"",""pt-BR"":""Colônia"",""pt"":""Colônia"",""nl"":""Colonia"",""hr"":""Kolonija"",""fa"":""کولونیا"",""de"":""Colonia"",""es"":""Colonia"",""fr"":""Colonia"",""ja"":""コロニア"",""it"":""Colonia"",""zh-CN"":""科洛尼亚"",""tr"":""Koloni"",""ru"":""Колония"",""uk"":""Колонія"",""pl"":""Kolonia"",""hi"":""कोलोनिया"",""ar"":""كولونيا""}",2019-10-06T09:47:39,2025-12-02T14:38:56,1,Q631152
39154,Dalipebinaw,2582,YAP,143,FM,municipality,,,9.52229000,138.08540000,Dalipebinaw Municipality,645,Pacific/Chuuk,"{""br"":""Kumuniezh Dalipebinaw"",""ko"":""달리페비나우 지방 자치 단체"",""pt-BR"":""Município de Dalipebinaw"",""pt"":""Município de Dalipebinaw"",""nl"":""Gemeente Dalipebinaw"",""hr"":""Općina Dalipebinaw"",""fa"":""شهرداری دالیپبیناو"",""de"":""Gemeinde Dalipebinaw"",""es"":""Municipio de Dalipebinaw"",""fr"":""Municipalité de Dalipebinaw"",""ja"":""ダリペビナウ市"",""it"":""Comune di Dalipebinaw"",""zh-CN"":""达利佩比诺市"",""tr"":""Dalipebinaw Belediyesi"",""ru"":""Муниципалитет Далипебинау"",""uk"":""Муніципалітет Даліпебінау"",""pl"":""Gmina Dalipebinaw"",""hi"":""दलीपेबिनाव नगर पालिका"",""ar"":""بلدية داليبيناو""}",2019-10-06T09:47:39,2025-12-02T17:04:02,1,Q631152
39155,Eot,2580,TRK,143,FM,municipality,,,7.38540000,151.73920000,Eot Municipality,382,Pacific/Chuuk,"{""br"":""Kumun Eot"",""ko"":""Eot 지자체"",""pt-BR"":""Município de Eot"",""pt"":""Município de Eot"",""nl"":""Gemeente Eot"",""hr"":""Općina Eot"",""fa"":""شهرداری ایوت"",""de"":""Gemeinde Eot"",""es"":""Municipio de Eot"",""fr"":""Municipalité d'Eot"",""ja"":""エオット市"",""it"":""Comune di Eot"",""zh-CN"":""埃奥特市"",""tr"":""Eot Belediyesi"",""ru"":""Муниципалитет Эот"",""uk"":""Муніципалітет Іот"",""pl"":""Gmina Eot"",""hi"":""ईओटी नगर पालिका"",""ar"":""بلدية إيوت""}",2019-10-06T09:47:39,2025-12-02T17:04:02,1,Q631152
39156,Ettal,2580,TRK,143,FM,municipality,,,5.59200000,153.56000000,Ettal Municipality,267,Pacific/Chuuk,"{""br"":""Kumuniezh Ettal"",""ko"":""에탈 시정촌"",""pt-BR"":""Município de Ettal"",""pt"":""Município de Ettal"",""nl"":""Gemeente Ettal"",""hr"":""Općina Ettal"",""fa"":""شهرداری اتال"",""de"":""Gemeinde Ettal"",""es"":""Municipio de Ettal"",""fr"":""Municipalité d'Ettal"",""ja"":""エタール市"",""it"":""Comune di Ettal"",""zh-CN"":""埃塔尔市"",""tr"":""Ettal Belediyesi"",""ru"":""Муниципалитет Этталь"",""uk"":""Муніципалітет Етталь"",""pl"":""Gmina Ettal"",""hi"":""एटल नगर पालिका"",""ar"":""بلدية إيتال""}",2019-10-06T09:47:39,2025-12-02T17:30:09,1,Q631152
39157,Fais,2582,YAP,143,FM,adm2,,,9.76600000,140.52000000,Do,215,Pacific/Chuuk,"{""br"":""Fais"",""ko"":""파이스"",""pt-BR"":""Fais"",""pt"":""Fais"",""nl"":""Fais"",""hr"":""Fais"",""fa"":""فایس"",""de"":""Fais"",""es"":""Feria"",""fr"":""Fais"",""ja"":""ファイス"",""it"":""Fais"",""zh-CN"":""费斯"",""tr"":""Fais"",""ru"":""Файс"",""uk"":""Фаїс"",""pl"":""Fais"",""hi"":""फ़ैस"",""ar"":""فايس""}",2019-10-06T09:47:39,2025-12-02T14:38:56,1,Q631152
39158,Fais Municipality,2582,YAP,143,FM,municipality,,,9.76600000,140.51900000,Fais Municipality,215,Pacific/Chuuk,"{""br"":""Kumuniezh-kumunioù Fais"",""ko"":""파이스 지방 자치 단체"",""pt-BR"":""Município de Fais"",""pt"":""Município de Fais"",""nl"":""Gemeente Fais"",""hr"":""Općina Fais"",""fa"":""شهرداری فایس"",""de"":""Gemeinde Fais"",""es"":""Municipio de Fais"",""fr"":""Municipalité de Fais"",""ja"":""ファイス市"",""it"":""Comune di Fais"",""zh-CN"":""费斯市"",""tr"":""Fais Belediyesi"",""ru"":""Муниципалитет Фаис"",""uk"":""Муніципалітет Фаїс"",""pl"":""Gmina Fais"",""hi"":""फ़ैस नगर पालिका"",""ar"":""بلدية فايس""}",2019-10-06T09:47:39,2025-12-02T17:30:38,1,Q631152
39159,Fananu,2580,TRK,143,FM,municipality,,,8.55811000,151.90822000,Fananu Municipality,0,Pacific/Chuuk,"{""br"":""Kumuniezh-kumunioù Fananu"",""ko"":""파나누 지방 자치 단체"",""pt-BR"":""Município de Fananu"",""pt"":""Município de Fananu"",""nl"":""Gemeente Fananu"",""hr"":""Općina Fananu"",""fa"":""شهرداری فانانو"",""de"":""Gemeinde Fananu"",""es"":""Municipio de Fananu"",""fr"":""Municipalité de Fananu"",""ja"":""ファナヌ市"",""it"":""Comune di Fananu"",""zh-CN"":""法纳努市"",""tr"":""Fananu Belediyesi"",""ru"":""Муниципалитет Фанану"",""uk"":""Муніципалітет Фанану"",""pl"":""Gmina Fananu"",""hi"":""फनानु नगर पालिका"",""ar"":""بلدية فنانو""}",2019-10-06T09:47:39,2025-12-02T17:30:09,1,Q631152
39160,Fanapanges,2580,TRK,143,FM,municipality,,,7.35300000,151.66760000,Fanapanges Municipality,681,Pacific/Chuuk,"{""br"":""Kumuniezh Fanapanges"",""ko"":""파나팡게스 지방 자치 단체"",""pt-BR"":""Município de Fanapanges"",""pt"":""Município de Fanapanges"",""nl"":""Gemeente Fanapanges"",""hr"":""Općina Fanapanges"",""fa"":""شهرداری فاناپانگس"",""de"":""Gemeinde Fanapanges"",""es"":""Municipio de Fanapanges"",""fr"":""Commune de Fanapanges"",""ja"":""ファナパンゲス市"",""it"":""Comune di Fanapanges"",""zh-CN"":""法纳潘吉斯市"",""tr"":""Fanapanges Belediyesi"",""ru"":""Муниципалитет Фанапангес"",""uk"":""Муніципалітет Фанапангес"",""pl"":""Gmina Fanapanges"",""hi"":""फनापांगेस नगर पालिका"",""ar"":""بلدية فانابانجيس""}",2019-10-06T09:47:39,2025-12-02T17:04:02,1,Q631152
39161,Fanif,2582,YAP,143,FM,municipality,,,9.56056000,138.11333000,Fanif Municipality,7371,Pacific/Chuuk,"{""br"":""Kumuniezh-kumunioù Fanif"",""ko"":""파니프 지방 자치 단체"",""pt-BR"":""Município de Fanif"",""pt"":""Município de Fanif"",""nl"":""Gemeente Fanif"",""hr"":""Općina Fanif"",""fa"":""شهرداری فانیف"",""de"":""Gemeinde Fanif"",""es"":""Municipio de Fanif"",""fr"":""Municipalité de Fanif"",""ja"":""ファニフ市"",""it"":""Comune di Fanif"",""zh-CN"":""法尼夫市"",""tr"":""Fanif Belediyesi"",""ru"":""Муниципалитет Фаниф"",""uk"":""Муніципалітет Фаніф"",""pl"":""Gmina Fanif"",""hi"":""फनिफ नगर पालिका"",""ar"":""بلدية فنيف""}",2019-10-06T09:47:39,2025-12-02T17:30:09,1,Q631152
39162,Faraulep,2582,YAP,143,FM,municipality,,,8.58800000,144.50650000,Faraulep Municipality,0,Pacific/Chuuk,"{""br"":""Kumuniezh-kumunioù Faraulep"",""ko"":""파라우레프 시정촌"",""pt-BR"":""Município de Faraulep"",""pt"":""Município de Faraulep"",""nl"":""Gemeente Faraulep"",""hr"":""Općina Faraulep"",""fa"":""شهرداری فاراولپ"",""de"":""Gemeinde Faraulep"",""es"":""Municipio de Faraulep"",""fr"":""Municipalité de Faraulep"",""ja"":""ファラウレップ市"",""it"":""Comune di Faraulep"",""zh-CN"":""法劳莱普市"",""tr"":""Faraulep Belediyesi"",""ru"":""Муниципалитет Фараулеп"",""uk"":""Муніципалітет Фараулеп"",""pl"":""Gmina Faraulep"",""hi"":""फ़राउलेप नगर पालिका"",""ar"":""بلدية فاراليب""}",2019-10-06T09:47:39,2025-12-02T17:30:09,1,Q631152
