id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
153745,Tórshavn,5232,ST,72,FO,city,,,62.00000000,-7.00000000,Tórshavn,,Atlantic/Faroe,"{""br"":""Tórshavn"",""ko"":""토르스하운"",""pt-BR"":""Tórshavn"",""pt"":""Tórshavn"",""nl"":""Tórshavn"",""hr"":""Tórshavn"",""fa"":""تورشاون"",""de"":""Tórshavn"",""es"":""Tórshavn"",""fr"":""Tórshavn"",""ja"":""トースハウン"",""it"":""Tórshavn"",""zh-CN"":""托尔斯港"",""tr"":""Torshavn"",""ru"":""Торсхавн"",""uk"":""Торсгавн"",""pl"":""Tórshavn"",""hi"":""तोर्शावन"",""ar"":""تورشافن""}",2024-07-07T23:02:29,2025-12-02T16:59:27,1,Q10704
153746,Klaksvík,5230,NO,72,FO,adm1,,,62.22100000,-6.58000000,Klaksvík,,Atlantic/Faroe,"{""br"":""Klaksvík"",""ko"":""클락스비크"",""pt-BR"":""Klaksvík"",""pt"":""Klaksvík"",""nl"":""Klaksvík"",""hr"":""Klaksvík"",""fa"":""کلاکسویک"",""de"":""Klaksvík"",""es"":""Klaksvík"",""fr"":""Klaksvík"",""ja"":""クラクスヴィーク"",""it"":""Klaksvík"",""zh-CN"":""克拉克斯维克"",""tr"":""Klaksvík"",""ru"":""Клаксвик"",""uk"":""Клаксвік"",""pl"":""Klaksvík"",""hi"":""क्लाक्सविक"",""ar"":""كلاكسفيك""}",2024-07-07T23:02:29,2025-12-02T17:11:50,1,Q189361
153747,Runavík,5229,EY,72,FO,city,,,62.13230000,-6.78900000,Runavík,,Atlantic/Faroe,"{""br"":""Runavík"",""ko"":""루나비크"",""pt-BR"":""Runavík"",""pt"":""Runavík"",""nl"":""Runavík"",""hr"":""Runavík"",""fa"":""روناویک"",""de"":""Runavík"",""es"":""Runavík"",""fr"":""Runavík"",""ja"":""ルナヴィーク"",""it"":""Runavík"",""zh-CN"":""鲁纳维克"",""tr"":""Runavik"",""ru"":""Рунавик"",""uk"":""Рунавік"",""pl"":""Runavík"",""hi"":""रुनाविक"",""ar"":""رونافيك""}",2024-07-07T23:02:29,2025-12-02T17:11:50,1,Q754664
153748,Eystur,5229,EY,72,FO,city,,,62.15670000,-6.82330000,Eystur,,Atlantic/Faroe,"{""br"":""Eystur"",""ko"":""아이스터"",""pt-BR"":""Eystur"",""pt"":""Eystur"",""nl"":""Eystur"",""hr"":""Eystur"",""fa"":""ایستور"",""de"":""Eystur"",""es"":""Eystur"",""fr"":""Eystur"",""ja"":""エイスター"",""it"":""Eystur"",""zh-CN"":""伊斯图尔"",""tr"":""Eystur"",""ru"":""Эйстур"",""uk"":""Ейстур"",""pl"":""Eystur"",""hi"":""ईस्टुर"",""ar"":""إيستور""}",2024-07-07T23:02:29,2025-12-02T16:59:27,1,Q548193
153749,Vágar,5234,VA,72,FO,adm2,,,62.06670000,-7.10000000,Vágar,,Atlantic/Faroe,"{""br"":""Vágar"",""ko"":""바가르"",""pt-BR"":""Vágar"",""pt"":""Vágar"",""nl"":""Vágar"",""hr"":""Vágar"",""fa"":""وگار"",""de"":""Vágar"",""es"":""Vágar"",""fr"":""Vágar"",""ja"":""ヴァーガル"",""it"":""Vágar"",""zh-CN"":""沃格岛"",""tr"":""Vágar"",""ru"":""Вагар"",""uk"":""Вагар"",""pl"":""Vágar"",""hi"":""Vagar"",""ar"":""فاجار""}",2024-07-07T23:02:29,2025-12-02T17:11:50,1,Q207675
153750,Sunda,5232,ST,72,FO,city,,,62.13450000,-7.09870000,Sunda,,Atlantic/Faroe,"{""br"":""Sunda"",""ko"":""순다"",""pt-BR"":""Sunda"",""pt"":""Sunda"",""nl"":""Sunda"",""hr"":""Sunda"",""fa"":""سوندا"",""de"":""Sunda"",""es"":""Sunda"",""fr"":""Sunda"",""ja"":""スンダ"",""it"":""Domenica"",""zh-CN"":""巽他"",""tr"":""Pazar"",""ru"":""Сунда"",""uk"":""Сунда"",""pl"":""Niedziela"",""hi"":""सुंडा"",""ar"":""سوندا""}",2024-07-07T23:02:29,2025-12-02T16:59:27,1,Q1723899
153751,Tvøroyri,5233,SU,72,FO,city,,,61.56230000,-6.77800000,Tvøroyri,,Atlantic/Faroe,"{""br"":""Tvøroyri"",""ko"":""트뵈로이리"",""pt-BR"":""Tvøroyri"",""pt"":""Tvøroyri"",""nl"":""Tvøroyri"",""hr"":""Tvøroyri"",""fa"":""تورویری"",""de"":""Tvøroyri"",""es"":""Tvøroyri"",""fr"":""Tvøroyri"",""ja"":""トゥヴォロイリ"",""it"":""Tvøroyri"",""zh-CN"":""特沃罗于里"",""tr"":""Tvøroyri"",""ru"":""Твёройри"",""uk"":""Творойрі"",""pl"":""Tvøroyri"",""hi"":""त्वोरोयरी"",""ar"":""تفوروري""}",2024-07-07T23:02:29,2025-12-02T17:11:50,1,Q754666
153752,Fuglafjørður,5229,EY,72,FO,adm1,,,62.21010000,-6.81230000,Fuglafjørður,,Atlantic/Faroe,"{""br"":""Fuglafjørður"",""ko"":""푸글라피외르두르"",""pt-BR"":""Fuglafjørður"",""pt"":""Fuglafjørður"",""nl"":""Fuglafjørður"",""hr"":""Fuglafjørður"",""fa"":""فوگلافجوردور"",""de"":""Fuglafjørður"",""es"":""Fuglafjørður"",""fr"":""Fuglafjørður"",""ja"":""フグラフィヨルズル"",""it"":""Fuglafjørður"",""zh-CN"":""富格拉峡湾"",""tr"":""Fuglafjørður"",""ru"":""Fuglafjørður"",""uk"":""Фуглафйордюр"",""pl"":""Fuglafjørður"",""hi"":""फुग्लाफ्योर्डुर"",""ar"":""فوغلافجوردور""}",2024-07-07T23:02:29,2025-12-02T17:11:50,1,Q731990
153753,Vágur,5233,SU,72,FO,adm1,,,61.47890000,-6.81010000,Vágur,862,Atlantic/Faroe,"{""br"":""Vágur"",""ko"":""바구르"",""pt-BR"":""Vágur"",""pt"":""Vágur"",""nl"":""Vágur"",""hr"":""Vágur"",""fa"":""وگور"",""de"":""Vágur"",""es"":""Vágur"",""fr"":""Vágur"",""ja"":""ヴァーグル"",""it"":""Vágur"",""zh-CN"":""沃格"",""tr"":""Vágur"",""ru"":""Вагур"",""uk"":""Вагур"",""pl"":""Vágur"",""hi"":""वागुर"",""ar"":""فاجور""}",2024-07-07T23:02:29,2025-12-02T14:39:31,1,Q754670
153754,Nes,5229,EY,72,FO,city,,,62.09870000,-6.76540000,Nes,,Atlantic/Faroe,"{""br"":""Nes"",""ko"":""네스"",""pt-BR"":""Nes"",""pt"":""Nes"",""nl"":""Nes"",""hr"":""Nes"",""fa"":""نیس"",""de"":""Nes"",""es"":""Nes"",""fr"":""Nes"",""ja"":""ネス"",""it"":""Nes"",""zh-CN"":""内斯"",""tr"":""Nes"",""ru"":""Нес"",""uk"":""Нес"",""pl"":""Nes"",""hi"":""एनईएस"",""ar"":""نيس""}",2024-07-07T23:02:29,2025-12-02T17:11:50,1,Q295184
