id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
48129,Bitam,2723,9,79,GA,city,,,2.07597000,11.50065000,Bita,27923,Africa/Libreville,"{""br"":""Bitam"",""ko"":""비탐"",""pt-BR"":""Bitam"",""pt"":""Bitam"",""nl"":""Bitam"",""hr"":""Bitam"",""fa"":""بیتام"",""de"":""Bitam"",""es"":""Bitam"",""fr"":""Bitam"",""ja"":""ビタム"",""it"":""Bitam"",""zh-CN"":""比塔姆"",""tr"":""Bitam"",""ru"":""Битам"",""uk"":""Бітам"",""pl"":""Bitam"",""hi"":""बिटम"",""ar"":""بيتام""}",2019-10-06T09:49:14,2025-12-02T14:38:56,1,Q1023124
48130,Booué,2724,6,79,GA,city,,,-0.09207000,11.93846000,Huer,6040,Africa/Libreville,"{""br"":""Booué"",""ko"":""부에"",""pt-BR"":""Booué"",""pt"":""Booué"",""nl"":""Booué"",""hr"":""Booué"",""fa"":""بوئه"",""de"":""Booué"",""es"":""Booué"",""fr"":""Booué"",""ja"":""ブエ"",""it"":""Booué"",""zh-CN"":""布埃"",""tr"":""Buué"",""ru"":""Буэ"",""uk"":""Буе"",""pl"":""Booué"",""hi"":""बूए"",""ar"":""بووي""}",2019-10-06T09:49:14,2025-12-02T14:38:56,1,Q1052014
48131,Cocobeach,2727,1,79,GA,city,,,1.00019000,9.58229000,Coco-robe,3114,Africa/Libreville,"{""br"":""Cocobeach"",""ko"":""코코비치"",""pt-BR"":""Cocobeach"",""pt"":""Cocobeach"",""nl"":""Cocobeach"",""hr"":""Cocobeach"",""fa"":""کوکوبیچ"",""de"":""Cocobeach"",""es"":""Coco Beach"",""fr"":""Cocobeach"",""ja"":""ココビーチ"",""it"":""Cocobeach"",""zh-CN"":""可可海滩"",""tr"":""Hindistan cevizi plajı"",""ru"":""Кокобич"",""uk"":""Кокобіч"",""pl"":""Cocobeach"",""hi"":""कोकोबीच"",""ar"":""كوكو بيتش""}",2019-10-06T09:49:14,2025-12-02T14:38:56,1,Q491801
48132,Fougamou,2731,4,79,GA,city,,,-1.21544000,10.58378000,Fougamou,8629,Africa/Libreville,"{""br"":""Fougamou"",""ko"":""푸가무"",""pt-BR"":""Fougamou"",""pt"":""Fougamou"",""nl"":""Fougamou"",""hr"":""Fougamou"",""fa"":""فوگامو"",""de"":""Fougamou"",""es"":""Fougamou"",""fr"":""Fougamou"",""ja"":""フーガモウ"",""it"":""Fougamou"",""zh-CN"":""富加穆"",""tr"":""Fougamu"",""ru"":""Фугаму"",""uk"":""Фугаму"",""pl"":""Fougamou"",""hi"":""फौगामौ"",""ar"":""فوجامو""}",2019-10-06T09:49:14,2025-12-02T14:38:56,1,Q1106169
48133,Franceville,2726,2,79,GA,adm1,,,-1.63333000,13.58357000,Franceville,110568,Africa/Libreville,"{""br"":""Franceville"",""ko"":""프랑스빌"",""pt-BR"":""Françaville"",""pt"":""Françaville"",""nl"":""Frankrijkstad"",""hr"":""Franceville"",""fa"":""فرانسویل"",""de"":""Franceville"",""es"":""Franceville"",""fr"":""Franceville"",""ja"":""フランスヴィル"",""it"":""Franceville"",""zh-CN"":""弗朗斯维尔"",""tr"":""Franceville"",""ru"":""Франсвиль"",""uk"":""Франсвіль"",""pl"":""Franceville"",""hi"":""फ्रांसविले"",""ar"":""فرانسفيل""}",2019-10-06T09:49:14,2025-12-02T14:38:56,1,Q459369
48134,Gamba,2728,8,79,GA,city,,,-2.65000000,10.00000000,Gamba,10454,Africa/Libreville,"{""br"":""Gamba"",""ko"":""감바"",""pt-BR"":""Gamba"",""pt"":""Gamba"",""nl"":""Gamba"",""hr"":""Gamba"",""fa"":""گامبا"",""de"":""Gamba"",""es"":""Gamba"",""fr"":""Gamba"",""ja"":""ガンバ"",""it"":""Gamba"",""zh-CN"":""甘巴"",""tr"":""Gamba"",""ru"":""Гамба"",""uk"":""Гамба"",""pl"":""Gamba"",""hi"":""गैम्बा"",""ar"":""جامبا""}",2019-10-06T09:49:14,2025-12-02T14:38:56,1,Q1492877
48135,Koulamoutou,2729,7,79,GA,adm1,,,-1.13667000,12.46399000,Koulamoutou,25651,Africa/Libreville,"{""br"":""Koulamoutou"",""ko"":""쿨라무투"",""pt-BR"":""Koulamoutou"",""pt"":""Koulamoutou"",""nl"":""Koulamoutou"",""hr"":""Koulamoutou"",""fa"":""کولاموتو"",""de"":""Koulamoutou"",""es"":""Koulamoutou"",""fr"":""Koulamoutou"",""ja"":""クラムトゥ"",""it"":""Koulamoutou"",""zh-CN"":""库拉穆图"",""tr"":""Koulamoutou"",""ru"":""Куламуту"",""uk"":""Куламуту"",""pl"":""Koulamoutou"",""hi"":""कौलामौतौ"",""ar"":""كولاموطو""}",2019-10-06T09:49:14,2025-12-02T14:38:56,1,Q985614
48136,Lambaréné,2730,3,79,GA,adm1,,,-0.70010000,10.24055000,Lambaréné,38775,Africa/Libreville,"{""br"":""Lambaréné"",""ko"":""랑바레네"",""pt-BR"":""Lambaréné"",""pt"":""Lambaréné"",""nl"":""Lambaréné"",""hr"":""Lambaréné"",""fa"":""لامبارن"",""de"":""Lambaréné"",""es"":""Lambaréné"",""fr"":""Lambaréné"",""ja"":""ランバレネ"",""it"":""Lambaréné"",""zh-CN"":""兰巴雷内"",""tr"":""Lambaréné"",""ru"":""Ламбарене"",""uk"":""Ламбарене"",""pl"":""Lambaréné"",""hi"":""लैम्बारेने"",""ar"":""لامباريني""}",2019-10-06T09:49:14,2025-12-02T14:38:56,1,Q874197
48137,Lastoursville,2729,7,79,GA,city,,,-0.81742000,12.70818000,Lastoursville,14411,Africa/Libreville,"{""br"":""Lastoursville"",""ko"":""라스토르스빌"",""pt-BR"":""Lastoursville"",""pt"":""Lastoursville"",""nl"":""Lastoursville"",""hr"":""Lastoursville"",""fa"":""لاستورسویل"",""de"":""Lastoursville"",""es"":""Lastoursville"",""fr"":""Lastoursville"",""ja"":""ラストールズヴィル"",""it"":""Lastoursville"",""zh-CN"":""拉斯图尔斯维尔"",""tr"":""Lastoursville"",""ru"":""Ластурсвилль"",""uk"":""Ластурсвілл"",""pl"":""Lastoursville"",""hi"":""लास्टौर्सविले"",""ar"":""لاستورسفيل""}",2019-10-06T09:49:14,2025-12-02T14:38:56,1,Q1818610
48138,Libreville,2727,1,79,GA,capital,,,0.39241000,9.45356000,Libreville,899000,Africa/Libreville,"{""br"":""Libreville"",""ko"":""리브르빌"",""pt-BR"":""Libreville"",""pt"":""Libreville"",""nl"":""Libreville"",""hr"":""Libreville"",""fa"":""لیبرویل"",""de"":""Libreville"",""es"":""Libreville"",""fr"":""Libreville"",""ja"":""リーブルヴィル"",""it"":""Libreville"",""zh-CN"":""利伯维尔"",""tr"":""Libreville"",""ru"":""Либревиль"",""uk"":""Лібревіль"",""pl"":""Libreville"",""hi"":""लिब्रेविल"",""ar"":""ليبرفيل""}",2019-10-06T09:49:14,2025-12-02T14:38:56,1,Q3825
