id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
52035,Abasha,908,SZ,81,GE,adm2,,,42.20492840,42.20333210,ახალგაზრდობა,4396,Asia/Tbilisi,"{""br"":""Abasha"",""ko"":""아바샤"",""pt-BR"":""Abasha"",""pt"":""Abasha"",""nl"":""Abasja"",""hr"":""Abaša"",""fa"":""آباشا"",""de"":""Abasha"",""es"":""Abasha"",""fr"":""Abacha"",""ja"":""アバシャ"",""it"":""Abasha"",""zh-CN"":""阿巴沙"",""tr"":""Abasha"",""ru"":""Абаша"",""uk"":""Абаша"",""pl"":""Abasza"",""hi"":""अबशा"",""ar"":""أباشا""}",2019-10-06T09:53:20,2025-12-02T14:38:56,1,Q2513666
52036,Adigeni,906,SJ,81,GE,adm2,,,41.68191000,42.69867000,ადიგენი,1015,Asia/Tbilisi,"{""br"":""Adigeni"",""ko"":""아디게니"",""pt-BR"":""Adigeni"",""pt"":""Adigeni"",""nl"":""Adigeni"",""hr"":""Adigeni"",""fa"":""آدیگنی"",""de"":""Adigeni"",""es"":""Adigeni"",""fr"":""Adigeni"",""ja"":""アディゲニ"",""it"":""Adigeni"",""zh-CN"":""阿迪杰尼"",""tr"":""Adigeni"",""ru"":""Адигени"",""uk"":""Адігені"",""pl"":""Adigeni"",""hi"":""अडिगेनी"",""ar"":""أديجيني""}",2019-10-06T09:53:20,2025-12-02T17:11:50,1,Q2513666
52037,Adigeni Municipality,906,SJ,81,GE,municipality,,,41.71667000,42.73333000,ადიგენის მუნიციპალიტეტი,16305,Asia/Tbilisi,"{""br"":""Kumuniezh-kumunioù Adigeni"",""ko"":""아디게니 지방 자치 단체"",""pt-BR"":""Município de Adigeni"",""pt"":""Município de Adigeni"",""nl"":""Gemeente Adigeni"",""hr"":""Općina Adigeni"",""fa"":""شهرداری آدیگنی"",""de"":""Gemeinde Adigeni"",""es"":""Municipio de Adigeni"",""fr"":""Municipalité d'Adigeni"",""ja"":""アディジェニ市"",""it"":""Comune di Adigeni"",""zh-CN"":""阿迪杰尼市"",""tr"":""Adigeni Belediyesi"",""ru"":""Муниципалитет Адигени"",""uk"":""Муніципалітет Адігені"",""pl"":""Gmina Adigeni"",""hi"":""अडिगेनी नगर पालिका"",""ar"":""بلدية أديجيني""}",2019-10-06T09:53:20,2025-12-02T17:30:38,1,Q2382197
52038,Agara,903,SK,81,GE,city,,,42.03761000,43.82382000,სიზარმაცე,2886,Asia/Tbilisi,"{""br"":""Agara"",""ko"":""아가라"",""pt-BR"":""Ágara"",""pt"":""Ágara"",""nl"":""Agara"",""hr"":""Agara"",""fa"":""آگارا"",""de"":""Agara"",""es"":""Agara"",""fr"":""Agara"",""ja"":""アガラ"",""it"":""Agara"",""zh-CN"":""阿加拉"",""tr"":""Agara"",""ru"":""Агара"",""uk"":""Агара"",""pl"":""Agara"",""hi"":""अगरा"",""ar"":""أغارا""}",2019-10-06T09:53:20,2025-12-02T14:38:56,1,Q2382197
52039,Akhaldaba,906,SJ,81,GE,city,,,41.92945000,43.48762000,დამალვა,1777,Asia/Tbilisi,"{""br"":""Akhaldaba"",""ko"":""아칼다바"",""pt-BR"":""Akhaldaba"",""pt"":""Akhaldaba"",""nl"":""Akhaldaba"",""hr"":""Akhaldaba"",""fa"":""آخالدابا"",""de"":""Achaldaba"",""es"":""Akhaldaba"",""fr"":""Akhaldaba"",""ja"":""アハルダバ"",""it"":""Akhaldaba"",""zh-CN"":""阿哈尔达巴"",""tr"":""Ahaldaba"",""ru"":""Ахалдаба"",""uk"":""Ахалдаба"",""pl"":""Achaldabah"",""hi"":""अखलदाबा"",""ar"":""أخالدابا""}",2019-10-06T09:53:20,2025-12-02T14:38:56,1,Q31845177
52040,Akhaldaba,900,AJ,81,GE,city,,,41.65395000,42.15163000,დამალვა,3640,Asia/Tbilisi,"{""br"":""Akhaldaba"",""ko"":""아칼다바"",""pt-BR"":""Akhaldaba"",""pt"":""Akhaldaba"",""nl"":""Akhaldaba"",""hr"":""Akhaldaba"",""fa"":""آخالدابا"",""de"":""Achaldaba"",""es"":""Akhaldaba"",""fr"":""Akhaldaba"",""ja"":""アハルダバ"",""it"":""Akhaldaba"",""zh-CN"":""阿哈尔达巴"",""tr"":""Ahaldaba"",""ru"":""Ахалдаба"",""uk"":""Ахалдаба"",""pl"":""Achaldabah"",""hi"":""अखलदाबा"",""ar"":""أخالدابا""}",2019-10-06T09:53:20,2025-12-02T14:39:31,1,Q31845177
52041,Akhalgori,902,MM,81,GE,adm2,,,42.12597000,44.48333000,ახალგორი,1420,Asia/Tbilisi,"{""br"":""Akhalgori"",""ko"":""아칼고리"",""pt-BR"":""Akhalgori"",""pt"":""Akhalgori"",""nl"":""Akhalgori"",""hr"":""Akhalgori"",""fa"":""آخالگوری"",""de"":""Achalgori"",""es"":""Akhalgori"",""fr"":""Akhalgori"",""ja"":""アハルゴリ"",""it"":""Akhalgori"",""zh-CN"":""阿哈尔戈里"",""tr"":""Ahalgori"",""ru"":""Ахалгори"",""uk"":""Ахалгорі"",""pl"":""Achałgori"",""hi"":""अखलगोरी"",""ar"":""أخالجوري""}",2019-10-06T09:53:20,2025-12-02T14:39:31,1,Q1010939
52042,Akhalk’alak’i,906,SJ,81,GE,adm2,,,41.40514000,43.48629000,Akhalk'alak'i,7437,Asia/Tbilisi,"{""br"":""Akhalk’alak’i"",""ko"":""아할칼라키"",""pt-BR"":""Akhalk'alak'i"",""pt"":""Akhalk'alak'i"",""nl"":""Achalk'alak'i"",""hr"":""Ahalkalaki"",""fa"":""آخالک‌آلکی"",""de"":""Akhalk’alak’i"",""es"":""Akhalk’alak’i"",""fr"":""Akhalk’alak’i"",""ja"":""アハルカラキ語"",""it"":""Akhalk’alak’i"",""zh-CN"":""阿哈尔卡拉基"",""tr"":""Akhalk'alak'i"",""ru"":""Ахалк’алаки"",""uk"":""Ахалк'алак'і"",""pl"":""Achalk’alak’i"",""hi"":""अखलक’अलकी"",""ar"":""أخالكالاكي""}",2019-10-06T09:53:20,2025-12-02T14:39:31,1,Q500888
52043,Akhaltsikhe,906,SJ,81,GE,adm1,,,41.63901000,42.98262000,სიმაღლეები,16955,Asia/Tbilisi,"{""br"":""Akhaltsikhe"",""ko"":""아할치케"",""pt-BR"":""Akhaltsikhe"",""pt"":""Akhaltsikhe"",""nl"":""Achaltsiche"",""hr"":""Ahalcihe"",""fa"":""آخالتسیخه"",""de"":""Achalziche"",""es"":""Ajaltsije"",""fr"":""Akhaltsikhé"",""ja"":""アハルツィヘ"",""it"":""Akhaltsikhe"",""zh-CN"":""阿哈尔齐赫"",""tr"":""Ahıska"",""ru"":""Ахалцихе"",""uk"":""Ахалцихе"",""pl"":""Achalciche"",""hi"":""त्बिलिसी"",""ar"":""أخالتسيخه""}",2019-10-06T09:53:20,2025-12-02T17:11:50,1,Q212546
52044,Akhaltsikhis Munitsip’alit’et’i,906,SJ,81,GE,city,,,41.63333000,43.00000000,Akhaltsikhis munitsip'alit'i,,Asia/Tbilisi,"{""br"":""Akhaltsikhis Munitsip'alit'et'i"",""ko"":""Akhaltsikhis Munitsip'alit'et'i"",""pt-BR"":""Akhaltsikhis Munitsip'alit'et'i"",""pt"":""Akhaltsikhis Munitsip'alit'et'i"",""nl"":""Achaltsikhis Munitsip’alit’et’i"",""hr"":""Akhaltsikhis Munitsip’alit’et’i"",""fa"":""آخالتسیخیس Munitsip’alit’et’i"",""de"":""Akhaltsikhis Munitsip’alit’et’i"",""es"":""Akhaltsikhis Munitsip'alit'et'i"",""fr"":""Akhaltsikhis Munitsip'alit'et'i"",""ja"":""アハルツィキス・ムニツィプ・アリット・エティ"",""it"":""Akhaltsikhis Munitsip'alit'et'i"",""zh-CN"":""阿哈尔齐基斯·穆尼齐普·阿利特·伊"",""tr"":""Akhaltsikhis Munitsip'alit'et'i"",""ru"":""Ахалцихский муниципалитет"",""uk"":""Ахалцихський муніцип’алітет’і"",""pl"":""Akhaltsikhis Munitsip’alit’et’i"",""hi"":""अखलात्सिखिस मुनित्सिपालितेति"",""ar"":""أخالتسيخيس مونيتسيب أليتي إتي""}",2019-10-06T09:53:20,2025-12-02T16:59:27,1,Q2513568
