id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
162109,Apatou,5818,01,76,GF,,,,5.15666667,-54.34305556,Apatou,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q618086
162110,Awala-Yalimapo,5818,01,76,GF,,,,5.73611111,-53.90805556,Awala-Yalimapo,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q791602
162111,Camopi,5818,01,76,GF,,,,3.16694444,-52.33111111,Camopi,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q996153
162112,Cayenne,5818,01,76,GF,,,,4.93861111,-52.33500000,Cayenne,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q44401
162113,Grand-Santi,5818,01,76,GF,,,,4.27333333,-54.38166667,Grand-Santi,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q948369
162114,Iracoubo,5818,01,76,GF,,,,5.48000000,-53.20555556,Iracoubo,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q432072
162115,Kourou,5818,01,76,GF,,,,5.15833333,-52.64277778,Kourou,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q273312
162116,Macouria,5818,01,76,GF,,,,5.01361111,-52.47388889,Macouria,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q938040
162117,Mana,5818,01,76,GF,,,,5.66722222,-53.77694444,Mana,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q202393
162118,Maripasoula,5818,01,76,GF,,,,3.64111111,-54.02777778,Maripasoula,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q846239
162119,Matoury,5818,01,76,GF,,,,4.85055556,-52.33111111,Matoury,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q816739
162120,Montsinéry-Tonnegrande,5818,01,76,GF,,,,4.89277778,-52.49277778,Montsinéry-Tonnégrande,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q668084
162121,Ouanary,5818,01,76,GF,,,,4.20916667,-51.67166667,Ouanary,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q996267
162122,Papaichton,5818,01,76,GF,,,,3.80972222,-54.14888889,Papaïchton,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q744546
162123,Régina,5818,01,76,GF,,,,4.31361111,-52.12916667,Régina,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q996195
162124,Remire-Montjoly,5818,01,76,GF,,,,4.90500000,-52.27638889,Rémire-Montjoly,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q996222
162125,Roura,5818,01,76,GF,,,,4.72833333,-52.32416667,Roura,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q996422
162126,Saint-Élie,5818,01,76,GF,,,,4.82555556,-53.28805556,Saint-Élie,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q371808
162127,Saint-Georges,5818,01,76,GF,,,,3.88944444,-51.80111111,Saint-Georges,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q731606
162128,Saint-Laurent-du-Maroni,5818,01,76,GF,,,,5.50388889,-54.02888889,Saint-Laurent-du-Maroni,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q319959
162129,Saül,5818,01,76,GF,,,,3.62277778,-53.20833333,Saül,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q910382
162130,Sinnamary,5818,01,76,GF,,,,5.37750000,-52.95861111,Sinnamary,,America/Cayenne,,2026-04-28T06:48:54,2026-04-28T06:48:54,1,Q948333
