id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
52147,Aboso,49,WP,83,GH,city,,,5.36073000,-1.94856000,Excuse,8790,Africa/Accra,"{""br"":""Aboso"",""ko"":""아보소"",""pt-BR"":""Aboso"",""pt"":""Aboso"",""nl"":""Aboso"",""hr"":""Aboso"",""fa"":""ابوسو"",""de"":""Aboso"",""es"":""Aboso"",""fr"":""Aboso"",""ja"":""アボソ"",""it"":""Aboso"",""zh-CN"":""阿博索"",""tr"":""Aboso"",""ru"":""Абосо"",""uk"":""Абосо"",""pl"":""Aboso"",""hi"":""अबोसो"",""ar"":""أبوسو""}",2019-10-06T09:53:20,2025-12-02T14:38:56,1,Q185336
52148,Aburi,50,EP,83,GH,city,,,5.84802000,-0.17449000,Steam,18399,Africa/Accra,"{""br"":""Aburi"",""ko"":""아부리"",""pt-BR"":""Aburi"",""pt"":""Aburi"",""nl"":""Aburi"",""hr"":""Aburi"",""fa"":""ابوری"",""de"":""Aburi"",""es"":""Aburi"",""fr"":""Aburi"",""ja"":""アブリ"",""it"":""Aburi"",""zh-CN"":""阿布里"",""tr"":""Aburi"",""ru"":""Абури"",""uk"":""Абурі"",""pl"":""Aburi"",""hi"":""अबुरी"",""ar"":""أبوري""}",2019-10-06T09:53:20,2025-12-02T14:38:56,1,Q336029
52149,Accra,54,AA,83,GH,capital,,,5.55602000,-0.19690000,Accra,1782150,Africa/Accra,"{""br"":""Accra"",""ko"":""아크라"",""pt-BR"":""Acra"",""pt"":""Acra"",""nl"":""Accra"",""hr"":""Akra"",""fa"":""آکرا"",""de"":""Accra"",""es"":""Acra"",""fr"":""Accra"",""ja"":""アクラ"",""it"":""Accra"",""zh-CN"":""阿克拉"",""tr"":""Akra"",""ru"":""Аккра"",""uk"":""Аккра"",""pl"":""Akra"",""hi"":""अक्करा"",""ar"":""أكرا""}",2019-10-06T09:53:20,2025-12-02T14:38:56,1,Q3761
52150,Aflao,56,TV,83,GH,city,,,6.11982000,1.19012000,Aflao,66546,Africa/Accra,"{""br"":""Aflao"",""ko"":""아플라오"",""pt-BR"":""Aflao"",""pt"":""Aflao"",""nl"":""Aflao"",""hr"":""Aflao"",""fa"":""آفلائو"",""de"":""Aflao"",""es"":""Aflao"",""fr"":""Aflao"",""ja"":""アフラオ"",""it"":""Aflao"",""zh-CN"":""阿夫拉奥"",""tr"":""Aflao"",""ru"":""Афлао"",""uk"":""Афлао"",""pl"":""Aflao"",""hi"":""अफलाओ"",""ar"":""أفلاو""}",2019-10-06T09:53:20,2025-12-02T14:38:56,1,Q383333
52151,Agogo,48,AH,83,GH,city,,,6.80004000,-1.08193000,Grandma,46089,Africa/Accra,"{""br"":""Agogo"",""ko"":""아고고"",""pt-BR"":""Agogo"",""pt"":""Agogo"",""nl"":""Agogo"",""hr"":""Agogo"",""fa"":""آگوگو"",""de"":""Agogo"",""es"":""Agogo"",""fr"":""Agogo"",""ja"":""アゴゴ"",""it"":""Agogo"",""zh-CN"":""阿戈戈"",""tr"":""Agogo"",""ru"":""Агого"",""uk"":""Агого"",""pl"":""Agogo"",""hi"":""अगोगो"",""ar"":""أغوغو""}",2019-10-06T09:53:20,2025-12-02T14:39:31,1,Q395201
52152,Akim Oda,50,EP,83,GH,city,,,5.92665000,-0.98577000,Current room,60604,Africa/Accra,"{""br"":""Akim Oda"",""ko"":""아킴 오다"",""pt-BR"":""Akim Oda"",""pt"":""Akim Oda"",""nl"":""Akim Oda"",""hr"":""Akim Oda"",""fa"":""آکیم اودا"",""de"":""Akim Oda"",""es"":""Akim Oda"",""fr"":""Akim Oda"",""ja"":""アキム・オダ"",""it"":""Akim Oda"",""zh-CN"":""阿基姆·奥达"",""tr"":""Akim Oda"",""ru"":""Аким Ода"",""uk"":""Акім Ода"",""pl"":""Akim Oda"",""hi"":""अकीम ओडा"",""ar"":""أكيم أودا""}",2019-10-06T09:53:20,2025-12-02T14:38:56,1,Q418402
52153,Akim Swedru,50,EP,83,GH,adm2,,,5.89380000,-1.01636000,Akim Swedru,10000,Africa/Accra,"{""br"":""Akim Swedru"",""ko"":""아킴 스웨드루"",""pt-BR"":""Akim Swedru"",""pt"":""Akim Swedru"",""nl"":""Akim Swedru"",""hr"":""Akim Swedru"",""fa"":""آکیم سویدرو"",""de"":""Akim Swedru"",""es"":""Akim Swedru"",""fr"":""Akim Swedru"",""ja"":""アキム・スウェドル"",""it"":""Akim Swedru"",""zh-CN"":""阿基姆·斯韦德鲁"",""tr"":""Akim Swedru"",""ru"":""Аким Сведру"",""uk"":""Акім Сведру"",""pl"":""Akim Swedru"",""hi"":""अकीम स्वेद्रु"",""ar"":""أكيم سويدرو""}",2019-10-06T09:53:20,2025-12-02T14:38:56,1,Q4701024
52154,Akropong,50,EP,83,GH,adm2,,,5.97462000,-0.08542000,Acropong,11096,Africa/Accra,"{""br"":""Akropong"",""ko"":""아크로퐁"",""pt-BR"":""Akropong"",""pt"":""Akropong"",""nl"":""Akropong"",""hr"":""Akropong"",""fa"":""آکروپونگ"",""de"":""Akropong"",""es"":""Akropong"",""fr"":""Akropong"",""ja"":""アクロポン"",""it"":""Akropong"",""zh-CN"":""阿克罗蓬"",""tr"":""Akropong"",""ru"":""Акропонг"",""uk"":""Акропонг"",""pl"":""Akropong"",""hi"":""अक्करा"",""ar"":""أكروبونج""}",2019-10-06T09:53:20,2025-12-02T14:38:56,1,Q4701024
52155,Akwatia,50,EP,83,GH,city,,,6.04024000,-0.80876000,the swind,33784,Africa/Accra,"{""br"":""Akwatia"",""ko"":""아콰티아"",""pt-BR"":""Akwatia"",""pt"":""Akwatia"",""nl"":""Akwatia"",""hr"":""Akwatia"",""fa"":""آکواتیا"",""de"":""Akwatia"",""es"":""Akwatia"",""fr"":""Akwatia"",""ja"":""アクワティア"",""it"":""Akwatia"",""zh-CN"":""阿夸蒂亚"",""tr"":""Akwatia"",""ru"":""Акватия"",""uk"":""Аквація"",""pl"":""Akwatia"",""hi"":""अक्वाटिया"",""ar"":""أكواتيا""}",2019-10-06T09:53:20,2025-12-02T14:38:56,1,Q4702013
52156,Anloga,56,TV,83,GH,city,,,5.79473000,0.89728000,Anloga,34050,Africa/Accra,"{""br"":""Anloga"",""ko"":""안로가"",""pt-BR"":""Anloga"",""pt"":""Anloga"",""nl"":""Anloga"",""hr"":""Anloga"",""fa"":""آنلوگا"",""de"":""Anloga"",""es"":""Anloga"",""fr"":""Anloga"",""ja"":""アンロガ"",""it"":""Anloga"",""zh-CN"":""安洛加"",""tr"":""Anloga"",""ru"":""Анлога"",""uk"":""Анлога"",""pl"":""Anloga"",""hi"":""अंगलोगा"",""ar"":""أنلوغا""}",2019-10-06T09:53:20,2025-12-02T14:38:56,1,Q557912
