id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
154930,Ilulissat,5379,AV,86,GL,city,,,69.22794880,-51.12805390,Ilulissani,,America/Nuuk,"{""br"":""Ilulissat"",""ko"":""일루리사트"",""pt-BR"":""Ilulissat"",""pt"":""Ilulissat"",""nl"":""Ilulissat"",""hr"":""Ilulissat"",""fa"":""ایلولیسات"",""de"":""Ilulissat"",""es"":""Ilulissat"",""fr"":""Ilulissat"",""ja"":""イルリサット"",""it"":""Ilulissat"",""zh-CN"":""伊卢利萨特"",""tr"":""Ilulissat"",""ru"":""Илулиссат"",""uk"":""Ілуліссат"",""pl"":""Ilulissat"",""hi"":""इलुलिसैट"",""ar"":""إيلوليسات""}",2025-03-29T22:07:50,2025-12-02T16:59:27,1,Q191047
154931,Qaanaaq,5379,AV,86,GL,city,,,77.46740090,-69.24837110,Qaanaaq,,America/Danmarkshavn,"{""br"":""Qaanaaq"",""ko"":""카낙"",""pt-BR"":""Qaanaaq"",""pt"":""Qaanaaq"",""nl"":""Qaanaaq"",""hr"":""Qaanaaq"",""fa"":""قاناق"",""de"":""Qaanaaq"",""es"":""Qaanaaq"",""fr"":""Qaanaaq"",""ja"":""カナーク"",""it"":""Qaanaaq"",""zh-CN"":""卡纳克"",""tr"":""Qaanaaq"",""ru"":""Каанаак"",""uk"":""Каанаак"",""pl"":""Qaanaaq"",""hi"":""क़ानाक़"",""ar"":""قاناك""}",2025-03-29T22:07:50,2025-12-02T16:59:27,1,Q223314
154932,Uummannaq,5379,AV,86,GL,city,,,70.67868970,-52.14978240,Uummannaq,,America/Nuuk,"{""br"":""Uummannaq"",""ko"":""우마나크"",""pt-BR"":""Uummannaq"",""pt"":""Uummannaq"",""nl"":""Uummannaq"",""hr"":""Uummannaq"",""fa"":""اوماناک"",""de"":""Uummannaq"",""es"":""Uummannaq"",""fr"":""Uummannaq"",""ja"":""ウムマンナク"",""it"":""Uummannaq"",""zh-CN"":""乌马纳克"",""tr"":""Uummannaq"",""ru"":""Уумманнак"",""uk"":""Уумманнак"",""pl"":""Uummannaq"",""hi"":""उउम्मन्नाक"",""ar"":""أوماناك""}",2025-03-29T22:07:50,2025-12-02T16:59:27,1,Q747898
154933,Upernavik,5379,AV,86,GL,city,,,72.78686030,-56.16236710,Upernaaq,,America/Nuuk,"{""br"":""Upernavik"",""ko"":""우페르나비크"",""pt-BR"":""Upernavik"",""pt"":""Upernavik"",""nl"":""Upernavik"",""hr"":""Upernavik"",""fa"":""آپرناویک"",""de"":""Upernavik"",""es"":""Upernavik"",""fr"":""Upernavik"",""ja"":""ウペルナヴィク"",""it"":""Upernavik"",""zh-CN"":""乌佩纳维克"",""tr"":""Upernavik"",""ru"":""Упернавик"",""uk"":""Упернавік"",""pl"":""Upernavik"",""hi"":""उपरनाविक"",""ar"":""أوبرنافيك""}",2025-03-29T22:07:50,2025-12-02T16:59:27,1,Q303160
154934,Nanortalik,5380,KU,86,GL,city,,,60.14308250,-45.25629050,Nanortalimmi,,America/Nuuk,"{""br"":""Nanortalik"",""ko"":""나노르탈릭"",""pt-BR"":""Nanortalik"",""pt"":""Nanortalik"",""nl"":""Nanortalik"",""hr"":""Nanortalik"",""fa"":""نانوتالیک"",""de"":""Nanortalik"",""es"":""Nanortalik"",""fr"":""Nanortalik"",""ja"":""ナノタリック"",""it"":""Nanortalik"",""zh-CN"":""纳诺塔利克"",""tr"":""Nanortalik"",""ru"":""Нанорталик"",""uk"":""Нанорталік"",""pl"":""Nanortalik"",""hi"":""नैनोरटालिक"",""ar"":""نانورتاليك""}",2025-03-29T22:14:45,2025-12-02T16:59:27,1,Q855324
154935,Narsaq,5380,KU,86,GL,city,,,60.91140780,-46.06857080,Narsaq,,America/Nuuk,"{""br"":""Narsaq"",""ko"":""나르사크"",""pt-BR"":""Narsaq"",""pt"":""Narsaq"",""nl"":""Narsaq"",""hr"":""Narsaq"",""fa"":""نارساک"",""de"":""Narsaq"",""es"":""Narsaq"",""fr"":""Narsaq"",""ja"":""ナルサク"",""it"":""Narsaq"",""zh-CN"":""纳尔萨克"",""tr"":""Narsaq"",""ru"":""Нарсак"",""uk"":""Нарсак"",""pl"":""Narsaq"",""hi"":""नरसाक"",""ar"":""نرساق""}",2025-03-29T22:14:45,2025-12-02T16:59:27,1,Q432397
154936,Qaqortoq,5380,KU,86,GL,city,,,60.71959600,-46.05481630,Qaqortoq,,America/Nuuk,"{""br"":""Qaqortoq"",""ko"":""카코르톡"",""pt-BR"":""Qaqortoq"",""pt"":""Qaqortoq"",""nl"":""Qaqortoq"",""hr"":""Qaqortoq"",""fa"":""قاقورتوق"",""de"":""Qaqortoq"",""es"":""Qaqortoq"",""fr"":""Qaqortoq"",""ja"":""カコトック"",""it"":""Qaqortoq"",""zh-CN"":""卡科尔托克"",""tr"":""Qaqortoq"",""ru"":""Какорток"",""uk"":""Какорток"",""pl"":""Qaqortoq"",""hi"":""क़क़ोरतोक़"",""ar"":""كاكورتوك""}",2025-03-29T22:14:45,2025-12-02T16:59:27,1,Q221203
154937,Aasiaat,5381,QT,86,GL,city,,,68.70762800,-52.89951360,Aasiaat,,America/Nuuk,"{""br"":""Aasiaat"",""ko"":""아시아트"",""pt-BR"":""Aasiaat"",""pt"":""Aasiaat"",""nl"":""Aasiaat"",""hr"":""Aasiaat"",""fa"":""آسیات"",""de"":""Aasiaat"",""es"":""Aasiaat"",""fr"":""Aasiaat"",""ja"":""アシアート"",""it"":""Aasiaat"",""zh-CN"":""阿西亚特"",""tr"":""Aasiaat"",""ru"":""Аасиаат"",""uk"":""Аасіят"",""pl"":""Aasiaat"",""hi"":""आसियात"",""ar"":""آسيات""}",2025-03-29T22:18:46,2025-12-02T16:59:27,1,Q211218
154938,Kangaatsiaq,5381,QT,86,GL,city,,,68.30818450,-53.47685330,Kangaatsiaq,,America/Nuuk,"{""br"":""Kangaatsiaq"",""ko"":""캉가시아크"",""pt-BR"":""Kangaatsiaq"",""pt"":""Kangaatsiaq"",""nl"":""Kangaatsiaq"",""hr"":""Kangaatsiaq"",""fa"":""کانگاتسیاک"",""de"":""Kangaatsiaq"",""es"":""Kangaatsiaq"",""fr"":""Kangaatsiaq"",""ja"":""カンガーツィアック"",""it"":""Kangaatsiaq"",""zh-CN"":""坎加特西亚克"",""tr"":""Kangaatsiaq"",""ru"":""Кангаатсиак"",""uk"":""Кангаатсіак"",""pl"":""Kangaatsiaq"",""hi"":""कंगात्सियाक"",""ar"":""كانجاتسياك""}",2025-03-29T22:18:46,2025-12-02T17:11:50,1,Q612160
154939,Qasigiannguit,5381,QT,86,GL,city,,,68.81986320,-51.20916370,Qasigiannguit,,America/Nuuk,"{""br"":""Qasigiannguit"",""ko"":""카시지안구이트"",""pt-BR"":""Qasigiannguit"",""pt"":""Qasigiannguit"",""nl"":""Qasigiannguit"",""hr"":""Qasigiannguit"",""fa"":""قاسیگیانگیت"",""de"":""Qasigiannguit"",""es"":""Qasigiannguit"",""fr"":""Qasigiannguit"",""ja"":""カシギアンギット"",""it"":""Qasigiannguit"",""zh-CN"":""卡西吉安吉特"",""tr"":""Qasigiannguit"",""ru"":""Касигианнгуит"",""uk"":""Касігіаннгуїт"",""pl"":""Qasigiannguit"",""hi"":""क़ासिगियान्गुइट"",""ar"":""قاسيجيانجيت""}",2025-03-29T22:18:46,2025-12-02T16:59:27,1,Q950991
