id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
52217,Abuko,2667,W,80,GM,city,,,13.40417000,-16.65583000,Circle,18978,Africa/Banjul,"{""br"":""Abuko"",""ko"":""아부코"",""pt-BR"":""Abuko"",""pt"":""Abuko"",""nl"":""Abuko"",""hr"":""Abuko"",""fa"":""ابوکو"",""de"":""Abuko"",""es"":""Abuko"",""fr"":""Abuko"",""ja"":""アブコ"",""it"":""Abuko"",""zh-CN"":""阿布科"",""tr"":""Abuko"",""ru"":""Абуко"",""uk"":""Абуко"",""pl"":""Abuko"",""hi"":""अबुको"",""ar"":""أبوكو""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q335811
52218,Bakadagy,2668,U,80,GM,city,,,13.30000000,-14.38333000,Bakadagy,1979,Africa/Banjul,"{""br"":""Bakadagiezh"",""ko"":""바카다기"",""pt-BR"":""Bakadagy"",""pt"":""Bakadagy"",""nl"":""Bakadagy"",""hr"":""Bakadagy"",""fa"":""باکاداگی"",""de"":""Bakadagy"",""es"":""Bakadagy"",""fr"":""Bakadagy"",""ja"":""バカダジ"",""it"":""Bakadagy"",""zh-CN"":""巴卡达吉"",""tr"":""Bakadagy"",""ru"":""Бакадаги"",""uk"":""Бакадагі"",""pl"":""Bakadagy"",""hi"":""बकाडागी"",""ar"":""باكاداجي""}",2019-10-06T09:53:21,2025-12-02T14:39:31,1,Q804224
52219,Bakau,2666,B,80,GM,city,,,13.47806000,-16.68194000,Mangrove,43098,Africa/Banjul,"{""br"":""Bakau"",""ko"":""바카우"",""pt-BR"":""Bakau"",""pt"":""Bakau"",""nl"":""Bakau"",""hr"":""Bakau"",""fa"":""باکائو"",""de"":""Bakau"",""es"":""Bakau"",""fr"":""Bakau"",""ja"":""バカウ"",""it"":""Bakau"",""zh-CN"":""巴考"",""tr"":""Bakau"",""ru"":""Бакау"",""uk"":""Бакау"",""pl"":""Bakau"",""hi"":""बाकाऊ"",""ar"":""باكاو""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q804275
52220,Bambali,2671,N,80,GM,city,,,13.48333000,-15.33333000,Apprehend,1255,Africa/Banjul,"{""br"":""Bambali"",""ko"":""밤발리"",""pt-BR"":""Bambali"",""pt"":""Bambali"",""nl"":""Bambali"",""hr"":""Bambali"",""fa"":""بمبالی"",""de"":""Bambali"",""es"":""Bambali"",""fr"":""Bambali"",""ja"":""バンバリ"",""it"":""Bambali"",""zh-CN"":""班巴利"",""tr"":""Bambali"",""ru"":""Бамбали"",""uk"":""Бамбалі"",""pl"":""Bambali"",""hi"":""बम्बाली"",""ar"":""بامبالي""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q805926
52221,Banjul,2666,B,80,GM,capital,,,13.45274000,-16.57803000,Banjul,31356,Africa/Banjul,"{""br"":""Banjul"",""ko"":""반줄"",""pt-BR"":""Banjul"",""pt"":""Banjul"",""nl"":""Banjul"",""hr"":""Banjul"",""fa"":""بانجول"",""de"":""Banjul"",""es"":""Banjul"",""fr"":""Banjul"",""ja"":""バンジュール"",""it"":""Banjul"",""zh-CN"":""班珠尔"",""tr"":""Banjul"",""ru"":""Банжул"",""uk"":""Банжул"",""pl"":""Bandżul"",""hi"":""बांजुल"",""ar"":""بانجول""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q3726
52222,Bansang,2669,M,80,GM,city,,,13.43333000,-14.65000000,Country,9528,Africa/Banjul,"{""br"":""Bansang"",""ko"":""반상"",""pt-BR"":""Bansang"",""pt"":""Bansang"",""nl"":""Bansang"",""hr"":""Bansang"",""fa"":""بانسنگ"",""de"":""Bansang"",""es"":""Bansang"",""fr"":""Bansang"",""ja"":""バンサン"",""it"":""Bansang"",""zh-CN"":""班桑"",""tr"":""Bansang"",""ru"":""Бансанг"",""uk"":""Бансанг"",""pl"":""Bansang"",""hi"":""बांसंग"",""ar"":""بانسانغ""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q806951
52223,Baro Kunda,2670,L,80,GM,city,,,13.48333000,-15.26667000,Nothing Kunda,1991,Africa/Banjul,"{""br"":""Baro Kunda"",""ko"":""바로 쿤다"",""pt-BR"":""Baro Kunda"",""pt"":""Baro Kunda"",""nl"":""Baro Kunda"",""hr"":""Baro Kunda"",""fa"":""بارو کوندا"",""de"":""Baro Kunda"",""es"":""Baro Kunda"",""fr"":""Baro Kunda"",""ja"":""バロ・クンダ"",""it"":""Baro Kunda"",""zh-CN"":""巴罗昆达"",""tr"":""Baro Kunda"",""ru"":""Баро Кунда"",""uk"":""Баро Кунда"",""pl"":""Baro Kunda"",""hi"":""बारो कुंडा"",""ar"":""بارو كوندا""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q808540
52224,Barra,2671,N,80,GM,city,,,13.48278000,-16.54556000,Barra,6020,Africa/Banjul,"{""br"":""Barra"",""ko"":""바라"",""pt-BR"":""Barra"",""pt"":""Barra"",""nl"":""Barra"",""hr"":""Barra"",""fa"":""بارا"",""de"":""Barra"",""es"":""Barra"",""fr"":""Barra"",""ja"":""バラ"",""it"":""Barra"",""zh-CN"":""巴拉"",""tr"":""Barra"",""ru"":""Барра"",""uk"":""Барра"",""pl"":""Barra"",""hi"":""बारा"",""ar"":""بارا""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q450062
52225,Basse Santa Su,2668,U,80,GM,adm1,,,13.30995000,-14.21373000,Basse Santa on,14380,Africa/Banjul,"{""br"":""Basse Santa Su"",""ko"":""바세 산타 수"",""pt-BR"":""Basse Santa Su"",""pt"":""Basse Santa Su"",""nl"":""Basse Santa Su"",""hr"":""Basse Santa Su"",""fa"":""باسه سانتا سو"",""de"":""Basse Santa Su"",""es"":""Basse Santa Su"",""fr"":""Basse Santa Su"",""ja"":""バッセ・サンタ・スー"",""it"":""Basse Santa Su"",""zh-CN"":""巴塞圣苏"",""tr"":""Basse Santa Su"",""ru"":""Бассе Санта Су"",""uk"":""Бассе Санта-Су"",""pl"":""Basse Santa Su"",""hi"":""बासे सांता सु"",""ar"":""باس سانتا سو""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q153498
52226,Brifu,2668,U,80,GM,city,,,13.50000000,-13.93333000,Brifu,1292,Africa/Banjul,"{""br"":""Brifu"",""ko"":""브리푸"",""pt-BR"":""Brifu"",""pt"":""Brifu"",""nl"":""Brifu"",""hr"":""Brifu"",""fa"":""بریفو"",""de"":""Brifu"",""es"":""Brifu"",""fr"":""Brifu"",""ja"":""ブリーフ"",""it"":""Brifù"",""zh-CN"":""布里夫"",""tr"":""Brifu"",""ru"":""Брифу"",""uk"":""Бріфу"",""pl"":""Brifu"",""hi"":""ब्रिफू"",""ar"":""بريفو""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q915266
52227,Brikama,2667,W,80,GM,adm1,,,13.27136000,-16.64944000,Brikama,81007,Africa/Banjul,"{""br"":""Brikama"",""ko"":""브리카마"",""pt-BR"":""Brikama"",""pt"":""Brikama"",""nl"":""Brikama"",""hr"":""Brikama"",""fa"":""بریکاما"",""de"":""Brikama"",""es"":""Brikama"",""fr"":""Brikama"",""ja"":""ブリカマ"",""it"":""Brikama"",""zh-CN"":""布里卡马"",""tr"":""Brikama"",""ru"":""Брикама"",""uk"":""Брікама"",""pl"":""Brikama"",""hi"":""ब्रिकामा"",""ar"":""بريكاما""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q916988
52228,Brikama Nding,2669,M,80,GM,city,,,13.53333000,-14.93333000,Brikama i just,1092,Africa/Banjul,"{""br"":""Brikama Nding"",""ko"":""브리카마 은딩"",""pt-BR"":""Brikama Nding"",""pt"":""Brikama Nding"",""nl"":""Brikama Nding"",""hr"":""Brikama Nding"",""fa"":""بریکاما ندینگ"",""de"":""Brikama Nding"",""es"":""Brikama Nding"",""fr"":""Brikama Nding"",""ja"":""ブリカマ・ンディン"",""it"":""Brikama Nding"",""zh-CN"":""布里卡马恩丁"",""tr"":""Brikama Nding"",""ru"":""Брикама Ндинг"",""uk"":""Брікама Ндінг"",""pl"":""Brikama Nding"",""hi"":""ब्रिकामा न्डिंग"",""ar"":""بريكاما ندينغ""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q916988
52229,Bureng,2670,L,80,GM,city,,,13.41667000,-15.28333000,Blend,1472,Africa/Banjul,"{""br"":""Bureng"",""ko"":""부렝"",""pt-BR"":""Bureng"",""pt"":""Bureng"",""nl"":""Bureng"",""hr"":""Bureng"",""fa"":""بورنگ"",""de"":""Bureng"",""es"":""Bureng"",""fr"":""Bureng"",""ja"":""ブレング"",""it"":""Bureng"",""zh-CN"":""布伦"",""tr"":""Bureng"",""ru"":""Буренг"",""uk"":""Буренг"",""pl"":""Bureng"",""hi"":""बुरेंग"",""ar"":""بورينج""}",2019-10-06T09:53:21,2025-12-02T14:39:31,1,Q916988
52230,Central Baddibu,2671,N,80,GM,city,,,13.53333000,-15.91667000,Central Baddibu,14943,Africa/Banjul,"{""br"":""Kreiz Baddibu"",""ko"":""센트럴 바디부"",""pt-BR"":""Baddibu Central"",""pt"":""Baddibu Central"",""nl"":""Centraal Baddibu"",""hr"":""Središnji Baddibu"",""fa"":""بادیبوی مرکزی"",""de"":""Zentral-Baddibu"",""es"":""Baddibu central"",""fr"":""Centre de Baddibu"",""ja"":""セントラル・バディブ"",""it"":""Baddibu centrale"",""zh-CN"":""巴迪布中心区"",""tr"":""Merkezi Baddibu"",""ru"":""Центральный Баддибу"",""uk"":""Центральний Баддібу"",""pl"":""Centralny Baddibu"",""hi"":""सेंट्रल बद्दीबू"",""ar"":""باديبو الوسطى""}",2019-10-06T09:53:21,2025-12-02T17:11:50,1,Q1053702
52231,Chilla,2671,N,80,GM,city,,,13.55000000,-16.28333000,Chilla,1249,Africa/Banjul,"{""br"":""Chilla"",""ko"":""칠라"",""pt-BR"":""Chilla"",""pt"":""Chilla"",""nl"":""Chilla"",""hr"":""Čila"",""fa"":""چیلا"",""de"":""Chilla"",""es"":""Chilla"",""fr"":""Chilla"",""ja"":""チラ"",""it"":""Chilla"",""zh-CN"":""奇拉"",""tr"":""Şişman"",""ru"":""Чилла"",""uk"":""Чілла"",""pl"":""Chilla"",""hi"":""चिल्ला"",""ar"":""تشيلا""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q1053702
