id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
52321,Beyla,2684,N,92,GN,adm2,,,8.69011000,-8.64869000,Wedla,19848,Africa/Conakry,"{""br"":""Beyla"",""ko"":""베일라"",""pt-BR"":""Beyla"",""pt"":""Beyla"",""nl"":""Beyla"",""hr"":""Beyla"",""fa"":""بیلا"",""de"":""Beyla"",""es"":""Beyla"",""fr"":""Beyla"",""ja"":""ベイラ"",""it"":""Beyla"",""zh-CN"":""贝拉"",""tr"":""Beyla"",""ru"":""Бейла"",""uk"":""Бейла"",""pl"":""Beyla"",""hi"":""बेयला"",""ar"":""بيلا""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q1076707
52322,Beyla Prefecture,2684,N,92,GN,prefecture,,,8.91667000,-8.41667000,Préfecture de Beyla,326082,Africa/Conakry,"{""br"":""Prefeti Beyla"",""ko"":""베일라 현"",""pt-BR"":""Prefeitura de Beyla"",""pt"":""Prefeitura de Beyla"",""nl"":""Prefectuur Beyla"",""hr"":""Prefektura Beyla"",""fa"":""استان بیلا"",""de"":""Präfektur Beyla"",""es"":""Prefectura de Beyla"",""fr"":""Préfecture de Beyla"",""ja"":""ベイラ県"",""it"":""Prefettura di Beyla"",""zh-CN"":""贝拉县"",""tr"":""Beyla Vilayeti"",""ru"":""Префектура Бейла"",""uk"":""Префектура Бейла"",""pl"":""Prefektura Beyla"",""hi"":""बेयला प्रान्त"",""ar"":""محافظة بيلا""}",2019-10-06T09:53:21,2025-12-02T17:30:38,1,Q853169
52323,Boffa,2676,B,92,GN,city,,,10.33333000,-14.16667000,Lampe,27047,Africa/Conakry,"{""br"":""Boffa"",""ko"":""보파"",""pt-BR"":""Boffa"",""pt"":""Boffa"",""nl"":""Boffa"",""hr"":""Boffa"",""fa"":""بوفا"",""de"":""Boffa"",""es"":""Boffa"",""fr"":""Boffa"",""ja"":""ボッファ"",""it"":""Boffa"",""zh-CN"":""博法"",""tr"":""Boffa"",""ru"":""Боффа"",""uk"":""Боффа"",""pl"":""Boffa"",""hi"":""बोफ़ा"",""ar"":""بوفا""}",2019-10-06T09:53:21,2025-12-02T16:59:27,1,Q890340
52324,Boke Prefecture,2676,B,92,GN,prefecture,,,11.08333000,-14.41667000,Préfecture de boke,450278,Africa/Conakry,"{""br"":""Prefeti Boke"",""ko"":""보케현"",""pt-BR"":""Prefeitura de Boke"",""pt"":""Prefeitura de Boke"",""nl"":""Prefectuur Boke"",""hr"":""Prefektura Boke"",""fa"":""استان بوکه"",""de"":""Präfektur Boke"",""es"":""Prefectura de Boke"",""fr"":""Préfecture de Boké"",""ja"":""ボケ県"",""it"":""Prefettura di Boke"",""zh-CN"":""博凯县"",""tr"":""Boke Eyaleti"",""ru"":""Префектура Боке"",""uk"":""Префектура Боке"",""pl"":""Prefektura Boke"",""hi"":""बोके प्रान्त"",""ar"":""محافظة بوكي""}",2019-10-06T09:53:21,2025-12-02T17:30:38,1,Q891238
52325,Boké,2676,B,92,GN,adm1,,,10.93217000,-14.29055000,Boké,63736,Africa/Conakry,"{""br"":""Levrioù"",""ko"":""보케"",""pt-BR"":""Boké"",""pt"":""Boké"",""nl"":""Boké"",""hr"":""Boke"",""fa"":""بوکه"",""de"":""Boké"",""es"":""Boké"",""fr"":""Boké"",""ja"":""ボケ"",""it"":""Boké"",""zh-CN"":""博凯"",""tr"":""Boké"",""ru"":""Боке"",""uk"":""Боке"",""pl"":""Boké"",""hi"":""बोक"",""ar"":""بوكي""}",2019-10-06T09:53:21,2025-12-02T14:39:31,1,Q891240
52326,Camayenne,2686,C,92,GN,city,,,9.53500000,-13.68778000,Camayenne,1871242,Africa/Conakry,"{""br"":""Camayenne"",""ko"":""카마옌"",""pt-BR"":""Camayenne"",""pt"":""Camayenne"",""nl"":""Camayenne"",""hr"":""Camayenne"",""fa"":""کاماین"",""de"":""Camayenne"",""es"":""Camayenne"",""fr"":""Camayenne"",""ja"":""カマイエンヌ"",""it"":""Camayenne"",""zh-CN"":""卡马延"",""tr"":""Camayenne"",""ru"":""Камайенна"",""uk"":""Камаєнн"",""pl"":""Camayenne"",""hi"":""कैमायने"",""ar"":""كامايين""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q891240
52327,Conakry,2686,C,92,GN,capital,,,9.53795000,-13.67729000,Conakry,1667864,Africa/Conakry,"{""br"":""Konakri"",""ko"":""코나크리"",""pt-BR"":""Conacri"",""pt"":""Conacri"",""nl"":""Conakry"",""hr"":""Konakri"",""fa"":""کوناکری"",""de"":""Conakry"",""es"":""Conakry"",""fr"":""Conakry"",""ja"":""コナクリ"",""it"":""Conakry"",""zh-CN"":""科纳克里"",""tr"":""Konakri"",""ru"":""Конакри"",""uk"":""Конакрі"",""pl"":""Konakri"",""hi"":""कोनाक्री"",""ar"":""كوناكري""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q3733
52328,Coyah,2701,D,92,GN,city,,,9.75000000,-13.41667000,Coyah,194297,Africa/Conakry,"{""br"":""Coyah"",""ko"":""코야"",""pt-BR"":""Coyah"",""pt"":""Coyah"",""nl"":""Coyah"",""hr"":""Coyah"",""fa"":""کویا"",""de"":""Coyah"",""es"":""Coyah"",""fr"":""Coyah"",""ja"":""コヤ"",""it"":""Coyah"",""zh-CN"":""科亚"",""tr"":""Coyah"",""ru"":""Койя"",""uk"":""Коя"",""pl"":""Coyah"",""hi"":""कोयह"",""ar"":""كوياه""}",2019-10-06T09:53:21,2025-12-02T14:39:31,1,Q616816
52329,Dalaba,2698,M,92,GN,adm2,,,10.75000000,-12.30000000,Délinquant,9925,Africa/Conakry,"{""br"":""Dalaba"",""ko"":""달라바"",""pt-BR"":""Dalaba"",""pt"":""Dalaba"",""nl"":""Dalaba"",""hr"":""Dalaba"",""fa"":""دالابا"",""de"":""Dalaba"",""es"":""Dalaba"",""fr"":""Dalaba"",""ja"":""ダラバ"",""it"":""Dalaba"",""zh-CN"":""达拉巴"",""tr"":""Dalaba"",""ru"":""Далаба"",""uk"":""Далаба"",""pl"":""Dalaba"",""hi"":""डलाबा"",""ar"":""دالابا""}",2019-10-06T09:53:21,2025-12-02T17:11:50,1,Q623302
52330,Dubréka,2701,D,92,GN,adm2,,,9.79111000,-13.52333000,Surnommer,182296,Africa/Conakry,"{""br"":""Dubréka"",""ko"":""두브레카"",""pt-BR"":""Dubreka"",""pt"":""Dubreka"",""nl"":""Dubréka"",""hr"":""Dubréka"",""fa"":""دوبرکا"",""de"":""Dubréka"",""es"":""Dubreka"",""fr"":""Dubréka"",""ja"":""ドゥブレカ"",""it"":""Dubréka"",""zh-CN"":""杜布雷卡"",""tr"":""Dubréka"",""ru"":""Дубрека"",""uk"":""Дубрека"",""pl"":""Dubréka"",""hi"":""डबरेका"",""ar"":""دوبريكا""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q985362
52331,Forécariah,2701,D,92,GN,adm2,,,9.43056000,-13.08806000,Florécariah,23010,Africa/Conakry,"{""br"":""Forécariah"",""ko"":""포레카리아"",""pt-BR"":""Forécariah"",""pt"":""Forécariah"",""nl"":""Forécariah"",""hr"":""Forécariah"",""fa"":""فورکاریا"",""de"":""Forécariah"",""es"":""Forécariah"",""fr"":""Forécariah"",""ja"":""フォレカリア"",""it"":""Forécariah"",""zh-CN"":""福雷卡里亚"",""tr"":""Forécariah"",""ru"":""Форекария"",""uk"":""Форекарія"",""pl"":""Forécariah"",""hi"":""फोरेकारिया"",""ar"":""فوريكاريا""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q3077142
52332,Fria,2676,B,92,GN,adm2,,,10.41667000,-13.58333000,Gratuit,64169,Africa/Conakry,"{""br"":""Fria"",""ko"":""프리아"",""pt-BR"":""Fria"",""pt"":""Fria"",""nl"":""Fria"",""hr"":""Fria"",""fa"":""فریا"",""de"":""Fria"",""es"":""Fría"",""fr"":""Fria"",""ja"":""フリア"",""it"":""Fria"",""zh-CN"":""弗里亚"",""tr"":""Fria"",""ru"":""Фриа"",""uk"":""Фріа"",""pl"":""Fria"",""hi"":""फ्रिया"",""ar"":""فريا""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q1456055
52333,Gaoual,2676,B,92,GN,adm2,,,11.75409600,-13.20033300,Gaoual,7461,Africa/Conakry,"{""br"":""Gaoual"",""ko"":""가우알"",""pt-BR"":""Gaoual"",""pt"":""Gaoual"",""nl"":""Gaoual"",""hr"":""Gaoual"",""fa"":""گاوال"",""de"":""Gaoual"",""es"":""Gaual"",""fr"":""Gaoual"",""ja"":""ガオアル"",""it"":""Gaoual"",""zh-CN"":""加瓦尔"",""tr"":""Gauual"",""ru"":""Гауаль"",""uk"":""Гауал"",""pl"":""Gaoual"",""hi"":""गाऔल"",""ar"":""غاوال""}",2019-10-06T09:53:21,2025-12-02T14:39:31,1,Q1456055
52334,Gaoual Prefecture,2676,B,92,GN,prefecture,,,11.72434350,-13.24778750,Préfecture gaoual,193612,Africa/Conakry,"{""br"":""Prefeti Gaoual"",""ko"":""가우알 현"",""pt-BR"":""Prefeitura de Gaoual"",""pt"":""Prefeitura de Gaoual"",""nl"":""Prefectuur Gaoual"",""hr"":""Prefektura Gaoual"",""fa"":""استان گاوال"",""de"":""Präfektur Gaoual"",""es"":""Prefectura de Gaoual"",""fr"":""Préfecture de Gaoual"",""ja"":""ガオアル県"",""it"":""Prefettura di Gaoual"",""zh-CN"":""加瓦尔省"",""tr"":""Gaoual Eyaleti"",""ru"":""Префектура Гауаль"",""uk"":""Префектура Гауал"",""pl"":""Prefektura Gaoual"",""hi"":""गौआल प्रान्त"",""ar"":""محافظة غاوال""}",2019-10-06T09:53:21,2025-12-02T17:30:38,1,Q614669
52335,Gueckedou,2684,N,92,GN,adm2,,,8.56744000,-10.13360000,GUECKEDOU,79140,Africa/Conakry,"{""br"":""Gueckedou"",""ko"":""게케두"",""pt-BR"":""Gueckedou"",""pt"":""Gueckedou"",""nl"":""Gueckedou"",""hr"":""Gueckedou"",""fa"":""گکدو"",""de"":""Gueckedou"",""es"":""Gueckedou"",""fr"":""Guéckédou"",""ja"":""ゲケドゥ"",""it"":""Gueckedou"",""zh-CN"":""盖凯杜"",""tr"":""Gueckedou"",""ru"":""Гекеду"",""uk"":""Гекеду"",""pl"":""Gueckedou"",""hi"":""गुएकेडौ"",""ar"":""غويكيدو""}",2019-10-06T09:53:21,2025-12-02T14:39:31,1,Q740687
52336,Kankan,2697,K,92,GN,adm1,,,10.38542000,-9.30568000,Non,190772,Africa/Conakry,"{""br"":""Kankan"",""ko"":""칸칸"",""pt-BR"":""Kankan"",""pt"":""Kankan"",""nl"":""Kankan"",""hr"":""Kankan"",""fa"":""کانکان"",""de"":""Kankan"",""es"":""Kankan"",""fr"":""Kankan"",""ja"":""カンカン"",""it"":""Kankan"",""zh-CN"":""康康"",""tr"":""Kankan"",""ru"":""Канкан"",""uk"":""Канкан"",""pl"":""Kankan"",""hi"":""कंकन"",""ar"":""كانكان""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q874317
52337,Kankan Prefecture,2697,K,92,GN,prefecture,,,10.27100000,-9.17800000,Préfecture kankenne,473359,Africa/Conakry,"{""br"":""Prefeti Kankan"",""ko"":""칸칸현"",""pt-BR"":""Prefeitura de Kankan"",""pt"":""Prefeitura de Kankan"",""nl"":""Prefectuur Kankan"",""hr"":""Prefektura Kankan"",""fa"":""استان کانکان"",""de"":""Präfektur Kankan"",""es"":""Prefectura de Kankan"",""fr"":""Préfecture de Kankan"",""ja"":""カンカン県"",""it"":""Prefettura di Kankan"",""zh-CN"":""康康县"",""tr"":""Kankan Eyaleti"",""ru"":""Префектура Канкан"",""uk"":""Префектура Канкан"",""pl"":""Prefektura Kankan"",""hi"":""कंकन प्रान्त"",""ar"":""محافظة كانكان""}",2019-10-06T09:53:21,2025-12-02T17:30:38,1,Q581719
52338,Kerouane Prefecture,2697,K,92,GN,prefecture,,,9.16667000,-9.08333000,Préfecture de Kerouane,207547,Africa/Conakry,"{""br"":""Prefeti Kerouane"",""ko"":""케루안 현"",""pt-BR"":""Prefeitura de Kerouane"",""pt"":""Prefeitura de Kerouane"",""nl"":""Prefectuur Kerouane"",""hr"":""Prefektura Kerouane"",""fa"":""استان کروآن"",""de"":""Präfektur Kerouane"",""es"":""Prefectura de Kerouane"",""fr"":""Préfecture de Kérouane"",""ja"":""ケルアン県"",""it"":""Prefettura di Kerouane"",""zh-CN"":""凯鲁万县"",""tr"":""Kerouane Eyaleti"",""ru"":""Префектура Керуан"",""uk"":""Префектура Керуане"",""pl"":""Prefektura Kerouane"",""hi"":""केरौआने प्रान्त"",""ar"":""ولاية القيروان""}",2019-10-06T09:53:21,2025-12-02T17:30:38,1,Q962654
52339,Kimbo,2676,B,92,GN,city,,,10.40000000,-13.55000000,Kimbo,9326,Africa/Conakry,"{""br"":""Kimbo"",""ko"":""킴보"",""pt-BR"":""Kimbo"",""pt"":""Kimbo"",""nl"":""Kimbo"",""hr"":""Kimbo"",""fa"":""کیمبو"",""de"":""Kimbo"",""es"":""Kimbo"",""fr"":""Kimbo"",""ja"":""キンボ"",""it"":""Kimbo"",""zh-CN"":""金博"",""tr"":""Kimbo"",""ru"":""Кимбо"",""uk"":""Кімбо"",""pl"":""Kimbo"",""hi"":""किम्बो"",""ar"":""كيمبو""}",2019-10-06T09:53:21,2025-12-02T14:39:31,1,Q962654
52340,Kindia,2701,D,92,GN,adm1,,,10.08333000,-12.80000000,Kindia,439614,Africa/Conakry,"{""br"":""Kindia"",""ko"":""킨디아"",""pt-BR"":""Kindia"",""pt"":""Kindia"",""nl"":""Kindia"",""hr"":""Kindia"",""fa"":""کیندیا"",""de"":""Kindia"",""es"":""Kindia"",""fr"":""Kindia"",""ja"":""キンディア"",""it"":""Kindia"",""zh-CN"":""金迪亚"",""tr"":""Kindia"",""ru"":""Киндия"",""uk"":""Кіндія"",""pl"":""Kindia"",""hi"":""किंडिया"",""ar"":""كينديا""}",2019-10-06T09:53:21,2025-12-02T17:11:50,1,Q1741960
52341,Koubia,2677,L,92,GN,adm2,,,11.58333000,-11.83333000,Koubia,9909,Africa/Conakry,"{""br"":""Koubia"",""ko"":""쿠비아"",""pt-BR"":""Koubia"",""pt"":""Koubia"",""nl"":""Koubia"",""hr"":""Koubia"",""fa"":""کوبیا"",""de"":""Koubia"",""es"":""Koubia"",""fr"":""Koubia"",""ja"":""コウビア"",""it"":""Koubia"",""zh-CN"":""库比亚"",""tr"":""Koubia"",""ru"":""Кубия"",""uk"":""Кубія"",""pl"":""Koubia"",""hi"":""कौबिया"",""ar"":""كوبيا""}",2019-10-06T09:53:21,2025-12-02T17:11:50,1,Q623409
52342,Koundara,2676,B,92,GN,adm2,,,12.48333000,-13.30000000,Koundara,27246,Africa/Conakry,"{""br"":""Koundara"",""ko"":""카운다라"",""pt-BR"":""Koundara"",""pt"":""Koundara"",""nl"":""Koundara"",""hr"":""Koundara"",""fa"":""کوندارا"",""de"":""Koundara"",""es"":""Koundara"",""fr"":""Koundara"",""ja"":""クンダラ"",""it"":""Koundara"",""zh-CN"":""孔达拉"",""tr"":""Koundara"",""ru"":""Кундара"",""uk"":""Кундара"",""pl"":""Koundara"",""hi"":""कौंदरा"",""ar"":""كوندارا""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q985374
52343,Koundara Prefecture,2676,B,92,GN,prefecture,,,12.41667000,-13.16667000,Préfecture de Koundara,129974,Africa/Conakry,"{""br"":""Prefeti Koundara"",""ko"":""카운다라 현"",""pt-BR"":""Prefeitura de Koundara"",""pt"":""Prefeitura de Koundara"",""nl"":""Prefectuur Koundara"",""hr"":""Prefektura Koundara"",""fa"":""استان کوندارا"",""de"":""Präfektur Koundara"",""es"":""Prefectura de Koundara"",""fr"":""Préfecture de Koundara"",""ja"":""クンダラ県"",""it"":""Prefettura di Koundara"",""zh-CN"":""孔达拉州"",""tr"":""Koundara Eyaleti"",""ru"":""Префектура Кундара"",""uk"":""Префектура Кундара"",""pl"":""Prefektura Koundara"",""hi"":""कुंडारा प्रान्त"",""ar"":""محافظة كوندارا""}",2019-10-06T09:53:21,2025-12-02T17:30:38,1,Q1781312
52344,Kouroussa,2697,K,92,GN,adm2,,,10.66667000,-9.91667000,Kouroussa,36295,Africa/Conakry,"{""br"":""Koouroussa"",""ko"":""쿠루사"",""pt-BR"":""Kouroussa"",""pt"":""Kouroussa"",""nl"":""Kouroussa"",""hr"":""Kuroussa"",""fa"":""کوروسا"",""de"":""Kouroussa"",""es"":""Kouroussa"",""fr"":""Kouroussa"",""ja"":""クルサ"",""it"":""Kouroussa"",""zh-CN"":""库鲁萨"",""tr"":""Kouroussa"",""ru"":""Курусса"",""uk"":""Куруса"",""pl"":""Kouroussa"",""hi"":""कौरौस्स"",""ar"":""كوروسا""}",2019-10-06T09:53:21,2025-12-02T17:11:50,1,Q1471573
