id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
154948,Baie-Mahault,5384,01,88,GP,city,,,16.24976070,-61.67750720,Baai-Mahault,,America/Guadeloupe,"{""br"":""Baie-Mahault"",""ko"":""바이 마하울트"",""pt-BR"":""Baie-Mahault"",""pt"":""Baie-Mahault"",""nl"":""Baie-Mahault"",""hr"":""Baie-Mahault"",""fa"":""بای-ماهولت"",""de"":""Baie-Mahault"",""es"":""Bahía Mahault"",""fr"":""Baie-Mahault"",""ja"":""ベ・マオー"",""it"":""Baie-Mahault"",""zh-CN"":""拜马欧"",""tr"":""Baie-Mahault"",""ru"":""Бэ-Мао"",""uk"":""Бей-Мао"",""pl"":""Baie-Mahault"",""hi"":""बे-माहौल्ट"",""ar"":""باي ماهولت""}",2025-03-29T22:53:17,2025-12-02T17:11:50,1,Q660165
154949,Baillif,5384,01,88,GP,city,,,16.04973310,-61.75705910,BailLif,,America/Guadeloupe,"{""br"":""Baillif"",""ko"":""법원"",""pt-BR"":""Bailif"",""pt"":""Bailif"",""nl"":""Baljuw"",""hr"":""Sudski izvršitelj"",""fa"":""بایلیف"",""de"":""Baillif"",""es"":""Bailía"",""fr"":""Bailli"",""ja"":""ベイリフ"",""it"":""Balì"",""zh-CN"":""巴利夫"",""tr"":""Kefalet"",""ru"":""Бейлиф"",""uk"":""Судовий пристав"",""pl"":""Komornik"",""hi"":""बैलिफ"",""ar"":""بيليف""}",2025-03-29T22:53:17,2025-12-02T17:11:50,1,Q773569
154950,Basse-Terre,5384,01,88,GP,capital,,,15.99916310,-61.74998100,Basse-Terre,,America/Guadeloupe,"{""br"":""Izel an Douar"",""ko"":""바스테르"",""pt-BR"":""Basse-Terre"",""pt"":""Basse-Terre"",""nl"":""Basse-Terre"",""hr"":""Basse-Terre"",""fa"":""باس-تره"",""de"":""Basse-Terre"",""es"":""Basse-Terre"",""fr"":""Basse-Terre"",""ja"":""バセテール"",""it"":""Basse-Terre"",""zh-CN"":""巴斯特尔"",""tr"":""Basse-Terre"",""ru"":""Бас-Тер"",""uk"":""Бас-Тер"",""pl"":""Basse-Terre"",""hi"":""बासे-टेरे"",""ar"":""باس تير""}",2025-03-29T22:53:17,2025-12-02T17:11:50,1,Q167024
154951,Bouillante,5384,01,88,GP,city,,,16.13869370,-61.79898970,Bouillante,,America/Guadeloupe,"{""br"":""Bouillante"",""ko"":""부양테"",""pt-BR"":""Bouillante"",""pt"":""Bouillante"",""nl"":""Bouillante"",""hr"":""Bouillante"",""fa"":""بویلانته"",""de"":""Bouillante"",""es"":""Bouillante"",""fr"":""Bouillante"",""ja"":""ブイヤント"",""it"":""Bouillante"",""zh-CN"":""布扬特"",""tr"":""Et suyu çorbası"",""ru"":""Буйант"",""uk"":""Буйанте"",""pl"":""Bulionówka"",""hi"":""बौइलांटे"",""ar"":""بويانتي""}",2025-03-29T22:53:17,2025-12-02T17:11:50,1,Q895024
154952,Capesterre-Belle-Eau,5384,01,88,GP,city,,,16.04854020,-61.70210450,Capesterre-Belle-Eau,10134,America/Guadeloupe,"{""br"":""Kapester-Bel-Eau"",""ko"":""카페스테레-벨-오"",""pt-BR"":""Capesterre-Belle-Eau"",""pt"":""Capesterre-Belle-Eau"",""nl"":""Capesterre-Belle-Eau"",""hr"":""Capesterre-Belle-Eau"",""fa"":""کاپستر-بل-او"",""de"":""Capesterre-Belle-Eau"",""es"":""Capesterre-Belle-Eau"",""fr"":""Capesterre-Belle-Eau"",""ja"":""カペステール・ベル・オー"",""it"":""Capesterre-Belle-Eau"",""zh-CN"":""卡佩斯特-贝尔-奥"",""tr"":""Capesterre-Belle-Eau"",""ru"":""Капестер-Бель-О"",""uk"":""Капестерр-Бель-О"",""pl"":""Capesterre-Belle-Eau"",""hi"":""कैपेस्टर-बेले-ओ"",""ar"":""كابيستر-بيل-أو""}",2025-03-29T22:53:17,2025-12-02T14:39:31,1,Q1014795
154953,Deshaies,5384,01,88,GP,city,,,16.31936050,-61.82425780,Deshaies,,America/Guadeloupe,"{""br"":""Deshaies"",""ko"":""데샤이에스"",""pt-BR"":""Deshaies"",""pt"":""Deshaies"",""nl"":""Deshaies"",""hr"":""Deshaies"",""fa"":""دِشِیز"",""de"":""Deshaies"",""es"":""Deshaies"",""fr"":""Deshaies"",""ja"":""デシャイエ"",""it"":""Deshaies"",""zh-CN"":""德赛"",""tr"":""Deshaies"",""ru"":""Деше"",""uk"":""Дешайс"",""pl"":""Deshaies"",""hi"":""देशाईस"",""ar"":""ديشايز""}",2025-03-29T22:53:17,2025-12-02T16:59:27,1,Q996301
154954,Gourbeyre,5384,01,88,GP,city,,,16.00565950,-61.73023870,Gourbeyre,,America/Guadeloupe,"{""br"":""Gourbeyre"",""ko"":""구르베이르"",""pt-BR"":""Gourbeyre"",""pt"":""Gourbeyre"",""nl"":""Gourbeyre"",""hr"":""Gourbeyre"",""fa"":""گوربیر"",""de"":""Gourbeyre"",""es"":""Gourbeyre"",""fr"":""Gourbeyre"",""ja"":""グルベイル"",""it"":""Gourbeyre"",""zh-CN"":""古贝尔"",""tr"":""Gourbeyre"",""ru"":""Гурбейр"",""uk"":""Гурбейр"",""pl"":""Gourbeyre"",""hi"":""गौरबेयर"",""ar"":""جوربيير""}",2025-03-29T22:53:17,2025-12-02T17:11:50,1,Q996284
154955,Goyave,5384,01,88,GP,city,,,16.12310770,-61.69740210,Goyave,,America/Guadeloupe,"{""br"":""Goyave"",""ko"":""고야베"",""pt-BR"":""Goyave"",""pt"":""Goyave"",""nl"":""Goyave"",""hr"":""Goyave"",""fa"":""گویاو"",""de"":""Goyave"",""es"":""Goyave"",""fr"":""Goyave"",""ja"":""ゴヤベ"",""it"":""Goyave"",""zh-CN"":""戈亚夫"",""tr"":""Goyave"",""ru"":""Гойяве"",""uk"":""Гояве"",""pl"":""Goyave"",""hi"":""गोयावे"",""ar"":""غوييف""}",2025-03-29T22:53:17,2025-12-02T17:11:50,1,Q1014741
154956,Lamentin,5384,01,88,GP,city,,,16.24431320,-61.75191940,Lamentin,,America/Guadeloupe,"{""br"":""Lamentin"",""ko"":""라멘틴"",""pt-BR"":""Lamentina"",""pt"":""Lamentina"",""nl"":""Lamentin"",""hr"":""Lamentin"",""fa"":""لامنتین"",""de"":""Lamentin"",""es"":""Lamentina"",""fr"":""Lamentin"",""ja"":""ラメンティン"",""it"":""Lamentina"",""zh-CN"":""拉芒坦"",""tr"":""Ağıt"",""ru"":""Ламентин"",""uk"":""Ламентін"",""pl"":""Lamentin"",""hi"":""लैमेंटिन"",""ar"":""لامنتين""}",2025-03-29T22:53:17,2025-12-02T17:11:50,1,Q1014790
154957,Petit-Bourg,5384,01,88,GP,city,,,16.16948810,-61.74043310,Petit-Bourg,,America/Guadeloupe,"{""br"":""Petit-Bourg"",""ko"":""쁘띠부르"",""pt-BR"":""Petit-Bourg"",""pt"":""Petit-Bourg"",""nl"":""Klein-Bourg"",""hr"":""Petit-Bourg"",""fa"":""پتی-بورگ"",""de"":""Petit-Bourg"",""es"":""Petit-Bourg"",""fr"":""Petit-Bourg"",""ja"":""プチ・ブール"",""it"":""Petit-Bourg"",""zh-CN"":""珀蒂堡"",""tr"":""Küçük Burg"",""ru"":""Пти-Бур"",""uk"":""Петі-Бур"",""pl"":""Petit-Bourg"",""hi"":""पेटिट-बर्ग"",""ar"":""بيتي بورغ""}",2025-03-29T22:53:17,2025-12-02T17:11:50,1,Q844987
154958,Pointe-Noire,5384,01,88,GP,city,,,16.22702770,-61.80631220,Pointe-Noire,,America/Guadeloupe,"{""br"":""Poent-Noire"",""ko"":""푸앵트누아르"",""pt-BR"":""Pointe-Noire"",""pt"":""Pointe-Noire"",""nl"":""Pointe-Noire"",""hr"":""Pointe-Noire"",""fa"":""پوئنت-نوآر"",""de"":""Pointe-Noire"",""es"":""Pointe-Noire"",""fr"":""Pointe-Noire"",""ja"":""ポワントノワール"",""it"":""Pointe-Noire"",""zh-CN"":""黑角"",""tr"":""Pointe-Noire"",""ru"":""Пуэнт-Нуар"",""uk"":""Пуент-Нуар"",""pl"":""Pointe-Noire"",""hi"":""पॉइंट-नॉइरे"",""ar"":""بوانت نوار""}",2025-03-29T23:02:21,2025-12-02T17:11:50,1,Q1014751
154959,Saint-Claude,5384,01,88,GP,city,,,16.04057440,-61.73648730,Saint-Claude,,America/Guadeloupe,"{""br"":""Sant-Kloda"",""ko"":""생클로드"",""pt-BR"":""Saint-Claude"",""pt"":""Saint-Claude"",""nl"":""Sint-Claude"",""hr"":""Saint-Claude"",""fa"":""سنت کلود"",""de"":""Saint-Claude"",""es"":""San Claudio"",""fr"":""Saint-Claude"",""ja"":""サンクロード"",""it"":""Saint-Claude"",""zh-CN"":""圣克劳德"",""tr"":""Aziz-Claude"",""ru"":""Сен-Клод"",""uk"":""Сен-Клод"",""pl"":""Święty Klaudiusz"",""hi"":""सेंट क्लाड"",""ar"":""سان كلود""}",2025-03-29T23:02:21,2025-12-02T17:11:50,1,Q996400
154960,Sainte-Rose,5384,01,88,GP,capital,,,16.29372520,-61.76595760,Sainte-Rose,,America/Guadeloupe,"{""br"":""Santez-Roz"",""ko"":""세인트 로즈"",""pt-BR"":""Sainte-Rose"",""pt"":""Sainte-Rose"",""nl"":""Sint-Roos"",""hr"":""Sainte-Rose"",""fa"":""سنت-رز"",""de"":""Sainte-Rose"",""es"":""Santa Rosa"",""fr"":""Sainte-Rose"",""ja"":""サント・ローズ"",""it"":""Santa Rosa"",""zh-CN"":""圣罗斯"",""tr"":""Sainte-Rose"",""ru"":""Сент-Роз"",""uk"":""Сент-Роз"",""pl"":""Sainte-Rose"",""hi"":""Sainte-गुलाब"",""ar"":""سانت روز""}",2025-03-29T23:02:21,2025-12-02T17:11:50,1,Q996367
154961,Terre-de-Bas,5384,01,88,GP,city,,,15.85541960,-61.65329200,Terre-de-Bas,,America/Guadeloupe,"{""br"":""Terre-an-Bas"",""ko"":""테르 드 바스"",""pt-BR"":""Terra-de-Bas"",""pt"":""Terra-de-Bas"",""nl"":""Terre-de-Bas"",""hr"":""Terre-de-Bas"",""fa"":""تر-دو-باس"",""de"":""Terre-de-Bas"",""es"":""Terre-de-Bas"",""fr"":""Terre-de-Bas"",""ja"":""テール・ド・バ"",""it"":""Terre-de-Bas"",""zh-CN"":""特雷德巴斯"",""tr"":""Terre-de-Bas"",""ru"":""Тер-де-Бас"",""uk"":""Терр-де-Бас"",""pl"":""Terre-de-Bas"",""hi"":""टेरे-de-Bas"",""ar"":""تير دي باس""}",2025-03-29T23:02:21,2025-12-02T17:11:50,1,Q1014805
154962,Terre-de-Haut,5384,01,88,GP,city,,,15.85803760,-61.60960980,Terre-de-Haut,,America/Guadeloupe,"{""br"":""Terre-de-Haut"",""ko"":""테레 드 오"",""pt-BR"":""Terra-de-Haut"",""pt"":""Terra-de-Haut"",""nl"":""Terre-de-Haut"",""hr"":""Terre-de-Haut"",""fa"":""تر-دو-او"",""de"":""Terre-de-Haut"",""es"":""Terre-de-Haut"",""fr"":""Terre-de-Haut"",""ja"":""テール・ド・オー"",""it"":""Terre-de-Haut"",""zh-CN"":""特尔德奥特"",""tr"":""Terre-de-Haut"",""ru"":""Тер-де-О"",""uk"":""Терр-де-О"",""pl"":""Terre-de-Haut"",""hi"":""टेरे-de-Haut"",""ar"":""تير دو هوت""}",2025-03-29T23:02:21,2025-12-02T17:11:50,1,Q996237
154963,Trois-Rivières,5384,01,88,GP,capital,,,15.99313620,-61.69052960,Trois-Rivières,,America/Guadeloupe,"{""br"":""Trois-Rivières"",""ko"":""트루아리비에르"",""pt-BR"":""Trois-Rivières"",""pt"":""Trois-Rivières"",""nl"":""Drie Rivieren"",""hr"":""Trois-Rivières"",""fa"":""تروا ریویر"",""de"":""Trois-Rivières"",""es"":""Trois-Rivières"",""fr"":""Trois-Rivières"",""ja"":""トロワリヴィエール"",""it"":""Trois-Rivières"",""zh-CN"":""三河市"",""tr"":""Trois-Rivières"",""ru"":""Труа-Ривьер"",""uk"":""Труа-Рів'єр"",""pl"":""Trois-Rivières"",""hi"":""Trois-Rivieres"",""ar"":""تروا ريفيير""}",2025-03-29T23:02:21,2025-12-02T17:11:50,1,Q539756
154964,Vieux-Fort,5384,01,88,GP,city,,,15.96070380,-61.71351770,Vieux-Fort,,America/Guadeloupe,"{""br"":""Vieux-Fort"",""ko"":""비외포르"",""pt-BR"":""Vieux-Fort"",""pt"":""Vieux-Fort"",""nl"":""Oud Fort"",""hr"":""Stara tvrđava"",""fa"":""ویو-فورت"",""de"":""Vieux-Fort"",""es"":""Viejo Fuerte"",""fr"":""Vieux-Fort"",""ja"":""ヴューフォール"",""it"":""Vecchio Forte"",""zh-CN"":""维约堡"",""tr"":""Eski Kale"",""ru"":""Вьё-Фор"",""uk"":""В'є-Фор"",""pl"":""Stary Fort"",""hi"":""व्यू फोर्ट"",""ar"":""فيو فورت""}",2025-03-29T23:02:21,2025-12-02T17:11:50,1,Q996207
