id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
52375,Aconibe,3440,WN,67,GQ,city,,,1.29683000,10.93691000,Aconibe,11192,Africa/Malabo,"{""ar"":""أكونيب"",""br"":""Aconibe"",""de"":""Aconibe"",""es"":""Aconibe"",""fa"":""آکونیب"",""fr"":""Aconibe"",""hi"":""एकोनिबे"",""hr"":""Akonibe"",""it"":""Aconibe"",""ja"":""アコニベ"",""ko"":""아코니베"",""nl"":""Aconibe"",""pl"":""Aconibe"",""pt"":""Aconibe"",""pt-BR"":""Aconibe"",""ru"":""Аконибе"",""tr"":""Aconibe"",""uk"":""Аконібе"",""zh-CN"":""阿科尼贝""}",2019-10-05T22:53:21,2025-12-02T14:39:31,1,Q2549481
52376,Acurenam,3445,CS,67,GQ,city,,,1.03225000,10.64882000,Acurena,2736,Africa/Malabo,"{""ar"":""أكورينام"",""br"":""Acurenam"",""de"":""Acurenam"",""es"":""Acurenam"",""fa"":""آکورنام"",""fr"":""Acurenam"",""hi"":""एक्यूरेनम"",""hr"":""Acurenam"",""it"":""Acurenam"",""ja"":""アキュレナム"",""ko"":""아큐레남"",""nl"":""Acurenam"",""pl"":""Acurenam"",""pt"":""Acurenam"",""pt-BR"":""Acurenam"",""ru"":""Акуренам"",""tr"":""Acurenam"",""uk"":""Акуренам"",""zh-CN"":""阿库雷南""}",2019-10-05T22:53:21,2025-12-02T14:39:31,1,Q2249718
52377,Ayene,3440,WN,67,GQ,city,,,1.85592000,10.68994000,Ayene,3482,Africa/Malabo,"{""ar"":""أيني"",""br"":""Ayene"",""de"":""Ayene"",""es"":""Ayene"",""fa"":""آینه"",""fr"":""Ayène"",""hi"":""अयेने"",""hr"":""Ayene"",""it"":""Ayene"",""ja"":""アイエネ"",""ko"":""아이네"",""nl"":""Ayene"",""pl"":""Ayene"",""pt"":""Ayene"",""pt-BR"":""Ayene"",""ru"":""Айен"",""tr"":""Ayene"",""uk"":""Айене"",""zh-CN"":""艾耶内""}",2019-10-05T22:53:21,2025-12-02T14:38:56,1,Q1647475
52378,Añisoc,3440,WN,67,GQ,city,,,1.86580000,10.76892000,Añisoc,10191,Africa/Malabo,"{""ar"":""أنيسوك"",""br"":""Añisoc"",""de"":""Añisoc"",""es"":""Añisoc"",""fa"":""آنیسوک"",""fr"":""Añisoc"",""hi"":""एनिसोक"",""hr"":""Añisoc"",""it"":""Añisoc"",""ja"":""アニソック"",""ko"":""아니속"",""nl"":""Añisoc"",""pl"":""Añisoc"",""pt"":""Añisoc"",""pt-BR"":""Añisoc"",""ru"":""Анисок"",""tr"":""Añisoc"",""uk"":""Анісок"",""zh-CN"":""阿尼索克""}",2019-10-05T22:53:21,2025-12-02T14:39:31,1,Q2720938
52379,Bata,3441,LI,67,GQ,adm1,,,1.86391000,9.76582000,Niño,173046,Africa/Malabo,"{""ar"":""باتا"",""br"":""Bata"",""de"":""Bata"",""es"":""Bata"",""fa"":""باتا"",""fr"":""Bata"",""hi"":""बाटा"",""hr"":""Bata"",""it"":""Bata"",""ja"":""バタ"",""ko"":""바타"",""nl"":""Bata"",""pl"":""Bata"",""pt"":""Bata"",""pt-BR"":""Bata"",""ru"":""Бата"",""tr"":""Bata"",""uk"":""Бата"",""zh-CN"":""巴塔""}",2019-10-05T22:53:21,2025-12-02T14:39:31,1,Q320792
52380,Bicurga,3445,CS,67,GQ,city,,,1.58113000,10.46716000,Bicur,2318,Africa/Malabo,"{""ar"":""بيكورج"",""br"":""Bicurga"",""de"":""Bicurga"",""es"":""Bicurga"",""fa"":""بیکورگا"",""fr"":""Bicurga"",""hi"":""बिकुर्गा"",""hr"":""Bikurga"",""it"":""Bicurga"",""ja"":""ビクルガ"",""ko"":""비쿠르가"",""nl"":""Bicurga"",""pl"":""Bicurga"",""pt"":""Bicurga"",""pt-BR"":""Bicurga"",""ru"":""Бичурга"",""tr"":""Bicurga"",""uk"":""Бікург"",""zh-CN"":""比库尔加""}",2019-10-05T22:53:21,2025-12-02T14:38:56,1,Q3639735
52381,Bitica,3441,LI,67,GQ,city,,,1.42610000,9.62316000,Bitica,1464,Africa/Malabo,"{""ar"":""بيتيكا"",""br"":""Bitika"",""de"":""Bitica"",""es"":""Bitica"",""fa"":""بیتیکا"",""fr"":""Bitica"",""hi"":""बिटिका"",""hr"":""Bitica"",""it"":""Bitica"",""ja"":""ビティカ"",""ko"":""비티카"",""nl"":""Bitica"",""pl"":""Bitica"",""pt"":""Bitica"",""pt-BR"":""Bitica"",""ru"":""Битица"",""tr"":""Bitica"",""uk"":""Бітіца"",""zh-CN"":""比蒂卡""}",2019-10-05T22:53:21,2025-12-02T14:38:56,1,Q3640495
52382,Cogo,3441,LI,67,GQ,city,,,1.08425000,9.69300000,Forma,4607,Africa/Malabo,"{""ar"":""كوغو"",""br"":""Cogo"",""de"":""Cogo"",""es"":""Cogo"",""fa"":""کوگو"",""fr"":""Cogo"",""hi"":""कोगो"",""hr"":""Cogo"",""it"":""Cogo"",""ja"":""コゴ"",""ko"":""코고"",""nl"":""Cogo"",""pl"":""Cogo"",""pt"":""Cogo"",""pt-BR"":""Cogo"",""ru"":""Кого"",""tr"":""Cogo"",""uk"":""Кого"",""zh-CN"":""科戈""}",2019-10-05T22:53:21,2025-12-02T14:39:31,1,Q2549060
52383,Ebebiyin,3439,KN,67,GQ,adm1,,,2.15106000,11.33528000,Zebays,24831,Africa/Malabo,"{""ar"":""إيبيبيين"",""br"":""Ebebiyin"",""de"":""Ebebiyin"",""es"":""Ebebiyin"",""fa"":""ایبییین"",""fr"":""Ebebiyin"",""hi"":""एबेबियिन"",""hr"":""Ebebiyin"",""it"":""Ebebiyin"",""ja"":""エベビイン"",""ko"":""에베비인"",""nl"":""Ebebiyin"",""pl"":""Ebebiyin"",""pt"":""Ebebiyin"",""pt-BR"":""Ebebiyin"",""ru"":""Эбебийин"",""tr"":""Ebebiyin"",""uk"":""Ебебіїн"",""zh-CN"":""埃贝比因""}",2019-10-05T22:53:21,2025-12-02T14:39:31,1,Q911358
52384,Evinayong,3445,CS,67,GQ,adm1,,,1.43677000,10.55124000,Evinong,9155,Africa/Malabo,"{""ar"":""إيفينايونغ"",""br"":""Evinayong"",""de"":""Evinayong"",""es"":""Evinayong"",""fa"":""اوینایونگ"",""fr"":""Evinayong"",""hi"":""एविनायोंग"",""hr"":""Evinayong"",""it"":""Evinayong"",""ja"":""エヴィナヨン"",""ko"":""에비나용"",""nl"":""Evinayong"",""pl"":""Evinayong"",""pt"":""Evinayong"",""pt-BR"":""Evinayong"",""ru"":""Эвинайонг"",""tr"":""Evinayong"",""uk"":""Евінайонг"",""zh-CN"":""埃维纳永""}",2019-10-05T22:53:21,2025-12-02T14:38:56,1,Q1988320
