id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
52399,Acharnés,2122,I,85,GR,adm3,,,38.08333000,23.73333000,Αχαρνές,100857,Europe/Athens,"{""br"":""Acharnés"",""ko"":""아차르네스"",""pt-BR"":""Acharnés"",""pt"":""Acharnés"",""nl"":""Acharnés"",""hr"":""Acharnés"",""fa"":""آخارنس"",""de"":""Acharnes"",""es"":""Acharnés"",""fr"":""Acharnés"",""ja"":""アカルネス"",""it"":""Acarne"",""zh-CN"":""阿查内斯"",""tr"":""Acharnés"",""ru"":""Ахарнес"",""uk"":""Ахарнес"",""pl"":""Acharnes"",""hi"":""अचार्नेस"",""ar"":""أشارنيس""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q4670000
52400,Acharávi,2131,F,85,GR,city,,,39.79360000,19.81736000,Αχαράβη,1100,Europe/Athens,"{""br"":""Acharávi"",""ko"":""아차라비"",""pt-BR"":""Acharávi"",""pt"":""Acharávi"",""nl"":""Acharávi"",""hr"":""Acharávi"",""fa"":""آچاراوی"",""de"":""Acharávi"",""es"":""Acharávi"",""fr"":""Acharavi"",""ja"":""アチャラヴィ"",""it"":""Acharávi"",""zh-CN"":""阿查拉维"",""tr"":""Acharávi"",""ru"":""Ахарави"",""uk"":""Ачараві"",""pl"":""Acharávi"",""hi"":""अचरावी"",""ar"":""أشارافي""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q992317
52401,Adámas,2118,L,85,GR,city,,,36.72506000,24.44685000,Αδάμας,1347,Europe/Athens,"{""br"":""Adámas"",""ko"":""아다마스"",""pt-BR"":""Adamas"",""pt"":""Adamas"",""nl"":""Adamas"",""hr"":""Adamas"",""fa"":""آداماس"",""de"":""Adamas"",""es"":""Adamas"",""fr"":""Adamas"",""ja"":""アダマス"",""it"":""Adamo"",""zh-CN"":""阿达玛斯"",""tr"":""Adamas"",""ru"":""Адамас"",""uk"":""Адамас"",""pl"":""Adamas"",""hi"":""एडमास"",""ar"":""أداماس""}",2019-10-06T09:53:21,2025-12-02T14:39:31,1,Q8188021
52402,Aegina,2122,I,85,GR,adm3,,,37.74667000,23.42750000,Αίγινα,6633,Europe/Athens,"{""br"":""Aegina"",""ko"":""에기나"",""pt-BR"":""Egina"",""pt"":""Egina"",""nl"":""Egina"",""hr"":""Egina"",""fa"":""آژینا"",""de"":""Ägina"",""es"":""Egina"",""fr"":""Égine"",""ja"":""アイギナ島"",""it"":""Egina"",""zh-CN"":""埃伊纳岛"",""tr"":""Egina"",""ru"":""Эгина"",""uk"":""Егіна"",""pl"":""Egina"",""hi"":""एजीना"",""ar"":""إيجينا""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q3720429
52403,Afidnés,2122,I,85,GR,city,,,38.20332000,23.83982000,Αφιδνές,1908,Europe/Athens,"{""br"":""Afidnés"",""ko"":""아피드네스"",""pt-BR"":""Afidnés"",""pt"":""Afidnés"",""nl"":""Afidnés"",""hr"":""Afidnés"",""fa"":""آفیدنس"",""de"":""Afidnés"",""es"":""Afidnés"",""fr"":""Afidnés"",""ja"":""アフィドネス"",""it"":""Afidnés"",""zh-CN"":""阿菲德内斯"",""tr"":""Afidnés"",""ru"":""Афиднес"",""uk"":""Афіднес"",""pl"":""Afidnés"",""hi"":""अफिदनेस"",""ar"":""أفيدنيس""}",2019-10-06T09:53:21,2025-12-02T14:39:31,1,Q2282673
52404,Afrátion,2128,H,85,GR,city,,,38.45212000,23.68775000,Αφράτιον,1405,Europe/Athens,"{""br"":""Afrasion"",""ko"":""아프라티온"",""pt-BR"":""Afrátion"",""pt"":""Afrátion"",""nl"":""Afrátion"",""hr"":""Afracija"",""fa"":""افرات"",""de"":""Afrátion"",""es"":""Afrátion"",""fr"":""Afrátion"",""ja"":""アフラティオン"",""it"":""Afrátion"",""zh-CN"":""阿弗拉蒂翁"",""tr"":""Afration"",""ru"":""Афрация"",""uk"":""Афрація"",""pl"":""Afrátion"",""hi"":""अफ़्रेशन"",""ar"":""أفراتيون""}",2019-10-06T09:53:21,2025-12-02T14:39:31,1,Q2282673
52405,Afántou,2118,L,85,GR,city,,,36.29354000,28.16225000,Αφάντου,6072,Europe/Athens,"{""br"":""Afántou"",""ko"":""아판투"",""pt-BR"":""Afántou"",""pt"":""Afántou"",""nl"":""Afántou"",""hr"":""Afántou"",""fa"":""آفانتو"",""de"":""Afantou"",""es"":""Afántou"",""fr"":""Afantou"",""ja"":""アファントゥ"",""it"":""Afántou"",""zh-CN"":""阿凡图"",""tr"":""Afántou"",""ru"":""Афанту"",""uk"":""Афанту"",""pl"":""Afántou"",""hi"":""Afantou"",""ar"":""أفانتو""}",2019-10-06T09:53:21,2025-12-02T14:38:56,1,Q382076
52406,Aghios Panteleímon,2122,I,85,GR,city,,,38.11643000,23.98182000,Άγιος Παντελεήμων,1591,Europe/Athens,"{""br"":""Aghios Panteleímon"",""ko"":""아기오스 판텔레이몬"",""pt-BR"":""Aghios Panteleímon"",""pt"":""Aghios Panteleímon"",""nl"":""Agios Panteleímon"",""hr"":""Sveti Pantelejmon"",""fa"":""آگیوس پانتلیمون"",""de"":""Agios Panteleímon"",""es"":""Agios Panteleímon"",""fr"":""Aghios Panteleímon"",""ja"":""アギオス・パンテレイモン"",""it"":""Aghios Panteleímon"",""zh-CN"":""圣潘特莱蒙"",""tr"":""Aghios Panteleímon"",""ru"":""Святой Пантелеймон"",""uk"":""Святий Пантелеймон"",""pl"":""Agios Panteleímon"",""hi"":""अघियोस पैंटेलेइमोन"",""ar"":""أجيوس بانتيليمون""}",2019-10-06T09:53:21,2025-12-02T14:39:31,1,Q12181479
52407,Agios Dimitrios,2122,I,85,GR,adm3,,,37.93333000,23.73333000,Άγιος Δημήτριος,71294,Europe/Athens,"{""br"":""Agios Dimitrios"",""ko"":""아기오스 디미트리오스"",""pt-BR"":""Agios Dimitrios"",""pt"":""Agios Dimitrios"",""nl"":""Agios Dimitrios"",""hr"":""Sveti Dimitrios"",""fa"":""آگیوس دیمیتریوس"",""de"":""Agios Dimitrios"",""es"":""Agios Dimitrios"",""fr"":""Saint Dimitrios"",""ja"":""アギオス・ディミトリオス"",""it"":""Agios Dimitrios"",""zh-CN"":""阿吉奥斯·迪米特里奥斯"",""tr"":""Aya Dimitri"",""ru"":""Агиос Димитриос"",""uk"":""Агіос Дімітріос"",""pl"":""Agios Dimitrios"",""hi"":""एगियोस दिमित्रिओस"",""ar"":""أجيوس ديميتريوس""}",2019-10-06T09:53:21,2025-12-02T14:39:31,1,Q204361
52408,Agios Dimítrios Kropiás,2122,I,85,GR,city,,,37.80612000,23.85793000,Άγιος Δημήτριος Κρωπίας,1011,Europe/Athens,"{""br"":""Agios Dimítrios Kropiás"",""ko"":""아기오스 디미트리오스 크로피아스"",""pt-BR"":""Agios Dimítrios Kropiás"",""pt"":""Agios Dimítrios Kropiás"",""nl"":""Agios Dimítrios Kropiás"",""hr"":""Agios Dimítrios Kropiás"",""fa"":""آگیوس دیمیتریوس کروپیاس"",""de"":""Agios Dimítrios Kropiás"",""es"":""Agios Dimítrios Kropiás"",""fr"":""Agios Dimítrios Kropiás"",""ja"":""アギオス・ディミトリオス・クロピアス"",""it"":""Agios Dimítrios Kropiás"",""zh-CN"":""Agios Dimítrios Kropiás"",""tr"":""Agios Dimítrios Kropiás"",""ru"":""Агиос Димитриос Кропиас"",""uk"":""Агіос Дімітріос Кропіас"",""pl"":""Agios Dimítrios Kropiás"",""hi"":""एगियोस दिमित्रियोस क्रोपियास"",""ar"":""أجيوس ديميتريوس كروبياس""}",2019-10-06T09:53:21,2025-12-02T14:39:31,1,Q12872132
