id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
53425,Acatenango,3675,04,90,GT,adm2,,,14.55451000,-90.94368000,Acatenango,12136,America/Guatemala,"{""br"":""Acatenango"",""ko"":""아카테낭고"",""pt-BR"":""Acatenango"",""pt"":""Acatenango"",""nl"":""Acatenango"",""hr"":""Acatenango"",""fa"":""آکاتنانگو"",""de"":""Acatenango"",""es"":""Acatenango"",""fr"":""Acatenango"",""ja"":""アカテナンゴ"",""it"":""Acatenango"",""zh-CN"":""阿卡特南戈"",""tr"":""Acatenango"",""ru"":""Акатенанго"",""uk"":""Акатенанго"",""pl"":""Acatenango"",""hi"":""अकातेनानगो"",""ar"":""أكاتينانغو""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q1523949
53426,Agua Blanca,3673,22,90,GT,adm2,,,14.50000000,-89.65000000,Agua Blanca,2776,America/Guatemala,"{""br"":""Agua Blanca"",""ko"":""아과 블랑카"",""pt-BR"":""Água Branca"",""pt"":""Água Branca"",""nl"":""Water Blanca"",""hr"":""Agua Blanca"",""fa"":""آگوا بلانکا"",""de"":""Agua Blanca"",""es"":""Agua Blanca"",""fr"":""Agua Blanca"",""ja"":""アグアブランカ"",""it"":""Acqua Bianca"",""zh-CN"":""阿瓜布兰卡"",""tr"":""Agua Blanca"",""ru"":""Агуа Бланка"",""uk"":""Агуа Бланка"",""pl"":""Woda Biała"",""hi"":""अगुआ ब्लैंका"",""ar"":""أغوا بلانكا""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q2403493
53427,Aguacatán,3670,13,90,GT,adm2,,,15.34222000,-91.31141000,Aguacatán,5572,America/Guatemala,"{""br"":""Aguacatán"",""ko"":""아과카탄"",""pt-BR"":""Aguacatán"",""pt"":""Aguacatán"",""nl"":""Aguacatán"",""hr"":""Aguacatán"",""fa"":""آگواکان"",""de"":""Aguacatán"",""es"":""Aguacatán"",""fr"":""Aguacatán"",""ja"":""アグアカタン"",""it"":""Aguacatán"",""zh-CN"":""阿瓜卡坦"",""tr"":""Aguacatán"",""ru"":""Агуакатан"",""uk"":""Агуакатан"",""pl"":""Aguacatán"",""hi"":""अगुआकाटन"",""ar"":""أغواكاتان""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q2402581
53428,Almolonga,3668,09,90,GT,adm2,,,14.81591000,-91.49464000,Almolonga,12299,America/Guatemala,"{""br"":""Almolonga"",""ko"":""알몰롱가"",""pt-BR"":""Almolonga"",""pt"":""Almolonga"",""nl"":""Almolonga"",""hr"":""Almolonga"",""fa"":""آلمولونگا"",""de"":""Almolonga"",""es"":""Almolonga"",""fr"":""Almolonga"",""ja"":""アルモロンガ"",""it"":""Almolonga"",""zh-CN"":""阿尔莫隆加"",""tr"":""Almolonga"",""ru"":""Альмолонга"",""uk"":""Алмолонга"",""pl"":""Almolonga"",""hi"":""अल्मोलोंगा"",""ar"":""ألمولونجا""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q284830
53429,Alotenango,3676,03,90,GT,adm2,,,14.48028000,-90.80750000,Arotenano,28129,America/Guatemala,"{""br"":""Alotenango"",""ko"":""알로테낭고"",""pt-BR"":""Alotenango"",""pt"":""Alotenango"",""nl"":""Alotenango"",""hr"":""Alotenango"",""fa"":""آلوتنانگو"",""de"":""Alotenango"",""es"":""Alotenango"",""fr"":""Alotenango"",""ja"":""アロテナンゴ"",""it"":""Alotenango"",""zh-CN"":""阿洛特南戈"",""tr"":""Alotenango"",""ru"":""Алотенанго"",""uk"":""Алотенанго"",""pl"":""Alotenango"",""hi"":""अलोटेनैंगो"",""ar"":""ألوتينانغو""}",2019-10-06T09:53:26,2025-12-02T14:38:56,1,Q2608214
53430,Amatitlán,3672,01,90,GT,adm2,,,14.47740000,-90.63489000,Amatitlán,71836,America/Guatemala,"{""br"":""Amatitlán"",""ko"":""아마티틀란"",""pt-BR"":""Amatitlán"",""pt"":""Amatitlán"",""nl"":""Amatitlán"",""hr"":""Amatitlán"",""fa"":""آماتیتلان"",""de"":""Amatitlán"",""es"":""Amatitlán"",""fr"":""Amatitlán"",""ja"":""アマティトラン"",""it"":""Amatitlán"",""zh-CN"":""阿马蒂特兰"",""tr"":""Amatitlán"",""ru"":""Аматитлан"",""uk"":""Аматітлан"",""pl"":""Amatitlán"",""hi"":""अमातित्लान"",""ar"":""أماتيتلان""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q455760
53431,Antigua Guatemala,3676,03,90,GT,adm1,,,14.56111000,-90.73444000,Antigua Guatemala,46054,America/Guatemala,"{""br"":""Antigua Guatemala"",""ko"":""안티과 과테말라"",""pt-BR"":""Antiga Guatemala"",""pt"":""Antiga Guatemala"",""nl"":""Antigua Guatemala"",""hr"":""Antigua Gvatemala"",""fa"":""آنتیگوا گواتمالا"",""de"":""Antigua Guatemala"",""es"":""Antigua Guatemala"",""fr"":""Antigua Guatemala"",""ja"":""アンティグア・グアテマラ"",""it"":""Antigua Guatemala"",""zh-CN"":""安提瓜危地马拉"",""tr"":""Antigua Guatemala"",""ru"":""Антигуа-Гватемала"",""uk"":""Антигуа Гватемала"",""pl"":""Antigua Gwatemala"",""hi"":""एंटीगुआ ग्वाटेमाला"",""ar"":""أنتيغوا غواتيمالا""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q212773
53432,Asunción Mita,3673,22,90,GT,adm2,,,14.33083000,-89.71083000,Asunción Mita,53141,America/Guatemala,"{""br"":""Asunción Mita"",""ko"":""아순시온 미타"",""pt-BR"":""Assunção Mita"",""pt"":""Assunção Mita"",""nl"":""Asunción Mita"",""hr"":""Asunción Mita"",""fa"":""آسونسیون میتا"",""de"":""Asunción Mita"",""es"":""Asunción Mita"",""fr"":""Asunción Mita"",""ja"":""アスンシオン・ミタ"",""it"":""Asunción Mita"",""zh-CN"":""亚松森米塔"",""tr"":""Asunción Mita"",""ru"":""Асунсьон Мита"",""uk"":""Асунсьйон-Міта"",""pl"":""Asunción Mita"",""hi"":""असुनसियन मीता"",""ar"":""أسونسيون ميتا""}",2019-10-06T09:53:26,2025-12-02T14:38:56,1,Q2608750
53433,Atescatempa,3673,22,90,GT,adm2,,,14.17444000,-89.74250000,Atescatempa,11543,America/Guatemala,"{""br"":""Atescatempa"",""ko"":""아테스카템파"",""pt-BR"":""Atescatempa"",""pt"":""Atescatempa"",""nl"":""Atescatempa"",""hr"":""Atescatempa"",""fa"":""آتسکاتمپا"",""de"":""Atescatempa"",""es"":""Atescatempa"",""fr"":""Atescatempa"",""ja"":""アテスカテンパ"",""it"":""Atestatempa"",""zh-CN"":""阿特斯卡滕帕"",""tr"":""Atescatempa"",""ru"":""Атескатемпа"",""uk"":""Атескатемпа"",""pl"":""Atescatempa"",""hi"":""एटेस्काटेम्पा"",""ar"":""أتسكاتيمبا""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q2403627
53434,Barberena,3665,06,90,GT,adm2,,,14.30739000,-90.36156000,Barbería,47093,America/Guatemala,"{""br"":""Barberena"",""ko"":""바르베레나"",""pt-BR"":""Barberena"",""pt"":""Barberena"",""nl"":""Barberena"",""hr"":""Barberena"",""fa"":""باربرنا"",""de"":""Barberena"",""es"":""Barberena"",""fr"":""Barberena"",""ja"":""バルベリーナ"",""it"":""Barberena"",""zh-CN"":""巴贝雷纳"",""tr"":""Berberena"",""ru"":""Барберена"",""uk"":""Барберена"",""pl"":""Barberena"",""hi"":""बारबेरेना"",""ar"":""باربيرينا""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q2718316
53435,Barillas,3670,13,90,GT,adm2,,,15.80361000,-91.31583000,Barillas,14100,America/Guatemala,"{""br"":""Barillas"",""ko"":""바릴라스"",""pt-BR"":""Barillas"",""pt"":""Barillas"",""nl"":""Barillas"",""hr"":""Barillas"",""fa"":""باریلاس"",""de"":""Barillas"",""es"":""Barillas"",""fr"":""Barillas"",""ja"":""バリラス"",""it"":""Barillas"",""zh-CN"":""巴里拉斯"",""tr"":""Barillas"",""ru"":""Барильяс"",""uk"":""Барільяс"",""pl"":""Barillas"",""hi"":""बारिलस"",""ar"":""باريلاس""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q2390990
53436,Cabricán,3668,09,90,GT,adm2,,,15.07485000,-91.64800000,Cabricán,28124,America/Guatemala,"{""br"":""Cabricán"",""ko"":""카브리칸"",""pt-BR"":""Cabricán"",""pt"":""Cabricán"",""nl"":""Cabricán"",""hr"":""Cabricán"",""fa"":""کابریکان"",""de"":""Cabricán"",""es"":""Cabricán"",""fr"":""Cabricán"",""ja"":""カブリカン"",""it"":""Cabricán"",""zh-CN"":""卡布里坎"",""tr"":""Cabricán"",""ru"":""Кабрикана"",""uk"":""Кабрікан"",""pl"":""Cabricán"",""hi"":""कैब्रिकान"",""ar"":""كابريكان""}",2019-10-06T09:53:26,2025-12-02T14:38:56,1,Q2403031
53437,Cahabón,3671,16,90,GT,adm2,,,15.56667000,-89.81667000,Cahabón,4671,America/Guatemala,"{""br"":""Cahabón"",""ko"":""카하본"",""pt-BR"":""Cahabón"",""pt"":""Cahabón"",""nl"":""Cahabón"",""hr"":""Cahabón"",""fa"":""کاهابون"",""de"":""Cahabón"",""es"":""Cahabón"",""fr"":""Cahabón"",""ja"":""カハボン"",""it"":""Cahabón"",""zh-CN"":""卡哈蓬"",""tr"":""Cahabón"",""ru"":""Кахабон"",""uk"":""Кахабон"",""pl"":""Cahabón"",""hi"":""काहाबोन"",""ar"":""كاهابون""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q2403031
53438,Cajolá,3668,09,90,GT,adm2,,,14.92205000,-91.61478000,Cajolá,2927,America/Guatemala,"{""br"":""Cajolá"",""ko"":""카졸라"",""pt-BR"":""Cajolá"",""pt"":""Cajolá"",""nl"":""Cajolá"",""hr"":""Cajolá"",""fa"":""کاجولا"",""de"":""Cajolá"",""es"":""Cajolá"",""fr"":""Cajola"",""ja"":""カホラ"",""it"":""Cajolá"",""zh-CN"":""卡若拉"",""tr"":""Cajolá"",""ru"":""Кахола"",""uk"":""Кахола"",""pl"":""Cajolá"",""hi"":""काजोला"",""ar"":""كاجولا""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q388686
53439,Camotán,3666,20,90,GT,adm2,,,14.82017000,-89.37224000,Camotán,1597,America/Guatemala,"{""br"":""Kamotan"",""ko"":""카모탄"",""pt-BR"":""Camotán"",""pt"":""Camotán"",""nl"":""Camotán"",""hr"":""Camotán"",""fa"":""کاموتان"",""de"":""Camotán"",""es"":""Camotán"",""fr"":""Camotán"",""ja"":""カモタン"",""it"":""Camotan"",""zh-CN"":""卡莫坦"",""tr"":""Camotán"",""ru"":""Камотан"",""uk"":""Камотан"",""pl"":""Camotán"",""hi"":""कैमोटान"",""ar"":""كاموتان""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q388686
53440,Canillá,3657,14,90,GT,adm2,,,15.16549000,-90.85256000,Canillá,1698,America/Guatemala,"{""br"":""Canillá"",""ko"":""카닐라"",""pt-BR"":""Canillá"",""pt"":""Canillá"",""nl"":""Canilla"",""hr"":""Canillá"",""fa"":""کانیلا"",""de"":""Canilla"",""es"":""Canillá"",""fr"":""Canilla"",""ja"":""カニリャ"",""it"":""Canillá"",""zh-CN"":""卡尼利亚"",""tr"":""Canilla"",""ru"":""Канилья"",""uk"":""Канілья"",""pl"":""Canillá"",""hi"":""कैनिला"",""ar"":""كانيلا""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q2609266
53441,Cantel,3668,09,90,GT,adm2,,,14.81154000,-91.45536000,Parte,47087,America/Guatemala,"{""br"":""Cantel"",""ko"":""캔텔"",""pt-BR"":""Cantil"",""pt"":""Cantil"",""nl"":""Deel"",""hr"":""Cantel"",""fa"":""کانتل"",""de"":""Cantel"",""es"":""Parte"",""fr"":""Cantel"",""ja"":""カンテル"",""it"":""Cantel"",""zh-CN"":""坎特尔"",""tr"":""Cantel"",""ru"":""Кантель"",""uk"":""Кантель"",""pl"":""Cantel"",""hi"":""कैंटेल"",""ar"":""كانتيل""}",2019-10-06T09:53:26,2025-12-02T14:38:56,1,Q2548726
53442,Casillas,3665,06,90,GT,adm2,,,14.42222000,-90.24417000,Casillas,7698,America/Guatemala,"{""br"":""Casillas"",""ko"":""카시야스"",""pt-BR"":""Casillas"",""pt"":""Casillas"",""nl"":""Casillas"",""hr"":""Casillas"",""fa"":""کاسیاس"",""de"":""Casillas"",""es"":""Casillas"",""fr"":""Casillas"",""ja"":""カシージャス"",""it"":""Casillas"",""zh-CN"":""卡西利亚斯"",""tr"":""Casillas"",""ru"":""Касильяс"",""uk"":""Касільяс"",""pl"":""Casillas"",""hi"":""कैसिलास"",""ar"":""كاسياس""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q1748683
53443,Catarina,3667,12,90,GT,adm2,,,14.85354000,-92.07682000,Catarina,3040,America/Guatemala,"{""br"":""Catarina"",""ko"":""카타리나"",""pt-BR"":""Catarina"",""pt"":""Catarina"",""nl"":""Catarina"",""hr"":""Katarina"",""fa"":""کاتارینا"",""de"":""Catarina"",""es"":""Catarina"",""fr"":""Catherine"",""ja"":""カタリナ"",""it"":""Caterina"",""zh-CN"":""卡塔琳娜"",""tr"":""Catarina"",""ru"":""Катарина"",""uk"":""Катаріна"",""pl"":""Katarzyna"",""hi"":""कैटरीना"",""ar"":""كاتارينا""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q1748875
53444,Chahal Guatemala,3671,16,90,GT,city,,,15.79122000,-89.60518000,Chahal Guatemala,7465,America/Guatemala,"{""br"":""Chahal Guatemala"",""ko"":""차할 과테말라"",""pt-BR"":""Chahal Guatemala"",""pt"":""Chahal Guatemala"",""nl"":""Chahal Guatemala"",""hr"":""Chahal Gvatemala"",""fa"":""چاهال گواتمالا"",""de"":""Chahal Guatemala"",""es"":""Chahal Guatemala"",""fr"":""Chahal Guatemala"",""ja"":""チャハル・グアテマラ"",""it"":""Chahal Guatemala"",""zh-CN"":""查哈尔危地马拉"",""tr"":""Chahal Guatemala"",""ru"":""Чахал Гватемала"",""uk"":""Чахал Гватемала"",""pl"":""Chahal Gwatemala"",""hi"":""चहल ग्वाटेमाला"",""ar"":""تشاهال غواتيمالا""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q275804
53445,Chajul,3657,14,90,GT,adm2,,,15.48523000,-91.03520000,Chajul,11657,America/Guatemala,"{""br"":""Chajul"",""ko"":""차줄"",""pt-BR"":""Chajul"",""pt"":""Chajul"",""nl"":""Chajul"",""hr"":""Čajul"",""fa"":""چاجول"",""de"":""Chajul"",""es"":""Chajul"",""fr"":""Chajul"",""ja"":""チャジュル"",""it"":""Chajul"",""zh-CN"":""查朱尔"",""tr"":""Çajul"",""ru"":""Чаджул"",""uk"":""Чаджул"",""pl"":""Chajul"",""hi"":""चाजुल"",""ar"":""تشاجول""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q2717716
53446,Champerico,3664,11,90,GT,adm2,,,14.29337000,-91.91214000,Campeón,9941,America/Guatemala,"{""br"":""Champerico"",""ko"":""참페리코"",""pt-BR"":""Champerico"",""pt"":""Champerico"",""nl"":""Champerico"",""hr"":""Champerico"",""fa"":""شامپریکو"",""de"":""Champerico"",""es"":""Champerico"",""fr"":""Champerico"",""ja"":""シャンペリコ"",""it"":""Champerico"",""zh-CN"":""钱佩里科"",""tr"":""Şamperiko"",""ru"":""Чамперико"",""uk"":""Чамперіко"",""pl"":""Szampan"",""hi"":""चम्पेरिको"",""ar"":""تشامبيريكو""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q958349
53447,Chiantla,3670,13,90,GT,adm2,,,15.35484000,-91.45807000,Chiantla,8465,America/Guatemala,"{""br"":""Chiantla"",""ko"":""치안틀라"",""pt-BR"":""Chiantla"",""pt"":""Chiantla"",""nl"":""Chiantla"",""hr"":""Chiantla"",""fa"":""کیانتلا"",""de"":""Chiantla"",""es"":""Chiantla"",""fr"":""Chiantla"",""ja"":""キアントラ"",""it"":""Chianti"",""zh-CN"":""基安特拉"",""tr"":""Chiantla"",""ru"":""Чиантла"",""uk"":""Чіантла"",""pl"":""Chiantla"",""hi"":""चियांटला"",""ar"":""شيانتلا""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q2608965
53448,Chicacao,3660,10,90,GT,adm2,,,14.54295000,-91.32636000,Porcelana,68296,America/Guatemala,"{""br"":""Chicacao"",""ko"":""시카고"",""pt-BR"":""Chicacao"",""pt"":""Chicacao"",""nl"":""Chicacao"",""hr"":""Čikago"",""fa"":""شیکاگو"",""de"":""Chicacao"",""es"":""Chicacao"",""fr"":""Chicago"",""ja"":""シカゴ"",""it"":""Chicago"",""zh-CN"":""奇卡卡奥"",""tr"":""Chicacao"",""ru"":""Чикакао"",""uk"":""Чикаго"",""pl"":""Chicago"",""hi"":""चिकाकाओ"",""ar"":""تشيكاكاو""}",2019-10-06T09:53:26,2025-12-02T14:38:56,1,Q2608636
53449,Chicamán,3657,14,90,GT,adm2,,,15.34786000,-90.79968000,Chicamán,2090,America/Guatemala,"{""br"":""Chicamán"",""ko"":""치카만"",""pt-BR"":""Chicamán"",""pt"":""Chicamán"",""nl"":""Chicamán"",""hr"":""Čikamán"",""fa"":""چیکامان"",""de"":""Chicamán"",""es"":""Chicamán"",""fr"":""Chicaman"",""ja"":""チカマン"",""it"":""Chicaman"",""zh-CN"":""奇卡曼"",""tr"":""Chicamán"",""ru"":""Чикаман"",""uk"":""Чікаман"",""pl"":""Chicamán"",""hi"":""चिकामान"",""ar"":""تشيكامان""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q2402199
53450,Chichicastenango,3657,14,90,GT,adm2,,,14.94333000,-91.11116000,Chichicastenango,150932,America/Guatemala,"{""br"":""Chichicastenango"",""ko"":""치치카스테낭고"",""pt-BR"":""Chichicastenango"",""pt"":""Chichicastenango"",""nl"":""Chichicastenango"",""hr"":""Čičikastenango"",""fa"":""چیچیکاستنانگو"",""de"":""Chichicastenango"",""es"":""Chichicastenango"",""fr"":""Chichicastenango"",""ja"":""チチカステナンゴ"",""it"":""Chichicastenango"",""zh-CN"":""奇奇卡斯特南戈"",""tr"":""Çiçikastenango"",""ru"":""Чичикастенанго"",""uk"":""Чічікастенанго"",""pl"":""Chichicastenango"",""hi"":""चिचिकास्टेनंगो"",""ar"":""تشيتشيكاستينانغو""}",2019-10-06T09:53:26,2025-12-02T14:38:56,1,Q603423
53451,Chiché,3657,14,90,GT,adm2,,,15.00885000,-91.06379000,Chiché,2406,America/Guatemala,"{""br"":""Chiché"",""ko"":""치셰"",""pt-BR"":""Chiché"",""pt"":""Chiché"",""nl"":""Chiché"",""hr"":""Chiché"",""fa"":""چیچه"",""de"":""Chiché"",""es"":""Chiché"",""fr"":""Chiché"",""ja"":""チチェ"",""it"":""Chiché"",""zh-CN"":""奇切"",""tr"":""Chiché"",""ru"":""Чиче"",""uk"":""Чіче"",""pl"":""Chiché"",""hi"":""चिचे"",""ar"":""تشيتشي""}",2019-10-06T09:53:26,2025-12-02T14:39:31,1,Q3177464
53452,Chimaltenango,3675,04,90,GT,adm1,,,14.66111000,-90.81944000,Chimaltenango,116642,America/Guatemala,"{""br"":""Chimaltenango"",""ko"":""치말테낭고"",""pt-BR"":""Chimaltenango"",""pt"":""Chimaltenango"",""nl"":""Chimaltenango"",""hr"":""Čimaltenango"",""fa"":""چیمالتنانگو"",""de"":""Chimaltenango"",""es"":""Chimaltenango"",""fr"":""Chimaltenango"",""ja"":""チマルテナンゴ"",""it"":""Chimaltenango"",""zh-CN"":""奇马尔特南戈"",""tr"":""Chimaltenango"",""ru"":""Чимальтенанго"",""uk"":""Чімальтенанго"",""pl"":""Chimaltenango"",""hi"":""चिमैल्टिएंगो"",""ar"":""شيمالتينانغو""}",2019-10-06T09:53:26,2025-12-02T14:38:56,1,Q1002552
