id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
160257,Agana Heights Village,5254,01,89,GU,adm1,,,13.46559000,144.74795000,,3940,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160258,Asan-Maina Village,5255,02,89,GU,adm1,,,13.47215000,144.71654000,,2137,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160259,Barrigada Village,5256,03,89,GU,adm1,,,13.46913000,144.79901000,,8875,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160260,Chalan Pago-Ordot Village,5257,04,89,GU,adm1,,,13.44741000,144.75902000,,6822,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160261,Dededo Village,5258,05,89,GU,adm1,,,13.51777000,144.83910000,,44943,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160262,Agat Village,5259,06,89,GU,adm1,,,13.38300000,144.66003000,,3292,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160263,Inarajan Village,5261,08,89,GU,adm1,,,13.27363000,144.74845000,,3052,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160264,Merizo Village,5262,09,89,GU,adm1,,,13.26584000,144.66908000,,2152,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160265,Adacao,5263,10,89,GU,city,,,13.49242000,144.84470000,,3638,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160266,Mangilao Village,5263,10,89,GU,adm1,,,13.44761000,144.80109000,,15191,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160267,Mongmong-Toto-Maite Village,5264,11,89,GU,adm1,,,13.46857000,144.78214000,,6825,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160268,Hagåtña Village,5265,12,89,GU,city,,,13.47279000,144.75802000,,1051,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160269,Hagåtña,5265,12,89,GU,capital,,,13.47567000,144.74886000,,1051,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160270,Piti Village,5266,13,89,GU,adm1,,,13.46256000,144.69331000,,1666,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160271,Apra Harbor,5267,14,89,GU,city,,,13.42827000,144.65252000,,2930,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160272,Santa Rita Village,5267,14,89,GU,adm1,,,13.38608000,144.67226000,,7500,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160273,Sinajana Village,5268,15,89,GU,adm1,,,13.46334000,144.75406000,,2853,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160274,Talofofo Village,5269,16,89,GU,adm1,,,13.35513000,144.75835000,,3215,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160275,Tamuning,5270,17,89,GU,section,,,13.48754000,144.78143000,,19685,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160276,Apotgan,5270,17,89,GU,section,,,13.48817000,144.77644000,,5224,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160277,Tamuning-Tumon-Harmon Village,5270,17,89,GU,adm1,,,13.48773000,144.78138000,,19685,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160278,Chaguian,5271,18,89,GU,city,,,13.57175000,144.88058000,,2524,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160279,Anao,5271,18,89,GU,city,,,13.52890000,144.91820000,,2385,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160280,Yigo Village,5271,18,89,GU,adm1,,,13.53605000,144.88855000,,20539,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
160281,Yona Village,5272,19,89,GU,adm1,,,13.40974000,144.77697000,,6484,Pacific/Guam,,2014-01-01T17:31:01,2025-12-02T18:57:57,1,
