id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
53807,Bafatá,2720,BA,93,GW,adm1,,,12.16583000,-14.66167000,Bafatá,29556,Africa/Bissau,"{""ar"":""بافاتا"",""br"":""Bafatá"",""de"":""Bafatá"",""es"":""Bafatá"",""fa"":""بافاتا"",""fr"":""Bafatá"",""hi"":""बाफता"",""hr"":""Bafatá"",""it"":""Bafatá"",""ja"":""バファタ"",""ko"":""바파타"",""nl"":""Bafatá"",""pl"":""Bafatá"",""pt"":""Bafatá"",""pt-BR"":""Bafatá"",""ru"":""Бафата"",""tr"":""Bafata"",""uk"":""Бафата"",""zh-CN"":""巴法塔""}",2019-10-05T22:53:28,2025-12-02T14:38:56,1,Q799788
53808,Bissorã,2718,OI,93,GW,city,,,12.22306000,-15.44750000,Bissorã,11964,Africa/Bissau,"{""ar"":""بيسورا"",""br"":""Bissorã"",""de"":""Bissorã"",""es"":""Bissorã"",""fa"":""بیسورا"",""fr"":""Bissorã"",""hi"":""बिस्सोरा"",""hr"":""Bissorã"",""it"":""Bissorã"",""ja"":""ビソラン"",""ko"":""비소라"",""nl"":""Bissorã"",""pl"":""Bissorã"",""pt"":""Bissorã"",""pt-BR"":""Bissorã"",""ru"":""Биссора"",""tr"":""Bissorã"",""uk"":""Біссора"",""zh-CN"":""比索拉""}",2019-10-05T22:53:28,2025-12-02T14:38:56,1,Q799788
53809,Bolama,2722,BL,93,GW,adm1,,,11.57694000,-15.47611000,Garoto,10769,Africa/Bissau,"{""ar"":""بولاما"",""br"":""Bolama"",""de"":""Bolama"",""es"":""Bolama"",""fa"":""بولاما"",""fr"":""Bolama"",""hi"":""बोलामा"",""hr"":""Bolama"",""it"":""Bolama"",""ja"":""ボラマ"",""ko"":""볼라마"",""nl"":""Bolama"",""pl"":""Bolama"",""pt"":""Bolama"",""pt-BR"":""Bolama"",""ru"":""Болама"",""tr"":""Bolama"",""uk"":""Болама"",""zh-CN"":""博拉马""}",2019-10-05T22:53:28,2025-12-02T14:39:31,1,Q681802
53810,Buba,2715,QU,93,GW,adm1,,,11.58889000,-14.99583000,Buba,7898,Africa/Bissau,"{""ar"":""بوبا"",""br"":""Buba"",""de"":""Buba"",""es"":""Buba"",""fa"":""بوبا"",""fr"":""Buba"",""hi"":""बुबा"",""hr"":""Buba"",""it"":""Buba"",""ja"":""ブバ"",""ko"":""부바"",""nl"":""Buba"",""pl"":""Buba"",""pt"":""Buba"",""pt-BR"":""Buba"",""ru"":""Буба"",""tr"":""Buba"",""uk"":""Буба"",""zh-CN"":""布巴""}",2019-10-05T22:53:28,2025-12-02T14:38:56,1,Q997402
53811,Bubaque,2722,BL,93,GW,city,,,11.28333000,-15.83333000,Bubaca,9244,Africa/Bissau,"{""ar"":""بوباك"",""br"":""Bubaque"",""de"":""Bubaque"",""es"":""Bubaque"",""fa"":""بوباک"",""fr"":""Bubaque"",""hi"":""बुबाके"",""hr"":""Bubaque"",""it"":""Bubaque"",""ja"":""ブバケ"",""ko"":""부바크"",""nl"":""Bubaque"",""pl"":""Bubaque"",""pt"":""Bubaque"",""pt-BR"":""Bubaque"",""ru"":""Бубак"",""tr"":""Bubaque"",""uk"":""Бубаке"",""zh-CN"":""布巴克""}",2019-10-05T22:53:28,2025-12-02T14:39:31,1,Q997407
53812,Cacheu,2713,CA,93,GW,adm1,,,12.27444000,-16.16528000,Cache,10490,Africa/Bissau,"{""ar"":""كاشيو"",""br"":""Cacheu"",""de"":""Cacheu"",""es"":""Cacheu"",""fa"":""کاشو"",""fr"":""Cacheu"",""hi"":""कचेउ"",""hr"":""Cacheu"",""it"":""Cacheu"",""ja"":""カシェウ"",""ko"":""카슈"",""nl"":""Cacheu"",""pl"":""Cacheu"",""pt"":""Cacheu"",""pt-BR"":""Cacheu"",""ru"":""Кашеу"",""tr"":""Önbellek"",""uk"":""Кашеу"",""zh-CN"":""卡谢乌""}",2019-10-05T22:53:28,2025-12-02T14:39:31,1,Q1002807
53813,Canchungo,2713,CA,93,GW,city,,,12.06722000,-16.03333000,Canchungo,6853,Africa/Bissau,"{""ar"":""كانشونجو"",""br"":""Canchungo"",""de"":""Canchungo"",""es"":""Canchungo"",""fa"":""کانچونگو"",""fr"":""Canchungo"",""hi"":""कैंचुंगो"",""hr"":""Canchungo"",""it"":""Canchungo"",""ja"":""カンチュンゴ"",""ko"":""칸춘고"",""nl"":""Canchungo"",""pl"":""Canchungo"",""pt"":""Canchungo"",""pt-BR"":""Canchungo"",""ru"":""Канчунго"",""tr"":""Canchungo"",""uk"":""Канчунго"",""zh-CN"":""坎春戈""}",2019-10-05T22:53:28,2025-12-02T14:38:56,1,Q1318022
53814,Catió,2712,TO,93,GW,adm1,,,11.28250000,-15.25472000,Cátion,9898,Africa/Bissau,"{""ar"":""كاتيو"",""br"":""Catió"",""de"":""Catió"",""es"":""Catió"",""fa"":""کاتیو"",""fr"":""Catió"",""hi"":""कैटियो"",""hr"":""Catio"",""it"":""Catio"",""ja"":""カティオ"",""ko"":""카티오"",""nl"":""Catió"",""pl"":""Catió"",""pt"":""Catió"",""pt-BR"":""Catió"",""ru"":""Катио"",""tr"":""Catió"",""uk"":""Катіо"",""zh-CN"":""卡蒂奥""}",2019-10-05T22:53:28,2025-12-02T14:39:31,1,Q1190869
53815,Contuboel Sector,2720,BA,93,GW,city,,,12.55500000,-14.64100000,Setor de Contuncoel,,Africa/Bissau,"{""ar"":""قطاع كونتوبويل"",""br"":""Sektor Kontuboel"",""de"":""Contuboel-Sektor"",""es"":""Sector Contuboel"",""fa"":""بخش کونتوبوئل"",""fr"":""Secteur Contuboel"",""hi"":""कॉन्टुबोएल सेक्टर"",""hr"":""Sektor Contuboel"",""it"":""Settore Contuboel"",""ja"":""コントゥブエルセクター"",""ko"":""컨투보엘 섹터"",""nl"":""Contuboel Sector"",""pl"":""Sektor Contuboel"",""pt"":""Setor Contuboel"",""pt-BR"":""Setor Contuboel"",""ru"":""Сектор Контубоэль"",""tr"":""Contuboel Sektörü"",""uk"":""Сектор Контубоель"",""zh-CN"":""康图博尔区""}",2019-10-05T22:53:28,2025-12-02T16:59:27,1,Q524784
53816,Farim,2718,OI,93,GW,adm1,,,12.48389000,-15.22167000,Farim,10207,Africa/Bissau,"{""ar"":""فاريم"",""br"":""Farim"",""de"":""Farim"",""es"":""Farim"",""fa"":""فریم"",""fr"":""Farim"",""hi"":""फ़ारिम"",""hr"":""Farim"",""it"":""Farmim"",""ja"":""ファリム"",""ko"":""파림"",""nl"":""Farm"",""pl"":""Farim"",""pt"":""Farim"",""pt-BR"":""Farim"",""ru"":""Фарим"",""tr"":""Farim"",""uk"":""Фарім"",""zh-CN"":""法里姆""}",2019-10-05T22:53:28,2025-12-02T14:39:31,1,Q1022984
