id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
53821,Anna Regina,2765,PM,94,GY,adm1,,,7.26439000,-58.50769000,Anna Regina,,America/Guyana,"{""br"":""Anna Regina"",""ko"":""안나 레지나"",""pt-BR"":""Ana Regina"",""pt"":""Ana Regina"",""nl"":""Anna Regina"",""hr"":""Anna Regina"",""fa"":""آنا رجینا"",""de"":""Anna Regina"",""es"":""Ana Regina"",""fr"":""Anna Regina"",""ja"":""アンナ・レジーナ"",""it"":""Anna Regina"",""zh-CN"":""安娜·雷吉娜"",""tr"":""Anna Regina"",""ru"":""Анна Регина"",""uk"":""Анна Регіна"",""pl"":""Anna Regina"",""hi"":""अन्ना रेजिना"",""ar"":""آنا ريجينا""}",2019-10-06T09:53:28,2025-12-02T17:11:50,1,Q563067
53822,Bartica,2760,CU,94,GY,adm1,,,6.40799000,-58.62192000,Bartica,11157,America/Guyana,"{""br"":""Bartica"",""ko"":""바르티카"",""pt-BR"":""Bartica"",""pt"":""Bartica"",""nl"":""Bartica"",""hr"":""Bartica"",""fa"":""بارتیکا"",""de"":""Bartica"",""es"":""Bartica"",""fr"":""Bartica"",""ja"":""バルティカ"",""it"":""Bartica"",""zh-CN"":""巴蒂卡"",""tr"":""Bartica"",""ru"":""Бартика"",""uk"":""Бартіка"",""pl"":""Bartica"",""hi"":""बार्टिका"",""ar"":""بارتيكا""}",2019-10-06T09:53:28,2025-12-02T14:39:31,1,Q809428
53823,Georgetown,2767,DE,94,GY,capital,,,6.80448000,-58.15527000,Georgetown,235017,America/Guyana,"{""br"":""Georgetown"",""ko"":""조지타운"",""pt-BR"":""Georgetown"",""pt"":""Georgetown"",""nl"":""Georgetown"",""hr"":""Georgetown"",""fa"":""جورج‌تاون"",""de"":""Georgetown"",""es"":""Georgetown"",""fr"":""Georgetown"",""ja"":""ジョージタウン"",""it"":""Georgetown"",""zh-CN"":""乔治敦"",""tr"":""Georgetown"",""ru"":""Джорджтаун"",""uk"":""Джорджтаун"",""pl"":""Georgetown"",""hi"":""जॉर्ज टाउन"",""ar"":""جورج تاون""}",2019-10-06T09:53:28,2025-12-02T14:38:56,1,Q10717
53824,Lethem,2769,UT,94,GY,adm1,,,3.38333000,-59.80000000,Lethem,716,America/Guyana,"{""br"":""Lethem"",""ko"":""레템"",""pt-BR"":""Lethem"",""pt"":""Lethem"",""nl"":""Lethem"",""hr"":""Lethem"",""fa"":""لتهام"",""de"":""Lethem"",""es"":""Lethem"",""fr"":""Lethem"",""ja"":""レセム"",""it"":""Lethem"",""zh-CN"":""莱瑟姆"",""tr"":""Lethem"",""ru"":""Летем"",""uk"":""Летем"",""pl"":""Lethem"",""hi"":""लेथेम"",""ar"":""ليثم""}",2019-10-06T09:53:28,2025-12-02T14:39:31,1,Q1203781
53825,Linden,2763,UD,94,GY,adm1,,,6.00809000,-58.30714000,Linden,44690,America/Guyana,"{""br"":""Linden"",""ko"":""린든"",""pt-BR"":""Tília"",""pt"":""Tília"",""nl"":""Linde"",""hr"":""Lipa"",""fa"":""لیندن"",""de"":""Linde"",""es"":""Tilo"",""fr"":""Tilleul"",""ja"":""リンデン"",""it"":""Tiglio"",""zh-CN"":""菩提树"",""tr"":""Ihlamur"",""ru"":""Липа"",""uk"":""Лінден"",""pl"":""Lipa"",""hi"":""एक प्रकार का वृक्ष"",""ar"":""الزيزفون""}",2019-10-06T09:53:28,2025-12-02T14:39:31,1,Q741134
53826,Mabaruma,2764,BA,94,GY,adm1,,,8.20000000,-59.78333000,Usabone,717,America/Guyana,"{""br"":""Mabaruma"",""ko"":""마바루마"",""pt-BR"":""Mabaruma"",""pt"":""Mabaruma"",""nl"":""Mabaruma"",""hr"":""Mabaruma"",""fa"":""ماباروما"",""de"":""Mabaruma"",""es"":""Mabaruma"",""fr"":""Mabaruma"",""ja"":""マバルマ"",""it"":""Mabaruma"",""zh-CN"":""马巴鲁马"",""tr"":""Mabaruma"",""ru"":""Мабарума"",""uk"":""Мабарума"",""pl"":""Mabaruma"",""hi"":""माबारुमा"",""ar"":""ماباروما""}",2019-10-06T09:53:28,2025-12-02T14:39:31,1,Q597458
53827,Mahaica Village,2767,DE,94,GY,city,,,6.68405000,-57.92181000,Mahaica Village,4867,America/Guyana,"{""br"":""Kêriadenn Mahaica"",""ko"":""마하이카 빌리지"",""pt-BR"":""Vila Mahaica"",""pt"":""Vila Mahaica"",""nl"":""Mahaica Dorp"",""hr"":""Selo Mahaica"",""fa"":""روستای ماهایکا"",""de"":""Mahaica-Dorf"",""es"":""Pueblo Mahaica"",""fr"":""Village de Mahaica"",""ja"":""マハイカ村"",""it"":""Villaggio Mahaica"",""zh-CN"":""马哈伊卡村"",""tr"":""Mahaica Köyü"",""ru"":""Деревня Махаика"",""uk"":""Село Махаїка"",""pl"":""Wioska Mahaica"",""hi"":""महाइका गांव"",""ar"":""قرية ماهايكا""}",2019-10-06T09:53:28,2025-12-02T14:38:56,1,Q597458
53828,Mahaicony Village,2762,MA,94,GY,city,,,6.57633000,-57.80486000,Mahaicony Village,2130,America/Guyana,"{""br"":""Kêr Mahaicony"",""ko"":""마하이코니 빌리지"",""pt-BR"":""Vila Mahaicony"",""pt"":""Vila Mahaicony"",""nl"":""Mahaicony Dorp"",""hr"":""Selo Mahaicony"",""fa"":""روستای ماهایکونی"",""de"":""Mahaicony Dorf"",""es"":""Pueblo de Mahaicony"",""fr"":""Village de Mahaicony"",""ja"":""マハイコニー村"",""it"":""Villaggio Mahaicony"",""zh-CN"":""马海科尼村"",""tr"":""Mahaicony Köyü"",""ru"":""Деревня Махаикони"",""uk"":""Село Махаіконі"",""pl"":""Wioska Mahaicony"",""hi"":""महाकोनी गांव"",""ar"":""قرية ماهايكوني""}",2019-10-06T09:53:28,2025-12-02T14:39:31,1,Q597458
53829,Mahdia,2761,PT,94,GY,adm1,,,5.26667000,-59.15000000,Mahdia,4200,America/Guyana,"{""br"":""Mahdia"",""ko"":""마흐디아"",""pt-BR"":""Mahdia"",""pt"":""Mahdia"",""nl"":""Mahdia"",""hr"":""Mahdija"",""fa"":""مهدیه"",""de"":""Mahdia"",""es"":""Mahdia"",""fr"":""Mahdia"",""ja"":""マディア"",""it"":""Mahdia"",""zh-CN"":""马赫迪耶"",""tr"":""Mehdiye"",""ru"":""Махдия"",""uk"":""Махдія"",""pl"":""Mahdia"",""hi"":""माहदिया"",""ar"":""المهدية""}",2019-10-06T09:53:28,2025-12-02T14:39:31,1,Q1020481
53830,New Amsterdam,2766,EB,94,GY,adm1,,,6.24793000,-57.51710000,New Amsterdam,35039,America/Guyana,"{""br"":""Amsterdam Nevez"",""ko"":""뉴 암스테르담"",""pt-BR"":""Nova Amsterdã"",""pt"":""Nova Amsterdã"",""nl"":""Nieuw Amsterdam"",""hr"":""Novi Amsterdam"",""fa"":""نیو آمستردام"",""de"":""Neues Amsterdam"",""es"":""Nueva Ámsterdam"",""fr"":""Nouvelle-Amsterdam"",""ja"":""ニューアムステルダム"",""it"":""Nuova Amsterdam"",""zh-CN"":""新阿姆斯特丹"",""tr"":""Yeni Amsterdam"",""ru"":""Новый Амстердам"",""uk"":""Новий Амстердам"",""pl"":""Nowy Amsterdam"",""hi"":""न्यू एम्स्टर्डम"",""ar"":""نيو أمستردام""}",2019-10-06T09:53:28,2025-12-02T14:38:56,1,Q923811
