id,name,state_id,state_code,country_id,country_code,type,level,parent_id,latitude,longitude,native,population,timezone,translations,created_at,updated_at,flag,wikiDataId
153483,Central,4889,HCW,98,HK,adm1,,,22.28100000,114.15900000,中央,11077,Asia/Hong_Kong,"{""br"":""Kreiz"",""ko"":""본부"",""pt-BR"":""Central"",""pt"":""Central"",""nl"":""Centraal"",""hr"":""Središnji"",""fa"":""مرکزی"",""de"":""Zentral"",""es"":""Central"",""fr"":""Central"",""ja"":""中央"",""it"":""Centrale"",""zh-CN"":""中央"",""tr"":""Merkez"",""ru"":""Центральный"",""uk"":""Центральний"",""pl"":""Centralny"",""hi"":""केंद्रीय"",""ar"":""مركزي""}",2014-01-01T16:01:01,2025-12-02T14:38:56,1,Q562441
153484,Admiralty,4889,HCW,98,HK,section,,,22.27800000,114.16400000,金钟,5031,Asia/Hong_Kong,"{""br"":""Amiraliezh"",""ko"":""제해권"",""pt-BR"":""Almirantado"",""pt"":""Almirantado"",""nl"":""Admiraliteit"",""hr"":""Admiralitet"",""fa"":""نیروی دریایی"",""de"":""Admiralität"",""es"":""Almirantazgo"",""fr"":""Amirauté"",""ja"":""海軍本部"",""it"":""Ammiragliato"",""zh-CN"":""金钟"",""tr"":""Amirallik"",""ru"":""Адмиралтейство"",""uk"":""Адміралтейство"",""pl"":""Admiralicja"",""hi"":""नौवाहनविभाग"",""ar"":""الأميرالية""}",2014-01-01T16:01:01,2025-12-02T14:39:31,1,Q485380
153485,Wan Chai,4890,HWC,98,HK,section,,,22.27800000,114.18200000,湾仔,2232339,Asia/Hong_Kong,"{""br"":""Wan Chai"",""ko"":""완차이"",""pt-BR"":""Wan Chai"",""pt"":""Wan Chai"",""nl"":""Wan Chai"",""hr"":""Wan Chai"",""fa"":""وان چای"",""de"":""Wan Chai"",""es"":""Wan Chai"",""fr"":""Wan Chai"",""ja"":""湾仔"",""it"":""Wan Chai"",""zh-CN"":""湾仔"",""tr"":""Wan Çayı"",""ru"":""Вань Чай"",""uk"":""Ван Чай"",""pl"":""Wan Chai"",""hi"":""वान चाई"",""ar"":""وان تشاي""}",2014-01-01T16:01:01,2025-12-02T14:39:31,1,Q5921
153486,Causeway Bay,4890,HWC,98,HK,city,,,22.28000000,114.18500000,铜锣湾,12777,Asia/Hong_Kong,"{""br"":""Bae Causeway"",""ko"":""코즈웨이 베이"",""pt-BR"":""Baía Causeway"",""pt"":""Baía Causeway"",""nl"":""Causeway Bay"",""hr"":""Zaljev Causeway"",""fa"":""خلیج کازوی"",""de"":""Causeway Bay"",""es"":""Bahía Causeway"",""fr"":""Causeway Bay"",""ja"":""銅鑼湾"",""it"":""Baia di Causeway"",""zh-CN"":""铜锣湾"",""tr"":""Causeway Körfezi"",""ru"":""Козуэй-Бэй"",""uk"":""Козвей-Бей"",""pl"":""Zatoka Grobli"",""hi"":""खाड़ी पर सेतु"",""ar"":""خليج كوزواي""}",2014-01-01T16:01:01,2025-12-02T14:38:56,1,Q192682
153487,Tsim Sha Tsui,4893,KYT,98,HK,city,,,22.29800000,114.17200000,尖沙咀,24557,Asia/Hong_Kong,"{""br"":""Tsim Sha Tsui"",""ko"":""침사추이"",""pt-BR"":""Tsim Sha Tsui"",""pt"":""Tsim Sha Tsui"",""nl"":""Tsim Sha Tsui"",""hr"":""Tsim Sha Tsui"",""fa"":""تسیم شا تسوی"",""de"":""Tsim Sha Tsui"",""es"":""Tsim Sha Tsui"",""fr"":""Tsim Sha Tsui"",""ja"":""尖沙咀"",""it"":""Tsim Sha Tsui"",""zh-CN"":""尖沙咀"",""tr"":""Tsim Sha Tsui"",""ru"":""Цим Ша Цуй"",""uk"":""Цим Ша Цуй"",""pl"":""Tsim Sha Tsui"",""hi"":""त्सिम शा त्सुई"",""ar"":""تسيم شا تسوي""}",2014-01-01T16:01:01,2025-12-02T17:11:50,1,Q747942
153488,Mong Kok,4893,KYT,98,HK,adm1,,,22.31900000,114.16900000,旺角,62967,Asia/Hong_Kong,"{""br"":""Mong Kok"",""ko"":""몽콕"",""pt-BR"":""Mong Kok"",""pt"":""Mong Kok"",""nl"":""Mong Kok"",""hr"":""Mong Kok"",""fa"":""مونگ کوک"",""de"":""Mong Kok"",""es"":""Mong Kok"",""fr"":""Mong Kok"",""ja"":""旺角"",""it"":""Mong Kok"",""zh-CN"":""旺角"",""tr"":""Mong Kok"",""ru"":""Монг Кок"",""uk"":""Монг Кок"",""pl"":""Mong Kok"",""hi"":""मोंग कोक"",""ar"":""مونغ كوك""}",2014-01-01T16:01:01,2025-12-02T14:39:31,1,Q85764
153489,Sha Tin,4901,NST,98,HK,city,,,22.38300000,114.18800000,沙田,10071,Asia/Hong_Kong,"{""br"":""Sha Tin"",""ko"":""샤틴"",""pt-BR"":""Sha Tin"",""pt"":""Sha Tin"",""nl"":""Sha Tin"",""hr"":""Ša Tin"",""fa"":""شا تین"",""de"":""Sha Tin"",""es"":""Sha Tin"",""fr"":""Sha Tin"",""ja"":""沙田"",""it"":""Sha Tin"",""zh-CN"":""沙田"",""tr"":""Şa Tin"",""ru"":""Ша Тин"",""uk"":""Ша Тін"",""pl"":""Sha Tin"",""hi"":""शा टिन"",""ar"":""شا تين""}",2014-01-01T16:01:01,2025-12-02T14:39:31,1,Q194161
153490,Tsuen Wan,4884,NTW,98,HK,adm1,,,22.37100000,114.11400000,荃湾,318916,Asia/Hong_Kong,"{""br"":""Tsuen Wan"",""ko"":""취엔완"",""pt-BR"":""Tsuen Wan"",""pt"":""Tsuen Wan"",""nl"":""Tsuen Wan"",""hr"":""Tsuen Wan"",""fa"":""تسوئن وان"",""de"":""Tsuen Wan"",""es"":""Tsuen Wan"",""fr"":""Tsuen Wan"",""ja"":""荃湾"",""it"":""Tsuen Wan"",""zh-CN"":""荃湾"",""tr"":""Tsuen Wan"",""ru"":""Цуен Ван"",""uk"":""Цуен Ван"",""pl"":""Tsuen Wan"",""hi"":""त्सुएन वान"",""ar"":""تسوين وان""}",2014-01-01T16:01:01,2025-12-02T14:38:56,1,Q206451
153491,Tuen Mun,4884,NTW,98,HK,adm1,,,22.39500000,113.97300000,屯门,507900,Asia/Hong_Kong,"{""br"":""Meurzh Mun"",""ko"":""툰문"",""pt-BR"":""Tuen Mun"",""pt"":""Tuen Mun"",""nl"":""Tuen Mun"",""hr"":""Tuen Mun"",""fa"":""توئن مون"",""de"":""Tuen Mun"",""es"":""Tuen Mun"",""fr"":""Tuen Mun"",""ja"":""屯門"",""it"":""Tuen Mun"",""zh-CN"":""屯门"",""tr"":""Tuen Mun"",""ru"":""Туен Мун"",""uk"":""Туен Мун"",""pl"":""Tuen Mun"",""hi"":""तुएन मुन"",""ar"":""توين مون""}",2014-01-01T16:01:01,2025-12-02T14:38:56,1,Q193918
153492,Yuen Long,4883,NYL,98,HK,adm1,,,22.44400000,114.02700000,元朗,200000,Asia/Hong_Kong,"{""br"":""Yuen Long"",""ko"":""위안롱"",""pt-BR"":""Yuen Long"",""pt"":""Yuen Long"",""nl"":""Yuen Lang"",""hr"":""Yuen Long"",""fa"":""یوئن لانگ"",""de"":""Yuen Long"",""es"":""Yuen Long"",""fr"":""Yuen Long"",""ja"":""元朗"",""it"":""Yuen Long"",""zh-CN"":""元朗"",""tr"":""Yuen Uzun"",""ru"":""Юэнь Лонг"",""uk"":""Юен Лонг"",""pl"":""Yuen Long"",""hi"":""यूएन लांग"",""ar"":""يوين لونغ""}",2014-01-01T16:01:01,2025-12-02T14:38:56,1,Q222122
